,Datetime,file,shortwave_incoming_radiation,shortwave_outgoing_radiation,net_radiation,air_temperature_1,air_temperature_1_max,air_temperature_1_min,air_temperature_cs500_air1,air_temperature_cs500_air2,relative_humidity_1,relative_humidity_2,wind_speed_1,wind_speed_u1_max,wind_speed_2,wind_speed_u2_max,wind_from_direction_1,wind_from_direction_2,air_pressure,height_wind_sensor_1,height_wind_sensor_2,battery_voltage,air_temperature_2,snow_depth_1,snow_depth_2,sensible_heat_flux,latent_heat_flux,air_temperature_2m,relative_humidity_2m,wind_speed_10m,solar_zenith_angle,solar_azimuth_angle,surface_albedo,relative_humidity_1_cor,relative_humidity_2_cor,specific_humidity_1,specific_humidity_2,shortwave_incoming_radiation_max,shortwave_incoming_radiation_stdev,net_radiation_stdev,air_temperature_2_max,air_temperature_2_min,wind_speed_u1_stdev,wind_speed_u2_stdev,ref_temperature,snow_temperature_1,snow_temperature_2,snow_temperature_3,snow_temperature_4,snow_temperature_5,snow_temperature_6,snow_temperature_7,snow_temperature_8,snow_temperature_9,snow_temperature_10,incoming_uv_radiation,incoming_longwave_radiation,surface_temperature_1,surface_temperature_2,net_radiation_maximum,season,year,month,DayOfYear,DayOfCentury
7704,1997-05-13,CP2,485.61,413.81,-0.54,-10.69,,,-10.35,-10.39,68.2,68.84,9.34,,8.91,,108.17,107.16,803.06,2.55,3.42,13.52,-10.69,0.02,0.02,-19.57,23.39,,69.03,,61.55,215.65,0.87,75.68,76.39,1.46,1.48,,,,,,,,,,,,,,,,,,,,,,,,Spring,1997,May,133,728673
7709,1997-05-14,CP2,349.86,296.91,-1.49,-15.08,,,-14.76,-14.78,65.86,67.19,8.04,,7.61,,103.12,103.53,803.64,2.55,3.41,13.63,-15.08,0.02,0.03,-12.16,42.31,,66.7,,71.72,185.65,,76.37,77.95,1.0,1.02,,,,,,,,,,,,,,,,,,,,,,,,Spring,1997,May,134,728674
7732,1997-05-15,CP2,364.43,309.32,-1.9,-17.18,,,-16.84,-16.87,69.53,70.85,9.34,,8.82,,100.35,101.59,802.7,2.56,3.42,13.68,-17.18,0.01,0.02,-17.51,31.43,,70.38,,71.48,185.65,,82.41,84.0,0.9,0.92,,,,,,,,,,,,,,,,,,,,,,,,Spring,1997,May,135,728675
7741,1997-05-16,CP2,364.42,307.45,-1.92,-16.16,,,-15.83,-15.87,73.76,74.62,9.43,,8.83,,105.34,105.69,804.34,2.56,3.42,13.74,-16.16,0.01,0.02,-21.69,23.69,,74.44,,71.24,185.65,,86.59,87.62,1.05,1.06,,,,,,,,,,,,,,,,,,,,,,,,Spring,1997,May,136,728676
7754,1997-05-17,CP2,356.81,298.63,-1.52,-10.28,,,-10.01,-10.04,76.2,76.22,8.73,,8.17,,116.12,116.35,807.93,2.56,3.42,13.75,-10.28,0.01,0.02,-22.7,-7.1,,76.21,,71.0,185.65,,84.29,84.35,1.71,1.71,,,,,,,,,,,,,,,,,,,,,,,,Spring,1997,May,137,728677
7765,1997-05-18,CP2,358.99,302.36,-0.75,-6.3,,,-6.05,-6.06,81.35,80.36,8.34,,7.84,,133.22,133.29,810.38,2.56,3.43,13.78,-6.3,0.01,0.01,-5.18,-50.44,,80.71,,70.77,185.65,,86.56,85.52,2.41,2.37,,,,,,,,,,,,,,,,,,,,,,,,Spring,1997,May,138,728678
7782,1997-05-19,CP2,363.79,302.04,-1.19,-9.02,,,-8.75,-8.77,82.24,81.62,8.16,,7.66,,120.94,121.07,809.73,2.56,3.43,13.86,-9.02,0.01,0.01,-10.36,-29.12,,81.84,,70.55,185.65,,89.89,89.23,1.98,1.97,,,,,,,,,,,,,,,,,,,,,,,,Spring,1997,May,139,728679
7799,1997-05-20,CP2,359.31,298.27,-1.12,-8.35,,,-8.05,-8.07,83.46,82.55,6.21,,6.0,,124.74,124.85,806.42,2.56,3.43,13.76,-8.35,0.01,0.01,-15.77,-29.72,,82.86,,70.33,185.65,,90.68,89.71,2.13,2.11,,,,,,,,,,,,,,,,,,,,,,,,Spring,1997,May,140,728680
7806,1997-05-21,CP2,363.25,301.73,-0.81,-9.34,,,-9.04,-9.09,84.15,83.43,5.27,,5.25,,129.73,129.85,803.21,2.57,3.43,13.83,-9.34,0.0,0.01,-2.16,-18.45,,83.68,9.28,70.11,185.65,,92.23,91.45,1.97,1.95,,,,,,,,,,,,,,,,,,,,,,,,Spring,1997,May,141,728681
7827,1997-05-22,CP2,372.98,308.78,-0.95,-12.11,,,-11.78,-11.81,84.31,83.86,5.85,,5.76,,122.98,123.39,799.73,2.57,3.43,13.91,-12.11,0.0,0.01,0.46,-5.32,,84.01,,69.9,185.65,,95.05,94.56,1.64,1.63,,,,,,,,,,,,,,,,,,,,,,,,Spring,1997,May,142,728682
