,Datetime,file,shortwave_incoming_radiation,shortwave_outgoing_radiation,net_radiation,air_temperature_1,air_temperature_1_max,air_temperature_1_min,air_temperature_cs500_air1,air_temperature_cs500_air2,relative_humidity_1,relative_humidity_2,wind_speed_1,wind_speed_u1_max,wind_speed_2,wind_speed_u2_max,wind_from_direction_1,wind_from_direction_2,air_pressure,height_wind_sensor_1,height_wind_sensor_2,battery_voltage,air_temperature_2,snow_depth_1,snow_depth_2,sensible_heat_flux,latent_heat_flux,air_temperature_2m,relative_humidity_2m,wind_speed_10m,solar_zenith_angle,solar_azimuth_angle,surface_albedo,relative_humidity_1_cor,relative_humidity_2_cor,specific_humidity_1,specific_humidity_2,shortwave_incoming_radiation_max,shortwave_incoming_radiation_stdev,net_radiation_stdev,air_temperature_2_max,air_temperature_2_min,wind_speed_u1_stdev,wind_speed_u2_stdev,ref_temperature,snow_temperature_1,snow_temperature_2,snow_temperature_3,snow_temperature_4,snow_temperature_5,snow_temperature_6,snow_temperature_7,snow_temperature_8,snow_temperature_9,snow_temperature_10,incoming_uv_radiation,incoming_longwave_radiation,surface_temperature_1,surface_temperature_2,net_radiation_maximum,season,year,month,DayOfYear,DayOfCentury
18366,1999-05-17,KAR,188.49,153.6,18.96,-18.27,,,-22.79,,96.75,,1.56,,1.66,,199.75,198.7,718.76,4.55,6.01,12.27,-14.76,0.04,0.0,0.31,,-18.22,,2.09,70.36,267.0,0.81,115.6,,1.22,,,,,,,,,,,,,,,,,,,,,,,,,Spring,1999,May,137,729407
18379,1999-05-18,KAR,331.78,272.77,-16.88,-20.98,,,-20.69,,89.96,,3.85,,4.02,,170.34,172.3,715.2,4.53,6.0,12.9,-20.93,0.06,0.01,,,-20.89,,3.21,70.79,184.5,,110.42,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,Spring,1999,May,138,729408
18397,1999-05-19,KAR,292.82,246.68,-6.61,-20.37,,,-20.22,,94.45,,14.26,,14.41,,62.57,63.29,712.31,4.56,6.02,12.93,-20.35,0.03,-0.01,27.3,,-20.28,,13.7,70.56,184.5,,115.2,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,Spring,1999,May,139,729409
18415,1999-05-20,KAR,324.15,267.17,-16.92,-19.8,,,-19.64,,93.06,,10.47,,10.56,,47.05,48.52,719.78,4.58,6.03,13.24,-19.78,0.01,-0.02,28.22,,-19.84,,10.14,70.34,184.5,,112.95,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,Spring,1999,May,140,729410
18436,1999-05-21,KAR,299.12,253.95,-18.25,-16.91,,,-16.79,,92.34,,9.78,,9.86,,50.37,51.59,724.02,4.59,6.03,13.32,-16.89,0.0,-0.02,17.87,,-16.93,,9.49,70.13,184.5,,108.94,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,Spring,1999,May,141,729411
18453,1999-05-22,KAR,237.42,202.1,-2.29,-14.0,,,-13.96,,93.97,,10.66,,10.75,,62.38,63.09,725.88,4.59,6.04,13.31,-13.98,0.0,-0.03,2.44,,-13.48,,10.33,69.92,184.5,,107.7,,1.68,,,,,,,,,,,,,,,,,,,,,,,,,Spring,1999,May,142,729412
18461,1999-05-23,KAR,253.65,213.8,-16.43,-10.36,,,-10.32,,92.75,,10.38,,10.44,,27.55,29.48,726.06,4.58,6.03,13.54,-10.37,0.01,-0.02,11.37,,-10.25,,10.15,69.72,184.5,,102.61,,2.22,,,,,,,,,,,,,,,,,,,,,,,,,Spring,1999,May,143,729413
18485,1999-05-24,KAR,326.44,267.34,-22.35,-12.42,,,-12.31,,91.46,,9.21,,9.29,,53.6,54.73,728.34,4.56,6.02,13.6,-12.39,0.03,-0.01,10.43,,-12.3,,8.93,69.52,184.5,,103.21,,1.86,,,,,,,,,,,,,,,,,,,,,,,,,Spring,1999,May,144,729414
18486,1999-05-25,KAR,342.58,281.3,-21.34,-15.46,,,-15.32,,89.85,,7.93,,8.05,,86.31,82.83,730.72,4.56,6.02,13.63,-15.43,0.03,-0.01,16.28,,-15.42,,7.5,69.33,184.5,,104.62,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,Spring,1999,May,145,729415
18516,1999-05-26,KAR,308.25,253.44,-25.81,-15.54,,,-15.32,,88.44,,5.26,,5.37,,37.45,39.38,732.05,4.56,6.02,13.66,-15.54,0.03,-0.01,24.46,,-15.54,,4.88,69.14,184.5,,103.14,,1.39,,,,,,,,,,,,,,,,,,,,,,,,,Spring,1999,May,146,729416
18528,1999-05-27,KAR,356.74,292.7,-20.4,-17.53,,,-17.13,,83.43,,2.82,,2.99,,220.12,227.23,735.75,4.57,6.02,13.73,-17.44,0.02,-0.01,,,-17.38,,2.18,68.96,184.5,,99.75,,1.13,,,,,,,,,,,,,,,,,,,,,,,,,Spring,1999,May,147,729417
18547,1999-05-28,KAR,331.28,272.36,-33.75,-15.72,,,-15.25,,84.2,,1.76,,1.94,,249.85,249.12,736.52,4.57,6.03,13.68,-15.74,0.02,-0.02,,,-15.71,,1.08,68.79,184.5,,98.52,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,Spring,1999,May,148,729418
18561,1999-05-29,KAR,348.87,287.48,-8.79,-14.79,,,-14.64,,88.52,,6.02,,6.24,,141.05,142.37,730.44,4.57,6.02,13.83,-14.7,0.02,-0.01,32.71,,-14.64,,5.22,68.62,184.5,,102.47,,1.51,,,,,,,,,,,,,,,,,,,,,,,,,Spring,1999,May,149,729419
18576,1999-05-30,KAR,372.02,304.72,-20.02,-14.32,,,-14.16,,85.34,,7.11,,7.2,,25.36,27.1,733.69,4.57,6.02,13.96,-14.32,0.02,-0.01,27.12,,-14.32,,6.78,68.46,184.5,,98.21,,1.47,,,,,,,,,,,,,,,,,,,,,,,,,Spring,1999,May,150,729420
18584,1999-05-31,KAR,373.89,303.72,-29.26,-16.08,,,-15.88,,81.56,,8.66,,8.73,,70.77,62.68,732.09,4.57,6.03,14.02,-16.01,0.01,-0.02,9.68,,-15.95,,8.4,68.31,184.5,,95.69,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,Spring,1999,May,151,729421
18600,1999-06-01,KAR,373.78,304.98,-27.8,-13.23,,,-13.04,,84.19,,7.37,,7.46,,27.03,27.45,734.36,4.58,6.03,13.9,-13.21,0.01,-0.02,22.35,,-13.2,,7.01,68.16,184.5,,95.98,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,152,729422
18630,1999-06-02,KAR,372.22,301.09,-13.91,-11.64,,,-11.3,,77.54,,3.62,,3.75,,84.5,86.6,734.92,4.58,6.03,13.82,-11.77,0.01,-0.02,,,-11.87,,3.1,68.02,184.5,,87.23,,1.65,,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,153,729423
18636,1999-06-03,KAR,375.54,304.36,-17.6,-15.21,,,-14.91,,83.0,,3.42,,3.63,,67.99,58.12,734.45,4.58,6.03,13.91,-15.19,0.01,-0.02,,,-15.17,,2.66,67.89,184.5,,96.8,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,154,729424
18648,1999-06-04,KAR,379.07,306.53,-24.74,-15.09,,,-14.73,,80.24,,3.8,,3.95,,88.38,89.27,736.66,4.58,6.03,13.82,-15.18,0.01,-0.02,,,-15.15,,3.24,67.76,184.5,,93.55,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,155,729425
18675,1999-06-05,KAR,334.42,275.21,-20.91,-13.83,,,-13.52,,79.72,,4.2,,4.36,,215.03,219.24,737.04,4.58,6.03,13.84,-13.86,0.01,-0.02,,,-13.88,,3.6,67.64,184.5,,91.68,,1.53,,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,156,729426
18682,1999-06-06,KAR,277.6,233.29,0.9,-8.61,,,-8.57,,96.9,,6.08,,6.2,,173.12,172.81,730.79,4.57,6.02,14.0,-8.65,0.02,-0.01,,,-8.45,,4.65,67.52,184.5,,105.37,,2.65,,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,157,729427
18709,1999-06-07,KAR,348.13,299.37,-50.9,-10.55,,,-10.24,,91.78,,2.51,,2.68,,124.95,124.47,727.1,4.58,6.04,13.76,-10.56,0.01,-0.03,,,-10.56,,1.9,67.42,184.5,,101.69,,2.16,,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,158,729428
18722,1999-06-08,KAR,341.21,281.98,-27.34,-12.65,,,-12.48,,90.73,,5.49,,5.65,,136.97,137.91,725.23,4.58,6.03,13.91,-12.69,0.01,-0.02,,,-12.7,,4.88,67.32,184.5,,102.64,,1.83,,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,159,729429
18740,1999-06-09,KAR,367.12,307.16,-24.75,-16.74,,,-16.37,,86.08,,2.87,,3.17,,256.55,261.3,733.23,4.59,6.04,13.87,-16.76,0.0,-0.03,,,-16.77,,1.88,67.22,184.5,,101.88,,1.26,,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,160,729430
18764,1999-06-10,KAR,265.37,237.02,-10.23,-7.69,,,-7.55,,98.28,,3.84,,4.05,,160.53,155.96,736.02,4.54,5.99,13.93,-7.64,0.05,0.02,-11.52,,-7.36,,3.04,67.14,184.5,,105.95,,2.99,,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,161,729431
18771,1999-06-11,KAR,268.29,236.85,-9.47,-5.99,,,-5.85,,98.87,,6.48,,6.66,,157.97,177.8,734.91,4.5,5.98,13.67,-6.03,0.09,0.03,19.56,,-6.09,,6.08,67.06,184.5,,104.79,,3.29,,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,162,729432
18789,1999-06-12,KAR,377.08,314.68,-30.83,-11.19,,,-11.04,,93.65,,6.75,,7.0,,123.52,122.76,732.13,4.47,5.95,13.88,-11.03,0.12,0.06,-14.67,,-10.92,,5.93,66.98,184.5,,104.38,,2.09,,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,163,729433
18816,1999-06-13,KAR,354.53,302.51,-31.63,-13.4,,,-13.21,,89.93,,6.76,,6.89,,54.02,55.23,728.93,4.51,5.97,14.12,-13.38,0.08,0.04,13.11,,-13.37,,6.28,66.92,184.5,,102.55,,1.74,,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,164,729434
18826,1999-06-14,KAR,381.1,317.35,-25.83,-14.11,,,-13.88,,91.7,,3.93,,4.11,,59.57,61.25,728.61,4.49,5.94,14.05,-14.03,0.1,0.07,0.3,,-14.08,,3.23,66.86,184.5,,105.32,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,165,729435
18842,1999-06-15,KAR,350.72,287.7,-17.52,-12.62,,,-12.5,,90.64,,9.07,,9.2,,31.53,33.52,725.7,4.51,5.96,14.03,-12.61,0.08,0.05,28.81,,-12.61,,8.57,66.81,184.5,,102.56,,1.82,,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,166,729436
18863,1999-06-16,KAR,382.43,313.12,-21.55,-13.0,,,-12.78,,88.63,,6.5,,6.62,,41.42,42.09,726.08,4.52,5.98,14.03,-12.99,0.07,0.03,17.77,,-13.15,,6.05,66.77,184.5,,100.7,,1.73,,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,167,729437
18870,1999-06-17,KAR,343.41,286.21,-11.0,-11.49,,,-11.01,,86.54,,1.59,,1.75,,70.68,79.17,725.72,4.53,5.98,13.88,-11.48,0.06,0.03,,,-11.46,,0.96,66.73,184.5,,97.07,,1.89,,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,168,729438
18900,1999-06-18,KAR,376.05,309.38,-23.78,-13.68,,,-13.44,,87.91,,4.62,,4.77,,125.92,122.6,719.94,4.52,5.98,14.04,-13.65,0.07,0.03,,,-13.82,,4.02,66.7,184.5,,100.69,,1.65,,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,169,729439
18908,1999-06-19,KAR,310.6,261.82,-5.75,-11.73,,,-11.49,,88.05,,2.63,,2.76,,117.28,118.73,725.09,4.53,5.98,13.9,-11.83,0.06,0.03,,,-11.91,,2.11,66.68,184.5,,98.93,,1.89,,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,170,729440
18936,1999-06-20,KAR,369.6,304.25,-29.27,-14.46,,,-14.2,,82.1,,4.93,,5.03,,293.31,292.72,728.91,4.53,5.98,14.02,-14.42,0.06,0.03,,,-14.39,,4.43,66.66,184.5,,95.12,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,171,729441
18938,1999-06-21,KAR,249.51,214.65,-8.32,-9.2,,,-9.15,,94.89,,8.25,,8.45,,179.1,179.49,724.09,4.5,5.94,13.9,-9.23,0.09,0.07,,,-9.27,,7.6,66.65,184.5,,103.73,,2.51,,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,172,729442
18962,1999-06-22,KAR,304.18,260.69,-5.12,-11.35,,,-11.27,,98.03,,9.18,,9.33,,171.05,174.61,720.4,4.43,5.86,13.66,-11.38,0.16,0.15,,,-11.36,,8.59,66.65,184.5,,109.47,,2.19,,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,173,729443
18981,1999-06-23,KAR,328.77,280.87,-8.34,-12.21,,,-11.94,,93.56,,3.7,,3.77,,121.62,145.87,726.31,4.42,5.89,13.63,-12.39,0.17,0.12,,,-12.3,,3.42,66.66,184.5,,105.44,,1.93,,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,174,729444
18996,1999-06-24,KAR,358.92,300.73,-15.78,-11.83,,,-11.64,,89.01,,5.02,,5.15,,46.54,52.82,725.27,4.44,5.89,14.11,-11.81,0.15,0.12,26.77,,-11.96,,4.55,66.68,184.5,,99.96,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,175,729445
19012,1999-06-25,KAR,388.07,320.25,-42.72,-14.59,,,-14.32,,81.55,,6.19,,6.35,,88.13,87.38,728.4,4.45,5.91,14.18,-14.49,0.14,0.1,13.13,,-14.42,,5.6,66.7,184.5,,94.33,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,176,729446
19037,1999-06-26,KAR,391.4,320.3,-36.12,-15.54,,,-15.35,,83.29,,8.66,,8.81,,123.09,116.05,731.55,4.46,5.93,14.29,-15.47,0.13,0.08,18.77,,-15.54,,8.09,66.73,184.5,,97.08,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,177,729447
19047,1999-06-27,KAR,380.69,313.04,-35.26,-11.15,,,-10.82,,76.93,,5.12,,5.27,,116.72,96.19,738.64,4.46,5.94,14.07,-11.13,0.13,0.07,,,-11.15,,4.58,66.76,184.5,,86.22,,1.83,,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,178,729448
19080,1999-06-28,KAR,371.01,297.33,-18.15,-3.09,,,-2.86,,90.41,,5.85,,5.98,,122.66,122.6,739.65,4.47,5.94,13.99,-3.08,0.12,0.07,,,-3.37,,5.34,66.81,184.5,,93.34,,3.85,,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,179,729449
19094,1999-06-29,KAR,378.76,295.2,0.43,-3.55,,,-3.27,,91.51,,3.17,,3.26,,288.78,281.24,740.66,4.48,5.94,14.02,-3.41,0.11,0.07,1.99,,-3.15,,2.85,66.86,184.5,,94.95,,3.77,,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,180,729450
19104,1999-06-30,KAR,382.58,294.8,-13.5,-3.07,,,-2.92,,87.3,,7.12,,7.23,,29.15,22.86,742.01,4.49,5.95,14.03,-3.06,0.1,0.06,30.06,,-3.15,,6.67,66.91,184.5,,89.95,,3.67,,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,181,729451
19123,1999-07-01,KAR,378.43,289.2,-10.87,-3.76,,,-3.49,,89.5,,4.4,,4.7,,234.47,221.89,743.69,4.49,5.95,13.94,-3.65,0.1,0.06,-3.35,,-3.56,,3.22,66.98,184.5,,93.05,,3.61,,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,July,182,729452
19140,1999-07-02,KAR,357.15,271.74,-3.98,-2.76,,,-2.52,,91.17,,4.73,,4.85,,157.65,159.33,742.21,4.51,5.95,13.92,-2.78,0.08,0.06,,,-2.8,,4.28,67.05,184.5,,93.87,,3.93,,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,July,183,729453
