,Datetime,file,shortwave_incoming_radiation,shortwave_outgoing_radiation,net_radiation,air_temperature_1,air_temperature_1_max,air_temperature_1_min,air_temperature_cs500_air1,air_temperature_cs500_air2,relative_humidity_1,relative_humidity_2,wind_speed_1,wind_speed_u1_max,wind_speed_2,wind_speed_u2_max,wind_from_direction_1,wind_from_direction_2,air_pressure,height_wind_sensor_1,height_wind_sensor_2,battery_voltage,air_temperature_2,snow_depth_1,snow_depth_2,sensible_heat_flux,latent_heat_flux,air_temperature_2m,relative_humidity_2m,wind_speed_10m,solar_zenith_angle,solar_azimuth_angle,surface_albedo,relative_humidity_1_cor,relative_humidity_2_cor,specific_humidity_1,specific_humidity_2,shortwave_incoming_radiation_max,shortwave_incoming_radiation_stdev,net_radiation_stdev,air_temperature_2_max,air_temperature_2_min,wind_speed_u1_stdev,wind_speed_u2_stdev,ref_temperature,snow_temperature_1,snow_temperature_2,snow_temperature_3,snow_temperature_4,snow_temperature_5,snow_temperature_6,snow_temperature_7,snow_temperature_8,snow_temperature_9,snow_temperature_10,incoming_uv_radiation,incoming_longwave_radiation,surface_temperature_1,surface_temperature_2,net_radiation_maximum,season,year,month,DayOfYear,DayOfCentury
18920,1999-06-20,KULU,413.75,60.48,26.62,,,,,-5.87,,,,,1.44,,36.71,,,,,12.85,,,,,,,,,62.77,162.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,171,729441
18945,1999-06-21,KULU,161.94,148.31,13.02,0.27,,,-0.64,-0.82,93.72,93.16,2.22,,5.95,,158.46,199.41,887.06,2.22,,13.08,-0.66,0.21,,,,,,,67.01,177.9,,93.96,94.14,4.1,3.84,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,172,729442
18957,1999-06-22,KULU,228.92,185.71,28.82,-2.67,,,-3.8,-3.56,97.11,79.08,6.46,,10.37,,,214.58,888.47,2.18,,13.52,-3.53,0.25,,,,,,,67.01,177.9,,99.69,82.34,3.48,2.59,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,173,729443
18985,1999-06-23,KULU,207.5,171.24,16.13,-3.12,,,-4.3,-3.13,95.23,74.49,2.0,,3.57,,,68.6,893.41,2.15,,13.45,-2.98,0.28,,,,,,,67.02,177.9,,98.48,77.18,3.31,2.54,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,174,729444
19007,1999-06-24,KULU,186.78,154.17,28.53,-1.59,,,-2.72,-1.22,86.92,73.27,1.01,,2.74,,30.6,61.88,892.51,2.17,,13.59,-1.15,0.26,,,,,,,67.03,177.9,,88.52,74.42,3.32,2.87,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,175,729445
19027,1999-06-25,KULU,205.95,165.55,30.24,-2.47,,,-3.31,-1.58,83.12,75.39,3.97,,6.59,,,33.07,895.55,2.17,,13.64,-1.52,0.26,,,,,,,67.05,177.9,,85.53,77.23,3.02,2.94,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,176,729446
19041,1999-06-26,KULU,220.0,167.95,48.47,0.37,,,-0.23,1.43,78.64,71.92,6.51,,10.31,,,27.37,897.5,2.18,,13.76,1.5,0.25,,,,,,,67.08,177.9,,79.03,72.03,3.46,3.45,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,177,729447
19056,1999-06-27,KULU,175.91,144.29,32.08,0.03,,,-1.17,1.47,98.56,73.28,3.01,,5.25,,,22.36,905.49,2.1,,13.57,1.58,0.33,,,,,,,67.12,177.9,,98.72,73.36,4.16,3.49,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,178,729448
19073,1999-06-28,KULU,220.13,170.91,51.74,1.64,,,0.49,3.24,92.83,84.3,1.57,,2.85,,,24.34,902.75,2.13,,13.54,3.33,0.3,,,,,,,67.16,177.9,,92.83,84.3,4.41,4.53,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,179,729449
19096,1999-06-29,KULU,220.58,170.48,47.22,2.04,,,1.23,2.96,83.06,79.57,3.74,,5.59,,,16.38,903.94,2.16,,13.6,3.04,0.27,,,,,,,67.21,177.9,,83.06,79.57,4.08,4.2,,,,,,,,,,,,,,,,,,,,,,,,Summer,1999,June,180,729450
