,Datetime,file,shortwave_incoming_radiation,shortwave_outgoing_radiation,net_radiation,air_temperature_1,air_temperature_1_max,air_temperature_1_min,air_temperature_cs500_air1,air_temperature_cs500_air2,relative_humidity_1,relative_humidity_2,wind_speed_1,wind_speed_u1_max,wind_speed_2,wind_speed_u2_max,wind_from_direction_1,wind_from_direction_2,air_pressure,height_wind_sensor_1,height_wind_sensor_2,battery_voltage,air_temperature_2,snow_depth_1,snow_depth_2,sensible_heat_flux,latent_heat_flux,air_temperature_2m,relative_humidity_2m,wind_speed_10m,solar_zenith_angle,solar_azimuth_angle,surface_albedo,relative_humidity_1_cor,relative_humidity_2_cor,specific_humidity_1,specific_humidity_2,shortwave_incoming_radiation_max,shortwave_incoming_radiation_stdev,net_radiation_stdev,air_temperature_2_max,air_temperature_2_min,wind_speed_u1_stdev,wind_speed_u2_stdev,ref_temperature,snow_temperature_1,snow_temperature_2,snow_temperature_3,snow_temperature_4,snow_temperature_5,snow_temperature_6,snow_temperature_7,snow_temperature_8,snow_temperature_9,snow_temperature_10,incoming_uv_radiation,incoming_longwave_radiation,surface_temperature_1,surface_temperature_2,net_radiation_maximum,season,year,month,DayOfYear,DayOfCentury
25608,2000-06-24,Aurora,396.96,,-32.77,,,,-10.46,,69.54,,7.26,,7.71,,148.99,190.35,,2.72,,13.5,,0.01,,,,,,,56.21,230.21,,76.35,,,,,,,,,,,,,,,,,,,,,,,,,,,Summer,2000,June,176,729811
25632,2000-06-25,Aurora,350.18,,-9.23,,,,-8.51,,71.49,,6.78,,7.06,,148.33,201.69,837.39,2.73,,13.75,,0.0,,,,,,,66.95,185.21,,76.07,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,Summer,2000,June,177,729812
25659,2000-06-26,Aurora,341.37,,-8.6,-4.78,,,-8.55,,75.98,,3.62,,3.77,,146.86,202.21,835.72,2.73,,13.68,,0.0,,,,,,,66.99,185.21,,79.81,,2.53,,,,,,,,,,,,,,,,,,,,,,,,,Summer,2000,June,178,729813
25669,2000-06-27,Aurora,338.97,,-5.55,-5.86,,,-9.68,,80.1,,3.97,,4.22,,155.75,194.85,835.5,2.73,,13.87,,0.0,,,,,,,67.03,185.21,,85.06,,2.46,,,,,,,,,,,,,,,,,,,,,,,,,Summer,2000,June,179,729814
25704,2000-06-28,Aurora,337.33,,-1.05,-5.23,,,-9.27,,81.57,,4.8,,5.0,,144.33,206.09,835.11,2.73,,13.85,,0.0,,,,,,,67.08,185.21,,86.39,,2.57,,,,,,,,,,,,,,,,,,,,,,,,,Summer,2000,June,180,729815
25722,2000-06-29,Aurora,312.38,,4.32,-3.64,,,-7.7,,81.84,,3.94,,4.1,,157.34,192.79,840.22,2.73,,13.87,,-0.0,,,,,,,67.13,185.21,,85.33,,2.94,,,,,,,,,,,,,,,,,,,,,,,,,Summer,2000,June,181,729816
25746,2000-06-30,Aurora,304.2,,14.91,-1.86,,,-6.17,,81.39,,3.59,,3.78,,137.5,212.57,841.27,2.74,,13.68,,-0.01,,,,,,,67.2,185.21,,83.51,,3.28,,,,,,,,,,,,,,,,,,,,,,,,,Summer,2000,June,182,729817
25766,2000-07-01,Aurora,309.47,,12.92,-1.82,,,-6.16,,79.88,,4.34,,4.57,,149.18,200.94,838.68,2.74,,13.71,,-0.01,,,,,,,67.27,185.21,,81.89,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,Summer,2000,July,183,729818
25767,2000-07-02,Aurora,299.05,,12.55,-0.91,,,-5.34,,86.35,,3.55,,3.73,,151.95,198.29,836.86,2.75,,13.7,,-0.02,,,,,,,67.35,185.21,,87.85,,3.76,,,,,,,,,,,,,,,,,,,,,,,,,Summer,2000,July,184,729819
25797,2000-07-03,Aurora,274.19,,21.07,0.86,,,-3.73,,88.73,,3.51,,3.7,,151.21,197.99,833.08,2.78,,13.65,,-0.05,,,,,,,67.43,185.21,,89.16,,4.35,,,,,,,,,,,,,,,,,,,,,,,,,Summer,2000,July,185,729820
25823,2000-07-04,Aurora,225.53,,10.14,0.62,,,-3.86,,90.64,,2.69,,2.84,,188.48,164.28,832.49,2.82,,13.75,,-0.09,,,,,,,67.52,185.21,,90.75,,4.34,,,,,,,,,,,,,,,,,,,,,,,,,Summer,2000,July,186,729821
25834,2000-07-05,Aurora,287.06,,19.71,1.12,,,-3.23,,86.57,,2.1,,2.24,,142.37,207.58,832.42,2.84,,13.69,,-0.11,,,,,,,67.62,185.21,,86.63,,4.31,,,,,,,,,,,,,,,,,,,,,,,,,Summer,2000,July,187,729822
25855,2000-07-06,Aurora,291.4,,12.99,-0.27,,,-5.0,,81.69,,6.55,,6.85,,137.64,214.37,828.49,2.87,,13.79,,-0.14,,,,,,,67.73,185.21,,82.82,,3.74,,,,,,,,,,,,,,,,,,,,,,,,,Summer,2000,July,188,729823
25872,2000-07-07,Aurora,284.15,,16.08,-1.37,,,-5.52,,84.76,,3.09,,3.23,,170.0,181.45,828.92,2.89,,13.64,,-0.16,,,,,,,67.84,185.21,,85.9,,3.54,,,,,,,,,,,,,,,,,,,,,,,,,Summer,2000,July,189,729824
25889,2000-07-08,Aurora,274.85,,-1.14,-0.96,,,-5.41,,90.0,,2.93,,3.06,,173.79,176.92,830.57,2.9,,13.76,,-0.17,,,,,,,67.96,185.21,,91.26,,3.85,,,,,,,,,,,,,,,,,,,,,,,,,Summer,2000,July,190,729825
25915,2000-07-09,Aurora,286.81,,25.29,-0.14,,,-4.88,,87.14,,4.82,,5.0,,161.73,189.03,824.54,2.92,,13.73,,-0.19,,,,,,,68.09,185.21,,87.76,,3.97,,,,,,,,,,,,,,,,,,,,,,,,,Summer,2000,July,191,729826
25936,2000-07-10,Aurora,215.72,,22.03,0.29,,,-4.05,,92.98,,2.15,,2.24,,231.16,128.75,819.19,2.94,,13.7,,-0.21,,,,,,,68.22,185.21,,93.17,,4.42,,,,,,,,,,,,,,,,,,,,,,,,,Summer,2000,July,192,729827
25959,2000-07-11,Aurora,242.21,,10.38,-0.85,,,-5.35,,95.29,,3.38,,3.65,,265.83,89.8,823.6,2.94,,13.88,,-0.21,,,,,,,68.36,185.21,,96.09,,4.14,,,,,,,,,,,,,,,,,,,,,,,,,Summer,2000,July,193,729828
25973,2000-07-12,Aurora,225.93,,3.89,-0.8,,,-5.34,,97.94,,5.36,,5.71,,221.89,131.99,822.52,2.91,,13.73,,-0.18,,,,,,,68.5,185.21,,98.74,,4.28,,,,,,,,,,,,,,,,,,,,,,,,,Summer,2000,July,194,729829
