,Datetime,file,shortwave_incoming_radiation,shortwave_outgoing_radiation,net_radiation,air_temperature_1,air_temperature_1_max,air_temperature_1_min,air_temperature_cs500_air1,air_temperature_cs500_air2,relative_humidity_1,relative_humidity_2,wind_speed_1,wind_speed_u1_max,wind_speed_2,wind_speed_u2_max,wind_from_direction_1,wind_from_direction_2,air_pressure,height_wind_sensor_1,height_wind_sensor_2,battery_voltage,air_temperature_2,snow_depth_1,snow_depth_2,sensible_heat_flux,latent_heat_flux,air_temperature_2m,relative_humidity_2m,wind_speed_10m,solar_zenith_angle,solar_azimuth_angle,surface_albedo,relative_humidity_1_cor,relative_humidity_2_cor,specific_humidity_1,specific_humidity_2,shortwave_incoming_radiation_max,shortwave_incoming_radiation_stdev,net_radiation_stdev,air_temperature_2_max,air_temperature_2_min,wind_speed_u1_stdev,wind_speed_u2_stdev,ref_temperature,snow_temperature_1,snow_temperature_2,snow_temperature_3,snow_temperature_4,snow_temperature_5,snow_temperature_6,snow_temperature_7,snow_temperature_8,snow_temperature_9,snow_temperature_10,incoming_uv_radiation,incoming_longwave_radiation,surface_temperature_1,surface_temperature_2,net_radiation_maximum,year,month,season,DayOfYear,DayOfCentury
453958,1999-06-20 04:00:00,KULU,778.4,7.79,8.61,,,,,,,,,,0.27,,5.9,,,,,12.7,,,,,,,,,88.74,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,June,Summer,171,729441
453981,1999-06-20 05:00:00,KULU,612.91,0.0,4.12,,,,,,,,,,0.0,,5.9,,,,,12.71,,,,,,,,,86.12,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,June,Summer,171,729441
454001,1999-06-20 06:00:00,KULU,447.42,0.0,2.34,,,,,,,,,,0.0,,4.6,,,,,12.71,,,,,,,,,82.28,50.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,June,Summer,171,729441
454004,1999-06-20 07:00:00,KULU,632.31,0.0,3.78,,,,,,,,,,0.0,,4.0,,,,,12.71,,,,,,,,,77.46,65.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,June,Summer,171,729441
454023,1999-06-20 08:00:00,KULU,761.43,0.0,4.81,,,,,-34.22,,,,,0.12,,5.3,,,,,12.7,,,,,,,,,71.9,80.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,June,Summer,171,729441
454052,1999-06-20 09:00:00,KULU,734.87,1.49,4.51,,,,,-27.96,,,,,0.25,,7.9,,,,,12.7,,,,,,,,,65.9,95.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,June,Summer,171,729441
454071,1999-06-20 10:00:00,KULU,708.31,11.68,6.91,,,,,-21.71,,,,,0.37,,11.3,,,,,12.69,,,,,,,,,59.75,110.4,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,June,Summer,171,729441
454087,1999-06-20 11:00:00,KULU,654.22,33.01,10.17,,,,,-15.46,,,,,0.49,,15.5,1.6,,,,12.69,,,,,,,,,53.83,125.4,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,June,Summer,171,729441
454106,1999-06-20 12:00:00,KULU,600.1,25.59,41.89,,,,,-9.21,,,,,0.62,,21.0,8.2,,,,12.78,,,,,,,,,48.56,140.4,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,June,Summer,171,729441
454126,1999-06-20 13:00:00,KULU,545.99,18.16,73.61,,,,-38.01,-2.95,,,0.0,,0.74,,,14.8,,,,12.88,2.16,,,,,,,,44.46,155.4,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,June,Summer,171,729441
