,Datetime,file,shortwave_incoming_radiation,shortwave_outgoing_radiation,net_radiation,air_temperature_1,air_temperature_1_max,air_temperature_1_min,air_temperature_cs500_air1,air_temperature_cs500_air2,relative_humidity_1,relative_humidity_2,wind_speed_1,wind_speed_u1_max,wind_speed_2,wind_speed_u2_max,wind_from_direction_1,wind_from_direction_2,air_pressure,height_wind_sensor_1,height_wind_sensor_2,battery_voltage,air_temperature_2,snow_depth_1,snow_depth_2,sensible_heat_flux,latent_heat_flux,air_temperature_2m,relative_humidity_2m,wind_speed_10m,solar_zenith_angle,solar_azimuth_angle,surface_albedo,relative_humidity_1_cor,relative_humidity_2_cor,specific_humidity_1,specific_humidity_2,shortwave_incoming_radiation_max,shortwave_incoming_radiation_stdev,net_radiation_stdev,air_temperature_2_max,air_temperature_2_min,wind_speed_u1_stdev,wind_speed_u2_stdev,ref_temperature,snow_temperature_1,snow_temperature_2,snow_temperature_3,snow_temperature_4,snow_temperature_5,snow_temperature_6,snow_temperature_7,snow_temperature_8,snow_temperature_9,snow_temperature_10,incoming_uv_radiation,incoming_longwave_radiation,surface_temperature_1,surface_temperature_2,net_radiation_maximum,year,month,season,DayOfYear,DayOfCentury
614621,2000-06-24 14:00:00,Aurora,684.8,,25.72,,,,-33.98,,41.15,,8.09,,8.61,,156.3,184.1,,,,13.5,,,,,,,,,44.35,162.71,,57.27,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,June,Summer,176,729811
614653,2000-06-24 15:00:00,Aurora,659.0,,-10.87,,,,-19.6,,67.82,,7.82,,8.32,,152.4,183.9,,,,13.5,,,,,,,,,43.04,177.71,,82.09,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,June,Summer,176,729811
614664,2000-06-24 16:00:00,Aurora,622.6,,-38.05,,,,-5.22,,73.06,,7.64,,8.16,,154.7,186.0,,,,13.5,,,,,,,,,43.75,192.71,,76.85,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,June,Summer,176,729811
614685,2000-06-24 17:00:00,Aurora,509.2,,-77.55,,,,-4.87,,72.89,,6.77,,7.17,,154.3,186.5,,,,13.5,,,,,,,,,46.34,207.71,,76.41,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,June,Summer,176,729811
614710,2000-06-24 18:00:00,Aurora,451.6,,-34.4,,,,-5.03,,73.86,,6.72,,7.15,,151.6,190.7,,2.72,,13.5,,0.0,,,,,,,50.43,222.71,,77.55,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,June,Summer,176,729811
614720,2000-06-24 19:00:00,Aurora,382.0,,5.74,,,,-5.33,,70.1,,6.67,,7.11,,152.9,201.0,,2.72,,13.5,,0.0,,,,,,,55.54,237.71,,73.82,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,June,Summer,176,729811
614743,2000-06-24 20:00:00,Aurora,291.8,,-18.6,,,,-6.33,,76.51,,6.66,,7.08,,147.6,206.1,,2.72,,13.5,,0.0,,,,,,,61.2,252.71,,81.36,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,June,Summer,176,729811
614764,2000-06-24 21:00:00,Aurora,166.8,,-44.99,,,,-6.76,,67.26,,6.37,,6.83,,129.3,184.0,,2.72,,13.5,,0.0,,,,,,,67.01,267.71,,71.82,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,June,Summer,176,729811
614792,2000-06-24 22:00:00,Aurora,130.6,,-57.06,,,,-8.19,,75.71,,7.68,,8.11,,146.8,188.4,837.7,2.72,,13.5,,0.0,,,,,,,72.64,282.71,,81.98,,1.86,,,,,,,,,,,,,,,,,,,,,,,,,2000,June,Summer,176,729811
614796,2000-06-24 23:00:00,Aurora,71.2,,-77.65,,,,-9.29,,77.05,,8.16,,8.51,,144.0,192.8,838.0,2.72,,13.5,,0.0,,,,,,,77.79,297.71,,84.33,,1.73,,,,,,,,,,,,,,,,,,,,,,,,,2000,June,Summer,176,729811
614830,2000-06-25 00:00:00,Aurora,27.4,,-76.52,,,,-10.28,,77.95,,8.47,,8.82,,144.1,197.2,838.6,2.72,,13.5,,0.0,,,,,,,82.2,312.71,,86.14,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,2000,June,Summer,177,729812
614847,2000-06-25 01:00:00,Aurora,13.2,,-77.22,,,,-11.32,,79.87,,8.4,,8.72,,145.2,201.6,839.6,2.72,,13.5,,0.0,,,,,,,85.61,327.71,,89.16,,1.53,,,,,,,,,,,,,,,,,,,,,,,,,2000,June,Summer,177,729812
614868,2000-06-25 02:00:00,Aurora,12.6,,-74.54,,,,-12.07,,78.87,,8.57,,8.91,,144.9,206.0,840.0,2.72,,13.5,,0.0,,,,,,,87.84,342.71,,88.7,,1.42,,,,,,,,,,,,,,,,,,,,,,,,,2000,June,Summer,177,729812
614892,2000-06-25 03:00:00,Aurora,19.8,,-74.64,,,,-13.04,,80.33,,8.14,,8.45,,142.8,208.1,840.7,2.72,,13.5,,0.0,,,,,,,88.75,357.71,,91.2,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,2000,June,Summer,177,729812
614915,2000-06-25 04:00:00,Aurora,48.8,,-70.72,,,,-13.5,,79.64,,8.14,,8.47,,140.1,211.1,840.7,2.72,,13.5,,0.0,,,,,,,88.27,12.71,,90.82,,1.27,,,,,,,,,,,,,,,,,,,,,,,,,2000,June,Summer,177,729812
614931,2000-06-25 05:00:00,Aurora,107.8,,-48.89,,,,-13.11,,75.83,,8.87,,9.23,,139.1,212.2,841.1,2.72,,13.5,,0.0,,,,,,,86.43,27.71,,86.15,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,2000,June,Summer,177,729812
614938,2000-06-25 06:00:00,Aurora,185.0,,-23.8,,,,-12.84,,73.8,,8.45,,8.79,,137.2,213.3,840.7,2.72,,13.5,,0.0,,,,,,,83.36,42.71,,83.62,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,2000,June,Summer,177,729812
