,index,stid,time,air_pressure,air_temperature,relative_humidity,relative_humidity_corrected,specific_humidity,wind_speed,wind_from_direction,surface_downwelling_shortwave_flux,surface_downwelling_shortwave_flux_corrected,surface_upwelling_shortwave_flux,surface_upwelling_shortwave_flux_corrected,surface_albedo,surface_downwelling_longwave_flux,surface_upwelling_longwave_flux,cloud_area_fraction,surface_temperature,surface_downward_latent_heat_flux,surface_downward_sensible_heat_flux,distance_to_surface_from_boom,distance_to_surface_from_stake_assembly,depth_of_pressure_transducer_in_ice,depth_of_pressure_transducer_in_ice_corrected,precipitation,precipitation_corrected,ice_temperature_at_t1,ice_temperature_at_t2,ice_temperature_at_t3,ice_temperature_at_t4,ice_temperature_at_t5,ice_temperature_at_t6,ice_temperature_at_t7,ice_temperature_at_t8,platform_view_angle_x,platform_view_angle_y,platform_azimuth_angle,gps_latitude,gps_longitude,gps_altitude,gps_time,gps_geoid_separation,gps_geounit,gps_hdop,gps_numsat,gps_q,battery_voltage,,battery_voltage_at_sample_start,fan_current,frequency_of_precipitation_wire_vibration,temperature_of_logger,temperature_of_radiation_sensor,message_latitude,message_longitude,surface_height_1,surface_height_2,z_surf_1_adj_flag,z_surf_2_adj_flag,surface_height_combined,depth_of_ice_temperature_t1,depth_of_ice_temperature_t2,depth_of_ice_temperature_t3,depth_of_ice_temperature_t4,depth_of_ice_temperature_t5,depth_of_ice_temperature_t6,depth_of_ice_temperature_t7,depth_of_ice_temperature_t8,ice_temperature_at_10m,air_pressure,air_temperature,relative_humidity,relative_humidity_corrected,specific_humidity,wind_speed,wind_from_direction,surface_downward_latent_heat_flux,surface_downward_sensible_heat_flux,distance_to_surface_from_boom,precipitation,precipitation_corrected,ice_temperature_at_t9,ice_temperature_at_t10,ice_temperature_at_t11,fan_current,depth_of_ice_temperature_t9,depth_of_ice_temperature_t10,depth_of_ice_temperature_t11,z_pt_cor_adj_flag,adjusted_ice_surface_height,adjusted_surface_height_1,adjusted_surface_height_2,Datetime,year,month,date,DayOfYear,DayOfCentury,season,day,hour
1887187,0,KPC_Uv3,2022-05-28 13:00:00+00:00,919.0,-3.133,74.45,76.742,,0.002,322.9,559.596,,435.141,,,,,,,,,,,0.173,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-28 13:00:00+00:00,2022,May,2022-05-28,148,737813,Spring,28,May
1887188,1,KPC_Uv3,2022-05-28 14:00:00+00:00,919.0,-2.333,75.4,77.119,2.631,,,569.619,569.619,442.17,442.17,0.776,209.216,303.306,0.0,-2.062,,,2.021,0.405,12.108,,,0.0,,,,,,,,,0.0,0.0,0.0,79.835,-25.163,876.0,1335.09,,,0.87,,,13.38,,,68.39,,,0.126,,,0.579,0.595,,,0.43,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,0.264,0.595,2022-05-28 14:00:00+00:00,2022,May,2022-05-28,148,737813,Spring,28,May
1887189,2,KPC_Uv3,2022-05-28 15:00:00+00:00,919.0,-1.25,73.62,74.511,2.784,,,564.103,564.103,443.239,443.239,0.786,210.698,300.482,0.0,-2.718,,,2.287,0.406,15.497,,,0.0,,,,,,,,,0.0,0.0,0.0,79.835,-25.163,870.0,1435.09,,,0.75,,,13.41,,,67.59,,,0.56,,,0.313,0.594,,,0.296,0.867,1.867,2.867,3.867,4.867,5.867,6.867,9.867,,,,,,,,,,,,,,,,,,,,,,,-0.001,0.594,2022-05-28 15:00:00+00:00,2022,May,2022-05-28,148,737813,Spring,28,May
1887190,3,KPC_Uv3,2022-05-28 16:00:00+00:00,918.0,-0.917,74.52,75.179,2.891,,,534.577,534.577,416.807,416.807,0.78,214.181,302.476,0.0,-2.285,,,2.284,0.406,15.414,,,0.0,,,,,,,,,0.0,0.0,0.0,79.835,-25.163,872.0,1535.09,,,0.79,,,13.61,,,67.71,,,1.457,,,0.316,0.594,,,0.298,0.868,1.868,2.868,3.868,4.868,5.868,6.868,9.868,,,,,,,,,,,,,,,,,,,,,,,0.001,0.594,2022-05-28 16:00:00+00:00,2022,May,2022-05-28,148,737813,Spring,28,May
1887191,4,KPC_Uv3,2022-05-28 17:00:00+00:00,918.0,-0.483,72.05,72.382,2.885,,,496.193,496.193,383.652,383.652,0.773,220.621,305.337,0.025,-1.677,,,2.285,0.406,15.266,,,0.0,,,,,,,,,0.0,0.0,0.0,79.835,-25.163,874.0,1635.1,,,0.76,,,13.64,,,67.16,,,2.09,,,0.315,0.594,,,0.297,0.868,1.868,2.868,3.868,4.868,5.868,6.868,9.868,,,,,,,,,,,,,,,,,,,,,,,0.0,0.594,2022-05-28 17:00:00+00:00,2022,May,2022-05-28,148,737813,Spring,28,May
1887192,5,KPC_Uv3,2022-05-28 18:00:00+00:00,918.0,-0.733,73.52,74.038,2.89,,,440.093,440.093,336.211,336.211,0.764,221.838,304.334,0.051,-1.913,,,2.285,0.405,15.137,,,0.0,,,,,,,,,0.0,0.0,0.0,79.835,-25.163,874.0,1735.09,,,0.87,,,13.61,,,67.2,,,2.066,,,0.315,0.595,,,0.298,0.868,1.868,2.868,3.868,4.868,5.868,6.868,9.868,,,,,,,,,,,,,,,,,,,,,,,0.001,0.595,2022-05-28 18:00:00+00:00,2022,May,2022-05-28,148,737813,Spring,28,May
1887193,6,KPC_Uv3,2022-05-28 19:00:00+00:00,918.0,-1.233,74.33,75.218,2.817,,,404.507,404.507,305.195,305.195,0.754,229.001,307.969,0.151,-1.138,,,2.279,0.406,14.972,,,0.0,,,,,,,,,0.0,0.0,0.0,79.835,-25.163,868.0,1835.09,,,0.78,,,13.53,,,67.54,,,1.931,,,0.321,0.594,,,0.3,0.871,1.871,2.871,3.871,4.871,5.871,6.871,9.871,,,,,,,,,,,,,,,,,,,,,,,0.007,0.594,2022-05-28 19:00:00+00:00,2022,May,2022-05-28,148,737813,Spring,28,May
1887194,7,KPC_Uv3,2022-05-28 20:00:00+00:00,918.0,-1.583,73.07,74.194,2.699,,,330.925,330.925,250.344,250.344,0.756,231.806,302.872,0.197,-2.316,,,2.277,0.409,14.834,,,0.0,,,,,,,,,0.0,0.0,0.0,79.835,-25.163,866.0,1935.09,,,1.13,,,13.49,,,67.0,,,0.581,,,0.323,0.591,,,0.3,0.87,1.87,2.87,3.87,4.87,5.87,6.87,9.87,,,,,,,,,,,,,,,,,,,,,,,0.008,0.591,2022-05-28 20:00:00+00:00,2022,May,2022-05-28,148,737813,Spring,28,May
1887195,8,KPC_Uv3,2022-05-28 21:00:00+00:00,918.0,-2.067,72.52,73.982,2.584,,,286.169,283.957,215.432,215.432,,230.492,299.269,0.207,-3.135,,,2.276,0.411,14.714,,,0.0,,,,,,,,,0.0,0.0,0.0,79.835,-25.163,871.0,2035.08,,,0.84,,,13.49,,,68.96,,,-0.258,,,0.324,0.589,,,0.299,0.87,1.87,2.87,3.87,4.87,5.87,6.87,9.869,,,,,,,,,,,,,,,,,,,,,,,0.009,0.589,2022-05-28 21:00:00+00:00,2022,May,2022-05-28,148,737813,Spring,28,May
1887196,9,KPC_Uv3,2022-05-28 22:00:00+00:00,918.0,-2.65,72.05,73.92,2.459,,,217.871,217.479,165.47,165.47,,240.047,298.371,0.335,-3.408,,,2.274,0.408,14.548,,,0.0,,,,,,,,,0.0,0.0,0.0,79.835,-25.163,868.0,2135.09,,,0.84,,,13.49,,,68.71,,,-0.88,,,0.326,0.592,,,0.302,0.872,1.872,2.872,3.872,4.872,5.872,6.872,9.872,,,,,,,,,,,,,,,,,,,,,,,0.012,0.592,2022-05-28 22:00:00+00:00,2022,May,2022-05-28,148,737813,Spring,28,May
