,index,stid,time,air_pressure,air_temperature,relative_humidity,relative_humidity_corrected,specific_humidity,wind_speed,wind_from_direction,surface_downwelling_shortwave_flux,surface_downwelling_shortwave_flux_corrected,surface_upwelling_shortwave_flux,surface_upwelling_shortwave_flux_corrected,surface_albedo,surface_downwelling_longwave_flux,surface_upwelling_longwave_flux,cloud_area_fraction,surface_temperature,surface_downward_latent_heat_flux,surface_downward_sensible_heat_flux,distance_to_surface_from_boom,distance_to_surface_from_stake_assembly,depth_of_pressure_transducer_in_ice,depth_of_pressure_transducer_in_ice_corrected,precipitation,precipitation_corrected,ice_temperature_at_t1,ice_temperature_at_t2,ice_temperature_at_t3,ice_temperature_at_t4,ice_temperature_at_t5,ice_temperature_at_t6,ice_temperature_at_t7,ice_temperature_at_t8,platform_view_angle_x,platform_view_angle_y,platform_azimuth_angle,gps_latitude,gps_longitude,gps_altitude,gps_time,gps_geoid_separation,gps_geounit,gps_hdop,gps_numsat,gps_q,battery_voltage,,battery_voltage_at_sample_start,fan_current,frequency_of_precipitation_wire_vibration,temperature_of_logger,temperature_of_radiation_sensor,message_latitude,message_longitude,surface_height_1,surface_height_2,z_surf_1_adj_flag,z_surf_2_adj_flag,surface_height_combined,depth_of_ice_temperature_t1,depth_of_ice_temperature_t2,depth_of_ice_temperature_t3,depth_of_ice_temperature_t4,depth_of_ice_temperature_t5,depth_of_ice_temperature_t6,depth_of_ice_temperature_t7,depth_of_ice_temperature_t8,ice_temperature_at_10m,air_pressure,air_temperature,relative_humidity,relative_humidity_corrected,specific_humidity,wind_speed,wind_from_direction,surface_downward_latent_heat_flux,surface_downward_sensible_heat_flux,distance_to_surface_from_boom,precipitation,precipitation_corrected,ice_temperature_at_t9,ice_temperature_at_t10,ice_temperature_at_t11,fan_current,depth_of_ice_temperature_t9,depth_of_ice_temperature_t10,depth_of_ice_temperature_t11,z_pt_cor_adj_flag,adjusted_ice_surface_height,adjusted_surface_height_1,adjusted_surface_height_2,Datetime,year,month,date,DayOfYear,DayOfCentury,season,day,hour
5783338,0,WEG_B,2022-06-29 09:00:00+00:00,998.0,13.58,40.72,40.72,,17.17,227.4,10.464,,45.584,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-29 09:00:00+00:00,2022,June,2022-06-29,180,737845,Summer,29,Jun
5783339,1,WEG_B,2022-06-29 10:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,71.141,-51.222,32.4,759.58,1.95,,,,,13.16,,,,,,13.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-29 10:00:00+00:00,2022,June,2022-06-29,180,737845,Summer,29,Jun
5783340,2,WEG_B,2022-06-29 11:00:00+00:00,1000.0,13.25,43.87,43.87,,8.31,209.8,36.546,,159.569,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,208.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-29 11:00:00+00:00,2022,June,2022-06-29,180,737845,Summer,29,Jun
5783341,3,WEG_B,2022-06-29 12:00:00+00:00,1000.0,13.5,43.55,43.55,4.213,5.635,161.1,81.443,492.146,366.114,366.114,,342.776,391.758,0.546,0.0,11.835,140.07,2.878,,,,0.0,0.0,,,,,,,,,0.0,0.0,213.1,71.141,-51.222,21.7,959.58,1.31,,,,,13.2,,,,,,13.53,,,-0.278,,,,-0.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.337,,2022-06-29 12:00:00+00:00,2022,June,2022-06-29,180,737845,Summer,29,Jun
5783342,4,WEG_B,2022-06-29 13:00:00+00:00,1000.0,13.57,44.87,44.87,4.361,3.595,214.6,51.057,301.146,224.026,224.026,,352.505,397.644,0.652,0.0,5.684,49.57,2.489,,,,0.0,0.0,,,,,,,,,0.0,0.0,213.6,71.141,-51.222,7.7,1059.58,1.3,,,,,13.23,,,,,,14.67,,,0.111,,,,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052,,2022-06-29 13:00:00+00:00,2022,June,2022-06-29,180,737845,Summer,29,Jun
5783343,5,WEG_B,2022-06-29 14:00:00+00:00,1002.0,12.95,48.68,48.68,4.533,3.887,61.3,55.103,333.889,248.384,248.384,,355.98,404.971,0.73,0.0,10.004,62.828,2.487,,,,0.0,0.0,,,,,,,,,0.0,0.0,213.9,71.141,-51.222,13.8,1159.58,1.04,,,,,13.21,,,,,,14.56,,,0.113,,,,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054,,2022-06-29 14:00:00+00:00,2022,June,2022-06-29,180,737845,Summer,29,Jun
5783344,6,WEG_B,2022-06-29 15:00:00+00:00,1003.0,13.3,48.1,48.1,4.579,3.345,180.8,54.545,325.202,241.922,241.922,,352.146,399.039,0.665,0.0,6.58,39.759,2.491,,,,0.0,0.0,,,,,,,,,0.0,0.0,214.3,71.141,-51.222,13.2,1459.57,1.41,,,,,13.24,,,,,,14.15,,,0.109,,,,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049,,2022-06-29 15:00:00+00:00,2022,June,2022-06-29,180,737845,Summer,29,Jun
5783345,7,WEG_B,2022-06-29 16:00:00+00:00,1004.0,13.23,48.3,48.3,4.572,4.066,241.9,48.677,290.9,216.404,216.404,,355.332,398.583,0.706,0.0,11.894,71.749,2.485,,,,0.0,0.0,,,,,,,,,0.0,0.0,212.9,71.141,-51.222,13.1,1559.57,1.22,,,,,13.25,,,,,,14.27,,,0.115,,,,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,,2022-06-29 16:00:00+00:00,2022,June,2022-06-29,180,737845,Summer,29,Jun
5783346,8,WEG_B,2022-06-29 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,71.141,-51.222,15.5,1659.57,1.08,,,,,13.24,,,,,,14.11,,,,,,,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,,2022-06-29 17:00:00+00:00,2022,June,2022-06-29,180,737845,Summer,29,Jun
5783347,9,WEG_B,2022-06-29 18:00:00+00:00,1006.0,12.1,52.4,52.4,,1.406,29.06,30.387,,136.206,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,213.5,,,,,,,,,,,,,,,,,,,,,,,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,,2022-06-29 18:00:00+00:00,2022,June,2022-06-29,180,737845,Summer,29,Jun
5783348,10,WEG_B,2022-06-29 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,71.141,-51.222,14.3,1859.58,1.47,,,,,13.23,,,,,,13.23,,,,,,,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,,2022-06-29 19:00:00+00:00,2022,June,2022-06-29,180,737845,Summer,29,Jun
5783349,11,WEG_B,2022-06-29 20:00:00+00:00,1007.0,12.6,50.47,50.47,,0.422,110.3,58.325,,253.438,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,213.2,,,,,,,,,,,,,,,,,,,,,,,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,,2022-06-29 20:00:00+00:00,2022,June,2022-06-29,180,737845,Summer,29,Jun
5783350,12,WEG_B,2022-06-29 21:00:00+00:00,1007.0,12.02,51.27,51.27,4.468,0.756,73.43,38.11,231.65,172.328,172.328,,342.698,402.677,0.639,0.0,0.0,0.0,2.485,,,,0.0,0.0,,,,,,,,,0.0,0.0,213.6,71.141,-51.222,12.9,2059.57,0.88,,,,,13.25,,,,,,15.29,,,0.115,,,,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056,,2022-06-29 21:00:00+00:00,2022,June,2022-06-29,180,737845,Summer,29,Jun
