,index,stid,time,air_pressure,air_temperature,relative_humidity,relative_humidity_corrected,specific_humidity,wind_speed,wind_from_direction,surface_downwelling_shortwave_flux,surface_downwelling_shortwave_flux_corrected,surface_upwelling_shortwave_flux,surface_upwelling_shortwave_flux_corrected,surface_albedo,surface_downwelling_longwave_flux,surface_upwelling_longwave_flux,cloud_area_fraction,surface_temperature,surface_downward_latent_heat_flux,surface_downward_sensible_heat_flux,distance_to_surface_from_boom,distance_to_surface_from_stake_assembly,depth_of_pressure_transducer_in_ice,depth_of_pressure_transducer_in_ice_corrected,precipitation,precipitation_corrected,ice_temperature_at_t1,ice_temperature_at_t2,ice_temperature_at_t3,ice_temperature_at_t4,ice_temperature_at_t5,ice_temperature_at_t6,ice_temperature_at_t7,ice_temperature_at_t8,platform_view_angle_x,platform_view_angle_y,platform_azimuth_angle,gps_latitude,gps_longitude,gps_altitude,gps_time,gps_geoid_separation,gps_geounit,gps_hdop,gps_numsat,gps_q,battery_voltage,,battery_voltage_at_sample_start,fan_current,frequency_of_precipitation_wire_vibration,temperature_of_logger,temperature_of_radiation_sensor,message_latitude,message_longitude,surface_height_1,surface_height_2,z_surf_1_adj_flag,z_surf_2_adj_flag,surface_height_combined,depth_of_ice_temperature_t1,depth_of_ice_temperature_t2,depth_of_ice_temperature_t3,depth_of_ice_temperature_t4,depth_of_ice_temperature_t5,depth_of_ice_temperature_t6,depth_of_ice_temperature_t7,depth_of_ice_temperature_t8,ice_temperature_at_10m,air_pressure,air_temperature,relative_humidity,relative_humidity_corrected,specific_humidity,wind_speed,wind_from_direction,surface_downward_latent_heat_flux,surface_downward_sensible_heat_flux,distance_to_surface_from_boom,precipitation,precipitation_corrected,ice_temperature_at_t9,ice_temperature_at_t10,ice_temperature_at_t11,fan_current,depth_of_ice_temperature_t9,depth_of_ice_temperature_t10,depth_of_ice_temperature_t11,z_pt_cor_adj_flag,adjusted_ice_surface_height,adjusted_surface_height_1,adjusted_surface_height_2,Datetime,year,month,date,DayOfYear,DayOfCentury,season,day,hour
1267305,0,JAR_O,2022-08-03 14:00:00+00:00,904.0,2.267,76.33,76.33,,7.757,106.1,1.239,,237.165,,,,,,,,,,,,,,,,,,,,,,,2.136,-0.014,217.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-03 14:00:00+00:00,2022,August,2022-08-03,215,737880,Summer,03,Aug
1267306,1,JAR_O,2022-08-03 15:00:00+00:00,904.0,2.283,75.5,75.5,3.75,7.955,103.6,1.252,,235.857,235.857,,244.244,317.69,0.131,0.0,-27.297,48.43,2.962,1.404,14.335,15.407,0.0,0.0,,,,,,,,,2.038,-0.019,214.2,69.495,-49.67,929.0,1500.01,,,0.76,,,13.24,,,70.1,,,3.689,,,-0.362,-0.404,,,0.215,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,0.215,-0.309,0.079,2022-08-03 15:00:00+00:00,2022,August,2022-08-03,215,737880,Summer,03,Aug
1267307,2,JAR_O,2022-08-03 16:00:00+00:00,903.0,2.267,74.93,74.93,3.722,8.6,106.4,1.253,,211.975,211.975,,243.83,318.331,0.128,0.0,-32.433,53.253,2.645,1.404,14.382,15.464,0.0,0.0,,,,,,,,,2.033,-0.012,215.5,69.495,-49.67,929.0,1600.01,,,1.01,,,13.4,,,72.03,,,3.657,,,-0.045,-0.404,,,0.272,1.057,2.057,3.057,4.057,5.057,6.057,7.057,10.057,,,,,,,,,,,,,,,,,,,,,,0.272,0.009,0.079,2022-08-03 16:00:00+00:00,2022,August,2022-08-03,215,737880,Summer,03,Aug
1267308,3,JAR_O,2022-08-03 17:00:00+00:00,902.0,2.233,75.23,75.23,3.732,8.3,101.9,1.254,,204.061,204.061,,242.849,317.412,0.119,0.0,-31.004,50.691,2.646,1.407,14.401,15.492,0.0,0.0,,,,,,,,,1.874,0.014,214.8,69.495,-49.67,925.0,1700.01,,,1.01,,,13.41,,,74.96,,,3.471,,,-0.046,-0.407,,,0.3,1.085,2.085,3.085,4.085,5.085,6.085,7.085,10.085,,,,,,,,,,,,,,,,,,,,,,0.3,0.008,0.076,2022-08-03 17:00:00+00:00,2022,August,2022-08-03,215,737880,Summer,03,Aug
1267309,4,JAR_O,2022-08-03 18:00:00+00:00,900.0,2.683,74.98,74.98,3.849,8.07,102.8,1.256,,184.102,184.102,,241.686,316.727,0.083,0.0,-23.288,58.598,2.645,1.405,14.429,15.539,0.0,0.0,,,,,,,,,1.619,0.05,211.4,69.495,-49.67,923.0,1800.01,,,0.98,,,13.44,,,73.76,,,3.464,,,-0.045,-0.405,,,0.347,1.132,2.132,3.132,4.132,5.132,6.132,7.132,10.132,,,,,,,,,,,,,,,,,,,,,,0.347,0.009,0.078,2022-08-03 18:00:00+00:00,2022,August,2022-08-03,215,737880,Summer,03,Aug
1267310,5,JAR_O,2022-08-03 19:00:00+00:00,899.0,3.117,72.07,72.07,3.82,10.91,116.3,1.257,,135.65,135.65,,253.599,318.422,0.186,0.0,-33.561,90.029,2.645,1.411,14.42,15.539,0.0,0.0,,,,,,,,,1.748,0.067,212.0,69.495,-49.67,929.0,1900.02,,,0.77,,,13.38,,,73.71,,,3.683,,,-0.045,-0.411,,,0.347,1.132,2.132,3.132,4.132,5.132,6.132,7.132,10.132,,,,,,,,,,,,,,,,,,,,,,0.347,0.009,0.072,2022-08-03 19:00:00+00:00,2022,August,2022-08-03,215,737880,Summer,03,Aug
1267311,6,JAR_O,2022-08-03 20:00:00+00:00,898.0,3.533,70.63,70.63,3.86,10.63,111.2,1.254,,126.428,126.428,,241.268,316.531,0.032,0.0,-29.815,98.991,2.64,1.411,14.41,15.539,0.0,0.0,,,,,,,,,1.731,0.052,210.1,69.495,-49.67,925.0,2000.01,,,1.07,,,13.35,,,71.74,,,3.594,,,-0.04,-0.411,,,0.347,1.131,2.131,3.131,4.131,5.131,6.131,7.131,10.131,,,,,,,,,,,,,,,,,,,,,,0.347,0.014,0.072,2022-08-03 20:00:00+00:00,2022,August,2022-08-03,215,737880,Summer,03,Aug
1267312,7,JAR_O,2022-08-03 21:00:00+00:00,897.0,3.75,69.8,69.8,3.878,11.54,108.9,1.256,,73.159,73.159,,248.191,318.554,0.094,0.0,-30.996,113.13,2.639,1.424,14.306,15.444,0.0,0.0,,,,,,,,,1.714,0.048,208.5,69.495,-49.67,926.0,2100.01,,,1.18,,,13.29,,,71.78,,,3.949,,,-0.039,-0.424,,,0.252,1.037,2.037,3.037,4.037,5.037,6.037,7.037,10.037,,,,,,,,,,,,,,,,,,,,,,0.252,0.015,0.059,2022-08-03 21:00:00+00:00,2022,August,2022-08-03,215,737880,Summer,03,Aug
1267313,8,JAR_O,2022-08-03 22:00:00+00:00,896.0,3.967,67.88,67.88,3.834,12.23,111.2,1.25,,34.508,34.508,,272.936,318.549,0.346,0.0,-36.672,124.943,2.731,1.425,14.288,15.435,0.0,0.0,,,,,,,,,1.686,0.038,217.4,69.495,-49.67,925.0,2200.01,,,0.96,,,13.28,,,71.87,,,3.899,,,-0.131,-0.425,,,0.243,1.027,2.027,3.027,4.027,5.027,6.027,7.027,10.027,,,,,,,,,,,,,,,,,,,,,,0.243,-0.077,0.058,2022-08-03 22:00:00+00:00,2022,August,2022-08-03,215,737880,Summer,03,Aug
1267314,9,JAR_O,2022-08-03 23:00:00+00:00,895.0,3.833,68.65,68.65,3.846,12.0,118.6,1.252,,15.499,15.499,,266.334,319.731,0.283,0.0,-34.685,116.103,2.996,1.425,14.25,15.406,0.0,0.0,,,,,,,,,1.76,0.038,215.5,69.495,-49.67,926.0,2300.01,,,0.74,,,13.25,,,70.61,,,3.937,,,-0.396,-0.425,,,0.214,0.999,1.999,2.999,3.999,4.999,5.999,6.999,9.999,,,,,,,,,,,,,,,,,,,,,,0.214,-0.342,0.058,2022-08-03 23:00:00+00:00,2022,August,2022-08-03,215,737880,Summer,03,Aug
