stid,date,Air pressure (upper boom),Air temperature (upper boom),Relative humidity (upper boom),Relative humidity (upper boom) - corrected,Specific humidity (upper boom),Wind speed (upper boom),Wind from direction (upper boom),Downwelling shortwave radiation,Downwelling shortwave radiation - corrected,Upwelling shortwave radiation,Upwelling shortwave radiation - corrected,Albedo,Downwelling longwave radiation,Upwelling longwave radiation,Cloud cover,Surface temperature,Latent heat flux (upper boom),Sensible heat flux (upper boom),Upper boom height,Stake height,Depth of pressure transducer in ice,Depth of pressure transducer in ice - corrected,Precipitation (upper boom) (cumulative solid & liquid),Precipitation (upper boom) (cumulative solid & liquid) – corrected,Ice temperature at sensor 1,Ice temperature at sensor 2,Ice temperature at sensor 3,Ice temperature at sensor 4,Ice temperature at sensor 5,Ice temperature at sensor 6,Ice temperature at sensor 7,Ice temperature at sensor 8,Tilt to east,Tilt to north,Station rotation from true North,Latitude,Longitude,Altitude,GPS time,Height of EGM96 geoid over WGS84 ellipsoid,GeoUnit,GPS horizontal dillution of precision (HDOP),GPS number of satellites,Quality,Battery voltage,Unnamed: 48,Battery voltage (sample start),Fan current (upper boom),Frequency of vibrating wire in precipitation gauge,Logger temperature,Radiation sensor temperature,latitude from modem (email text),longitude from modem (email text),Surface height 1,Surface height 1.1,z_surf_1_adj_flag,z_surf_2_adj_flag,Surface height from combined measurements,Depth of ice temperature measurement 1,Depth of ice temperature measurement 2,Depth of ice temperature measurement 3,Depth of ice temperature measurement 4,Depth of ice temperature measurement 5,Depth of ice temperature measurement 6,Depth of ice temperature measurement 7,Depth of ice temperature measurement 8,Ice temperature interpolated at 10 m depth,Air pressure (lower boom),Air temperature (lower boom),Relative humidity (lower boom),Relative humidity (lower boom) - corrected,Specific humidity (lower boom),Wind speed (lower boom),Wind from direction (lower boom),Latent heat flux (lower boom),Sensible heat flux (lower boom),Lower boom height,Precipitation (lower boom) (cumulative solid & liquid),Precipitation (lower boom) (cumulative solid & liquid) – corrected,Ice temperature at sensor 9,Ice temperature at sensor 10,Ice temperature at sensor 11,Fan current (lower boom),Depth of ice temperature measurement 9,Depth of ice temperature measurement 10,Depth of ice temperature measurement 11,z_pt_cor_adj_flag,Ice surface height adjusted for maintenance,Surface height adjusted for maintenance 1,Surface height adjusted for maintenance,year,day,Datetime,month,DayOfYear,DayOfCentury,season
LYN_T,2021-09-01,911.4583333333334,-0.401125,75.90666666666667,76.09670833333332,2.9223043478260866,4.1237916666666665,87.74291666666666,214.56741666666667,211.60165217391304,206.50812499999998,191.20369565217393,0.9296666666666668,228.2382608695652,295.87673913043477,0.3157391304347826,-3.9160869565217395,,,,,,,,,,,,,,,,,5.722791666666667,2.2376666666666667,,,,,,,,,,,,,,,,,0.33808695652173915,,,,,,,-1.422047619047619,1.0089523809523808,2.008952380952381,3.0089523809523806,4.0089523809523815,5.0089523809523815,6.0089523809523815,7.008952380952381,10.00895238095238,,,,,,,,,,,,,,,,,,,,,,,,-1.422047619047619,2021,01,2021-09-01,September,244,737544,Autumn
LYN_T,2021-09-02,903.625,0.7923333333333334,60.94708333333333,61.090666666666664,2.6796666666666664,1.3372916666666665,245.531125,210.47041666666667,216.86420833333332,197.23308333333333,196.58579166666667,0.9152000000000001,186.583,274.0747083333333,0.0,-8.881583333333333,,,,,,,,,,,,,,,,,5.862791666666666,2.266,,,,,,,,,,,,,,,,,2.925875,,,,,,,-1.4107916666666667,1.0202083333333334,2.020208333333333,3.020208333333333,4.020208333333334,5.020208333333334,6.020208333333334,7.020208333333334,10.020208333333334,,,,,,,,,,,,,,,,,,,,,,,,-1.418375,2021,02,2021-09-02,September,245,737545,Autumn
LYN_T,2021-09-03,903.9583333333334,-1.6755833333333332,93.99166666666667,94.74366666666667,3.4736666666666665,1.3856521739130436,220.8313043478261,177.6726666666667,158.80125,136.71633333333332,134.45358333333334,0.8437999999999999,246.85691666666665,292.0324166666667,0.43920833333333337,-5.104583333333333,,,,,,,,,,,,,,,,,5.721583333333334,2.3312916666666665,,,,,,,,,,,,,,,,,-1.0639583333333333,,,,,,,-1.4201249999999999,1.010875,2.010875,3.010875,4.0108749999999995,5.0108749999999995,6.0108749999999995,7.0108749999999995,10.010875,,,,,,,,,,,,,,,,,,,,,,,-1.4109166666666668,-1.4292083333333334,2021,03,2021-09-03,September,246,737546,Autumn
LYN_T,2021-09-04,903.7083333333334,-1.489375,100.15833333333335,100.0,3.733,1.2182608695652173,214.62304347826085,155.707875,143.451625,123.05316666666666,120.73129166666666,0.8443999999999999,297.8935833333333,305.2729166666667,0.878875,-2.442041666666667,,,,,,,,,,,,,,,,,5.652375,2.379,,,,,,,,,,,,,,,,,-0.14895833333333336,,,,,,,-1.4269166666666668,1.0040833333333332,2.0040833333333334,3.0040833333333334,4.004083333333333,5.004083333333333,6.004083333333334,7.004083333333334,10.004083333333334,,,,,,,,,,,,,,,,,,,,,,,-1.4189999999999998,-1.4349999999999998,2021,04,2021-09-04,September,247,737547,Autumn
LYN_T,2021-09-05,899.5833333333334,-2.1386249999999998,100.00416666666666,100.0,3.549541666666667,1.5232608695652174,176.39739130434782,176.26262499999999,178.8255,152.13345833333332,151.99441666666667,0.82925,267.63,297.11925,0.61325,-3.9995833333333333,,,,,,,,,,,,,,,,,5.910291666666667,2.3221666666666665,,,,,,,,,,,,,,,,,-0.9882083333333335,,,,,,,-1.4219583333333334,1.0090416666666666,2.0090416666666666,3.0090416666666666,4.009041666666667,5.009041666666667,6.0090416666666675,7.0090416666666675,10.009041666666667,,,,,,,,,,,,,,,,,,,,,,,-1.4185416666666668,-1.4254583333333333,2021,05,2021-09-05,September,248,737548,Autumn
LYN_T,2021-09-06,894.4583333333334,-2.8325833333333335,99.99583333333334,100.0,3.3630833333333334,3.6287083333333334,202.61249999999998,69.41504166666667,71.13658333333333,57.018125,57.07295833333333,0.798,285.691125,300.756875,0.8210000000000001,-3.1820833333333334,,,,,,,,,,,,,,,,,5.8849583333333335,2.3975,,,,,,,,,,,,,,,,,-2.5632083333333333,,,,,,,-1.421125,1.0098749999999999,2.009875,3.0098749999999996,4.009875,5.009875,6.009875,7.009875,10.009875,,,,,,,,,,,,,,,,,,,,,,,-1.418,-1.4241666666666666,2021,06,2021-09-06,September,249,737549,Autumn
LYN_T,2021-09-07,896.75,-5.191,95.04166666666667,97.93483333333334,2.7079166666666663,2.514875,213.04691666666668,113.70266666666667,126.89295833333334,122.43395833333334,122.813,0.977,252.88741666666667,288.62104166666666,0.6068749999999999,-5.817666666666667,,,,,,,,,,,,,,,,,5.73,2.4807916666666667,,,,,,,,,,,,,,,,,-3.9720833333333334,,,,,,,-1.4020833333333333,1.0289166666666667,2.028916666666667,3.028916666666667,4.0289166666666665,5.0289166666666665,6.0289166666666665,7.0289166666666665,10.028916666666666,,,,,,,,,,,,,,,,,,,,,,,-1.4179583333333332,-1.3864166666666666,2021,07,2021-09-07,September,250,737550,Autumn
LYN_T,2021-09-08,900.0833333333334,-6.249958333333333,95.86666666666667,99.683875,2.4945833333333334,3.8636666666666666,240.89679166666667,92.19995833333333,110.46974999999999,100.01966666666665,99.68299999999999,0.9279999999999999,257.15191666666664,282.190375,0.68175,-7.4055,,,,,,,,,,,,,,,,,5.613083333333333,2.3084583333333333,,,,,,,,,,,,,,,,,-5.516875,,,,,,,-1.3927916666666667,1.0382083333333332,2.0382083333333334,3.0382083333333334,4.038208333333333,5.038208333333333,6.038208333333333,7.038208333333333,10.038208333333333,,,,,,,,,,,,,,,,,,,,,,,-1.417,-1.36825,2021,08,2021-09-08,September,251,737551,Autumn
LYN_T,2021-09-09,901.8333333333334,-6.321166666666667,96.425,99.88795833333334,2.4741666666666666,8.561,293.26,142.80979166666665,127.791625,78.07929166666666,67.314375,0.5182,274.465,287.54716666666667,0.8640833333333333,-6.201125,,,,,,,,,,,,,,,,,4.524208333333333,2.3889583333333335,,,,,,,,,,,,,,,,,-5.7919583333333335,,,,,,,-1.3859166666666667,1.0450833333333334,2.0450833333333334,3.045083333333333,4.045083333333333,5.045083333333333,6.045083333333333,7.045083333333333,10.045083333333332,,,,,,,,,,,,,,,,,,,,,,,-1.417,-1.354875,2021,09,2021-09-09,September,252,737552,Autumn
LYN_T,2021-09-10,906.875,-7.612833333333334,88.86666666666667,95.40154166666667,2.099416666666667,1.8297916666666667,94.91541666666666,96.751125,92.51125,80.67970833333334,80.34104166666667,0.87275,186.85737500000002,262.08679166666667,0.11983333333333333,-11.89175,,,,,,,,,,,,,,,,,5.846416666666666,2.24925,,,,,,,,,,,,,,,,,-6.748875000000001,,,,,,,-1.3823333333333334,1.0486666666666666,2.0486666666666666,3.048666666666667,4.048666666666667,5.048666666666667,6.048666666666667,7.048666666666667,10.048666666666668,,,,,,,,,,,,,,,,,,,,,,,,-1.3596666666666666,2021,10,2021-09-10,September,253,737553,Autumn
