,index,stid,time,air_pressure,air_temperature,relative_humidity,relative_humidity_corrected,specific_humidity,wind_speed,wind_from_direction,surface_downwelling_shortwave_flux,surface_downwelling_shortwave_flux_corrected,surface_upwelling_shortwave_flux,surface_upwelling_shortwave_flux_corrected,surface_albedo,surface_downwelling_longwave_flux,surface_upwelling_longwave_flux,cloud_area_fraction,surface_temperature,surface_downward_latent_heat_flux,surface_downward_sensible_heat_flux,distance_to_surface_from_boom,distance_to_surface_from_stake_assembly,depth_of_pressure_transducer_in_ice,depth_of_pressure_transducer_in_ice_corrected,precipitation,precipitation_corrected,ice_temperature_at_t1,ice_temperature_at_t2,ice_temperature_at_t3,ice_temperature_at_t4,ice_temperature_at_t5,ice_temperature_at_t6,ice_temperature_at_t7,ice_temperature_at_t8,platform_view_angle_x,platform_view_angle_y,platform_azimuth_angle,gps_latitude,gps_longitude,gps_altitude,gps_time,gps_geoid_separation,gps_geounit,gps_hdop,gps_numsat,gps_q,battery_voltage,,battery_voltage_at_sample_start,fan_current,frequency_of_precipitation_wire_vibration,temperature_of_logger,temperature_of_radiation_sensor,message_latitude,message_longitude,surface_height_1,surface_height_2,z_surf_1_adj_flag,z_surf_2_adj_flag,surface_height_combined,depth_of_ice_temperature_t1,depth_of_ice_temperature_t2,depth_of_ice_temperature_t3,depth_of_ice_temperature_t4,depth_of_ice_temperature_t5,depth_of_ice_temperature_t6,depth_of_ice_temperature_t7,depth_of_ice_temperature_t8,ice_temperature_at_10m,air_pressure,air_temperature,relative_humidity,relative_humidity_corrected,specific_humidity,wind_speed,wind_from_direction,surface_downward_latent_heat_flux,surface_downward_sensible_heat_flux,distance_to_surface_from_boom,precipitation,precipitation_corrected,ice_temperature_at_t9,ice_temperature_at_t10,ice_temperature_at_t11,fan_current,depth_of_ice_temperature_t9,depth_of_ice_temperature_t10,depth_of_ice_temperature_t11,z_pt_cor_adj_flag,adjusted_ice_surface_height,adjusted_surface_height_1,adjusted_surface_height_2,Datetime,year,month,date,DayOfYear,DayOfCentury,season,day,hour
1753857,0,KPC_Lv3,2022-05-28 17:00:00+00:00,975.0,1.667,61.15,61.15,,4.803,178.5,468.569,,324.524,,,,,,,,,,,10.582,10.94,,,,,,,,,,,1.855,0.483,212.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.741,,,2022-05-28 17:00:00+00:00,2022,May,2022-05-28,148,737813,Spring,28,May
1753858,1,KPC_Lv3,2022-05-28 18:00:00+00:00,975.0,1.35,62.0,62.0,2.67,6.018,172.8,404.26,427.03,308.95,308.95,0.724,231.331,313.388,0.044,0.0,-63.516,25.077,2.509,0.618,15.258,15.615,0.0,0.0,,,,,,,,,1.862,0.481,212.1,79.914,-24.094,364.9,1800.26,,,0.93,,,13.45,,,70.53,,,3.176,,,0.091,0.382,,,-0.117,0.45,1.45,2.45,3.45,4.45,5.45,6.45,9.45,,,,,,,,,,,,,,,,,,,,,,-0.065,-0.242,0.009,2022-05-28 18:00:00+00:00,2022,May,2022-05-28,148,737813,Spring,28,May
1753859,2,KPC_Lv3,2022-05-28 19:00:00+00:00,975.0,0.917,66.17,66.17,2.762,5.38,168.0,352.733,374.326,273.432,273.432,0.731,231.661,310.717,0.07,-0.537,-46.083,24.786,2.257,0.61,15.373,15.731,0.0,0.0,,,,,,,,,1.859,0.476,211.9,79.914,-24.094,376.2,1900.26,,,0.72,,,13.45,,,68.68,,,2.634,,,0.343,0.39,,,0.013,0.58,1.58,2.58,3.58,4.58,5.58,6.58,9.58,,,,,,,,,,,,,,,,,,,,,,0.05,0.01,0.017,2022-05-28 19:00:00+00:00,2022,May,2022-05-28,148,737813,Spring,28,May
1753860,3,KPC_Lv3,2022-05-28 20:00:00+00:00,975.0,0.467,67.92,67.92,2.744,5.131,173.2,293.087,306.09,225.511,225.511,,235.842,309.074,0.137,-0.935,-39.36,22.848,2.268,0.605,15.393,15.75,0.0,0.0,,,,,,,,,1.912,0.583,211.8,79.914,-24.094,378.2,2000.26,,,0.78,,,13.41,,,69.63,,,2.104,,,0.332,0.395,,,0.01,0.577,1.577,2.577,3.577,4.577,5.577,6.577,9.577,,,,,,,,,,,,,,,,,,,,,,0.069,-0.001,0.022,2022-05-28 20:00:00+00:00,2022,May,2022-05-28,148,737813,Spring,28,May
1753861,4,KPC_Lv3,2022-05-28 21:00:00+00:00,974.0,-0.183,71.25,71.371,2.748,5.067,177.2,236.656,243.845,181.184,181.184,,239.318,307.301,0.207,-1.359,-33.545,19.156,2.265,0.605,15.402,15.769,0.0,0.0,,,,,,,,,1.969,0.691,212.0,79.914,-24.094,379.8,2100.26,,,0.81,,,13.34,,,70.39,,,1.453,,,0.335,0.395,,,0.012,0.578,1.579,2.579,3.579,4.579,5.579,6.579,9.579,,,,,,,,,,,,,,,,,,,,,,0.088,0.002,0.022,2022-05-28 21:00:00+00:00,2022,May,2022-05-28,148,737813,Spring,28,May
1753862,5,KPC_Lv3,2022-05-28 22:00:00+00:00,974.0,-0.55,72.52,72.902,2.723,4.701,173.0,173.473,176.53,132.276,132.276,,238.004,302.917,0.211,-2.348,-20.074,26.354,2.266,0.608,15.412,15.779,0.0,0.0,,,,,,,,,1.957,0.683,211.8,79.914,-24.094,370.8,2200.26,,,0.73,,,13.31,,,68.32,,,0.485,,,0.334,0.392,,,0.01,0.577,1.577,2.577,3.577,4.577,5.577,6.577,9.577,,,,,,,,,,,,,,,,,,,,,,0.098,0.001,0.019,2022-05-28 22:00:00+00:00,2022,May,2022-05-28,148,737813,Spring,28,May
1753863,6,KPC_Lv3,2022-05-28 23:00:00+00:00,974.0,-1.05,73.52,74.266,2.661,3.963,179.7,170.177,164.337,124.172,124.172,,228.772,299.088,0.139,-3.164,-11.291,25.174,2.268,0.61,15.402,15.769,0.0,0.0,,,,,,,,,1.955,0.681,211.7,79.914,-24.094,377.9,2300.26,,,0.69,,,13.31,,,69.67,,,-0.17,,,0.332,0.39,,,0.008,0.575,1.575,2.575,3.575,4.575,5.575,6.575,9.575,,,,,,,,,,,,,,,,,,,,,,0.088,-0.001,0.017,2022-05-28 23:00:00+00:00,2022,May,2022-05-28,148,737813,Spring,28,May
1753864,7,KPC_Lv3,2022-05-29 00:00:00+00:00,974.0,-1.633,75.22,76.414,2.608,3.345,177.9,108.039,108.315,82.523,82.523,,230.056,296.408,0.181,-3.795,-6.346,20.742,2.267,0.611,15.412,15.779,0.0,0.0,,,,,,,,,1.964,0.674,211.8,79.914,-24.094,379.0,0.26,,,0.99,,,13.29,,,69.7,,,-0.762,,,0.333,0.389,,,0.008,0.575,1.575,2.575,3.575,4.574,5.574,6.574,9.575,,,,,,,,,,,,,,,,,,,,,,0.098,-0.0,0.016,2022-05-29 00:00:00+00:00,2022,May,2022-05-29,149,737814,Spring,29,May
1753865,8,KPC_Lv3,2022-05-29 01:00:00+00:00,973.0,-1.617,73.68,74.838,2.561,2.93,180.0,108.199,168.529,129.457,129.457,,228.113,291.077,0.16,-5.029,-0.06,22.828,2.277,0.612,15.393,15.769,0.0,0.0,,,,,,,,,1.948,0.679,212.2,79.914,-24.094,383.0,100.26,,,0.79,,,13.3,,,65.78,,,-1.752,,,0.323,0.388,,,0.002,0.569,1.569,2.569,3.569,4.569,5.569,6.569,9.569,,,,,,,,,,,,,,,,,,,,,,0.088,-0.01,0.015,2022-05-29 01:00:00+00:00,2022,May,2022-05-29,149,737814,Spring,29,May
1753866,9,KPC_Lv3,2022-05-29 02:00:00+00:00,973.0,-1.167,70.25,71.043,2.524,3.712,213.9,170.739,167.89,130.021,130.021,,243.226,291.967,0.297,-4.926,-1.694,36.231,2.276,0.613,15.393,15.769,0.0,0.0,,,,,,,,,1.943,0.672,211.8,79.914,-24.094,379.6,200.26,,,0.82,,,13.32,,,68.75,,,-1.57,,,0.324,0.387,,,0.002,0.569,1.569,2.569,3.569,4.569,5.569,6.569,9.569,,,,,,,,,,,,,,,,,,,,,,0.088,-0.009,0.014,2022-05-29 02:00:00+00:00,2022,May,2022-05-29,149,737814,Spring,29,May
