index,stid,Time,Air pressure (upper boom),Air temperature (upper boom),Relative humidity (upper boom),Relative humidity (upper boom) - corrected,Specific humidity (upper boom),Wind speed (upper boom),Wind from direction (upper boom),Downwelling shortwave radiation,Downwelling shortwave radiation - corrected,Upwelling shortwave radiation,Upwelling shortwave radiation - corrected,Albedo,Downwelling longwave radiation,Upwelling longwave radiation,Cloud cover,Surface temperature,Latent heat flux (upper boom),Sensible heat flux (upper boom),Upper boom height,Stake height,Depth of pressure transducer in ice,Depth of pressure transducer in ice - corrected,Precipitation (upper boom) (cumulative solid & liquid),Precipitation (upper boom) (cumulative solid & liquid) – corrected,Ice temperature at sensor 1,Ice temperature at sensor 2,Ice temperature at sensor 3,Ice temperature at sensor 4,Ice temperature at sensor 5,Ice temperature at sensor 6,Ice temperature at sensor 7,Ice temperature at sensor 8,Tilt to east,Tilt to north,Station rotation from true North,Latitude,Longitude,Altitude,GPS time,Height of EGM96 geoid over WGS84 ellipsoid,GeoUnit,GPS horizontal dillution of precision (HDOP),GPS number of satellites,Quality,Battery voltage,,Battery voltage (sample start),Fan current (upper boom),Frequency of vibrating wire in precipitation gauge,Logger temperature,Radiation sensor temperature,latitude from modem (email text),longitude from modem (email text),Surface height 1,Surface height 1,z_surf_1_adj_flag,z_surf_2_adj_flag,Surface height from combined measurements,Depth of ice temperature measurement 1,Depth of ice temperature measurement 2,Depth of ice temperature measurement 3,Depth of ice temperature measurement 4,Depth of ice temperature measurement 5,Depth of ice temperature measurement 6,Depth of ice temperature measurement 7,Depth of ice temperature measurement 8,Ice temperature interpolated at 10 m depth,Air pressure (lower boom),Air temperature (lower boom),Relative humidity (lower boom),Relative humidity (lower boom) - corrected,Specific humidity (lower boom),Wind speed (lower boom),Wind from direction (lower boom),Latent heat flux (lower boom),Sensible heat flux (lower boom),Lower boom height,Precipitation (lower boom) (cumulative solid & liquid),Precipitation (lower boom) (cumulative solid & liquid) – corrected,Ice temperature at sensor 9,Ice temperature at sensor 10,Ice temperature at sensor 11,Fan current (lower boom),Depth of ice temperature measurement 9,Depth of ice temperature measurement 10,Depth of ice temperature measurement 11,z_pt_cor_adj_flag,Ice surface height adjusted for maintenance,Surface height adjusted for maintenance 1,Surface height adjusted for maintenance,Datetime,year,month,date,DayOfYear,DayOfCentury,season,day,hour
0,LYN_L,2021-09-01 00:00:00+00:00,959.0,0.504,92.2,92.2,,1.045,65.12,-0.388,,1.607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-09-01 00:00:00+00:00,2021,September,2021-09-01,244,737544,Autumn,01,Sep
1,LYN_L,2021-09-01 01:00:00+00:00,959.0,0.567,90.5,90.5,3.744,1.178,100.5,-0.222,,0.831,,,294.886,309.205,0.754,-1.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-09-01 01:00:00+00:00,2021,September,2021-09-01,244,737544,Autumn,01,Sep
2,LYN_L,2021-09-01 02:00:00+00:00,959.0,0.717,89.4,89.4,3.739,2.23,102.2,-0.111,0.0,0.277,0.0,,305.256,312.24,0.856,-0.691,,,,,,,,,,,,,,,,,-2.996,7.155,,,,,,,,,,,,,,,,,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-09-01 02:00:00+00:00,2021,September,2021-09-01,244,737544,Autumn,01,Sep
3,LYN_L,2021-09-01 03:00:00+00:00,960.0,0.724,90.5,90.5,3.783,2.31,99.5,-0.277,0.0,0.111,0.0,,306.922,314.177,0.873,-0.268,,,,,,,,,,,,,,,,,-2.995,7.146,,,,,,,,,,,,,,,,,0.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-09-01 03:00:00+00:00,2021,September,2021-09-01,244,737544,Autumn,01,Sep
4,LYN_L,2021-09-01 04:00:00+00:00,960.0,0.5,92.7,92.7,3.813,1.615,106.9,-0.443,0.0,0.166,0.0,,305.946,315.256,0.874,-0.02,,,,,,,,,,,,,,,,,-2.995,7.136,,,,,,,,,,,,,,,,,0.509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-09-01 04:00:00+00:00,2021,September,2021-09-01,244,737544,Autumn,01,Sep
5,LYN_L,2021-09-01 05:00:00+00:00,960.0,0.542,91.2,91.2,3.762,1.409,113.5,-0.554,0.0,0.499,0.0,,293.813,313.063,0.744,-0.429,,,,,10.263,10.636,,,,,,,,,,,-2.994,7.126,,,,,,,,,,,,,,,,,0.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019,,,2021-09-01 05:00:00+00:00,2021,September,2021-09-01,244,737544,Autumn,01,Sep
6,LYN_L,2021-09-01 06:00:00+00:00,960.0,0.406,93.5,93.5,3.819,1.605,100.7,-0.222,0.0,0.166,0.0,,309.255,314.318,0.913,-0.252,-0.783,2.893,2.343,2.338,,,,,-0.041,-0.318,-0.796,-1.362,-1.641,,,,-2.994,7.117,,69.319,-53.544,538.8,55937.0,,,0.89,,,12.98,,,128.9,,,0.123,,,0.257,-1.338,,,0.114,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,0.018,0.116,0.112,2021-09-01 06:00:00+00:00,2021,September,2021-09-01,244,737544,Autumn,01,Sep
7,LYN_L,2021-09-01 07:00:00+00:00,960.0,0.126,97.5,97.5,3.903,1.522,128.9,1.552,4.867,1.995,1.995,,291.947,312.745,0.745,-0.488,,,,,,,,,,,,,,,,,-2.993,7.107,,,,,,,,,,,,,,,,,0.119,,,,,,,0.115,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,0.016,0.115,0.114,2021-09-01 07:00:00+00:00,2021,September,2021-09-01,244,737544,Autumn,01,Sep
8,LYN_L,2021-09-01 08:00:00+00:00,960.0,-0.185,88.1,88.251,3.447,0.99,246.4,29.32,51.495,36.91,18.386,,230.952,301.622,0.119,-2.596,,,,,,,,,,,,,,,,,-2.993,7.097,,,,,,,,,,,,,,,,,-0.235,,,,,,,0.115,1.0,2.0,3.0,4.001,5.001,6.001,7.001,10.0,,,,,,,,,,,,,,,,,,,,,,0.014,0.114,0.115,2021-09-01 08:00:00+00:00,2021,September,2021-09-01,244,737544,Autumn,01,Sep
9,LYN_L,2021-09-01 09:00:00+00:00,960.0,1.395,73.14,73.14,3.209,1.355,227.8,79.25,98.122,100.9,34.778,,190.838,286.708,0.0,-5.799,,,,,,,,,,,,,,,,,-2.995,7.081,,,,,,,,,,,,,,,,,-0.913,,,,,,,0.115,1.001,2.001,3.001,4.001,5.001,6.001,7.001,10.001,,,,,,,,,,,,,,,,,,,,,,0.013,0.114,0.116,2021-09-01 09:00:00+00:00,2021,September,2021-09-01,244,737544,Autumn,01,Sep
