index,stid,Time,Air pressure (upper boom),Air temperature (upper boom),Relative humidity (upper boom),Relative humidity (upper boom) - corrected,Specific humidity (upper boom),Wind speed (upper boom),Wind from direction (upper boom),Downwelling shortwave radiation,Downwelling shortwave radiation - corrected,Upwelling shortwave radiation,Upwelling shortwave radiation - corrected,Albedo,Downwelling longwave radiation,Upwelling longwave radiation,Cloud cover,Surface temperature,Latent heat flux (upper boom),Sensible heat flux (upper boom),Upper boom height,Stake height,Depth of pressure transducer in ice,Depth of pressure transducer in ice - corrected,Precipitation (upper boom) (cumulative solid & liquid),Precipitation (upper boom) (cumulative solid & liquid) – corrected,Ice temperature at sensor 1,Ice temperature at sensor 2,Ice temperature at sensor 3,Ice temperature at sensor 4,Ice temperature at sensor 5,Ice temperature at sensor 6,Ice temperature at sensor 7,Ice temperature at sensor 8,Tilt to east,Tilt to north,Station rotation from true North,Latitude,Longitude,Altitude,GPS time,Height of EGM96 geoid over WGS84 ellipsoid,GeoUnit,GPS horizontal dillution of precision (HDOP),GPS number of satellites,Quality,Battery voltage,,Battery voltage (sample start),Fan current (upper boom),Frequency of vibrating wire in precipitation gauge,Logger temperature,Radiation sensor temperature,latitude from modem (email text),longitude from modem (email text),Surface height 1,Surface height 1,z_surf_1_adj_flag,z_surf_2_adj_flag,Surface height from combined measurements,Depth of ice temperature measurement 1,Depth of ice temperature measurement 2,Depth of ice temperature measurement 3,Depth of ice temperature measurement 4,Depth of ice temperature measurement 5,Depth of ice temperature measurement 6,Depth of ice temperature measurement 7,Depth of ice temperature measurement 8,Ice temperature interpolated at 10 m depth,Air pressure (lower boom),Air temperature (lower boom),Relative humidity (lower boom),Relative humidity (lower boom) - corrected,Specific humidity (lower boom),Wind speed (lower boom),Wind from direction (lower boom),Latent heat flux (lower boom),Sensible heat flux (lower boom),Lower boom height,Precipitation (lower boom) (cumulative solid & liquid),Precipitation (lower boom) (cumulative solid & liquid) – corrected,Ice temperature at sensor 9,Ice temperature at sensor 10,Ice temperature at sensor 11,Fan current (lower boom),Depth of ice temperature measurement 9,Depth of ice temperature measurement 10,Depth of ice temperature measurement 11,z_pt_cor_adj_flag,Ice surface height adjusted for maintenance,Surface height adjusted for maintenance 1,Surface height adjusted for maintenance,Datetime,year,month,date,DayOfYear,DayOfCentury,season,day,hour
0,LYN_T,2021-09-01 00:00:00+00:00,912.0,-2.389,92.5,94.66,,1.87,85.9,-2.722,,-0.444,,,,,,,,,,,,,,,,,,,,,,,5.963,2.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-09-01 00:00:00+00:00,2021,September,2021-09-01,244,737544,Autumn,01,Sep
1,LYN_T,2021-09-01 01:00:00+00:00,912.0,-2.618,100.1,100.0,3.357,2.897,84.6,0.056,0.0,-0.111,0.0,,288.245,299.225,0.838,-3.546,,,,,,,,,,,,,,,,,5.925,2.229,,,,,,,,,,,,,,,,,-2.853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-09-01 01:00:00+00:00,2021,September,2021-09-01,244,737544,Autumn,01,Sep
2,LYN_T,2021-09-01 02:00:00+00:00,912.0,-2.575,100.1,100.0,3.369,3.561,110.0,0.278,0.0,0.222,0.0,,299.749,301.773,0.957,-3.036,,,,,,,,,,,,,,,,,5.897,2.268,,,,,,,,,,,,,,,,,-2.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-09-01 02:00:00+00:00,2021,September,2021-09-01,244,737544,Autumn,01,Sep
3,LYN_T,2021-09-01 03:00:00+00:00,912.0,-2.494,100.1,100.0,3.392,4.662,106.1,0.167,0.0,0.222,0.0,,298.99,303.206,0.945,-2.701,,,,2.431,,,,,-0.23,-0.191,-0.134,-0.153,,-0.163,,,5.864,2.293,,69.304,-53.59,935.0,25942.0,,,1.25,,,13.33,,,134.7,,,-2.57,,,,-1.431,,,-1.431,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,-1.431,2021-09-01 03:00:00+00:00,2021,September,2021-09-01,244,737544,Autumn,01,Sep
4,LYN_T,2021-09-01 04:00:00+00:00,912.0,-2.529,100.1,100.0,3.382,4.522,116.2,-0.278,0.0,0.056,0.0,,294.655,303.321,0.901,-2.645,,,,,,,,,,,,,,,,,5.828,2.31,,,,,,,,,,,,,,,,,-2.481,,,,,,,-1.429,1.002,2.002,3.002,4.002,5.002,6.002,7.002,10.002,,,,,,,,,,,,,,,,,,,,,,,,-1.429,2021-09-01 04:00:00+00:00,2021,September,2021-09-01,244,737544,Autumn,01,Sep
5,LYN_T,2021-09-01 05:00:00+00:00,912.0,-2.706,100.1,100.0,3.332,5.113,123.3,-1.222,0.0,0.278,0.0,,284.64,301.289,0.805,-3.043,,,,,,,,,,,,,,,,,5.79,2.323,,,,,,,,,,,,,,,,,-2.531,,,,,,,-1.426,1.005,2.005,3.005,4.005,5.005,6.005,7.005,10.005,,,,,,,,,,,,,,,,,,,,,,,,-1.426,2021-09-01 05:00:00+00:00,2021,September,2021-09-01,244,737544,Autumn,01,Sep
6,LYN_T,2021-09-01 06:00:00+00:00,913.0,-2.519,100.1,100.0,3.381,5.546,128.2,0.167,0.0,0.222,0.0,,299.908,302.752,0.956,-2.812,,,,2.424,,,,,-0.25,-0.192,-0.144,-0.163,,-0.173,,,5.732,2.339,,69.304,-53.59,937.0,55941.0,,,0.87,,,13.14,,,134.9,,,-2.697,,,,-1.424,,,-1.424,1.007,2.007,3.007,4.007,5.007,6.007,7.007,10.007,,,,,,,,,,,,,,,,,,,,,,,,-1.424,2021-09-01 06:00:00+00:00,2021,September,2021-09-01,244,737544,Autumn,01,Sep
7,LYN_T,2021-09-01 07:00:00+00:00,913.0,-2.505,100.1,100.0,3.385,4.805,118.4,2.222,2.267,2.222,2.222,,298.945,303.311,0.945,-2.676,,,,,,,,,,,,,,,,,5.683,2.323,,,,,,,,,,,,,,,,,-2.524,,,,,,,-1.427,1.004,2.004,3.004,4.004,5.004,6.004,7.004,10.004,,,,,,,,,,,,,,,,,,,,,,,,-1.427,2021-09-01 07:00:00+00:00,2021,September,2021-09-01,244,737544,Autumn,01,Sep
8,LYN_T,2021-09-01 08:00:00+00:00,913.0,-3.109,100.1,100.0,3.217,4.341,95.9,57.93,67.773,46.99,61.764,,263.642,293.092,0.604,-4.806,,,,,,,,,,,,,,,,,5.644,2.276,,,,,,,,,,,,,,,,,-2.446,,,,,,,-1.431,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,-1.431,2021-09-01 08:00:00+00:00,2021,September,2021-09-01,244,737544,Autumn,01,Sep
9,LYN_T,2021-09-01 09:00:00+00:00,913.0,-2.946,99.8,100.0,3.262,3.955,82.7,158.0,133.279,125.2,121.306,,236.423,286.903,0.311,-6.079,,,,2.434,,,,,-0.258,-0.191,-0.152,-0.172,,-0.181,,,5.608,2.221,,69.304,-53.59,939.0,85942.0,,,0.71,,,13.21,,,135.7,,,-3.086,,,,-1.434,,,-1.434,0.997,1.997,2.997,3.997,4.997,5.997,6.997,9.997,,,,,,,,,,,,,,,,,,,,,,,,-1.434,2021-09-01 09:00:00+00:00,2021,September,2021-09-01,244,737544,Autumn,01,Sep
