,index,stid,time,air_pressure,air_temperature,relative_humidity,relative_humidity_corrected,specific_humidity,wind_speed,wind_from_direction,surface_downwelling_shortwave_flux,surface_downwelling_shortwave_flux_corrected,surface_upwelling_shortwave_flux,surface_upwelling_shortwave_flux_corrected,surface_albedo,surface_downwelling_longwave_flux,surface_upwelling_longwave_flux,cloud_area_fraction,surface_temperature,surface_downward_latent_heat_flux,surface_downward_sensible_heat_flux,distance_to_surface_from_boom,distance_to_surface_from_stake_assembly,depth_of_pressure_transducer_in_ice,depth_of_pressure_transducer_in_ice_corrected,precipitation,precipitation_corrected,ice_temperature_at_t1,ice_temperature_at_t2,ice_temperature_at_t3,ice_temperature_at_t4,ice_temperature_at_t5,ice_temperature_at_t6,ice_temperature_at_t7,ice_temperature_at_t8,platform_view_angle_x,platform_view_angle_y,platform_azimuth_angle,gps_latitude,gps_longitude,gps_altitude,gps_time,gps_geoid_separation,gps_geounit,gps_hdop,gps_numsat,gps_q,battery_voltage,,battery_voltage_at_sample_start,fan_current,frequency_of_precipitation_wire_vibration,temperature_of_logger,temperature_of_radiation_sensor,message_latitude,message_longitude,surface_height_1,surface_height_2,z_surf_1_adj_flag,z_surf_2_adj_flag,surface_height_combined,depth_of_ice_temperature_t1,depth_of_ice_temperature_t2,depth_of_ice_temperature_t3,depth_of_ice_temperature_t4,depth_of_ice_temperature_t5,depth_of_ice_temperature_t6,depth_of_ice_temperature_t7,depth_of_ice_temperature_t8,ice_temperature_at_10m,air_pressure,air_temperature,relative_humidity,relative_humidity_corrected,specific_humidity,wind_speed,wind_from_direction,surface_downward_latent_heat_flux,surface_downward_sensible_heat_flux,distance_to_surface_from_boom,precipitation,precipitation_corrected,ice_temperature_at_t9,ice_temperature_at_t10,ice_temperature_at_t11,fan_current,depth_of_ice_temperature_t9,depth_of_ice_temperature_t10,depth_of_ice_temperature_t11,z_pt_cor_adj_flag,adjusted_ice_surface_height,adjusted_surface_height_1,adjusted_surface_height_2,Datetime,year,month,date,DayOfYear,DayOfCentury,season,day,hour
3406904,0,QAS_Lv3,2022-08-29 18:00:00+00:00,968.0,3.3,84.6,84.6,,4.632,324.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-29 18:00:00+00:00,2022,August,2022-08-29,241,737906,Summer,29,Aug
3406905,1,QAS_Lv3,2022-08-29 19:00:00+00:00,968.0,3.233,86.9,86.9,,5.943,313.2,,,,,,,,,,,,2.529,1.339,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,13.2,,,66.93,,,,,0.0,0.071,-0.339,,,-0.152,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,0.036,-0.339,2022-08-29 19:00:00+00:00,2022,August,2022-08-29,241,737906,Summer,29,Aug
3406906,2,QAS_Lv3,2022-08-29 20:00:00+00:00,968.0,3.033,88.4,88.4,,5.308,311.1,,,,,,,,,,,,2.62,1.338,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,13.15,,,68.46,,,,,0.0,-0.02,-0.338,,,-0.197,0.955,1.955,2.955,3.955,4.955,5.955,6.955,9.955,,,,,,,,,,,,,,,,,,,,,,,-0.056,-0.338,2022-08-29 20:00:00+00:00,2022,August,2022-08-29,241,737906,Summer,29,Aug
3406907,3,QAS_Lv3,2022-08-29 21:00:00+00:00,969.0,3.017,90.3,90.3,,4.245,306.0,,,,,,,,,,,,2.528,1.345,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,13.06,,,65.48,,,,,0.0,0.072,-0.345,,,-0.154,0.997,1.998,2.997,3.997,4.997,5.997,6.997,9.998,,,,,,,,,,,,,,,,,,,,,,,0.037,-0.345,2022-08-29 21:00:00+00:00,2022,August,2022-08-29,241,737906,Summer,29,Aug
3406908,4,QAS_Lv3,2022-08-29 22:00:00+00:00,969.0,2.567,91.6,91.6,,3.076,355.9,,,,,,,,,,,,2.529,1.343,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,13.05,,,65.87,,,,,0.0,0.071,-0.343,,,-0.154,0.998,1.998,2.998,3.998,4.998,5.998,6.998,9.998,,,,,,,,,,,,,,,,,,,,,,,0.036,-0.343,2022-08-29 22:00:00+00:00,2022,August,2022-08-29,241,737906,Summer,29,Aug
3406909,5,QAS_Lv3,2022-08-29 23:00:00+00:00,969.0,2.333,92.8,92.8,,2.782,351.6,,,,,,,,,,,,2.543,1.344,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,13.04,,,66.93,,,,,0.0,0.057,-0.344,,,-0.161,0.99,1.99,2.99,3.99,4.99,5.99,6.99,9.99,,,,,,,,,,,,,,,,,,,,,,,0.022,-0.344,2022-08-29 23:00:00+00:00,2022,August,2022-08-29,241,737906,Summer,29,Aug
3406910,6,QAS_Lv3,2022-08-30 00:00:00+00:00,969.0,2.617,90.5,90.5,,2.555,40.58,,,,,,,,,,,,2.545,1.347,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,13.03,,,62.91,,,,,0.0,0.055,-0.347,,,-0.164,0.988,1.988,2.988,3.988,4.988,5.988,6.988,9.988,,,,,,,,,,,,,,,,,,,,,,,0.019,-0.347,2022-08-30 00:00:00+00:00,2022,August,2022-08-30,242,737907,Summer,30,Aug
3406911,7,QAS_Lv3,2022-08-30 01:00:00+00:00,970.0,3.017,89.2,89.2,,1.112,69.6,,,,,,,,,,,,2.546,1.348,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,13.02,,,63.98,,,,,0.0,0.054,-0.348,,,-0.165,0.987,1.987,2.987,3.987,4.987,5.987,6.987,9.987,,,,,,,,,,,,,,,,,,,,,,,0.019,-0.348,2022-08-30 01:00:00+00:00,2022,August,2022-08-30,242,737907,Summer,30,Aug
3406912,8,QAS_Lv3,2022-08-30 02:00:00+00:00,970.0,2.433,91.4,91.4,,1.597,13.22,,,,,,,,,,,,2.544,1.352,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,13.02,,,64.26,,,,,0.0,0.056,-0.352,,,-0.166,0.986,1.986,2.986,3.986,4.986,5.986,6.986,9.986,,,,,,,,,,,,,,,,,,,,,,,0.02,-0.352,2022-08-30 02:00:00+00:00,2022,August,2022-08-30,242,737907,Summer,30,Aug
3406913,9,QAS_Lv3,2022-08-30 03:00:00+00:00,970.0,2.417,91.8,91.8,,1.305,358.6,,,,,,,,,,,,2.934,1.353,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,13.01,,,62.7,,,,,0.0,-0.334,-0.353,,,-0.361,0.79,1.79,2.79,3.79,4.79,5.79,6.79,9.79,,,,,,,,,,,,,,,,,,,,,,,-0.369,-0.353,2022-08-30 03:00:00+00:00,2022,August,2022-08-30,242,737907,Summer,30,Aug
