index,stid,Time,Air pressure (upper boom),Air temperature (upper boom),Relative humidity (upper boom),Relative humidity (upper boom) - corrected,Specific humidity (upper boom),Wind speed (upper boom),Wind from direction (upper boom),Downwelling shortwave radiation,Downwelling shortwave radiation - corrected,Upwelling shortwave radiation,Upwelling shortwave radiation - corrected,Albedo,Downwelling longwave radiation,Upwelling longwave radiation,Cloud cover,Surface temperature,Latent heat flux (upper boom),Sensible heat flux (upper boom),Upper boom height,Stake height,Depth of pressure transducer in ice,Depth of pressure transducer in ice - corrected,Precipitation (upper boom) (cumulative solid & liquid),Precipitation (upper boom) (cumulative solid & liquid) – corrected,Ice temperature at sensor 1,Ice temperature at sensor 2,Ice temperature at sensor 3,Ice temperature at sensor 4,Ice temperature at sensor 5,Ice temperature at sensor 6,Ice temperature at sensor 7,Ice temperature at sensor 8,Tilt to east,Tilt to north,Station rotation from true North,Latitude,Longitude,Altitude,GPS time,Height of EGM96 geoid over WGS84 ellipsoid,GeoUnit,GPS horizontal dillution of precision (HDOP),GPS number of satellites,Quality,Battery voltage,,Battery voltage (sample start),Fan current (upper boom),Frequency of vibrating wire in precipitation gauge,Logger temperature,Radiation sensor temperature,latitude from modem (email text),longitude from modem (email text),Surface height 1,Surface height 1,z_surf_1_adj_flag,z_surf_2_adj_flag,Surface height from combined measurements,Depth of ice temperature measurement 1,Depth of ice temperature measurement 2,Depth of ice temperature measurement 3,Depth of ice temperature measurement 4,Depth of ice temperature measurement 5,Depth of ice temperature measurement 6,Depth of ice temperature measurement 7,Depth of ice temperature measurement 8,Ice temperature interpolated at 10 m depth,Air pressure (lower boom),Air temperature (lower boom),Relative humidity (lower boom),Relative humidity (lower boom) - corrected,Specific humidity (lower boom),Wind speed (lower boom),Wind from direction (lower boom),Latent heat flux (lower boom),Sensible heat flux (lower boom),Lower boom height,Precipitation (lower boom) (cumulative solid & liquid),Precipitation (lower boom) (cumulative solid & liquid) – corrected,Ice temperature at sensor 9,Ice temperature at sensor 10,Ice temperature at sensor 11,Fan current (lower boom),Depth of ice temperature measurement 9,Depth of ice temperature measurement 10,Depth of ice temperature measurement 11,z_pt_cor_adj_flag,Ice surface height adjusted for maintenance,Surface height adjusted for maintenance 1,Surface height adjusted for maintenance,Datetime,year,month,date,DayOfYear,DayOfCentury,season,day,hour
0,Roof_GEUS,2022-05-16 12:00:00+00:00,,,,,,,,546.102,,42.983,,,,,,,,,,,,,,,,,,,,,,,2.3,-2.407,195.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018.0,17.92,43.75,43.75,,0.513,60.21,,,,,,,,,,,,,,,,,2022-05-16 12:00:00+00:00,2022,May,2022-05-16,136,737801,Spring,16,May
1,Roof_GEUS,2022-05-16 13:00:00+00:00,,,,,,,,466.042,,38.0,,,360.37,478.49,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,-2.406,195.1,55.689,-12.582,35.6,125954.0,,,0.88,,,11.9,,,4.82,,,22.07,,,,,,,,,,,,,,,,,1018.0,18.4,45.13,45.13,5.879,0.882,109.8,,,,0.0,0.0,0.0,,0.0,62.8,,,,,,,,2022-05-16 13:00:00+00:00,2022,May,2022-05-16,136,737801,Spring,16,May
2,Roof_GEUS,2022-05-16 14:00:00+00:00,,,,,,,,222.564,,20.059,,,372.977,457.717,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,-2.414,195.1,55.689,-12.582,42.1,135954.0,,,0.72,,,11.86,,,4.84,,,21.66,,,,,,,,,,,,,,,,,1018.0,18.2,39.67,39.67,5.103,1.215,92.1,,,,0.0,0.0,0.0,,0.0,63.07,,,,,,,,2022-05-16 14:00:00+00:00,2022,May,2022-05-16,136,737801,Spring,16,May
3,Roof_GEUS,2022-05-16 15:00:00+00:00,,,,,,,,109.445,,11.067,,,374.751,435.908,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,-2.417,195.0,55.689,-12.582,43.5,145954.0,,,0.87,,,11.87,,,4.73,,,19.98,,,,,,,,,,,,,,,,,1017.0,17.53,38.68,38.68,4.773,1.298,131.0,,,,0.0,0.0,0.0,,0.0,63.16,,,,,,,,2022-05-16 15:00:00+00:00,2022,May,2022-05-16,136,737801,Spring,16,May
4,Roof_GEUS,2022-05-16 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,-2.437,,55.689,-12.582,19.2,155954.0,,,0.96,,,11.87,,,4.78,,,18.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,63.17,,,,,,,,2022-05-16 16:00:00+00:00,2022,May,2022-05-16,136,737801,Spring,16,May
5,Roof_GEUS,2022-05-16 17:00:00+00:00,,,,,,,,49.265,,6.283,,,,,,,,,,,,,,,,,,,,,,,2.293,-2.453,195.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017.0,15.5,56.0,56.0,,0.469,115.9,,,,,,,,,,,,,,,,,2022-05-16 17:00:00+00:00,2022,May,2022-05-16,136,737801,Spring,16,May
6,Roof_GEUS,2022-05-16 18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,-2.467,,55.689,-12.582,33.8,175954.0,,,0.78,,,11.9,,,4.86,,,15.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,63.65,,,,,,,,2022-05-16 18:00:00+00:00,2022,May,2022-05-16,136,737801,Spring,16,May
7,Roof_GEUS,2022-05-16 19:00:00+00:00,,,,,,,,-1.903,,3.671,,,,,,,,,,,,,,,,,,,,,,,2.283,-2.473,195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017.0,15.08,56.13,56.13,,0.058,294.5,,,,,,,,,,,,,,,,,2022-05-16 19:00:00+00:00,2022,May,2022-05-16,136,737801,Spring,16,May
8,Roof_GEUS,2022-05-16 20:00:00+00:00,,,,,,,,-3.272,,3.967,,,315.251,381.827,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.283,-2.475,194.9,55.689,-12.582,31.4,195954.0,,,0.91,,,11.9,,,4.72,,,14.03,,,,,,,,,,,,,,,,,1017.0,14.7,58.35,58.35,6.002,0.254,318.0,,,,0.0,0.0,0.0,,0.0,63.67,,,,,,,,2022-05-16 20:00:00+00:00,2022,May,2022-05-16,136,737801,Spring,16,May
9,Roof_GEUS,2022-05-16 21:00:00+00:00,,,,,,,,-2.24,,3.984,,,316.51,378.99,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28,-2.48,195.0,55.689,-12.582,44.6,205954.0,,,0.85,,,11.89,,,4.79,,,13.33,,,,,,,,,,,,,,,,,1017.0,14.18,59.98,59.98,5.965,0.385,339.7,,,,0.0,0.0,0.0,,0.0,63.31,,,,,,,,2022-05-16 21:00:00+00:00,2022,May,2022-05-16,136,737801,Spring,16,May
