index,stid,Time,Air pressure (upper boom),Air temperature (upper boom),Relative humidity (upper boom),Relative humidity (upper boom) - corrected,Specific humidity (upper boom),Wind speed (upper boom),Wind from direction (upper boom),Downwelling shortwave radiation,Downwelling shortwave radiation - corrected,Upwelling shortwave radiation,Upwelling shortwave radiation - corrected,Albedo,Downwelling longwave radiation,Upwelling longwave radiation,Cloud cover,Surface temperature,Latent heat flux (upper boom),Sensible heat flux (upper boom),Upper boom height,Stake height,Depth of pressure transducer in ice,Depth of pressure transducer in ice - corrected,Precipitation (upper boom) (cumulative solid & liquid),Precipitation (upper boom) (cumulative solid & liquid) – corrected,Ice temperature at sensor 1,Ice temperature at sensor 2,Ice temperature at sensor 3,Ice temperature at sensor 4,Ice temperature at sensor 5,Ice temperature at sensor 6,Ice temperature at sensor 7,Ice temperature at sensor 8,Tilt to east,Tilt to north,Station rotation from true North,Latitude,Longitude,Altitude,GPS time,Height of EGM96 geoid over WGS84 ellipsoid,GeoUnit,GPS horizontal dillution of precision (HDOP),GPS number of satellites,Quality,Battery voltage,,Battery voltage (sample start),Fan current (upper boom),Frequency of vibrating wire in precipitation gauge,Logger temperature,Radiation sensor temperature,latitude from modem (email text),longitude from modem (email text),Surface height 1,Surface height 1,z_surf_1_adj_flag,z_surf_2_adj_flag,Surface height from combined measurements,Depth of ice temperature measurement 1,Depth of ice temperature measurement 2,Depth of ice temperature measurement 3,Depth of ice temperature measurement 4,Depth of ice temperature measurement 5,Depth of ice temperature measurement 6,Depth of ice temperature measurement 7,Depth of ice temperature measurement 8,Ice temperature interpolated at 10 m depth,Air pressure (lower boom),Air temperature (lower boom),Relative humidity (lower boom),Relative humidity (lower boom) - corrected,Specific humidity (lower boom),Wind speed (lower boom),Wind from direction (lower boom),Latent heat flux (lower boom),Sensible heat flux (lower boom),Lower boom height,Precipitation (lower boom) (cumulative solid & liquid),Precipitation (lower boom) (cumulative solid & liquid) – corrected,Ice temperature at sensor 9,Ice temperature at sensor 10,Ice temperature at sensor 11,Fan current (lower boom),Depth of ice temperature measurement 9,Depth of ice temperature measurement 10,Depth of ice temperature measurement 11,z_pt_cor_adj_flag,Ice surface height adjusted for maintenance,Surface height adjusted for maintenance 1,Surface height adjusted for maintenance,Datetime,year,month,date,DayOfYear,DayOfCentury,season,day,hour
0,SWC_O,2022-08-02 17:00:00+00:00,881.0,1.35,86.9,86.9,,1.736,104.6,614.556,,286.109,,,,,,,,,,,,,,,,,,,,,,,-1.024,-0.326,103.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-02 17:00:00+00:00,2022,August,2022-08-02,214,737879,Summer,02,Aug
1,SWC_O,2022-08-02 18:00:00+00:00,881.0,1.417,87.1,87.1,4.172,3.428,117.5,564.686,554.479,261.26,261.26,0.471,238.827,320.505,0.119,0.0,-3.817,12.947,2.634,1.793,,,0.0,0.0,,,,,,,,,-1.022,-0.324,207.3,69.595,-49.279,1169.0,1800.02,,,0.75,,,13.22,,,70.01,,,4.468,,,-0.034,-0.793,,,0.053,0.26,1.26,2.26,3.26,4.26,5.26,6.26,9.26,,,,,,,,,,,,,,,,,,,,,,,-0.001,0.108,2022-08-02 18:00:00+00:00,2022,August,2022-08-02,214,737879,Summer,02,Aug
2,SWC_O,2022-08-02 19:00:00+00:00,881.0,1.567,86.5,86.5,4.188,3.014,117.2,476.658,465.254,228.99,228.99,0.492,236.285,318.566,0.085,0.0,-2.841,11.921,2.624,,14.572,15.807,0.0,0.0,,,,,,,,,-1.017,-0.309,207.3,69.595,-49.279,1168.0,1900.01,,,0.83,,,13.18,,,69.74,,,4.098,,,-0.024,,,,0.048,0.255,1.255,2.255,3.255,4.255,5.255,6.255,9.255,,,,,,,,,,,,,,,,,,,,,,-0.099,0.008,0.089,2022-08-02 19:00:00+00:00,2022,August,2022-08-02,214,737879,Summer,02,Aug
3,SWC_O,2022-08-02 20:00:00+00:00,881.0,1.45,86.4,86.4,4.148,2.87,121.6,375.022,363.266,191.113,191.113,0.526,238.271,318.745,0.112,0.0,-3.504,10.507,2.623,1.831,14.582,15.817,0.0,0.0,,,,,,,,,-1.107,-0.295,206.9,69.595,-49.279,1170.0,2000.01,,,0.86,,,13.12,,,70.32,,,4.09,,,-0.023,-0.831,,,0.04,0.246,1.246,2.246,3.246,4.246,5.246,6.246,9.246,,,,,,,,,,,,,,,,,,,,,,-0.09,0.01,0.07,2022-08-02 20:00:00+00:00,2022,August,2022-08-02,214,737879,Summer,02,Aug
4,SWC_O,2022-08-02 21:00:00+00:00,881.0,0.833,88.0,88.0,4.041,3.124,109.2,221.878,221.718,117.17,117.17,,242.948,320.532,0.193,0.0,-6.838,7.388,2.621,1.827,14.611,15.846,0.0,0.0,,,,,,,,,-1.205,-0.29,207.1,69.595,-49.279,1166.0,2100.01,,,0.73,,,13.09,,,70.62,,,3.566,,,-0.021,-0.827,,,0.043,0.249,1.249,2.249,3.249,4.249,5.249,6.249,9.249,,,,,,,,,,,,,,,,,,,,,,-0.061,0.012,0.074,2022-08-02 21:00:00+00:00,2022,August,2022-08-02,214,737879,Summer,02,Aug
5,SWC_O,2022-08-02 22:00:00+00:00,881.0,0.617,86.4,86.4,3.906,3.778,108.0,121.275,125.498,66.618,66.618,,241.527,316.422,0.189,0.0,-12.64,6.907,2.621,1.831,14.659,15.894,0.0,0.0,,,,,,,,,-1.2,-0.274,207.4,69.595,-49.279,1161.0,2200.01,,,1.5,,,13.08,,,72.55,,,2.056,,,-0.021,-0.831,,,0.041,0.247,1.247,2.247,3.247,4.247,5.247,6.247,9.247,,,,,,,,,,,,,,,,,,,,,,-0.012,0.012,0.07,2022-08-02 22:00:00+00:00,2022,August,2022-08-02,214,737879,Summer,02,Aug
6,SWC_O,2022-08-02 23:00:00+00:00,881.0,0.467,82.7,82.7,3.698,4.262,112.1,80.276,83.256,44.392,44.392,,237.813,311.455,0.158,-0.413,-16.139,10.81,2.621,1.833,14.736,15.971,0.0,0.0,,,,,,,,,-1.195,-0.274,207.4,69.595,-49.279,1166.0,2300.02,,,0.73,,,13.07,,,71.58,,,0.882,,,-0.021,-0.833,,,0.04,0.246,1.246,2.246,3.246,4.246,5.246,6.246,9.246,,,,,,,,,,,,,,,,,,,,,,0.065,0.011,0.068,2022-08-02 23:00:00+00:00,2022,August,2022-08-02,214,737879,Summer,02,Aug
7,SWC_O,2022-08-03 00:00:00+00:00,881.0,-0.3,83.3,83.536,3.523,4.357,103.2,26.77,30.416,16.29,16.29,,239.701,310.464,0.216,-0.648,-20.417,4.704,2.621,1.836,14.765,16.0,0.0,0.0,,,,,,,,,-1.197,-0.274,206.6,69.595,-49.279,1177.0,0.01,,,0.72,,,13.06,,,73.03,,,0.385,,,-0.021,-0.836,,,0.038,0.245,1.245,2.245,3.245,4.245,5.245,6.245,9.245,,,,,,,,,,,,,,,,,,,,,,0.094,0.012,0.065,2022-08-03 00:00:00+00:00,2022,August,2022-08-03,215,737880,Summer,03,Aug
8,SWC_O,2022-08-03 01:00:00+00:00,881.0,-0.8,87.1,87.771,3.551,4.542,99.9,2.835,8.624,4.639,4.639,,241.037,307.814,0.256,-1.254,-12.689,6.261,2.621,1.833,14.775,16.01,0.0,0.0,,,,,,,,,-1.197,-0.276,207.0,69.595,-49.279,1165.0,100.01,,,0.81,,,13.05,,,70.68,,,-0.593,,,-0.021,-0.833,,,0.04,0.246,1.246,2.246,3.246,4.246,5.246,6.246,9.246,,,,,,,,,,,,,,,,,,,,,,0.103,0.011,0.068,2022-08-03 01:00:00+00:00,2022,August,2022-08-03,215,737880,Summer,03,Aug
9,SWC_O,2022-08-03 02:00:00+00:00,881.0,-0.5,88.7,89.124,3.697,4.538,105.4,-0.042,0.0,2.433,0.0,,258.459,305.905,0.424,-1.806,-0.837,16.605,2.623,1.837,14.775,16.01,0.0,0.0,,,,,,,,,-1.2,-0.269,206.5,69.595,-49.279,1165.0,200.01,,,1.51,,,13.03,,,72.53,,,-1.286,,,-0.023,-0.837,,,0.037,0.244,1.244,2.244,3.244,4.244,5.244,6.244,9.244,,,,,,,,,,,,,,,,,,,,,,0.103,0.01,0.064,2022-08-03 02:00:00+00:00,2022,August,2022-08-03,215,737880,Summer,03,Aug
