index,stid,Time,Air pressure (upper boom),Air temperature (upper boom),Relative humidity (upper boom),Relative humidity (upper boom) - corrected,Specific humidity (upper boom),Wind speed (upper boom),Wind from direction (upper boom),Downwelling shortwave radiation,Downwelling shortwave radiation - corrected,Upwelling shortwave radiation,Upwelling shortwave radiation - corrected,Albedo,Downwelling longwave radiation,Upwelling longwave radiation,Cloud cover,Surface temperature,Latent heat flux (upper boom),Sensible heat flux (upper boom),Upper boom height,Stake height,Depth of pressure transducer in ice,Depth of pressure transducer in ice - corrected,Precipitation (upper boom) (cumulative solid & liquid),Precipitation (upper boom) (cumulative solid & liquid) – corrected,Ice temperature at sensor 1,Ice temperature at sensor 2,Ice temperature at sensor 3,Ice temperature at sensor 4,Ice temperature at sensor 5,Ice temperature at sensor 6,Ice temperature at sensor 7,Ice temperature at sensor 8,Tilt to east,Tilt to north,Station rotation from true North,Latitude,Longitude,Altitude,GPS time,Height of EGM96 geoid over WGS84 ellipsoid,GeoUnit,GPS horizontal dillution of precision (HDOP),GPS number of satellites,Quality,Battery voltage,,Battery voltage (sample start),Fan current (upper boom),Frequency of vibrating wire in precipitation gauge,Logger temperature,Radiation sensor temperature,latitude from modem (email text),longitude from modem (email text),Surface height 1,Surface height 1,z_surf_1_adj_flag,z_surf_2_adj_flag,Surface height from combined measurements,Depth of ice temperature measurement 1,Depth of ice temperature measurement 2,Depth of ice temperature measurement 3,Depth of ice temperature measurement 4,Depth of ice temperature measurement 5,Depth of ice temperature measurement 6,Depth of ice temperature measurement 7,Depth of ice temperature measurement 8,Ice temperature interpolated at 10 m depth,Air pressure (lower boom),Air temperature (lower boom),Relative humidity (lower boom),Relative humidity (lower boom) - corrected,Specific humidity (lower boom),Wind speed (lower boom),Wind from direction (lower boom),Latent heat flux (lower boom),Sensible heat flux (lower boom),Lower boom height,Precipitation (lower boom) (cumulative solid & liquid),Precipitation (lower boom) (cumulative solid & liquid) – corrected,Ice temperature at sensor 9,Ice temperature at sensor 10,Ice temperature at sensor 11,Fan current (lower boom),Depth of ice temperature measurement 9,Depth of ice temperature measurement 10,Depth of ice temperature measurement 11,z_pt_cor_adj_flag,Ice surface height adjusted for maintenance,Surface height adjusted for maintenance 1,Surface height adjusted for maintenance,Datetime,year,month,date,DayOfYear,DayOfCentury,season,day,hour
0,ZAK_Uv3,2022-04-21 12:00:00+00:00,927.0,-9.0,54.2,59.153,,0.14,243.6,,,,,,,,,,,,,,0.895,1.655,,,,,,,,,,,0.193,5.02,214.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.828,,,2022-04-21 12:00:00+00:00,2022,April,2022-04-21,111,737776,Spring,21,Apr
1,ZAK_Uv3,2022-04-21 13:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,-8.03,-5.63,-1.47,-6.39,-5.63,0.1,0.03,-4.3,0.183,5.017,,74.643,-21.463,864.0,1259.51,,,1.55,,,13.63,,,74.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.857,,,2022-04-21 13:00:00+00:00,2022,April,2022-04-21,111,737776,Spring,21,Apr
2,ZAK_Uv3,2022-04-21 14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.885,,,2022-04-21 14:00:00+00:00,2022,April,2022-04-21,111,737776,Spring,21,Apr
3,ZAK_Uv3,2022-04-21 15:00:00+00:00,926.0,-9.2,49.75,54.402,,0.721,47.95,390.888,,316.082,,,,,,,,,,,0.8,1.569,,,,,,,,,,,0.189,5.053,213.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.914,,,2022-04-21 15:00:00+00:00,2022,April,2022-04-21,111,737776,Spring,21,Apr
4,ZAK_Uv3,2022-04-21 16:00:00+00:00,926.0,-9.17,48.73,53.271,1.001,0.78,346.6,320.794,310.763,259.626,259.626,,230.557,277.14,0.532,-8.396,0.0,0.0,2.14,,0.792,1.562,0.0,0.0,-5.882,-4.823,-5.365,-4.23,-4.543,-0.003,0.033,-3.253,0.2,5.141,213.3,74.643,-21.463,870.0,1559.51,,,0.89,,,15.9,,,83.7,,,-4.211,,,0.46,,,,-0.003,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,-3.253,,,,,,,,,,,,,,,,,,,,,-7.922,-0.003,,2022-04-21 16:00:00+00:00,2022,April,2022-04-21,111,737776,Spring,21,Apr
5,ZAK_Uv3,2022-04-21 17:00:00+00:00,925.0,-8.47,43.15,46.85,0.938,3.948,123.2,344.685,331.3,276.784,276.784,,254.717,280.521,0.754,-7.748,-50.692,-10.687,1.411,,0.772,1.551,0.0,0.0,-6.48,-5.33,-5.205,-5.477,-6.183,-3.437,-3.603,-4.943,0.211,5.225,212.8,74.643,-21.463,873.0,1659.51,,,0.89,,,15.92,,,84.7,,,-5.146,,,1.189,,,,0.727,1.729,2.729,3.729,4.729,5.729,6.729,7.729,10.729,-4.617,,,,,,,,,,,,,,,,,,,,,-7.933,0.727,,2022-04-21 17:00:00+00:00,2022,April,2022-04-21,111,737776,Spring,21,Apr
6,ZAK_Uv3,2022-04-21 18:00:00+00:00,924.0,-8.6,36.33,39.495,0.782,3.906,176.9,277.044,264.335,220.838,220.838,,226.48,272.981,0.465,-9.391,-42.108,11.282,1.406,,0.763,1.551,0.0,0.0,-5.673,-5.058,-5.633,-4.627,-6.018,-5.515,-5.688,-5.397,0.203,5.226,213.0,74.643,-21.463,868.0,1759.51,,,1.16,,,13.57,,,74.55,,,-6.336,,,1.194,,,,0.731,1.734,2.734,3.734,4.734,5.734,6.734,7.734,10.734,-5.468,,,,,,,,,,,,,,,,,,,,,-7.933,0.731,,2022-04-21 18:00:00+00:00,2022,April,2022-04-21,111,737776,Spring,21,Apr
7,ZAK_Uv3,2022-04-21 19:00:00+00:00,923.0,-9.25,36.73,40.184,0.752,4.885,149.1,135.222,123.356,103.058,103.058,,209.076,268.413,0.311,-10.399,-45.425,19.966,1.407,,0.768,1.565,0.0,0.0,,-4.592,,,,,,,0.203,5.228,211.4,74.643,-21.463,873.0,1859.51,,,0.94,,,14.59,,,75.94,,,-7.006,,,1.193,,,,0.73,1.733,2.733,3.733,4.733,5.733,6.733,7.733,10.733,,,,,,,,,,,,,,,,,,,,,,-7.918,0.73,,2022-04-21 19:00:00+00:00,2022,April,2022-04-21,111,737776,Spring,21,Apr
8,ZAK_Uv3,2022-04-21 20:00:00+00:00,923.0,-9.72,38.7,42.534,0.764,3.441,25.81,76.519,60.322,50.396,50.396,,210.75,260.206,0.348,-12.493,-15.884,24.755,2.372,,0.791,1.589,0.0,0.0,,,,,,,,,0.195,5.267,212.4,74.643,-21.463,864.0,1959.52,,,0.91,,,13.15,,,71.19,,,-8.75,,,0.228,,,,-0.234,0.768,1.768,2.768,3.768,4.769,5.769,6.769,9.768,,,,,,,,,,,,,,,,,,,,,,-7.895,-0.234,,2022-04-21 20:00:00+00:00,2022,April,2022-04-21,111,737776,Spring,21,Apr
9,ZAK_Uv3,2022-04-21 21:00:00+00:00,922.0,-9.57,43.98,48.267,0.879,3.271,20.72,25.099,24.719,20.651,20.651,,215.1,257.744,0.387,-13.161,-12.19,35.422,1.401,,0.786,1.593,0.0,0.0,,,,,,,,,0.21,5.276,212.3,74.643,-21.463,861.0,2059.51,,,1.06,,,13.03,,,68.91,,,-9.59,,,1.199,,,,0.737,1.739,2.739,3.739,4.739,5.739,6.739,7.739,10.739,,,,,,,,,,,,,,,,,,,,,,-7.891,0.737,,2022-04-21 21:00:00+00:00,2022,April,2022-04-21,111,737776,Spring,21,Apr
