time,p_u,t_u,rh_u,rh_u_cor,qh_u,wspd_u,wdir_u,dsr,dsr_cor,usr,usr_cor,albedo,dlr,ulr,cc,t_surf,dlhf_u,dshf_u,z_boom_u,z_stake,z_pt,z_pt_cor,precip_u,precip_u_cor,t_i_1,t_i_2,t_i_3,t_i_4,t_i_5,t_i_6,t_i_7,t_i_8,tilt_x,tilt_y,rot,gps_lat,gps_lon,gps_alt,gps_time,gps_geoid,gps_hdop,gps_numsat,gps_q,batt_v,batt_v_ini,batt_v_ss,fan_dc_u,freq_vw,t_log,t_rad,msg_lat,msg_lon,z_surf_1,z_surf_2,z_pt_cor_adj,z_surf_1_adj,z_surf_2_adj,z_surf_combined,depth_t_i_1,depth_t_i_2,depth_t_i_3,depth_t_i_4,depth_t_i_5,depth_t_i_6,depth_t_i_7,depth_t_i_8,t_i_10m
2022-08-03 14:00:00+00:00,904.000,2.267,76.330,76.330,,7.757,106.100,1.239,,237.165,,,,,,,,,,,,,,,,,,,,,,,2.136,-0.014,217.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-03 15:00:00+00:00,904.000,2.283,75.500,75.500,3.750,7.955,103.600,1.252,,235.857,235.857,,244.244,317.690,0.131,0.000,-27.297,48.430,2.962,1.404,14.335,15.407,0.000,0.000,,,,,,,,,2.038,-0.019,214.200,69.495,-49.670,929.000,1500.010,,0.760,,,13.240,,,70.100,,,3.689,,,-0.362,-0.404,0.215,-0.309,0.079,0.215,1.000,2.000,3.000,4.000,5.000,6.000,7.000,10.000,
2022-08-03 16:00:00+00:00,903.000,2.267,74.930,74.930,3.722,8.600,106.400,1.253,,211.975,211.975,,243.830,318.331,0.128,0.000,-32.433,53.253,2.645,1.404,14.382,15.464,0.000,0.000,,,,,,,,,2.033,-0.012,215.500,69.495,-49.670,929.000,1600.010,,1.010,,,13.400,,,72.030,,,3.657,,,-0.045,-0.404,0.272,0.009,0.079,0.272,1.057,2.057,3.057,4.057,5.057,6.057,7.057,10.057,
2022-08-03 17:00:00+00:00,902.000,2.233,75.230,75.230,3.732,8.300,101.900,1.254,,204.061,204.061,,242.849,317.412,0.119,0.000,-31.004,50.691,2.646,1.407,14.401,15.492,0.000,0.000,,,,,,,,,1.874,0.014,214.800,69.495,-49.670,925.000,1700.010,,1.010,,,13.410,,,74.960,,,3.471,,,-0.046,-0.407,0.300,0.008,0.076,0.300,1.085,2.085,3.085,4.085,5.085,6.085,7.085,10.085,
2022-08-03 18:00:00+00:00,900.000,2.683,74.980,74.980,3.849,8.070,102.800,1.256,,184.102,184.102,,241.686,316.727,0.083,0.000,-23.288,58.598,2.645,1.405,14.429,15.539,0.000,0.000,,,,,,,,,1.619,0.050,211.400,69.495,-49.670,923.000,1800.010,,0.980,,,13.440,,,73.760,,,3.464,,,-0.045,-0.405,0.347,0.009,0.078,0.347,1.132,2.132,3.132,4.132,5.132,6.132,7.132,10.132,
2022-08-03 19:00:00+00:00,899.000,3.117,72.070,72.070,3.820,10.910,116.300,1.257,,135.650,135.650,,253.599,318.422,0.186,0.000,-33.561,90.029,2.645,1.411,14.420,15.539,0.000,0.000,,,,,,,,,1.748,0.067,212.000,69.495,-49.670,929.000,1900.020,,0.770,,,13.380,,,73.710,,,3.683,,,-0.045,-0.411,0.347,0.009,0.072,0.347,1.132,2.132,3.132,4.132,5.132,6.132,7.132,10.132,
2022-08-03 20:00:00+00:00,898.000,3.533,70.630,70.630,3.860,10.630,111.200,1.254,,126.428,126.428,,241.268,316.531,0.032,0.000,-29.815,98.991,2.640,1.411,14.410,15.539,0.000,0.000,,,,,,,,,1.731,0.052,210.100,69.495,-49.670,925.000,2000.010,,1.070,,,13.350,,,71.740,,,3.594,,,-0.040,-0.411,0.347,0.014,0.072,0.347,1.131,2.131,3.131,4.131,5.131,6.131,7.131,10.131,
2022-08-03 21:00:00+00:00,897.000,3.750,69.800,69.800,3.878,11.540,108.900,1.256,,73.159,73.159,,248.191,318.554,0.094,0.000,-30.996,113.130,2.639,1.424,14.306,15.444,0.000,0.000,,,,,,,,,1.714,0.048,208.500,69.495,-49.670,926.000,2100.010,,1.180,,,13.290,,,71.780,,,3.949,,,-0.039,-0.424,0.252,0.015,0.059,0.252,1.037,2.037,3.037,4.037,5.037,6.037,7.037,10.037,
2022-08-03 22:00:00+00:00,896.000,3.967,67.880,67.880,3.834,12.230,111.200,1.250,,34.508,34.508,,272.936,318.549,0.346,0.000,-36.672,124.943,2.731,1.425,14.288,15.435,0.000,0.000,,,,,,,,,1.686,0.038,217.400,69.495,-49.670,925.000,2200.010,,0.960,,,13.280,,,71.870,,,3.899,,,-0.131,-0.425,0.243,-0.077,0.058,0.243,1.027,2.027,3.027,4.027,5.027,6.027,7.027,10.027,
2022-08-03 23:00:00+00:00,895.000,3.833,68.650,68.650,3.846,12.000,118.600,1.252,,15.499,15.499,,266.334,319.731,0.283,0.000,-34.685,116.103,2.996,1.425,14.250,15.406,0.000,0.000,,,,,,,,,1.760,0.038,215.500,69.495,-49.670,926.000,2300.010,,0.740,,,13.250,,,70.610,,,3.937,,,-0.396,-0.425,0.214,-0.342,0.058,0.214,0.999,1.999,2.999,3.999,4.999,5.999,6.999,9.999,
