time,p_u,t_u,rh_u,rh_u_cor,qh_u,wspd_u,wdir_u,dsr,dsr_cor,usr,usr_cor,albedo,dlr,ulr,cc,t_surf,dlhf_u,dshf_u,z_boom_u,z_stake,z_pt,z_pt_cor,precip_u,precip_u_cor,t_i_1,t_i_2,t_i_3,t_i_4,t_i_5,t_i_6,t_i_7,t_i_8,tilt_x,tilt_y,rot,gps_lat,gps_lon,gps_alt,gps_time,gps_geoid,gps_hdop,gps_numsat,gps_q,batt_v,batt_v_ini,batt_v_ss,fan_dc_u,freq_vw,t_log,t_rad,msg_lat,msg_lon,z_surf_1,z_surf_2,z_pt_cor_adj,z_surf_1_adj,z_surf_2_adj,z_surf_combined,depth_t_i_1,depth_t_i_2,depth_t_i_3,depth_t_i_4,depth_t_i_5,depth_t_i_6,depth_t_i_7,depth_t_i_8,t_i_10m
2022-05-28 17:00:00+00:00,975.000,1.667,61.150,61.150,,4.803,178.500,468.569,,324.524,,,,,,,,,,,10.582,10.940,,,,,,,,,,,1.855,0.483,212.500,,,,,,,,,,,,,,,,,,,,-4.741,,,,,,,,,,,,
2022-05-28 18:00:00+00:00,975.000,1.350,62.000,62.000,2.670,6.018,172.800,404.260,427.030,308.950,308.950,0.724,231.331,313.388,0.044,0.000,-63.516,25.077,2.509,0.618,15.258,15.615,0.000,0.000,,,,,,,,,1.862,0.481,212.100,79.914,-24.094,364.900,1800.260,,0.930,,,13.450,,,70.530,,,3.176,,,0.091,0.382,-0.065,-0.242,0.009,-0.117,0.450,1.450,2.450,3.450,4.450,5.450,6.450,9.450,
2022-05-28 19:00:00+00:00,975.000,0.917,66.170,66.170,2.762,5.380,168.000,352.733,374.326,273.432,273.432,0.731,231.661,310.717,0.070,-0.537,-46.083,24.786,2.257,0.610,15.373,15.731,0.000,0.000,,,,,,,,,1.859,0.476,211.900,79.914,-24.094,376.200,1900.260,,0.720,,,13.450,,,68.680,,,2.634,,,0.343,0.390,0.050,0.010,0.017,0.013,0.580,1.580,2.580,3.580,4.580,5.580,6.580,9.580,
2022-05-28 20:00:00+00:00,975.000,0.467,67.920,67.920,2.744,5.131,173.200,293.087,306.090,225.511,225.511,,235.842,309.074,0.137,-0.935,-39.360,22.848,2.268,0.605,15.393,15.750,0.000,0.000,,,,,,,,,1.912,0.583,211.800,79.914,-24.094,378.200,2000.260,,0.780,,,13.410,,,69.630,,,2.104,,,0.332,0.395,0.069,-0.001,0.022,0.010,0.577,1.577,2.577,3.577,4.577,5.577,6.577,9.577,
2022-05-28 21:00:00+00:00,974.000,-0.183,71.250,71.371,2.748,5.067,177.200,236.656,243.845,181.184,181.184,,239.318,307.301,0.207,-1.359,-33.545,19.156,2.265,0.605,15.402,15.769,0.000,0.000,,,,,,,,,1.969,0.691,212.000,79.914,-24.094,379.800,2100.260,,0.810,,,13.340,,,70.390,,,1.453,,,0.335,0.395,0.088,0.002,0.022,0.012,0.578,1.579,2.579,3.579,4.579,5.579,6.579,9.579,
2022-05-28 22:00:00+00:00,974.000,-0.550,72.520,72.902,2.723,4.701,173.000,173.473,176.530,132.276,132.276,,238.004,302.917,0.211,-2.348,-20.074,26.354,2.266,0.608,15.412,15.779,0.000,0.000,,,,,,,,,1.957,0.683,211.800,79.914,-24.094,370.800,2200.260,,0.730,,,13.310,,,68.320,,,0.485,,,0.334,0.392,0.098,0.001,0.019,0.010,0.577,1.577,2.577,3.577,4.577,5.577,6.577,9.577,
2022-05-28 23:00:00+00:00,974.000,-1.050,73.520,74.266,2.661,3.963,179.700,170.177,164.337,124.172,124.172,,228.772,299.088,0.139,-3.164,-11.291,25.174,2.268,0.610,15.402,15.769,0.000,0.000,,,,,,,,,1.955,0.681,211.700,79.914,-24.094,377.900,2300.260,,0.690,,,13.310,,,69.670,,,-0.170,,,0.332,0.390,0.088,-0.001,0.017,0.008,0.575,1.575,2.575,3.575,4.575,5.575,6.575,9.575,
2022-05-29 00:00:00+00:00,974.000,-1.633,75.220,76.414,2.608,3.345,177.900,108.039,108.315,82.523,82.523,,230.056,296.408,0.181,-3.795,-6.346,20.742,2.267,0.611,15.412,15.779,0.000,0.000,,,,,,,,,1.964,0.674,211.800,79.914,-24.094,379.000,0.260,,0.990,,,13.290,,,69.700,,,-0.762,,,0.333,0.389,0.098,-0.000,0.016,0.008,0.575,1.575,2.575,3.575,4.574,5.574,6.574,9.575,
2022-05-29 01:00:00+00:00,973.000,-1.617,73.680,74.838,2.561,2.930,180.000,108.199,168.529,129.457,129.457,,228.113,291.077,0.160,-5.029,-0.060,22.828,2.277,0.612,15.393,15.769,0.000,0.000,,,,,,,,,1.948,0.679,212.200,79.914,-24.094,383.000,100.260,,0.790,,,13.300,,,65.780,,,-1.752,,,0.323,0.388,0.088,-0.010,0.015,0.002,0.569,1.569,2.569,3.569,4.569,5.569,6.569,9.569,
2022-05-29 02:00:00+00:00,973.000,-1.167,70.250,71.043,2.524,3.712,213.900,170.739,167.890,130.021,130.021,,243.226,291.967,0.297,-4.926,-1.694,36.231,2.276,0.613,15.393,15.769,0.000,0.000,,,,,,,,,1.943,0.672,211.800,79.914,-24.094,379.600,200.260,,0.820,,,13.320,,,68.750,,,-1.570,,,0.324,0.387,0.088,-0.009,0.014,0.002,0.569,1.569,2.569,3.569,4.569,5.569,6.569,9.569,
2022-05-29 03:00:00+00:00,972.000,-1.300,71.620,72.522,2.551,3.012,206.600,193.087,180.259,140.733,140.733,,233.019,293.226,0.196,-4.559,-2.439,23.402,2.273,0.608,15.383,15.768,0.000,0.000,,,,,,,,,1.943,0.676,211.700,79.914,-24.094,373.400,300.260,,0.740,,,13.320,,,69.350,,,-1.049,,,0.327,0.392,0.088,-0.006,0.019,0.006,0.573,1.573,2.573,3.573,4.573,5.573,6.573,9.573,
2022-05-29 04:00:00+00:00,972.000,-0.600,67.450,67.838,2.529,2.537,217.600,250.724,229.413,180.550,180.550,,226.878,289.260,0.097,-5.450,0.566,18.404,2.273,0.610,15.345,15.730,0.000,0.000,,,,,,,,,1.941,0.681,211.100,79.914,-24.094,380.200,400.260,,0.660,,,13.330,,,68.550,,,-1.034,,,0.327,0.390,0.049,-0.007,0.017,0.005,0.572,1.572,2.572,3.572,4.572,5.572,6.572,9.572,
2022-05-29 05:00:00+00:00,972.000,-0.633,64.130,64.519,2.398,3.668,232.800,296.865,272.192,215.927,215.927,,230.907,295.147,0.141,-4.094,-10.335,33.521,2.271,0.604,15.335,15.720,0.000,0.000,,,,,,,,,1.931,0.683,211.100,79.914,-24.094,379.500,500.260,,0.760,,,13.330,,,69.990,,,-0.021,,,0.329,0.396,0.040,-0.005,0.023,0.009,0.576,1.576,2.576,3.576,4.576,5.576,6.576,9.576,
