time,p_u,t_u,rh_u,rh_u_cor,qh_u,wspd_u,wdir_u,dsr,dsr_cor,usr,usr_cor,albedo,dlr,ulr,cc,t_surf,dlhf_u,dshf_u,z_boom_u,z_stake,z_pt,z_pt_cor,precip_u,precip_u_cor,t_i_1,t_i_2,t_i_3,t_i_4,t_i_5,t_i_6,t_i_7,t_i_8,tilt_x,tilt_y,rot,gps_lat,gps_lon,gps_alt,gps_time,gps_geoid,gps_hdop,gps_numsat,gps_q,batt_v,batt_v_ini,batt_v_ss,fan_dc_u,freq_vw,t_log,t_rad,msg_lat,msg_lon,z_surf_1,z_surf_2,z_pt_cor_adj,z_surf_1_adj,z_surf_2_adj,z_surf_combined,depth_t_i_1,depth_t_i_2,depth_t_i_3,depth_t_i_4,depth_t_i_5,depth_t_i_6,depth_t_i_7,depth_t_i_8,t_i_10m
2022-05-28 13:00:00+00:00,919.000,-3.133,74.450,76.742,,0.002,322.900,559.596,,435.141,,,,,,,,,,,0.173,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-28 14:00:00+00:00,919.000,-2.333,75.400,77.119,2.631,,,569.619,569.619,442.170,442.170,0.776,209.216,303.306,0.000,-2.062,,,2.021,0.405,12.108,,,0.000,,,,,,,,,0.000,0.000,0.000,79.835,-25.163,876.000,1335.090,,0.870,,,13.380,,,68.390,,,0.126,,,0.579,0.595,,0.264,0.595,0.430,1.000,2.000,3.000,4.000,5.000,6.000,7.000,10.000,
2022-05-28 15:00:00+00:00,919.000,-1.250,73.620,74.511,2.784,,,564.103,564.103,443.239,443.239,0.786,210.698,300.482,0.000,-2.718,,,2.287,0.406,15.497,,,0.000,,,,,,,,,0.000,0.000,0.000,79.835,-25.163,870.000,1435.090,,0.750,,,13.410,,,67.590,,,0.560,,,0.313,0.594,,-0.001,0.594,0.296,0.867,1.867,2.867,3.867,4.867,5.867,6.867,9.867,
2022-05-28 16:00:00+00:00,918.000,-0.917,74.520,75.179,2.891,,,534.577,534.577,416.807,416.807,0.780,214.181,302.476,0.000,-2.285,,,2.284,0.406,15.414,,,0.000,,,,,,,,,0.000,0.000,0.000,79.835,-25.163,872.000,1535.090,,0.790,,,13.610,,,67.710,,,1.457,,,0.316,0.594,,0.001,0.594,0.298,0.868,1.868,2.868,3.868,4.868,5.868,6.868,9.868,
2022-05-28 17:00:00+00:00,918.000,-0.483,72.050,72.382,2.885,,,496.193,496.193,383.652,383.652,0.773,220.621,305.337,0.025,-1.677,,,2.285,0.406,15.266,,,0.000,,,,,,,,,0.000,0.000,0.000,79.835,-25.163,874.000,1635.100,,0.760,,,13.640,,,67.160,,,2.090,,,0.315,0.594,,0.000,0.594,0.297,0.868,1.868,2.868,3.868,4.868,5.868,6.868,9.868,
2022-05-28 18:00:00+00:00,918.000,-0.733,73.520,74.038,2.890,,,440.093,440.093,336.211,336.211,0.764,221.838,304.334,0.051,-1.913,,,2.285,0.405,15.137,,,0.000,,,,,,,,,0.000,0.000,0.000,79.835,-25.163,874.000,1735.090,,0.870,,,13.610,,,67.200,,,2.066,,,0.315,0.595,,0.001,0.595,0.298,0.868,1.868,2.868,3.868,4.868,5.868,6.868,9.868,
2022-05-28 19:00:00+00:00,918.000,-1.233,74.330,75.218,2.817,,,404.507,404.507,305.195,305.195,0.754,229.001,307.969,0.151,-1.138,,,2.279,0.406,14.972,,,0.000,,,,,,,,,0.000,0.000,0.000,79.835,-25.163,868.000,1835.090,,0.780,,,13.530,,,67.540,,,1.931,,,0.321,0.594,,0.007,0.594,0.300,0.871,1.871,2.871,3.871,4.871,5.871,6.871,9.871,
2022-05-28 20:00:00+00:00,918.000,-1.583,73.070,74.194,2.699,,,330.925,330.925,250.344,250.344,0.756,231.806,302.872,0.197,-2.316,,,2.277,0.409,14.834,,,0.000,,,,,,,,,0.000,0.000,0.000,79.835,-25.163,866.000,1935.090,,1.130,,,13.490,,,67.000,,,0.581,,,0.323,0.591,,0.008,0.591,0.300,0.870,1.870,2.870,3.870,4.870,5.870,6.870,9.870,
2022-05-28 21:00:00+00:00,918.000,-2.067,72.520,73.982,2.584,,,286.169,283.957,215.432,215.432,,230.492,299.269,0.207,-3.135,,,2.276,0.411,14.714,,,0.000,,,,,,,,,0.000,0.000,0.000,79.835,-25.163,871.000,2035.080,,0.840,,,13.490,,,68.960,,,-0.258,,,0.324,0.589,,0.009,0.589,0.299,0.870,1.870,2.870,3.870,4.870,5.870,6.870,9.869,
2022-05-28 22:00:00+00:00,918.000,-2.650,72.050,73.920,2.459,,,217.871,217.479,165.470,165.470,,240.047,298.371,0.335,-3.408,,,2.274,0.408,14.548,,,0.000,,,,,,,,,0.000,0.000,0.000,79.835,-25.163,868.000,2135.090,,0.840,,,13.490,,,68.710,,,-0.880,,,0.326,0.592,,0.012,0.592,0.302,0.872,1.872,2.872,3.872,4.872,5.872,6.872,9.872,
