time,p_u,t_u,rh_u,rh_u_cor,qh_u,wspd_u,wdir_u,dsr,dsr_cor,usr,usr_cor,albedo,dlr,ulr,cc,t_surf,dlhf_u,dshf_u,z_boom_u,z_stake,z_pt,z_pt_cor,precip_u,precip_u_cor,t_i_1,t_i_2,t_i_3,t_i_4,t_i_5,t_i_6,t_i_7,t_i_8,tilt_x,tilt_y,rot,gps_lat,gps_lon,gps_alt,gps_time,gps_geoid,gps_hdop,gps_numsat,gps_q,batt_v,batt_v_ini,batt_v_ss,fan_dc_u,freq_vw,t_log,t_rad,msg_lat,msg_lon,z_surf_1,z_surf_2,z_pt_cor_adj,z_surf_1_adj,z_surf_2_adj,z_surf_combined,depth_t_i_1,depth_t_i_2,depth_t_i_3,depth_t_i_4,depth_t_i_5,depth_t_i_6,depth_t_i_7,depth_t_i_8,t_i_10m
2021-09-01 00:00:00+00:00,959.000,0.504,92.200,92.200,,1.045,65.120,-0.388,,1.607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01 01:00:00+00:00,959.000,0.567,90.500,90.500,3.744,1.178,100.500,-0.222,,0.831,,,294.886,309.205,0.754,-1.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.460,,,,,,,,,,,,,,,,,
2021-09-01 02:00:00+00:00,959.000,0.717,89.400,89.400,3.739,2.230,102.200,-0.111,0.000,0.277,0.000,,305.256,312.240,0.856,-0.691,,,,,,,,,,,,,,,,,-2.996,7.155,,,,,,,,,,,,,,,,0.028,,,,,,,,,,,,,,,,,
2021-09-01 03:00:00+00:00,960.000,0.724,90.500,90.500,3.783,2.310,99.500,-0.277,0.000,0.111,0.000,,306.922,314.177,0.873,-0.268,,,,,,,,,,,,,,,,,-2.995,7.146,,,,,,,,,,,,,,,,0.435,,,,,,,,,,,,,,,,,
2021-09-01 04:00:00+00:00,960.000,0.500,92.700,92.700,3.813,1.615,106.900,-0.443,0.000,0.166,0.000,,305.946,315.256,0.874,-0.020,,,,,,,,,,,,,,,,,-2.995,7.136,,,,,,,,,,,,,,,,0.509,,,,,,,,,,,,,,,,,
2021-09-01 05:00:00+00:00,960.000,0.542,91.200,91.200,3.762,1.409,113.500,-0.554,0.000,0.499,0.000,,293.813,313.063,0.744,-0.429,,,,,10.263,10.636,,,,,,,,,,,-2.994,7.126,,,,,,,,,,,,,,,,0.267,,,,,0.019,,,,,,,,,,,,
2021-09-01 06:00:00+00:00,960.000,0.406,93.500,93.500,3.819,1.605,100.700,-0.222,0.000,0.166,0.000,,309.255,314.318,0.913,-0.252,-0.783,2.893,2.343,2.338,,,,,-0.041,-0.318,-0.796,-1.362,-1.641,,,,-2.994,7.117,,69.319,-53.544,538.800,55937.000,,0.890,,,12.980,,,128.900,,,0.123,,,0.257,-1.338,0.018,0.116,0.112,0.114,1.000,2.000,3.000,4.000,5.000,6.000,7.000,10.000,
2021-09-01 07:00:00+00:00,960.000,0.126,97.500,97.500,3.903,1.522,128.900,1.552,4.867,1.995,1.995,,291.947,312.745,0.745,-0.488,,,,,,,,,,,,,,,,,-2.993,7.107,,,,,,,,,,,,,,,,0.119,,,,,0.016,0.115,0.114,0.115,1.000,2.000,3.000,4.000,5.000,6.000,7.000,10.000,
2021-09-01 08:00:00+00:00,960.000,-0.185,88.100,88.251,3.447,0.990,246.400,29.320,51.495,36.910,18.386,,230.952,301.622,0.119,-2.596,,,,,,,,,,,,,,,,,-2.993,7.097,,,,,,,,,,,,,,,,-0.235,,,,,0.014,0.114,0.115,0.115,1.000,2.000,3.000,4.001,5.001,6.001,7.001,10.000,
2021-09-01 09:00:00+00:00,960.000,1.395,73.140,73.140,3.209,1.355,227.800,79.250,98.122,100.900,34.778,,190.838,286.708,0.000,-5.799,,,,,,,,,,,,,,,,,-2.995,7.081,,,,,,,,,,,,,,,,-0.913,,,,,0.013,0.114,0.116,0.115,1.001,2.001,3.001,4.001,5.001,6.001,7.001,10.001,
2021-09-01 10:00:00+00:00,960.000,2.366,66.380,66.380,3.123,1.150,93.000,157.900,144.750,158.600,51.169,,190.394,289.544,0.000,-5.124,,,,,,,,,,,,,,,,,-2.999,7.069,,,,,,,,,,,,,,,,1.960,,,,,0.011,0.113,0.118,0.115,1.001,2.001,3.001,4.001,5.001,6.001,7.001,10.001,
2021-09-01 11:00:00+00:00,960.000,2.729,63.060,63.060,3.045,2.418,288.400,262.900,191.377,210.400,67.561,,202.868,305.108,0.000,-1.608,,,,,10.254,10.627,,,,,,,,,,,-3.007,7.060,,,,,,,,,,,,,,,,4.667,,,,,0.010,0.112,0.119,0.116,1.001,2.001,3.001,4.001,5.001,6.001,7.001,10.001,
2021-09-01 12:00:00+00:00,959.000,4.174,50.800,50.800,2.720,2.594,49.480,355.300,238.005,245.700,83.952,,200.324,303.484,0.000,-1.960,-5.682,19.000,2.348,2.330,,,,,-0.023,-0.309,-0.788,-1.363,-1.642,,,,-3.017,7.056,,69.319,-53.544,535.500,115937.000,,1.050,,,14.520,,,147.100,,,4.925,,,0.252,-1.330,0.010,0.111,0.120,0.116,1.001,2.001,3.001,4.002,5.002,6.002,7.002,10.002,
2021-09-01 13:00:00+00:00,959.000,4.425,51.110,51.110,2.785,2.725,58.260,436.400,284.632,273.200,100.343,,207.083,310.642,0.000,-0.388,,,,,,,,,,,,,,,,,-3.030,7.054,,,,,,,,,,,,,,,,5.997,,,,,0.010,0.107,0.118,0.113,0.998,1.998,2.998,3.998,4.998,5.998,6.998,9.998,
2021-09-01 14:00:00+00:00,959.000,4.911,48.770,48.770,2.750,3.504,39.480,499.300,331.260,283.000,116.734,,207.658,311.068,0.000,-0.297,,,,,,,,,,,,,,,,,-3.046,7.057,,,,,,,,,,,,,,,,6.073,,,,,0.009,0.103,0.116,0.109,0.995,1.995,2.995,3.995,4.995,5.995,6.995,9.995,
2021-09-01 15:00:00+00:00,958.000,5.309,49.710,49.710,2.885,2.331,31.920,529.400,377.887,270.200,133.126,0.410,199.626,301.296,0.000,-2.455,,,,,,,,,,,,,,,,,-3.063,7.074,,,,,,,,,,,,,,,,6.188,,,,,0.009,0.099,0.113,0.106,0.992,1.992,2.992,3.992,4.992,5.992,6.992,9.992,
2021-09-01 16:00:00+00:00,958.000,5.598,48.350,48.350,2.863,1.159,248.200,530.400,424.515,246.900,149.517,0.384,196.679,296.889,0.000,-3.450,,,,,,,,,,,,,,,,,-3.081,7.103,,,,,,,,,,,,,,,,7.962,,,,,0.009,0.095,0.111,0.103,0.989,1.989,2.989,3.989,4.989,5.989,6.989,9.989,
2021-09-01 17:00:00+00:00,957.000,6.147,45.060,45.060,2.775,2.157,23.790,510.700,471.142,223.000,165.909,0.372,212.103,311.083,0.000,-0.324,,,,,10.225,10.627,,,,,,,,,,,-3.097,7.144,,,,,,,,,,,,,,,,10.280,,,,,0.009,0.090,0.109,0.100,0.985,1.985,2.985,3.985,4.985,5.985,6.985,9.985,
2021-09-01 18:00:00+00:00,956.000,6.448,42.240,42.240,2.659,1.720,59.450,459.300,517.770,182.300,182.300,0.352,205.615,304.315,0.000,-1.807,-1.504,5.750,2.373,2.344,,,,,-0.004,-0.300,-0.778,-1.344,-1.632,,,,-3.113,7.195,,69.319,-53.544,538.900,175938.000,,0.930,,,14.180,,,140.300,,,9.680,,,0.228,-1.344,0.009,0.086,0.106,0.096,0.982,1.982,2.982,3.982,4.982,5.982,6.982,9.982,
2021-09-01 19:00:00+00:00,956.000,5.757,44.090,44.090,2.646,2.196,245.700,383.000,399.919,141.700,141.700,,218.052,315.592,0.000,0.000,,,,,,,,,,,,,,,,,-3.129,7.258,,,,,,,,,,,,,,,,10.270,,,,,0.009,0.086,0.103,0.095,0.980,1.980,2.980,3.980,4.980,5.980,6.980,9.980,
