time,p_u,t_u,rh_u,rh_u_cor,qh_u,wspd_u,wdir_u,dsr,dsr_cor,usr,usr_cor,albedo,dlr,ulr,cc,t_surf,dlhf_u,dshf_u,z_boom_u,z_stake,z_pt,z_pt_cor,precip_u,precip_u_cor,t_i_1,t_i_2,t_i_3,t_i_4,t_i_5,t_i_6,t_i_7,t_i_8,tilt_x,tilt_y,rot,gps_lat,gps_lon,gps_alt,gps_time,gps_geoid,gps_hdop,gps_numsat,gps_q,batt_v,batt_v_ini,batt_v_ss,fan_dc_u,freq_vw,t_log,t_rad,msg_lat,msg_lon,z_surf_1,z_surf_2,z_pt_cor_adj,z_surf_1_adj,z_surf_2_adj,z_surf_combined,depth_t_i_1,depth_t_i_2,depth_t_i_3,depth_t_i_4,depth_t_i_5,depth_t_i_6,depth_t_i_7,depth_t_i_8,t_i_10m
2021-09-01 00:00:00+00:00,912.000,-2.389,92.500,94.660,,1.870,85.900,-2.722,,-0.444,,,,,,,,,,,,,,,,,,,,,,,5.963,2.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01 01:00:00+00:00,912.000,-2.618,100.100,100.000,3.357,2.897,84.600,0.056,0.000,-0.111,0.000,,288.245,299.225,0.838,-3.546,,,,,,,,,,,,,,,,,5.925,2.229,,,,,,,,,,,,,,,,-2.853,,,,,,,,,,,,,,,,,
2021-09-01 02:00:00+00:00,912.000,-2.575,100.100,100.000,3.369,3.561,110.000,0.278,0.000,0.222,0.000,,299.749,301.773,0.957,-3.036,,,,,,,,,,,,,,,,,5.897,2.268,,,,,,,,,,,,,,,,-2.725,,,,,,,,,,,,,,,,,
2021-09-01 03:00:00+00:00,912.000,-2.494,100.100,100.000,3.392,4.662,106.100,0.167,0.000,0.222,0.000,,298.990,303.206,0.945,-2.701,,,,2.431,,,,,-0.230,-0.191,-0.134,-0.153,,-0.163,,,5.864,2.293,,69.304,-53.590,935.000,25942.000,,1.250,,,13.330,,,134.700,,,-2.570,,,,-1.431,,,-1.431,-1.431,1.000,2.000,3.000,4.000,5.000,6.000,7.000,10.000,
2021-09-01 04:00:00+00:00,912.000,-2.529,100.100,100.000,3.382,4.522,116.200,-0.278,0.000,0.056,0.000,,294.655,303.321,0.901,-2.645,,,,,,,,,,,,,,,,,5.828,2.310,,,,,,,,,,,,,,,,-2.481,,,,,,,-1.429,-1.429,1.002,2.002,3.002,4.002,5.002,6.002,7.002,10.002,
2021-09-01 05:00:00+00:00,912.000,-2.706,100.100,100.000,3.332,5.113,123.300,-1.222,0.000,0.278,0.000,,284.640,301.289,0.805,-3.043,,,,,,,,,,,,,,,,,5.790,2.323,,,,,,,,,,,,,,,,-2.531,,,,,,,-1.426,-1.426,1.005,2.005,3.005,4.005,5.005,6.005,7.005,10.005,
2021-09-01 06:00:00+00:00,913.000,-2.519,100.100,100.000,3.381,5.546,128.200,0.167,0.000,0.222,0.000,,299.908,302.752,0.956,-2.812,,,,2.424,,,,,-0.250,-0.192,-0.144,-0.163,,-0.173,,,5.732,2.339,,69.304,-53.590,937.000,55941.000,,0.870,,,13.140,,,134.900,,,-2.697,,,,-1.424,,,-1.424,-1.424,1.007,2.007,3.007,4.007,5.007,6.007,7.007,10.007,
2021-09-01 07:00:00+00:00,913.000,-2.505,100.100,100.000,3.385,4.805,118.400,2.222,2.267,2.222,2.222,,298.945,303.311,0.945,-2.676,,,,,,,,,,,,,,,,,5.683,2.323,,,,,,,,,,,,,,,,-2.524,,,,,,,-1.427,-1.427,1.004,2.004,3.004,4.004,5.004,6.004,7.004,10.004,
2021-09-01 08:00:00+00:00,913.000,-3.109,100.100,100.000,3.217,4.341,95.900,57.930,67.773,46.990,61.764,,263.642,293.092,0.604,-4.806,,,,,,,,,,,,,,,,,5.644,2.276,,,,,,,,,,,,,,,,-2.446,,,,,,,-1.431,-1.431,1.000,2.000,3.000,4.000,5.000,6.000,7.000,10.000,
2021-09-01 09:00:00+00:00,913.000,-2.946,99.800,100.000,3.262,3.955,82.700,158.000,133.279,125.200,121.306,,236.423,286.903,0.311,-6.079,,,,2.434,,,,,-0.258,-0.191,-0.152,-0.172,,-0.181,,,5.608,2.221,,69.304,-53.590,939.000,85942.000,,0.710,,,13.210,,,135.700,,,-3.086,,,,-1.434,,,-1.434,-1.434,0.997,1.997,2.997,3.997,4.997,5.997,6.997,9.997,
2021-09-01 10:00:00+00:00,913.000,-2.148,90.900,92.806,3.237,2.924,80.600,247.800,198.785,226.300,180.848,,188.989,284.259,0.000,-6.371,,,,,,,,,,,,,,,,,5.578,2.171,,,,,,,,,,,,,,,,-2.489,,,,,,,-1.430,-1.430,1.001,2.001,3.001,4.001,5.001,6.001,7.001,10.001,
2021-09-01 11:00:00+00:00,913.000,-1.286,78.660,79.640,2.986,4.272,92.500,353.900,264.291,343.300,240.390,,189.029,288.989,0.000,-5.246,,,,,,,,,,,,,,,,,5.556,2.124,,,,,,,,,,,,,,,,-1.485,,,,,,,-1.425,-1.425,1.006,2.006,3.006,4.006,5.006,6.006,7.006,10.006,
2021-09-01 12:00:00+00:00,913.000,-0.184,67.300,67.415,2.769,5.666,95.700,506.900,329.797,438.700,299.932,0.980,188.826,292.796,0.000,-4.349,,,,2.421,,,,,-0.223,-0.185,-0.128,-0.147,,-0.156,,,5.548,2.086,,69.304,-53.590,941.000,115941.000,,0.840,,,14.560,,,146.500,,,-0.371,,,,-1.421,,,-1.421,-1.421,1.010,2.010,3.010,4.010,5.010,6.010,7.010,10.010,
2021-09-01 13:00:00+00:00,912.000,0.477,64.200,64.200,2.775,5.670,85.800,567.400,395.303,506.000,359.474,0.949,189.412,296.032,0.000,-3.599,,,,,,,,,,,,,,,,,5.543,2.077,,,,,,,,,,,,,,,,0.813,,,,,,,-1.422,-1.422,1.009,2.009,3.009,4.009,5.009,6.009,7.009,10.009,
2021-09-01 14:00:00+00:00,912.000,0.682,64.320,64.320,2.822,5.618,87.000,592.000,460.808,546.700,419.016,0.934,190.004,298.064,0.000,-3.132,,,,,,,,,,,,,,,,,5.541,2.097,,,,,,,,,,,,,,,,1.856,,,,,,,-1.422,-1.422,1.009,2.009,3.009,4.009,5.009,6.009,7.009,10.009,
