time,p_u,t_u,rh_u,rh_u_cor,qh_u,wspd_u,wdir_u,dsr,dsr_cor,usr,usr_cor,albedo,dlr,ulr,cc,t_surf,dlhf_u,dshf_u,z_boom_u,z_stake,z_pt,z_pt_cor,precip_u,precip_u_cor,t_i_1,t_i_2,t_i_3,t_i_4,t_i_5,t_i_6,t_i_7,t_i_8,tilt_x,tilt_y,rot,gps_lat,gps_lon,gps_alt,gps_time,gps_geoid,gps_hdop,gps_numsat,gps_q,batt_v,batt_v_ini,batt_v_ss,fan_dc_u,freq_vw,t_log,t_rad,msg_lat,msg_lon,z_surf_1,z_surf_2,z_pt_cor_adj,z_surf_1_adj,z_surf_2_adj,z_surf_combined,depth_t_i_1,depth_t_i_2,depth_t_i_3,depth_t_i_4,depth_t_i_5,depth_t_i_6,depth_t_i_7,depth_t_i_8,t_i_10m
2022-08-29 18:00:00+00:00,968.000,3.300,84.600,84.600,,4.632,324.000,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-29 19:00:00+00:00,968.000,3.233,86.900,86.900,,5.943,313.200,,,,,,,,,,,,2.529,1.339,,,0.000,0.000,,,,,,,,,0.000,0.000,0.000,,,,,,,,,13.200,,,66.930,,,,,0.000,0.071,-0.339,,0.036,-0.339,-0.152,1.000,2.000,3.000,4.000,5.000,6.000,7.000,10.000,
2022-08-29 20:00:00+00:00,968.000,3.033,88.400,88.400,,5.308,311.100,,,,,,,,,,,,2.620,1.338,,,0.000,0.000,,,,,,,,,0.000,0.000,0.000,,,,,,,,,13.150,,,68.460,,,,,0.000,-0.020,-0.338,,-0.056,-0.338,-0.197,0.955,1.955,2.955,3.955,4.955,5.955,6.955,9.955,
2022-08-29 21:00:00+00:00,969.000,3.017,90.300,90.300,,4.245,306.000,,,,,,,,,,,,2.528,1.345,,,0.000,0.000,,,,,,,,,0.000,0.000,0.000,,,,,,,,,13.060,,,65.480,,,,,0.000,0.072,-0.345,,0.037,-0.345,-0.154,0.997,1.998,2.997,3.997,4.997,5.997,6.997,9.998,
2022-08-29 22:00:00+00:00,969.000,2.567,91.600,91.600,,3.076,355.900,,,,,,,,,,,,2.529,1.343,,,0.000,0.000,,,,,,,,,0.000,0.000,0.000,,,,,,,,,13.050,,,65.870,,,,,0.000,0.071,-0.343,,0.036,-0.343,-0.154,0.998,1.998,2.998,3.998,4.998,5.998,6.998,9.998,
2022-08-29 23:00:00+00:00,969.000,2.333,92.800,92.800,,2.782,351.600,,,,,,,,,,,,2.543,1.344,,,0.000,0.000,,,,,,,,,0.000,0.000,0.000,,,,,,,,,13.040,,,66.930,,,,,0.000,0.057,-0.344,,0.022,-0.344,-0.161,0.990,1.990,2.990,3.990,4.990,5.990,6.990,9.990,
2022-08-30 00:00:00+00:00,969.000,2.617,90.500,90.500,,2.555,40.580,,,,,,,,,,,,2.545,1.347,,,0.000,0.000,,,,,,,,,0.000,0.000,0.000,,,,,,,,,13.030,,,62.910,,,,,0.000,0.055,-0.347,,0.019,-0.347,-0.164,0.988,1.988,2.988,3.988,4.988,5.988,6.988,9.988,
2022-08-30 01:00:00+00:00,970.000,3.017,89.200,89.200,,1.112,69.600,,,,,,,,,,,,2.546,1.348,,,0.000,0.000,,,,,,,,,0.000,0.000,0.000,,,,,,,,,13.020,,,63.980,,,,,0.000,0.054,-0.348,,0.019,-0.348,-0.165,0.987,1.987,2.987,3.987,4.987,5.987,6.987,9.987,
2022-08-30 02:00:00+00:00,970.000,2.433,91.400,91.400,,1.597,13.220,,,,,,,,,,,,2.544,1.352,,,0.000,0.000,,,,,,,,,0.000,0.000,0.000,,,,,,,,,13.020,,,64.260,,,,,0.000,0.056,-0.352,,0.020,-0.352,-0.166,0.986,1.986,2.986,3.986,4.986,5.986,6.986,9.986,
2022-08-30 03:00:00+00:00,970.000,2.417,91.800,91.800,,1.305,358.600,,,,,,,,,,,,2.934,1.353,,,0.000,0.000,,,,,,,,,0.000,0.000,0.000,,,,,,,,,13.010,,,62.700,,,,,0.000,-0.334,-0.353,,-0.369,-0.353,-0.361,0.790,1.790,2.790,3.790,4.790,5.790,6.790,9.790,
