time,p_u,p_l,t_u,t_l,rh_u,rh_u_cor,qh_u,rh_l,rh_l_cor,qh_l,wspd_u,wspd_l,wdir_u,wdir_l,dsr,dsr_cor,usr,usr_cor,albedo,dlr,ulr,cc,t_surf,dlhf_u,dlhf_l,dshf_u,dshf_l,z_boom_u,z_boom_l,precip_u,precip_u_cor,precip_l,precip_l_cor,t_i_1,t_i_2,t_i_3,t_i_4,t_i_5,t_i_6,t_i_7,t_i_8,t_i_9,t_i_10,t_i_11,tilt_x,tilt_y,rot,gps_lat,gps_lon,gps_alt,gps_time,gps_hdop,batt_v,fan_dc_u,fan_dc_l,t_rad,msg_lat,msg_lon,z_surf_1,z_surf_2,z_surf_combined,depth_t_i_1,depth_t_i_2,depth_t_i_3,depth_t_i_4,depth_t_i_5,depth_t_i_6,depth_t_i_7,depth_t_i_8,depth_t_i_9,depth_t_i_10,depth_t_i_11,t_i_10m
2022-05-16 12:00:00+00:00,,1018.000,,17.920,,,,43.750,43.750,,,0.513,,60.210,546.102,,42.983,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.300,-2.407,195.100,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-16 13:00:00+00:00,,1018.000,,18.400,,,,45.130,45.130,5.879,,0.882,,109.800,466.042,,38.000,,,360.370,478.490,,0.000,,,,,,,,,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,2.300,-2.406,195.100,55.689,-12.582,35.600,125954.000,0.880,11.900,4.820,62.800,22.070,,,,,,,,,,,,,,,,,
2022-05-16 14:00:00+00:00,,1018.000,,18.200,,,,39.670,39.670,5.103,,1.215,,92.100,222.564,,20.059,,,372.977,457.717,,0.000,,,,,,,,,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,2.300,-2.414,195.100,55.689,-12.582,42.100,135954.000,0.720,11.860,4.840,63.070,21.660,,,,,,,,,,,,,,,,,
2022-05-16 15:00:00+00:00,,1017.000,,17.530,,,,38.680,38.680,4.773,,1.298,,131.000,109.445,,11.067,,,374.751,435.908,,0.000,,,,,,,,,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,2.300,-2.417,195.000,55.689,-12.582,43.500,145954.000,0.870,11.870,4.730,63.160,19.980,,,,,,,,,,,,,,,,,
2022-05-16 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,2.300,-2.437,,55.689,-12.582,19.200,155954.000,0.960,11.870,4.780,63.170,18.280,,,,,,,,,,,,,,,,,
2022-05-16 17:00:00+00:00,,1017.000,,15.500,,,,56.000,56.000,,,0.469,,115.900,49.265,,6.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.293,-2.453,195.100,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-16 18:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,2.290,-2.467,,55.689,-12.582,33.800,175954.000,0.780,11.900,4.860,63.650,15.730,,,,,,,,,,,,,,,,,
2022-05-16 19:00:00+00:00,,1017.000,,15.080,,,,56.130,56.130,,,0.058,,294.500,-1.903,,3.671,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.283,-2.473,195.000,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-16 20:00:00+00:00,,1017.000,,14.700,,,,58.350,58.350,6.002,,0.254,,318.000,-3.272,,3.967,,,315.251,381.827,,0.000,,,,,,,,,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,2.283,-2.475,194.900,55.689,-12.582,31.400,195954.000,0.910,11.900,4.720,63.670,14.030,,,,,,,,,,,,,,,,,
2022-05-16 21:00:00+00:00,,1017.000,,14.180,,,,59.980,59.980,5.965,,0.385,,339.700,-2.240,,3.984,,,316.510,378.990,,0.000,,,,,,,,,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,2.280,-2.480,195.000,55.689,-12.582,44.600,205954.000,0.850,11.890,4.790,63.310,13.330,,,,,,,,,,,,,,,,,
