time,p_u,t_u,rh_u,rh_u_cor,qh_u,wspd_u,wdir_u,dsr,dsr_cor,usr,usr_cor,albedo,dlr,ulr,cc,t_surf,dlhf_u,dshf_u,z_boom_u,z_stake,z_pt,z_pt_cor,precip_u,precip_u_cor,t_i_1,t_i_2,t_i_3,t_i_4,t_i_5,t_i_6,t_i_7,t_i_8,tilt_x,tilt_y,rot,gps_lat,gps_lon,gps_alt,gps_time,gps_geoid,gps_hdop,gps_numsat,gps_q,batt_v,batt_v_ini,batt_v_ss,fan_dc_u,freq_vw,t_log,t_rad,msg_lat,msg_lon,z_surf_1,z_surf_2,z_pt_cor_adj,z_surf_1_adj,z_surf_2_adj,z_surf_combined,depth_t_i_1,depth_t_i_2,depth_t_i_3,depth_t_i_4,depth_t_i_5,depth_t_i_6,depth_t_i_7,depth_t_i_8,t_i_10m
2022-08-11 15:00:00+00:00,1022.000,26.050,44.530,44.530,,1.196,126.500,557.705,,65.459,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-11 16:00:00+00:00,1021.000,25.680,44.180,44.180,8.984,1.314,130.000,408.005,408.005,48.949,48.949,0.120,368.412,494.896,0.000,0.000,0.000,0.000,2.649,,23.373,23.177,45.600,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,55.689,-12.582,25.700,1500.110,,1.020,,,11.780,,,56.620,,,28.660,,,-0.049,,16.419,-0.004,,16.419,1.000,2.000,3.000,4.000,5.000,6.000,7.000,10.000,0.000
2022-08-11 17:00:00+00:00,1021.000,24.850,42.920,42.920,8.303,1.170,146.700,271.915,271.915,32.511,32.511,0.120,366.327,475.250,0.000,0.000,0.000,0.000,2.649,0.958,19.098,18.902,45.600,0.000,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,55.689,-12.582,24.200,1600.110,,0.930,,,11.790,,,57.700,,,27.500,,,-0.049,0.042,12.144,-0.003,0.001,12.144,-3.275,-2.275,-1.275,-0.275,0.725,1.725,2.725,5.725,
2022-08-11 18:00:00+00:00,1021.000,24.470,42.170,42.170,7.972,0.676,174.300,126.218,139.586,17.257,17.257,,360.427,454.962,0.000,0.000,0.000,0.000,2.646,0.959,15.068,14.872,45.600,0.000,,,,,,,,0.000,0.000,0.000,0.000,55.689,-12.582,28.000,1700.110,,0.810,,,11.780,,,58.400,,,25.790,,,-0.046,0.041,8.114,-0.000,0.000,8.114,-7.305,-6.305,-5.305,-4.305,-3.305,-2.305,-1.305,1.695,
2022-08-11 19:00:00+00:00,1021.000,22.780,44.800,44.800,7.641,0.700,148.500,19.800,43.317,5.532,5.532,,361.039,442.438,0.056,0.000,0.000,0.000,2.646,0.959,4.613,4.417,45.600,0.000,,,,,,,,,0.000,0.000,0.000,55.689,-12.582,23.600,1800.110,,0.840,,,11.790,,,56.730,,,24.550,,,-0.046,0.041,-2.341,-0.000,0.000,-2.341,-17.760,-16.760,-15.760,-14.760,-13.760,-12.760,-11.760,-8.760,
2022-08-11 20:00:00+00:00,1021.000,21.850,49.700,49.700,8.006,0.267,204.100,-2.598,0.000,3.905,0.000,,357.046,429.598,0.089,0.000,0.000,0.000,2.640,0.960,,,45.600,0.000,,,,,,,,,0.000,0.000,0.000,55.689,-12.582,24.000,1900.110,,0.830,,,11.790,,,57.830,,,22.290,,,-0.040,0.040,-2.167,0.006,-0.001,-2.167,-17.586,-16.586,-15.586,-14.586,-13.586,-12.586,-11.586,-8.586,
2022-08-11 21:00:00+00:00,1021.000,20.970,55.620,55.620,8.485,0.158,185.100,-2.562,0.000,3.782,0.000,,348.178,417.332,0.055,0.000,0.000,0.000,2.638,0.962,,,45.600,0.000,,,,,,,,,0.000,0.000,0.000,55.689,-12.582,23.900,2000.110,,1.330,,,11.790,,,56.660,,,20.230,,,-0.038,0.038,-1.992,0.008,-0.003,-1.992,-17.412,-16.412,-15.412,-14.412,-13.412,-12.412,-11.412,-8.412,
2022-08-11 22:00:00+00:00,1021.000,20.300,59.920,59.920,8.768,0.074,153.700,-1.991,0.000,3.833,0.000,,346.615,412.183,0.093,0.000,0.000,0.000,2.640,0.964,,,45.600,0.000,,,,,,,,,0.000,0.000,0.000,55.689,-12.582,27.800,2100.110,,1.220,,,11.810,,,58.140,,,19.260,,,-0.040,0.036,-1.818,0.006,-0.005,-1.818,-17.237,-16.237,-15.237,-14.237,-13.237,-12.237,-11.237,-8.237,
2022-08-11 23:00:00+00:00,1021.000,20.050,63.230,63.230,9.109,0.219,183.400,-1.336,0.000,4.214,0.000,,342.409,406.352,0.062,0.000,0.000,0.000,2.644,0.963,,,45.600,0.000,,,,,,,,,0.000,0.000,0.000,55.689,-12.582,30.000,2200.110,,1.130,,,11.820,,,57.380,,,18.380,,,-0.044,0.037,-1.644,0.002,-0.004,-1.818,-17.237,-16.237,-15.237,-14.237,-13.237,-12.237,-11.237,-8.237,
2022-08-12 00:00:00+00:00,1021.000,19.470,64.100,64.100,8.905,0.271,162.100,-1.627,0.000,3.459,0.000,,341.162,404.234,0.095,0.000,0.000,0.000,2.644,0.965,,,45.600,0.000,,,,,,,,,0.000,0.000,0.000,55.689,-12.582,28.800,2300.110,,0.730,,,11.820,,,56.900,,,18.080,,,-0.044,0.035,-1.470,0.001,-0.006,-1.817,-17.236,-16.236,-15.236,-14.236,-13.236,-12.236,-11.236,-8.236,
2022-08-12 01:00:00+00:00,1021.000,19.400,66.300,66.300,9.171,0.283,150.000,-1.276,0.000,3.671,0.000,,340.385,402.628,0.091,0.000,0.000,0.000,2.642,0.965,,,45.600,0.000,,,,,,,,,0.000,0.000,0.000,55.689,-12.582,25.300,0.110,,1.010,,,11.790,,,57.740,,,17.810,,,-0.042,0.035,-1.295,0.004,-0.006,-1.816,-17.236,-16.236,-15.236,-14.236,-13.236,-12.236,-11.236,-8.236,
2022-08-12 02:00:00+00:00,1021.000,18.920,78.070,78.070,10.477,0.356,137.100,-1.687,0.000,3.126,0.000,,339.074,401.804,0.114,0.000,0.000,0.000,2.644,0.966,,,45.600,0.000,,,,,,,,,0.000,0.000,0.000,55.689,-12.582,27.300,100.110,,0.930,,,11.790,,,57.770,,,17.540,,,-0.044,0.034,-1.121,0.002,-0.007,-1.816,-17.235,-16.235,-15.235,-14.235,-13.235,-12.235,-11.235,-8.235,
2022-08-12 03:00:00+00:00,1021.000,18.630,80.900,80.900,10.661,0.167,201.700,-1.614,0.000,4.023,0.000,,340.617,400.137,0.155,0.000,0.000,0.000,2.644,0.966,,,45.600,0.000,,,,,,,,,0.000,0.000,0.000,55.689,-12.582,23.700,200.110,,0.990,,,11.800,,,56.340,,,17.310,,,-0.044,0.034,-0.947,0.002,-0.007,-1.815,-17.234,-16.234,-15.234,-14.234,-13.234,-12.234,-11.234,-8.234,
2022-08-12 04:00:00+00:00,1021.000,18.280,82.800,82.800,10.672,0.177,132.600,6.097,0.000,4.736,0.000,,337.895,398.125,0.150,0.000,0.000,0.000,2.646,0.967,,,45.600,0.000,,,,,,,,,0.000,0.000,0.000,55.689,-12.582,28.300,300.110,,0.820,,,11.790,,,56.500,,,16.740,,,-0.046,0.033,-0.773,-0.001,-0.008,-1.814,-17.234,-16.234,-15.234,-14.234,-13.234,-12.234,-11.234,-8.234,
