time,p_u,t_u,rh_u,rh_u_cor,qh_u,wspd_u,wdir_u,dsr,dsr_cor,usr,usr_cor,albedo,dlr,ulr,cc,t_surf,dlhf_u,dshf_u,z_boom_u,z_stake,z_pt,z_pt_cor,precip_u,precip_u_cor,t_i_1,t_i_2,t_i_3,t_i_4,t_i_5,t_i_6,t_i_7,t_i_8,tilt_x,tilt_y,rot,gps_lat,gps_lon,gps_alt,gps_time,gps_geoid,gps_hdop,gps_numsat,gps_q,batt_v,batt_v_ini,batt_v_ss,fan_dc_u,freq_vw,t_log,t_rad,msg_lat,msg_lon,z_surf_1,z_surf_2,z_pt_cor_adj,z_surf_1_adj,z_surf_2_adj,z_surf_combined,depth_t_i_1,depth_t_i_2,depth_t_i_3,depth_t_i_4,depth_t_i_5,depth_t_i_6,depth_t_i_7,depth_t_i_8,t_i_10m
2022-08-02 17:00:00+00:00,881.000,1.350,86.900,86.900,,1.736,104.600,614.556,,286.109,,,,,,,,,,,,,,,,,,,,,,,-1.024,-0.326,103.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-02 18:00:00+00:00,881.000,1.417,87.100,87.100,4.172,3.428,117.500,564.686,554.479,261.260,261.260,0.471,238.827,320.505,0.119,0.000,-3.817,12.947,2.634,1.793,,,0.000,0.000,,,,,,,,,-1.022,-0.324,207.300,69.595,-49.279,1169.000,1800.020,,0.750,,,13.220,,,70.010,,,4.468,,,-0.034,-0.793,,-0.001,0.108,0.053,0.260,1.260,2.260,3.260,4.260,5.260,6.260,9.260,
2022-08-02 19:00:00+00:00,881.000,1.567,86.500,86.500,4.188,3.014,117.200,476.658,465.254,228.990,228.990,0.492,236.285,318.566,0.085,0.000,-2.841,11.921,2.624,,14.572,15.807,0.000,0.000,,,,,,,,,-1.017,-0.309,207.300,69.595,-49.279,1168.000,1900.010,,0.830,,,13.180,,,69.740,,,4.098,,,-0.024,,-0.099,0.008,0.089,0.048,0.255,1.255,2.255,3.255,4.255,5.255,6.255,9.255,
2022-08-02 20:00:00+00:00,881.000,1.450,86.400,86.400,4.148,2.870,121.600,375.022,363.266,191.113,191.113,0.526,238.271,318.745,0.112,0.000,-3.504,10.507,2.623,1.831,14.582,15.817,0.000,0.000,,,,,,,,,-1.107,-0.295,206.900,69.595,-49.279,1170.000,2000.010,,0.860,,,13.120,,,70.320,,,4.090,,,-0.023,-0.831,-0.090,0.010,0.070,0.040,0.246,1.246,2.246,3.246,4.246,5.246,6.246,9.246,
2022-08-02 21:00:00+00:00,881.000,0.833,88.000,88.000,4.041,3.124,109.200,221.878,221.718,117.170,117.170,,242.948,320.532,0.193,0.000,-6.838,7.388,2.621,1.827,14.611,15.846,0.000,0.000,,,,,,,,,-1.205,-0.290,207.100,69.595,-49.279,1166.000,2100.010,,0.730,,,13.090,,,70.620,,,3.566,,,-0.021,-0.827,-0.061,0.012,0.074,0.043,0.249,1.249,2.249,3.249,4.249,5.249,6.249,9.249,
2022-08-02 22:00:00+00:00,881.000,0.617,86.400,86.400,3.906,3.778,108.000,121.275,125.498,66.618,66.618,,241.527,316.422,0.189,0.000,-12.640,6.907,2.621,1.831,14.659,15.894,0.000,0.000,,,,,,,,,-1.200,-0.274,207.400,69.595,-49.279,1161.000,2200.010,,1.500,,,13.080,,,72.550,,,2.056,,,-0.021,-0.831,-0.012,0.012,0.070,0.041,0.247,1.247,2.247,3.247,4.247,5.247,6.247,9.247,
2022-08-02 23:00:00+00:00,881.000,0.467,82.700,82.700,3.698,4.262,112.100,80.276,83.256,44.392,44.392,,237.813,311.455,0.158,-0.413,-16.139,10.810,2.621,1.833,14.736,15.971,0.000,0.000,,,,,,,,,-1.195,-0.274,207.400,69.595,-49.279,1166.000,2300.020,,0.730,,,13.070,,,71.580,,,0.882,,,-0.021,-0.833,0.065,0.011,0.068,0.040,0.246,1.246,2.246,3.246,4.246,5.246,6.246,9.246,
2022-08-03 00:00:00+00:00,881.000,-0.300,83.300,83.536,3.523,4.357,103.200,26.770,30.416,16.290,16.290,,239.701,310.464,0.216,-0.648,-20.417,4.704,2.621,1.836,14.765,16.000,0.000,0.000,,,,,,,,,-1.197,-0.274,206.600,69.595,-49.279,1177.000,0.010,,0.720,,,13.060,,,73.030,,,0.385,,,-0.021,-0.836,0.094,0.012,0.065,0.038,0.245,1.245,2.245,3.245,4.245,5.245,6.245,9.245,
2022-08-03 01:00:00+00:00,881.000,-0.800,87.100,87.771,3.551,4.542,99.900,2.835,8.624,4.639,4.639,,241.037,307.814,0.256,-1.254,-12.689,6.261,2.621,1.833,14.775,16.010,0.000,0.000,,,,,,,,,-1.197,-0.276,207.000,69.595,-49.279,1165.000,100.010,,0.810,,,13.050,,,70.680,,,-0.593,,,-0.021,-0.833,0.103,0.011,0.068,0.040,0.246,1.246,2.246,3.246,4.246,5.246,6.246,9.246,
2022-08-03 02:00:00+00:00,881.000,-0.500,88.700,89.124,3.697,4.538,105.400,-0.042,0.000,2.433,0.000,,258.459,305.905,0.424,-1.806,-0.837,16.605,2.623,1.837,14.775,16.010,0.000,0.000,,,,,,,,,-1.200,-0.269,206.500,69.595,-49.279,1165.000,200.010,,1.510,,,13.030,,,72.530,,,-1.286,,,-0.023,-0.837,0.103,0.010,0.064,0.037,0.244,1.244,2.244,3.244,4.244,5.244,6.244,9.244,
