time,p_u,t_u,rh_u,rh_u_cor,qh_u,wspd_u,wdir_u,dsr,dsr_cor,usr,usr_cor,albedo,dlr,ulr,cc,t_surf,dlhf_u,dshf_u,z_boom_u,z_stake,z_pt,z_pt_cor,precip_u,precip_u_cor,t_i_1,t_i_2,t_i_3,t_i_4,t_i_5,t_i_6,t_i_7,t_i_8,tilt_x,tilt_y,rot,gps_lat,gps_lon,gps_alt,gps_time,gps_geoid,gps_hdop,gps_numsat,gps_q,batt_v,batt_v_ini,batt_v_ss,fan_dc_u,freq_vw,t_log,t_rad,msg_lat,msg_lon,z_surf_1,z_surf_2,z_pt_cor_adj,z_surf_1_adj,z_surf_2_adj,z_surf_combined
2022-06-29 09:00:00+00:00,998.000,13.580,40.720,40.720,,17.170,227.400,10.464,,45.584,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,211.000,,,,,,,,,,,,,,,,,,,,,,,
2022-06-29 10:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,,71.141,-51.222,32.400,759.580,1.950,,,,13.160,,,,,,13.680,,,,,,,,
2022-06-29 11:00:00+00:00,1000.000,13.250,43.870,43.870,,8.310,209.800,36.546,,159.569,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,208.200,,,,,,,,,,,,,,,,,,,,,,,
2022-06-29 12:00:00+00:00,1000.000,13.500,43.550,43.550,4.213,5.635,161.100,81.443,492.146,366.114,366.114,,342.776,391.758,0.546,0.000,11.835,140.070,2.878,,,,0.000,0.000,,,,,,,,,0.000,0.000,213.100,71.141,-51.222,21.700,959.580,1.310,,,,13.200,,,,,,13.530,,,-0.278,,,-0.337,,-0.337
2022-06-29 13:00:00+00:00,1000.000,13.570,44.870,44.870,4.361,3.595,214.600,51.057,301.146,224.026,224.026,,352.505,397.644,0.652,0.000,5.684,49.570,2.489,,,,0.000,0.000,,,,,,,,,0.000,0.000,213.600,71.141,-51.222,7.700,1059.580,1.300,,,,13.230,,,,,,14.670,,,0.111,,,0.052,,0.052
2022-06-29 14:00:00+00:00,1002.000,12.950,48.680,48.680,4.533,3.887,61.300,55.103,333.889,248.384,248.384,,355.980,404.971,0.730,0.000,10.004,62.828,2.487,,,,0.000,0.000,,,,,,,,,0.000,0.000,213.900,71.141,-51.222,13.800,1159.580,1.040,,,,13.210,,,,,,14.560,,,0.113,,,0.054,,0.054
2022-06-29 15:00:00+00:00,1003.000,13.300,48.100,48.100,4.579,3.345,180.800,54.545,325.202,241.922,241.922,,352.146,399.039,0.665,0.000,6.580,39.759,2.491,,,,0.000,0.000,,,,,,,,,0.000,0.000,214.300,71.141,-51.222,13.200,1459.570,1.410,,,,13.240,,,,,,14.150,,,0.109,,,0.049,,0.049
2022-06-29 16:00:00+00:00,1004.000,13.230,48.300,48.300,4.572,4.066,241.900,48.677,290.900,216.404,216.404,,355.332,398.583,0.706,0.000,11.894,71.749,2.485,,,,0.000,0.000,,,,,,,,,0.000,0.000,212.900,71.141,-51.222,13.100,1559.570,1.220,,,,13.250,,,,,,14.270,,,0.115,,,0.055,,0.055
2022-06-29 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,,71.141,-51.222,15.500,1659.570,1.080,,,,13.240,,,,,,14.110,,,,,,0.055,,0.055
2022-06-29 18:00:00+00:00,1006.000,12.100,52.400,52.400,,1.406,29.060,30.387,,136.206,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,213.500,,,,,,,,,,,,,,,,,,,,,0.055,,0.055
2022-06-29 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,,71.141,-51.222,14.300,1859.580,1.470,,,,13.230,,,,,,13.230,,,,,,0.055,,0.055
2022-06-29 20:00:00+00:00,1007.000,12.600,50.470,50.470,,0.422,110.300,58.325,,253.438,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,213.200,,,,,,,,,,,,,,,,,,,,,0.055,,0.055
