time,p_u,t_u,rh_u,rh_u_cor,qh_u,wspd_u,wdir_u,dsr,dsr_cor,usr,usr_cor,albedo,dlr,ulr,cc,t_surf,dlhf_u,dshf_u,z_boom_u,z_stake,z_pt,z_pt_cor,precip_u,precip_u_cor,t_i_1,t_i_2,t_i_3,t_i_4,t_i_5,t_i_6,t_i_7,t_i_8,tilt_x,tilt_y,rot,gps_lat,gps_lon,gps_alt,gps_time,gps_geoid,gps_hdop,gps_numsat,gps_q,batt_v,batt_v_ini,batt_v_ss,fan_dc_u,freq_vw,t_log,t_rad,msg_lat,msg_lon,z_surf_1,z_surf_2,z_pt_cor_adj,z_surf_1_adj,z_surf_2_adj,z_surf_combined,depth_t_i_1,depth_t_i_2,depth_t_i_3,depth_t_i_4,depth_t_i_5,depth_t_i_6,depth_t_i_7,depth_t_i_8,t_i_10m
2022-04-21 12:00:00+00:00,927.000,-9.000,54.200,59.153,,0.140,243.600,,,,,,,,,,,,,,0.895,1.655,,,,,,,,,,,0.193,5.020,214.400,,,,,,,,,,,,,,,,,,,,-7.828,,,,,,,,,,,,
2022-04-21 13:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,-8.030,-5.630,-1.470,-6.390,-5.630,0.100,0.030,-4.300,0.183,5.017,,74.643,-21.463,864.000,1259.510,,1.550,,,13.630,,,74.170,,,,,,,,-7.857,,,,,,,,,,,,
2022-04-21 14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.885,,,,,,,,,,,,
2022-04-21 15:00:00+00:00,926.000,-9.200,49.750,54.402,,0.721,47.950,390.888,,316.082,,,,,,,,,,,0.800,1.569,,,,,,,,,,,0.189,5.053,213.500,,,,,,,,,,,,,,,,,,,,-7.914,,,,,,,,,,,,
2022-04-21 16:00:00+00:00,926.000,-9.170,48.730,53.271,1.001,0.780,346.600,320.794,310.763,259.626,259.626,,230.557,277.140,0.532,-8.396,0.000,0.000,2.140,,0.792,1.562,0.000,0.000,-5.882,-4.823,-5.365,-4.230,-4.543,-0.003,0.033,-3.253,0.200,5.141,213.300,74.643,-21.463,870.000,1559.510,,0.890,,,15.900,,,83.700,,,-4.211,,,0.460,,-7.922,-0.003,,-0.003,1.000,2.000,3.000,4.000,5.000,6.000,7.000,10.000,-3.253
2022-04-21 17:00:00+00:00,925.000,-8.470,43.150,46.850,0.938,3.948,123.200,344.685,331.300,276.784,276.784,,254.717,280.521,0.754,-7.748,-50.692,-10.687,1.411,,0.772,1.551,0.000,0.000,-6.480,-5.330,-5.205,-5.477,-6.183,-3.437,-3.603,-4.943,0.211,5.225,212.800,74.643,-21.463,873.000,1659.510,,0.890,,,15.920,,,84.700,,,-5.146,,,1.189,,-7.933,0.727,,0.727,1.729,2.729,3.729,4.729,5.729,6.729,7.729,10.729,-4.617
2022-04-21 18:00:00+00:00,924.000,-8.600,36.330,39.495,0.782,3.906,176.900,277.044,264.335,220.838,220.838,,226.480,272.981,0.465,-9.391,-42.108,11.282,1.406,,0.763,1.551,0.000,0.000,-5.673,-5.058,-5.633,-4.627,-6.018,-5.515,-5.688,-5.397,0.203,5.226,213.000,74.643,-21.463,868.000,1759.510,,1.160,,,13.570,,,74.550,,,-6.336,,,1.194,,-7.933,0.731,,0.731,1.734,2.734,3.734,4.734,5.734,6.734,7.734,10.734,-5.468
2022-04-21 19:00:00+00:00,923.000,-9.250,36.730,40.184,0.752,4.885,149.100,135.222,123.356,103.058,103.058,,209.076,268.413,0.311,-10.399,-45.425,19.966,1.407,,0.768,1.565,0.000,0.000,,-4.592,,,,,,,0.203,5.228,211.400,74.643,-21.463,873.000,1859.510,,0.940,,,14.590,,,75.940,,,-7.006,,,1.193,,-7.918,0.730,,0.730,1.733,2.733,3.733,4.733,5.733,6.733,7.733,10.733,
2022-04-21 20:00:00+00:00,923.000,-9.720,38.700,42.534,0.764,3.441,25.810,76.519,60.322,50.396,50.396,,210.750,260.206,0.348,-12.493,-15.884,24.755,2.372,,0.791,1.589,0.000,0.000,,,,,,,,,0.195,5.267,212.400,74.643,-21.463,864.000,1959.520,,0.910,,,13.150,,,71.190,,,-8.750,,,0.228,,-7.895,-0.234,,-0.234,0.768,1.768,2.768,3.768,4.769,5.769,6.769,9.768,
2022-04-21 21:00:00+00:00,922.000,-9.570,43.980,48.267,0.879,3.271,20.720,25.099,24.719,20.651,20.651,,215.100,257.744,0.387,-13.161,-12.190,35.422,1.401,,0.786,1.593,0.000,0.000,,,,,,,,,0.210,5.276,212.300,74.643,-21.463,861.000,2059.510,,1.060,,,13.030,,,68.910,,,-9.590,,,1.199,,-7.891,0.737,,0.737,1.739,2.739,3.739,4.739,5.739,6.739,7.739,10.739,
2022-04-21 22:00:00+00:00,919.000,-8.730,60.550,65.909,1.298,11.600,230.200,8.160,9.557,7.984,7.984,,237.385,265.691,0.584,-11.298,-24.960,85.251,2.384,,0.774,1.608,0.000,0.000,,,,,,,,,0.208,5.283,213.700,74.643,-21.463,873.000,2159.510,,1.000,,,12.980,,,66.400,,,-9.830,,,0.216,,-7.875,-0.246,,-0.246,0.756,1.756,2.756,3.756,4.756,5.756,6.756,9.756,
2022-04-21 23:00:00+00:00,918.000,-3.850,43.400,45.049,1.354,13.740,234.000,1.518,3.988,3.332,3.332,,218.176,264.750,0.163,-11.391,-20.982,279.267,2.408,,0.761,1.605,0.000,0.000,,,,,,,,,0.217,5.295,211.900,74.643,-21.463,857.000,2259.510,,1.260,,,12.940,,,68.860,,,-8.790,,,0.192,,-7.878,-0.270,,-0.151,0.852,1.852,2.852,3.852,4.852,5.852,6.852,9.852,
2022-04-22 00:00:00+00:00,917.000,-2.600,43.550,44.659,1.493,13.930,240.000,0.581,2.705,2.260,2.260,,233.818,281.958,0.268,-7.248,-80.107,176.398,2.387,,0.748,1.601,0.000,0.000,,,,,,,,,0.227,5.313,215.400,74.643,-21.463,870.000,2359.510,,0.920,,,12.900,,,69.960,,,-4.272,,,0.213,,-7.882,-0.249,,-0.055,0.947,1.947,2.947,3.947,4.947,5.947,6.947,9.947,
2022-04-22 01:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257,5.343,,74.643,-21.463,874.000,59.520,,0.830,,,12.890,,,71.170,,,-2.767,,,,,-7.885,-0.056,,0.041,1.043,2.043,3.043,4.043,5.043,6.043,7.043,10.043,
2022-04-22 02:00:00+00:00,918.000,-4.233,42.970,44.769,,2.818,33.390,-2.610,,0.740,,,,,,,,,,,0.751,1.595,,,,,,,,,,,0.263,5.367,213.600,,,,,,,,,,,,,,,,,,,,-7.889,0.137,,0.136,1.139,2.139,3.139,4.139,5.139,6.139,7.139,10.139,
