,stid,Datetime,Air pressure (upper boom),Air temperature (upper boom),Relative humidity (upper boom) - corrected,Specific humidity (upper boom),Wind speed (upper boom),Wind from direction (upper boom),Downwelling shortwave radiation - corrected,Upwelling shortwave radiation - corrected,Downwelling longwave radiation,Upwelling longwave radiation,Surface temperature,Latent heat flux (upper boom),Sensible heat flux (upper boom),Surface height from combined measurements,Surface height from combined measurements DELTA,Albedo,Cloud cover,Ablation,Melting Season
11580,CP1,1995-05-23 00:00:00+00:00,,,,,,,,,,,,,,0.16785714285714287,0.19,0.8383333333333334,,False,
11581,CP1,1995-05-24 00:00:00+00:00,788.0,-17.862916666666667,98.66125,1.528,5.37875,106.30416666666666,361.90000000000003,297.0033333333334,,,,47.016000000000005,58.876,0.18625,0.0,0.8266666666666667,,False,
11582,CP1,1995-05-25 00:00:00+00:00,791.8888888888889,-17.098333333333333,96.8925,1.1849999999999998,6.406666666666666,118.60000000000001,362.25,296.3854166666667,,,,40.32444444444444,58.902352941176474,0.18208333333333335,-0.01,0.8208333333333333,,False,
11583,CP1,1995-05-26 00:00:00+00:00,,-15.813333333333333,95.09875,,6.057083333333334,111.65833333333332,367.8833333333334,298.0933333333333,,,,,,0.17916666666666667,0.0,0.8150000000000001,,False,
11584,CP1,1995-05-27 00:00:00+00:00,795.0,-16.944999999999997,93.58791666666666,1.2475,6.417916666666667,117.17916666666666,370.4666666666667,299.46125,,,,57.0275,88.63333333333333,0.18083333333333332,0.0,0.8125,,False,
11585,CP1,1995-05-28 00:00:00+00:00,798.5333333333333,-16.569166666666668,100.3975,1.3446666666666665,5.548749999999999,126.10416666666667,355.34999999999997,289.8929166666667,,,,47.03933333333334,74.74714285714286,0.17625000000000002,0.0,0.8166666666666668,,False,
11586,CP1,1995-05-29 00:00:00+00:00,800.0,-13.323333333333332,90.52749999999999,1.8299999999999996,7.0879166666666675,108.9875,369.5833333333333,298.34250000000003,,,,53.48,61.581999999999994,0.17791666666666664,0.0,0.8083333333333335,,False,
11587,CP1,1995-05-30 00:00:00+00:00,800.0,-9.496250000000002,87.34166666666665,2.4066666666666667,9.059166666666668,131.27083333333334,375.75,302.07666666666665,,,,43.52333333333333,24.286666666666665,0.18000000000000002,0.0,0.8053846153846155,,False,
11588,CP1,1995-05-31 00:00:00+00:00,798.9583333333334,-2.8995833333333336,89.49791666666665,3.374166666666667,8.03,134.17916666666667,294.51666666666665,244.97083333333333,,,,49.565,25.495,0.17875,0.0,0.8315384615384614,,False,
11589,CP1,1995-06-01 00:00:00+00:00,799.0,-2.7025,90.08791666666666,3.526666666666667,9.07,136.45416666666668,318.125,260.97208333333333,,,,,,0.17958333333333332,0.0,0.8215384615384616,,False,
11590,CP1,1995-06-02 00:00:00+00:00,797.0,-4.4383333333333335,87.52000000000002,2.67,8.683636363636365,132.64166666666665,350.8666666666666,284.51458333333335,,,,40.92,27.07,0.17500000000000002,-0.0099999999999999,0.8107692307692308,,False,
11591,CP1,1995-06-03 00:00:00+00:00,793.2941176470588,-6.179166666666667,84.68208333333334,2.434117647058823,7.216666666666666,116.58750000000002,354.7583333333334,287.4116666666667,,,,37.88235294117647,43.913125,0.1729166666666667,-0.0099999999999999,0.8076923076923077,,False,
11592,CP1,1995-06-04 00:00:00+00:00,792.9,-6.349583333333334,84.41291666666667,2.847,5.613333333333333,121.82083333333333,371.33750000000003,299.58166666666665,,,,28.829999999999995,44.234,0.17,0.0,0.8046153846153847,,False,
11593,CP1,1995-06-05 00:00:00+00:00,796.0,-7.970416666666668,89.98041666666666,2.473333333333333,3.8245833333333334,118.69166666666666,355.3833333333334,289.4558333333334,,,,43.675000000000004,74.30666666666666,0.16708333333333333,0.0,0.8153846153846154,,False,
11594,CP1,1995-06-06 00:00:00+00:00,796.3571428571429,-8.342500000000001,93.93708333333335,2.77,8.746,135.36666666666667,345.51666666666665,279.4525,,,,41.85,54.227999999999994,0.1679166666666667,0.0,0.8099999999999999,,False,
11595,CP1,1995-06-07 00:00:00+00:00,797.8333333333334,-1.49,89.29,3.7841666666666662,9.41421052631579,155.4875,349.41249999999997,276.03999999999996,,,,2.1094736842105264,36.05368421052631,0.16,0.0,0.7915384615384616,,False,
11596,CP1,1995-06-08 00:00:00+00:00,796.875,-5.754166666666667,83.42083333333333,2.4779166666666668,8.998695652173913,143.25833333333335,367.8416666666667,278.3979166666666,,,,40.89521739130435,48.80523809523809,0.15458333333333332,-0.01,0.7492307692307693,,False,
11597,CP1,1995-06-09 00:00:00+00:00,791.5,-6.7995833333333335,96.15875000000001,2.6033333333333335,9.687142857142858,165.62083333333334,264.1333333333334,225.32375000000002,,,,40.76523809523809,52.56,0.16125,0.02,0.856153846153846,,False,
11598,CP1,1995-06-10 00:00:00+00:00,791.2352941176471,-3.7166666666666663,92.39999999999998,3.057058823529412,9.517333333333333,158.28333333333333,272.56666666666666,231.86041666666665,,,,27.913999999999998,42.99066666666667,0.1675,0.0,0.8507692307692308,,False,
11599,CP1,1995-06-11 00:00:00+00:00,788.7333333333333,-7.57125,99.77291666666667,2.4473333333333334,9.38,193.16666666666666,296.96666666666664,251.54708333333335,,,,,,0.1729166666666667,0.0099999999999999,0.8469230769230769,,False,
11600,CP1,1995-06-12 00:00:00+00:00,,-8.617083333333333,95.08083333333333,,5.759583333333333,148.1833333333333,366.05,304.9108333333333,,,,,,0.18875,0.02,0.833076923076923,,False,
11601,CP1,1995-06-13 00:00:00+00:00,793.4347826086956,-7.315833333333333,93.56000000000002,2.4173913043478263,6.945833333333333,141.82500000000002,349.1041666666667,293.5883333333333,,,,36.982608695652175,53.307272727272725,0.19791666666666666,-0.01,0.8423076923076922,,False,
11602,CP1,1995-06-14 00:00:00+00:00,791.7142857142857,-7.7245833333333325,89.5725,1.8150000000000002,9.77913043478261,134.9625,358.6666666666667,300.0783333333333,,,,46.29230769230769,36.16153846153846,0.19333333333333333,0.01,0.8369230769230769,,False,
11603,CP1,1995-06-15 00:00:00+00:00,788.8666666666667,-6.597499999999999,91.99416666666667,2.5773333333333337,2.6141666666666663,172.25833333333333,317.6666666666667,268.29875,,,,20.343999999999998,14.39,0.20333333333333334,0.0099999999999999,0.8430769230769231,,False,
11604,CP1,1995-06-16 00:00:00+00:00,785.2222222222222,-7.367916666666666,93.79333333333334,2.558888888888889,1.9616666666666667,175.71666666666667,331.84166666666664,280.52375,,,,7.902222222222223,38.81375,0.20875,0.0,0.8453846153846154,,False,
11605,CP1,1995-06-17 00:00:00+00:00,785.7142857142857,-9.238333333333333,88.07875,1.6549999999999998,4.787083333333333,111.52916666666665,397.3166666666666,323.6575,,,,20.863846153846154,2.694615384615386,0.19541666666666666,-0.02,0.8153846153846154,,False,
