,stid,Datetime,Air pressure (upper boom),Air temperature (upper boom),Relative humidity (upper boom) - corrected,Specific humidity (upper boom),Wind speed (upper boom),Wind from direction (upper boom),Downwelling shortwave radiation - corrected,Upwelling shortwave radiation - corrected,Downwelling longwave radiation,Upwelling longwave radiation,Surface temperature,Latent heat flux (upper boom),Sensible heat flux (upper boom),Surface height from combined measurements,Surface height from combined measurements DELTA,Albedo,Cloud cover,Ablation,Melting Season
43720,JAR,1996-06-19 00:00:00+00:00,,,,,,,,,,,,,,-0.004166666666666667,0.02,0.601,,False,
43721,JAR,1996-06-20 00:00:00+00:00,911.8458333333332,0.6995833333333333,88.40041666666666,3.8866666666666667,6.100833333333334,123.25416666666668,373.87625,282.0316666666667,,,,-12.403,-52.77058823529411,0.0012499999999999996,-0.06,0.7676923076923077,,False,
43722,JAR,1996-06-21 00:00:00+00:00,908.2125,0.84125,86.87916666666666,3.8725,4.102083333333333,135.14166666666665,327.375,201.41291666666666,,,,-6.727916666666665,-24.64708333333333,-0.034166666666666665,-0.01,0.6207692307692307,,False,
43723,JAR,1996-06-22 00:00:00+00:00,902.4125,1.00125,80.09875,3.6637500000000003,5.892916666666667,97.34583333333335,370.84583333333336,228.48583333333332,,,,-10.96095238095238,-70.02083333333333,-0.044583333333333336,-0.0199999999999999,0.6207692307692307,,False,
43724,JAR,1996-06-23 00:00:00+00:00,893.1749999999998,-0.15083333333333335,85.5175,3.5691666666666664,4.374583333333334,127.04166666666667,357.7,223.91375000000002,,,,-6.377826086956522,-23.63291666666667,-0.06291666666666666,-0.01,0.6253846153846154,,False,
43725,JAR,1996-06-24 00:00:00+00:00,890.9833333333332,2.1491666666666664,86.20416666666665,4.3549999999999995,5.470416666666666,99.84583333333335,382.23333333333335,222.87541666666667,,,,-23.10529411764706,-78.38894736842104,-0.085,-0.0499999999999999,0.5838461538461538,,False,
43726,JAR,1996-06-25 00:00:00+00:00,888.3833333333333,1.2525000000000002,92.54375,4.346666666666667,5.62,144.02083333333334,300.9666666666667,152.73624999999998,,,,-0.9224999999999998,-34.56916666666667,-0.12791666666666668,-0.02,0.5092307692307693,,False,
43727,JAR,1996-06-26 00:00:00+00:00,898.3083333333334,-0.4437499999999999,90.57208333333334,3.6775,3.3179166666666666,153.21666666666667,323.1583333333333,171.12583333333336,,,,-2.500833333333333,-17.26625,-0.14208333333333334,-0.0099999999999999,0.5315384615384615,,False,
43728,JAR,1996-06-27 00:00:00+00:00,896.2374999999998,0.8645833333333334,83.95583333333333,3.8041666666666667,5.109999999999999,132.4125,314.875,170.54833333333332,,,,-7.325714285714286,-32.37625,-0.15541666666666668,-0.02,0.5438461538461539,,False,
43729,JAR,1996-06-28 00:00:00+00:00,899.2624999999999,1.8520833333333335,85.47916666666667,4.156249999999999,5.37,127.38333333333333,349.9958333333334,182.50833333333333,,,,-18.68,-48.3365,-0.18083333333333332,-0.0499999999999999,0.5323076923076923,,False,
