,stid,Datetime,Air pressure (upper boom),Air temperature (upper boom),Relative humidity (upper boom) - corrected,Specific humidity (upper boom),Wind speed (upper boom),Wind from direction (upper boom),Downwelling shortwave radiation - corrected,Upwelling shortwave radiation - corrected,Downwelling longwave radiation,Upwelling longwave radiation,Surface temperature,Latent heat flux (upper boom),Sensible heat flux (upper boom),Surface height from combined measurements,Surface height from combined measurements DELTA,Albedo,Cloud cover,Ablation,Melting Season
84333,LYN_L,2021-09-01 00:00:00+00:00,958.1666666666666,2.9992916666666667,66.75379166666666,3.1427391304347827,1.8632083333333334,130.85999999999999,174.82340909090905,61.74968181818183,236.20421739130435,307.43799999999993,-1.4061739130434783,-2.656333333333334,9.214333333333334,0.10500000000000001,,0.3795,0.25556521739130433,False,
84334,LYN_L,2021-09-02 00:00:00+00:00,949.5833333333334,2.071083333333333,62.13125,2.8949583333333333,3.2134583333333335,253.58333333333337,156.79820833333335,55.775416666666665,203.5871666666667,303.42299999999994,-2.0656249999999994,-16.57575,28.337500000000002,-0.0049583333333333346,0.002,0.37525,0.0,False,
84335,LYN_L,2021-09-03 00:00:00+00:00,950.6666666666666,0.028291666666666705,87.00554166666666,3.4891666666666663,1.9670833333333333,242.26249999999993,93.81779166666666,45.113166666666665,264.87012500000003,306.39816666666667,-1.8880416666666668,-1.0765,5.89575,-0.12358333333333332,-0.09400000000000001,0.496,0.5031666666666667,False,
84336,LYN_L,2021-09-04 00:00:00+00:00,950.0416666666666,0.7000416666666668,92.94216666666667,3.920125,1.2511666666666668,230.095,100.88212499999999,52.00562500000001,317.34858333333335,312.7347916666667,-0.887,-1.308,-0.05675000000000002,-0.14420833333333333,0.05000000000000001,0.512,0.9620416666666666,False,
84337,LYN_L,2021-09-05 00:00:00+00:00,945.8333333333334,0.30449999999999994,86.98641666666667,3.570583333333333,1.4178333333333333,227.77083333333326,137.80837500000004,61.105625,284.0494166666667,306.1945416666667,-2.0905416666666667,-0.27025,6.5455000000000005,0.06129166666666667,-0.108,0.4325,0.669625,False,
84338,LYN_L,2021-09-06 00:00:00+00:00,940.7916666666666,0.41825,86.17183333333332,3.5839583333333334,1.8169583333333332,146.49425,76.95708333333334,36.043625,290.916,311.7872916666666,-0.8147916666666665,-1.7205,2.72175,-0.014624999999999999,0.059,0.473,0.71875,False,
84339,LYN_L,2021-09-07 00:00:00+00:00,943.4583333333334,-2.2491666666666665,81.71195833333333,2.7690416666666664,4.276041666666667,275.3279166666667,194.31591666666665,92.65758333333332,246.50441666666666,292.837875,-4.767541666666666,-1.0645,27.677,0.06691666666666667,0.0289999999999999,,0.42816666666666653,False,
84340,LYN_L,2021-09-08 00:00:00+00:00,947.1666666666666,-3.2427083333333333,84.42375,2.604875,3.429583333333334,227.4629166666667,139.91774999999998,67.21499999999999,252.0426666666667,290.65495833333335,-5.323708333333333,2.1414999999999997,19.55325,0.07354166666666667,-0.0129999999999999,,0.4940833333333334,False,
84341,LYN_L,2021-09-09 00:00:00+00:00,949.4583333333334,-3.079916666666667,85.69933333333334,2.6577083333333333,7.5687500000000005,286.90000000000003,169.32095833333332,81.92975,247.07175000000007,293.94366666666673,-4.496958333333334,-3.7969999999999993,40.946333333333335,-0.030583333333333334,-0.36400000000000005,,0.44279166666666664,False,
84342,LYN_L,2021-09-10 00:00:00+00:00,954.5416666666666,-5.015916666666667,74.78316666666667,1.9599166666666668,3.278791666666667,269.3666666666666,136.3024583333333,66.43758333333332,182.7230833333333,273.92175000000003,-8.854249999999999,1.14975,25.475,-0.007500000000000001,0.233,,0.017583333333333333,False,
84343,LYN_L,2021-09-11 00:00:00+00:00,946.6666666666666,-6.3195000000000014,66.31220833333333,1.5705833333333334,4.144833333333334,266.5,82.70883333333333,40.656375,169.89187500000003,266.3577083333333,-10.642000000000001,-1.0653333333333332,38.73166666666666,-0.010791666666666666,0.18899999999999997,,0.018666666666666668,False,
