,stid,Datetime,Air pressure (upper boom),Air temperature (upper boom),Relative humidity (upper boom) - corrected,Specific humidity (upper boom),Wind speed (upper boom),Wind from direction (upper boom),Downwelling shortwave radiation - corrected,Upwelling shortwave radiation - corrected,Downwelling longwave radiation,Upwelling longwave radiation,Surface temperature,Latent heat flux (upper boom),Sensible heat flux (upper boom),Surface height from combined measurements,Surface height from combined measurements DELTA,Albedo,Cloud cover,Ablation,Melting Season
99712,NAU,1995-05-31 00:00:00+00:00,763.25,-7.620434782608697,93.7608695652174,2.8899999999999997,8.863157894736842,152.69090909090912,347.28260869565213,265.41434782608695,,,,0.024999999999999467,-0.8875000000000002,-0.0013043478260869564,0.0,0.7523076923076923,,False,
99713,NAU,1995-06-01 00:00:00+00:00,762.4166666666666,-4.8516666666666675,91.27583333333332,3.0454166666666667,9.64,156.4333333333333,317.3041666666667,248.75125000000003,,,,-3.592727272727273,-6.354545454545455,-0.0025,0.0,0.7776923076923077,,False,
99714,NAU,1995-06-02 00:00:00+00:00,760.9166666666666,-6.577916666666667,93.00374999999998,2.6833333333333336,7.633333333333333,147.67916666666667,362.3666666666666,283.87125,,,,-8.73125,-20.945416666666663,-0.004166666666666667,-0.01,0.7776923076923077,,False,
99715,NAU,1995-06-03 00:00:00+00:00,760.3333333333334,-8.3575,89.29833333333333,2.2475,8.573333333333332,127.45833333333333,382.6583333333333,294.47375,,,,-5.32125,-22.52625,-0.009583333333333334,0.0,0.7661538461538462,,False,
99716,NAU,1995-06-04 00:00:00+00:00,,-8.06125,86.1825,,7.704583333333333,129.6,405.2333333333333,307.8279166666667,,,,,,-0.012083333333333333,-0.01,0.753076923076923,,False,
99717,NAU,1995-06-05 00:00:00+00:00,759.4615384615385,-9.129583333333334,90.57708333333335,1.7869230769230766,4.782916666666668,127.20416666666665,401.2916666666667,304.03999999999996,,,,-7.023846153846154,-22.612307692307695,-0.017499999999999998,0.0,0.7523076923076922,,False,
99718,NAU,1995-06-06 00:00:00+00:00,760.0,-11.442916666666667,95.005,1.525,7.045000000000001,143.11249999999998,415.23333333333335,314.3575,,,,-8.07625,-16.834999999999997,-0.019583333333333335,0.0,0.7507692307692307,,False,
99719,NAU,1995-06-07 00:00:00+00:00,759.0,-5.227083333333334,97.32791666666667,2.8221428571428575,7.9366666666666665,180.275,289.325,225.20541666666668,,,,-6.074285714285714,-9.804999999999998,-0.014166666666666668,0.0,0.7753846153846153,,False,
99720,NAU,1995-06-08 00:00:00+00:00,759.8181818181819,-5.786666666666666,92.07916666666665,3.05,6.101666666666667,176.0625,390.39166666666665,299.89625,,,,-10.697272727272729,-29.14545454545454,-0.015,-0.01,0.7661538461538462,,False,
99721,NAU,1995-06-09 00:00:00+00:00,755.5714285714286,-10.111666666666666,92.85916666666667,1.9714285714285713,8.021304347826087,136.49166666666667,396.4916666666666,304.105,,,,-2.367,-6.928500000000001,-0.017916666666666668,0.0,0.7584615384615384,,False,
