,stid,Datetime,Air pressure (upper boom),Air temperature (upper boom),Relative humidity (upper boom) - corrected,Specific humidity (upper boom),Wind speed (upper boom),Wind from direction (upper boom),Downwelling shortwave radiation - corrected,Upwelling shortwave radiation - corrected,Downwelling longwave radiation,Upwelling longwave radiation,Surface temperature,Latent heat flux (upper boom),Sensible heat flux (upper boom),Surface height from combined measurements,Surface height from combined measurements DELTA,Albedo,Cloud cover,Ablation,Melting Season
240114,UWN,2020-04-18 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,pre
240115,UWN,2020-04-19 00:00:00+00:00,913.0,0.8106666666666668,54.907000000000004,2.4370000000000003,3.2910000000000004,209.23333333333335,642.835,486.68100000000004,223.337,304.644,-1.8575,,,,,0.7565,0.0255,False,pre
240116,UWN,2020-04-20 00:00:00+00:00,915.0,1.908,57.94,,3.843,208.8,,,,,,,,,,,,False,pre
240117,UWN,2020-04-21 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,pre
240118,UWN,2020-04-22 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,pre
240119,UWN,2020-04-23 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,pre
240120,UWN,2020-04-24 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,pre
240121,UWN,2020-04-25 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,pre
240122,UWN,2020-04-26 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,pre
240123,UWN,2020-04-27 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,pre
240124,UWN,2020-04-28 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,pre
240125,UWN,2020-04-29 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,pre
240126,UWN,2020-04-30 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,pre
240127,UWN,2020-05-01 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,pre
240128,UWN,2020-05-02 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,pre
240129,UWN,2020-05-03 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,pre
240130,UWN,2020-05-04 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,pre
240131,UWN,2020-05-05 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,pre
240132,UWN,2020-05-06 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,pre
240133,UWN,2020-05-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,pre
240134,UWN,2020-05-08 00:00:00+00:00,898.0,0.656,76.13,,1.421,304.1,,,,,,,,,,,,False,pre
240135,UWN,2020-05-09 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,pre
240136,UWN,2020-05-10 00:00:00+00:00,,,,,,,,,,,,,,,,,,True,beginning
240137,UWN,2020-05-11 00:00:00+00:00,,,,,,,,,,,,,,,,,,True,beginning
240138,UWN,2020-05-12 00:00:00+00:00,,,,,,,,,,,,,,,,,,True,beginning
240139,UWN,2020-05-13 00:00:00+00:00,896.0,-2.208,47.002,,2.711,286.1,,,,,,,,,,,,True,beginning
240140,UWN,2020-05-14 00:00:00+00:00,,,,,,,,,,,,,,,,,,True,beginning
240141,UWN,2020-05-15 00:00:00+00:00,,,,,,,,,,,,,,,,,,True,middle
240142,UWN,2020-05-16 00:00:00+00:00,885.0,-4.421,98.218,,2.133,269.5,,,,,,,,,,,,False,pre
240143,UWN,2020-05-17 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,pre
240144,UWN,2020-05-18 00:00:00+00:00,,,,,,,,,,,,,,,,,,False,pre
