,stid,Datetime,Air pressure (upper boom),Air temperature (upper boom),Relative humidity (upper boom) - corrected,Specific humidity (upper boom),Wind speed (upper boom),Wind from direction (upper boom),Downwelling shortwave radiation - corrected,Upwelling shortwave radiation - corrected,Downwelling longwave radiation,Upwelling longwave radiation,Surface temperature,Latent heat flux (upper boom),Sensible heat flux (upper boom),Surface height from combined measurements,Surface height from combined measurements DELTA,Albedo,Cloud cover,Ablation,Melting Season
246809,ZAK_U,2019-09-12 00:00:00+00:00,,,,,,,,,,,,,,0.00175,,,,False,
246810,ZAK_U,2019-09-13 00:00:00+00:00,,-2.4277916666666663,2.0908333333333333,,69.33375000000001,67.33,,,309.5980416666667,309.831875,-1.5915416666666669,,,0.0025416666666666665,0.0,,0.9997916666666667,False,
246811,ZAK_U,2019-09-14 00:00:00+00:00,,-2.2493333333333334,3.0562083333333336,,98.8,30.16,,,309.92137499999995,310.324375,-1.5599166666666668,,,0.002416666666666667,-0.004,,1.0,False,
246812,ZAK_U,2019-09-15 00:00:00+00:00,,-1.5177916666666669,2.9549583333333334,,89.0,30.66,,,311.857,312.0919166666667,-1.2929166666666667,,,0.0003333333333333333,0.0030000000000000005,,0.99825,False,
246813,ZAK_U,2019-09-16 00:00:00+00:00,,-0.03737499999999999,7.6532083333333345,,,,,,317.85337499999997,317.94825,-0.007833333333333333,,,0.000875,-0.001,,0.9993333333333334,False,
246814,ZAK_U,2019-09-17 00:00:00+00:00,,-1.0403333333333333,3.9564166666666662,,66.64,78.02,,,315.9808333333333,316.28637499999996,-0.6295416666666667,,,-0.0027500000000000003,-0.002,,1.0,False,
246815,ZAK_U,2019-09-18 00:00:00+00:00,,-5.309625,4.250416666666667,,,,,,295.534875,296.124625,-4.333541666666666,,,-0.0032083333333333334,0.004,,0.9992083333333334,False,
246816,ZAK_U,2019-09-19 00:00:00+00:00,,-7.242416666666667,2.9641250000000006,,56.435,50.16499999999999,,,287.72679166666666,288.09766666666667,-6.175666666666667,,,-4.1666666666666665e-05,0.0030000000000000005,,0.999875,False,
246817,ZAK_U,2019-09-20 00:00:00+00:00,,-9.133375000000001,4.597916666666666,,,,,,278.6476666666667,279.29979166666664,-8.244541666666667,,,-0.004458333333333333,-0.006000000000000001,,0.9977499999999999,False,
246818,ZAK_U,2019-09-21 00:00:00+00:00,,-6.981208333333332,3.2417083333333334,,78.7475,46.8775,,,287.2336666666667,287.76495833333337,-6.254875000000001,,,-0.005291666666666667,0.007,,0.9974583333333333,False,
246819,ZAK_U,2019-09-22 00:00:00+00:00,,-3.1152083333333334,3.349041666666667,,89.93333333333332,59.24333333333333,,,303.972125,304.3257916666667,-2.7287083333333335,,,-0.00825,0.006000000000000001,,0.9974999999999999,False,
246820,ZAK_U,2019-09-23 00:00:00+00:00,,1.3324166666666668,2.7339583333333333,,68.16333333333334,62.163333333333334,,,323.59970833333335,323.787125,-0.12583333333333332,,,-0.006416666666666667,0.002,,0.9884166666666667,False,
246821,ZAK_U,2019-09-24 00:00:00+00:00,,5.904,4.13175,,82.5,50.56,,,345.892125,346.34195833333337,0.0,,,-0.012124999999999999,-0.013,,0.9913333333333334,False,
246822,ZAK_U,2019-09-25 00:00:00+00:00,,2.310208333333333,2.504958333333333,,81.08500000000001,70.77,,,330.362625,330.3725416666667,-0.13449999999999998,,,-0.007541666666666666,0.019,,0.9984583333333333,False,
246823,ZAK_U,2019-09-26 00:00:00+00:00,,-2.5985833333333335,6.587541666666667,,,,,,307.2463333333333,307.536,-1.78275,,,-0.0014583333333333334,-0.035,,0.9989166666666667,False,
246824,ZAK_U,2019-09-27 00:00:00+00:00,,0.8082083333333334,3.8355416666666664,,,,,,320.9710416666667,321.4983333333334,-1.2671249999999998,,,-0.00725,0.015,,0.9900833333333333,False,
246825,ZAK_U,2019-09-28 00:00:00+00:00,,4.301333333333333,4.225875,,,,,,337.97629166666667,338.503125,0.0,,,-0.007333333333333333,-0.005,,0.99275,False,
246826,ZAK_U,2019-09-29 00:00:00+00:00,,0.4543913043478261,2.7700833333333335,,99.9,87.1,,0.0,321.7665416666667,322.77866666666665,-0.7011666666666668,,,-0.006625,0.020999999999999897,,0.9980869565217391,False,
246827,ZAK_U,2019-09-30 00:00:00+00:00,,-6.624956521739129,1.656217391304348,,86.15,33.010000000000005,,0.38182608695652176,293.88613043478256,294.3592608695652,-5.376391304347827,,,-0.005458333333333333,-0.004,,0.9969565217391304,False,
246828,ZAK_U,2019-10-01 00:00:00+00:00,,-9.035,1.943,,,,,,,,,,,-0.004,0.0,,,False,
246829,ZAK_U,2019-10-02 00:00:00+00:00,,-4.061,3.644,,,,,,,,,,,-0.004,0.0,,,False,
246830,ZAK_U,2019-10-03 00:00:00+00:00,,-0.04099999999999998,4.835,,,,,,,,,,,-0.004,0.0,,,False,
246831,ZAK_U,2019-10-04 00:00:00+00:00,,0.376,3.174,,96.2,59.84,,,,,,,,-0.005,0.0,,,False,
246832,ZAK_U,2019-10-05 00:00:00+00:00,,1.2890000000000001,3.3085,,,,,,,,,,,-0.005,0.0,,,False,
246833,ZAK_U,2019-10-06 00:00:00+00:00,,-1.0365,5.252000000000001,,88.0,92.2,,,,,,,,-0.005,0.0,,,False,
246834,ZAK_U,2019-10-07 00:00:00+00:00,,-2.346,4.2165,,,,,,,,,,,-0.005791666666666667,-0.001,,,False,
246835,ZAK_U,2019-10-08 00:00:00+00:00,,-3.0244999999999997,2.758,,,,,,,,,,,-0.006000000000000001,0.0,,,False,
246836,ZAK_U,2019-10-09 00:00:00+00:00,,-6.8085,4.702500000000001,,,,,,,,,,,-0.006000000000000001,0.0,,,False,
246837,ZAK_U,2019-10-10 00:00:00+00:00,,-6.3294999999999995,4.8705,,,,,,,,,,,-0.006583333333333333,-0.001,,,False,
246838,ZAK_U,2019-10-11 00:00:00+00:00,,-4.935499999999999,4.098000000000001,,,,,,,,,,,-0.007,0.0,,,False,
246839,ZAK_U,2019-10-12 00:00:00+00:00,,-6.5920000000000005,5.5009999999999994,,,,,,,,,,,-0.007,0.0,,,False,
246840,ZAK_U,2019-10-13 00:00:00+00:00,,-9.67,4.307,,,,,,,,,,,-0.007375,-0.001,,,False,
246841,ZAK_U,2019-10-14 00:00:00+00:00,,-10.9,4.199,,,,,,,,,,,-0.008,0.0,,,False,
246842,ZAK_U,2019-10-15 00:00:00+00:00,,-9.715,4.04,,,,,,,,,,,-0.008,0.0,,,False,
246843,ZAK_U,2019-10-16 00:00:00+00:00,,-8.122499999999999,3.3970000000000002,,,,,,,,,,,-0.008166666666666668,-0.0009999999999999,,,False,
246844,ZAK_U,2019-10-17 00:00:00+00:00,,-9.58,5.814,,,,,,,,,,,-0.009,0.0,,,False,
246845,ZAK_U,2019-10-18 00:00:00+00:00,,-11.59,4.6555,,,,,,,,,,,-0.009,0.0,,,False,
246846,ZAK_U,2019-10-19 00:00:00+00:00,,-9.745000000000001,4.3325000000000005,,,,,,,,,,,-0.009,0.0,,,False,
246847,ZAK_U,2019-10-20 00:00:00+00:00,,-16.275,3.146,,,,,,,,,,,-0.009958333333333333,-0.001,,,False,
246848,ZAK_U,2019-10-21 00:00:00+00:00,,-15.555,4.849,,,,,,,,,,,-0.01,0.0,,,False,
246849,ZAK_U,2019-10-22 00:00:00+00:00,,-13.555,9.081,,,,,,,,,,,-0.01,0.0,,,False,
246850,ZAK_U,2019-10-23 00:00:00+00:00,,-14.935,5.7215,,,,,,,,,,,-0.010750000000000001,-0.0009999999999999,,,False,
246851,ZAK_U,2019-10-24 00:00:00+00:00,,-12.315000000000001,4.3740000000000006,,,,,,,,,,,-0.011000000000000001,0.0,,,False,
246852,ZAK_U,2019-10-25 00:00:00+00:00,,-4.7175,3.703,,,,,,,,,,,-0.011000000000000001,0.0,,,False,
246853,ZAK_U,2019-10-26 00:00:00+00:00,,0.1205,3.8434999999999997,,,,,,,,,,,-0.011541666666666667,-0.001,,,False,
246854,ZAK_U,2019-10-27 00:00:00+00:00,,-1.354,3.275,,,,,,,,,,,-0.012000000000000002,0.0,,,False,
246855,ZAK_U,2019-10-28 00:00:00+00:00,,-6.96,2.234,,,,,0.009,332.2865,338.43600000000004,-3.2325,,,-0.010875000000000001,0.005,,1.0,False,
246856,ZAK_U,2019-10-29 00:00:00+00:00,,-7.6155,4.295,,,,,0.004,284.019,284.265,-7.054,,,-0.01875,-0.017,,1.0,False,
246857,ZAK_U,2019-10-30 00:00:00+00:00,,-15.6,1.6735000000000002,,,,,0.007,250.212,250.6005,-15.326,,,-0.016416666666666666,0.012000000000000002,,1.0,False,
246858,ZAK_U,2019-10-31 00:00:00+00:00,,-17.975,4.025,,,,,0.004,241.268,241.8365,-17.591,,,-0.011583333333333334,-0.008,,1.0,False,
246859,ZAK_U,2019-11-01 00:00:00+00:00,,-18.884999999999998,3.543,,,,,0.0,237.67649999999998,238.2475,-18.548000000000002,,,-0.02008333333333333,0.008,,1.0,False,
246860,ZAK_U,2019-11-02 00:00:00+00:00,,-21.46,2.2,,,,,0.0,227.713,228.188,-21.2785,,,-0.008708333333333334,-0.005,,0.9984999999999999,False,
246861,ZAK_U,2019-11-03 00:00:00+00:00,,-21.13,3.3795,,,,,0.0,229.56650000000002,230.113,-20.746000000000002,,,-0.015125,0.005,,1.0,False,
246862,ZAK_U,2019-11-04 00:00:00+00:00,,-18.42,5.269,,,,,0.0,240.15800000000002,240.719,-17.886,,,-0.012249999999999999,0.0030000000000000005,,1.0,False,
246863,ZAK_U,2019-11-05 00:00:00+00:00,,-16.19,5.106,,,,,0.0,248.4595,249.02249999999998,-15.713000000000001,,,-0.016916666666666667,-0.004,,1.0,False,
246864,ZAK_U,2019-11-06 00:00:00+00:00,,-17.045,4.8985,,,,,0.0,245.024,245.5615,-16.613,,,-0.012249999999999999,-0.005,,1.0,False,
246865,ZAK_U,2019-11-07 00:00:00+00:00,,-17.854999999999997,2.6109999999999998,,,,,0.0,241.22699999999998,241.723,-17.622,,,-0.013166666666666667,-0.0029999999999999,,1.0,False,
246866,ZAK_U,2019-11-08 00:00:00+00:00,,-17.740000000000002,4.0855,,,,,0.0,242.478,242.97,-17.292,,,-0.015416666666666667,0.026,,1.0,False,
246867,ZAK_U,2019-11-09 00:00:00+00:00,,-16.66,3.159,,,,,0.0,246.119,246.5935,-16.3465,,,-0.014624999999999999,-0.017,,1.0,False,
246868,ZAK_U,2019-11-10 00:00:00+00:00,,-16.68,2.8255,,,,,0.0,246.101,246.52100000000002,-16.417,,,-0.009041666666666667,0.005,,1.0,False,
246869,ZAK_U,2019-11-11 00:00:00+00:00,,-10.434999999999999,3.3975,,,,,0.0,271.03549999999996,271.40999999999997,-10.122499999999999,,,-0.006916666666666667,-0.0030000000000000005,,1.0,False,
