,stid,Air pressure (upper boom),Air temperature (upper boom),Relative humidity (upper boom) - corrected,Specific humidity (upper boom),Wind speed (upper boom),Wind from direction (upper boom),Downwelling shortwave radiation - corrected,Upwelling shortwave radiation - corrected,Albedo,Downwelling longwave radiation,Upwelling longwave radiation,Cloud cover,Surface temperature,Latent heat flux (upper boom),Sensible heat flux (upper boom),,Surface height from combined measurements,Datetime,Ablation,Melting Season,Surface height from combined measurements DELTA
1754873,KPC_Lv3,975.0,1.667,61.15,,4.803,178.5,,,,,,,,,,,,2022-05-28 17:00:00+00:00,False,pre,
1754874,KPC_Lv3,975.0,1.35,62.0,2.67,6.018,172.8,427.03,308.95,0.724,231.331,313.388,0.044,0.0,-63.516,25.077,,-0.117,2022-05-28 18:00:00+00:00,False,pre,
1754875,KPC_Lv3,975.0,0.917,66.17,2.762,5.38,168.0,374.326,273.432,0.731,231.661,310.717,0.07,-0.537,-46.083,24.786,,0.013,2022-05-28 19:00:00+00:00,False,pre,
1754876,KPC_Lv3,975.0,0.467,67.92,2.744,5.131,173.2,306.09,225.511,,235.842,309.074,0.137,-0.935,-39.36,22.848,,0.01,2022-05-28 20:00:00+00:00,False,pre,
1754877,KPC_Lv3,974.0,-0.183,71.371,2.748,5.067,177.2,243.845,181.184,,239.318,307.301,0.207,-1.359,-33.545,19.156,,0.012,2022-05-28 21:00:00+00:00,False,pre,
1754878,KPC_Lv3,974.0,-0.55,72.902,2.723,4.701,173.0,176.53,132.276,,238.004,302.917,0.211,-2.348,-20.074,26.354,,0.01,2022-05-28 22:00:00+00:00,False,pre,
1754879,KPC_Lv3,974.0,-1.05,74.266,2.661,3.963,179.7,164.337,124.172,,228.772,299.088,0.139,-3.164,-11.291,25.174,,0.008,2022-05-28 23:00:00+00:00,False,pre,
1754880,KPC_Lv3,974.0,-1.633,76.414,2.608,3.345,177.9,108.315,82.523,,230.056,296.408,0.181,-3.795,-6.346,20.742,,0.008,2022-05-29 00:00:00+00:00,False,pre,-0.007
1754881,KPC_Lv3,973.0,-1.617,74.838,2.561,2.93,180.0,168.529,129.457,,228.113,291.077,0.16,-5.029,-0.06,22.828,,0.002,2022-05-29 01:00:00+00:00,False,pre,-0.007
1754882,KPC_Lv3,973.0,-1.167,71.043,2.524,3.712,213.9,167.89,130.021,,243.226,291.967,0.297,-4.926,-1.694,36.231,,0.002,2022-05-29 02:00:00+00:00,False,pre,-0.007
1754883,KPC_Lv3,972.0,-1.3,72.522,2.551,3.012,206.6,180.259,140.733,,233.019,293.226,0.196,-4.559,-2.439,23.402,,0.006,2022-05-29 03:00:00+00:00,False,pre,-0.007
1754884,KPC_Lv3,972.0,-0.6,67.838,2.529,2.537,217.6,229.413,180.55,,226.878,289.26,0.097,-5.45,0.566,18.404,,0.005,2022-05-29 04:00:00+00:00,False,pre,-0.007
1754885,KPC_Lv3,972.0,-0.633,64.519,2.398,3.668,232.8,272.192,215.927,,230.907,295.147,0.141,-4.094,-10.335,33.521,,0.009,2022-05-29 05:00:00+00:00,False,pre,-0.007
1754886,KPC_Lv3,972.0,-0.083,63.566,2.473,2.343,271.2,326.285,260.888,,227.271,291.178,0.075,-5.0,-0.835,14.645,,0.006,2022-05-29 06:00:00+00:00,False,pre,-0.007
1754887,KPC_Lv3,972.0,-0.45,68.563,2.588,2.129,259.1,347.353,279.915,0.806,235.655,299.882,0.181,-3.029,-5.056,10.27,,0.007,2022-05-29 07:00:00+00:00,False,pre,-0.007
1754888,KPC_Lv3,972.0,0.133,71.07,2.811,2.294,197.6,413.562,335.095,0.81,229.326,300.805,0.086,-2.772,-3.634,12.678,,0.004,2022-05-29 08:00:00+00:00,False,pre,-0.007
1754889,KPC_Lv3,971.0,0.8,68.03,2.827,2.267,208.4,471.618,380.479,0.807,231.604,302.301,0.075,-2.445,-4.075,12.707,,0.009,2022-05-29 09:00:00+00:00,False,pre,-0.007
1754890,KPC_Lv3,971.0,1.5,68.77,3.006,2.052,171.5,477.719,385.342,0.807,234.829,307.423,0.073,-1.301,-4.906,9.556,,0.012,2022-05-29 10:00:00+00:00,False,pre,-0.007
