,stid,Air pressure (upper boom),Air temperature (upper boom),Relative humidity (upper boom) - corrected,Specific humidity (upper boom),Wind speed (upper boom),Wind from direction (upper boom),Downwelling shortwave radiation - corrected,Upwelling shortwave radiation - corrected,Albedo,Downwelling longwave radiation,Upwelling longwave radiation,Cloud cover,Surface temperature,Latent heat flux (upper boom),Sensible heat flux (upper boom),,Surface height from combined measurements,Datetime,Ablation,Melting Season,Surface height from combined measurements DELTA
1888203,KPC_Uv3,919.0,-3.133,76.742,,0.002,322.9,,,,,,,,,,,,2022-05-28 13:00:00+00:00,False,,
1888204,KPC_Uv3,919.0,-2.333,77.119,2.631,,,569.619,442.17,0.776,209.216,303.306,0.0,-2.062,,,,0.43,2022-05-28 14:00:00+00:00,False,,
1888205,KPC_Uv3,919.0,-1.25,74.511,2.784,,,564.103,443.239,0.786,210.698,300.482,0.0,-2.718,,,,0.296,2022-05-28 15:00:00+00:00,False,,
1888206,KPC_Uv3,918.0,-0.917,75.179,2.891,,,534.577,416.807,0.78,214.181,302.476,0.0,-2.285,,,,0.298,2022-05-28 16:00:00+00:00,False,,
1888207,KPC_Uv3,918.0,-0.483,72.382,2.885,,,496.193,383.652,0.773,220.621,305.337,0.025,-1.677,,,,0.297,2022-05-28 17:00:00+00:00,False,,
1888208,KPC_Uv3,918.0,-0.733,74.038,2.89,,,440.093,336.211,0.764,221.838,304.334,0.051,-1.913,,,,0.298,2022-05-28 18:00:00+00:00,False,,
1888209,KPC_Uv3,918.0,-1.233,75.218,2.817,,,404.507,305.195,0.754,229.001,307.969,0.151,-1.138,,,,0.3,2022-05-28 19:00:00+00:00,False,,
1888210,KPC_Uv3,918.0,-1.583,74.194,2.699,,,330.925,250.344,0.756,231.806,302.872,0.197,-2.316,,,,0.3,2022-05-28 20:00:00+00:00,False,,
1888211,KPC_Uv3,918.0,-2.067,73.982,2.584,,,283.957,215.432,,230.492,299.269,0.207,-3.135,,,,0.299,2022-05-28 21:00:00+00:00,False,,
1888212,KPC_Uv3,918.0,-2.65,73.92,2.459,,,217.479,165.47,,240.047,298.371,0.335,-3.408,,,,0.302,2022-05-28 22:00:00+00:00,False,,
1888213,KPC_Uv3,918.0,-3.35,72.596,2.276,,,191.027,145.76,,226.944,292.767,0.232,-4.623,,,,0.301,2022-05-28 23:00:00+00:00,False,,
1888214,KPC_Uv3,917.0,-4.683,74.38,2.084,,,118.902,90.986,,226.97,290.203,0.294,-5.228,,,,0.305,2022-05-29 00:00:00+00:00,False,,-0.016000000000000014
1888215,KPC_Uv3,917.0,-5.583,76.766,1.992,,,162.367,124.599,,225.333,284.182,0.318,-6.65,,,,0.298,2022-05-29 01:00:00+00:00,False,,-0.016000000000000014
1888216,KPC_Uv3,917.0,-5.3,76.933,2.045,,,176.003,135.447,,233.602,279.892,0.392,-7.747,,,,0.296,2022-05-29 02:00:00+00:00,False,,-0.016000000000000014
1888217,KPC_Uv3,916.0,-4.617,75.817,2.139,,,171.943,132.697,,229.396,280.452,0.316,-7.58,,,,0.297,2022-05-29 03:00:00+00:00,False,,-0.016000000000000014
1888218,KPC_Uv3,916.0,-5.483,77.303,2.025,,,216.865,167.838,,226.499,284.632,0.326,-6.551,,,,0.298,2022-05-29 04:00:00+00:00,False,,-0.016000000000000014
1888219,KPC_Uv3,916.0,-5.233,76.2,2.04,,,248.837,193.125,,220.457,281.31,0.251,-7.308,,,,0.297,2022-05-29 05:00:00+00:00,False,,-0.016000000000000014
1888220,KPC_Uv3,916.0,-4.217,74.294,2.169,,,309.881,241.177,,218.139,281.112,0.18,-7.338,,,,0.297,2022-05-29 06:00:00+00:00,False,,-0.016000000000000014
1888221,KPC_Uv3,915.0,-3.667,73.804,2.26,,,346.995,270.817,,222.65,285.471,0.202,-6.322,,,,0.297,2022-05-29 07:00:00+00:00,False,,-0.016000000000000014
1888222,KPC_Uv3,915.0,-3.4,74.15,2.323,,,379.021,296.639,0.783,224.383,290.019,0.207,-5.253,,,,0.298,2022-05-29 08:00:00+00:00,False,,-0.016000000000000014
1888223,KPC_Uv3,915.0,-2.783,74.221,2.449,,,455.478,358.671,0.787,224.048,291.022,0.174,-5.014,,,,0.298,2022-05-29 09:00:00+00:00,False,,-0.016000000000000014
1888224,KPC_Uv3,915.0,-2.433,75.587,2.569,,,467.133,371.352,0.795,228.405,296.43,0.203,-3.778,,,,0.298,2022-05-29 10:00:00+00:00,False,,-0.016000000000000014
1888225,KPC_Uv3,915.0,-1.767,75.191,2.702,,,532.634,426.203,0.8,229.248,299.888,0.179,-2.983,,,,0.294,2022-05-29 11:00:00+00:00,False,,-0.016000000000000014
