,stid,Air pressure (upper boom),Air temperature (upper boom),Relative humidity (upper boom) - corrected,Specific humidity (upper boom),Wind speed (upper boom),Wind from direction (upper boom),Downwelling shortwave radiation - corrected,Upwelling shortwave radiation - corrected,Albedo,Downwelling longwave radiation,Upwelling longwave radiation,Cloud cover,Surface temperature,Latent heat flux (upper boom),Sensible heat flux (upper boom),,Surface height from combined measurements,Datetime,Ablation,Melting Season,Surface height from combined measurements DELTA
2021818,LYN_L,959.0,0.504,92.2,,1.045,65.12,,,,,,,,,,,,2021-09-01 00:00:00+00:00,False,,
2021819,LYN_L,959.0,0.567,90.5,3.744,1.178,100.5,,,,294.886,309.205,0.754,-1.305,,,,,2021-09-01 01:00:00+00:00,False,,
2021820,LYN_L,959.0,0.717,89.4,3.739,2.23,102.2,0.0,0.0,,305.256,312.24,0.856,-0.691,,,,,2021-09-01 02:00:00+00:00,False,,
2021821,LYN_L,960.0,0.724,90.5,3.783,2.31,99.5,0.0,0.0,,306.922,314.177,0.873,-0.268,,,,,2021-09-01 03:00:00+00:00,False,,
2021822,LYN_L,960.0,0.5,92.7,3.813,1.615,106.9,0.0,0.0,,305.946,315.256,0.874,-0.02,,,,,2021-09-01 04:00:00+00:00,False,,
2021823,LYN_L,960.0,0.542,91.2,3.762,1.409,113.5,0.0,0.0,,293.813,313.063,0.744,-0.429,,,,,2021-09-01 05:00:00+00:00,False,,
2021824,LYN_L,960.0,0.406,93.5,3.819,1.605,100.7,0.0,0.0,,309.255,314.318,0.913,-0.252,-0.783,2.893,,0.114,2021-09-01 06:00:00+00:00,False,,
2021825,LYN_L,960.0,0.126,97.5,3.903,1.522,128.9,4.867,1.995,,291.947,312.745,0.745,-0.488,,,,0.115,2021-09-01 07:00:00+00:00,False,,
2021826,LYN_L,960.0,-0.185,88.251,3.447,0.99,246.4,51.495,18.386,,230.952,301.622,0.119,-2.596,,,,0.115,2021-09-01 08:00:00+00:00,False,,
2021827,LYN_L,960.0,1.395,73.14,3.209,1.355,227.8,98.122,34.778,,190.838,286.708,0.0,-5.799,,,,0.115,2021-09-01 09:00:00+00:00,False,,
2021828,LYN_L,960.0,2.366,66.38,3.123,1.15,93.0,144.75,51.169,,190.394,289.544,0.0,-5.124,,,,0.115,2021-09-01 10:00:00+00:00,False,,
2021829,LYN_L,960.0,2.729,63.06,3.045,2.418,288.4,191.377,67.561,,202.868,305.108,0.0,-1.608,,,,0.116,2021-09-01 11:00:00+00:00,False,,
2021830,LYN_L,959.0,4.174,50.8,2.72,2.594,49.48,238.005,83.952,,200.324,303.484,0.0,-1.96,-5.682,19.0,,0.116,2021-09-01 12:00:00+00:00,False,,
2021831,LYN_L,959.0,4.425,51.11,2.785,2.725,58.26,284.632,100.343,,207.083,310.642,0.0,-0.388,,,,0.113,2021-09-01 13:00:00+00:00,False,,
2021832,LYN_L,959.0,4.911,48.77,2.75,3.504,39.48,331.26,116.734,,207.658,311.068,0.0,-0.297,,,,0.109,2021-09-01 14:00:00+00:00,False,,
2021833,LYN_L,958.0,5.309,49.71,2.885,2.331,31.92,377.887,133.126,0.41,199.626,301.296,0.0,-2.455,,,,0.106,2021-09-01 15:00:00+00:00,False,,
2021834,LYN_L,958.0,5.598,48.35,2.863,1.159,248.2,424.515,149.517,0.384,196.679,296.889,0.0,-3.45,,,,0.103,2021-09-01 16:00:00+00:00,False,,
2021835,LYN_L,957.0,6.147,45.06,2.775,2.157,23.79,471.142,165.909,0.372,212.103,311.083,0.0,-0.324,,,,0.1,2021-09-01 17:00:00+00:00,False,,
2021836,LYN_L,956.0,6.448,42.24,2.659,1.72,59.45,517.77,182.3,0.352,205.615,304.315,0.0,-1.807,-1.504,5.75,,0.096,2021-09-01 18:00:00+00:00,False,,
