,stid,Air pressure (upper boom),Air temperature (upper boom),Relative humidity (upper boom) - corrected,Specific humidity (upper boom),Wind speed (upper boom),Wind from direction (upper boom),Downwelling shortwave radiation - corrected,Upwelling shortwave radiation - corrected,Albedo,Downwelling longwave radiation,Upwelling longwave radiation,Cloud cover,Surface temperature,Latent heat flux (upper boom),Sensible heat flux (upper boom),,Surface height from combined measurements,Datetime,Ablation,Melting Season,Surface height from combined measurements DELTA
1906801,LYN_T,912.0,-2.389,94.66,,1.87,85.9,,,,,,,,,,,,2021-09-01 00:00:00+00:00,False,,
1906802,LYN_T,912.0,-2.618,100.0,3.357,2.897,84.6,0.0,0.0,,288.245,299.225,0.838,-3.546,,,,,2021-09-01 01:00:00+00:00,False,,
1906803,LYN_T,912.0,-2.575,100.0,3.369,3.561,110.0,0.0,0.0,,299.749,301.773,0.957,-3.036,,,,,2021-09-01 02:00:00+00:00,False,,
1906804,LYN_T,912.0,-2.494,100.0,3.392,4.662,106.1,0.0,0.0,,298.99,303.206,0.945,-2.701,,,,-1.431,2021-09-01 03:00:00+00:00,False,,
1906805,LYN_T,912.0,-2.529,100.0,3.382,4.522,116.2,0.0,0.0,,294.655,303.321,0.901,-2.645,,,,-1.429,2021-09-01 04:00:00+00:00,False,,
1906806,LYN_T,912.0,-2.706,100.0,3.332,5.113,123.3,0.0,0.0,,284.64,301.289,0.805,-3.043,,,,-1.426,2021-09-01 05:00:00+00:00,False,,
1906807,LYN_T,913.0,-2.519,100.0,3.381,5.546,128.2,0.0,0.0,,299.908,302.752,0.956,-2.812,,,,-1.424,2021-09-01 06:00:00+00:00,False,,
1906808,LYN_T,913.0,-2.505,100.0,3.385,4.805,118.4,2.267,2.222,,298.945,303.311,0.945,-2.676,,,,-1.427,2021-09-01 07:00:00+00:00,False,,
1906809,LYN_T,913.0,-3.109,100.0,3.217,4.341,95.9,67.773,61.764,,263.642,293.092,0.604,-4.806,,,,-1.431,2021-09-01 08:00:00+00:00,False,,
1906810,LYN_T,913.0,-2.946,100.0,3.262,3.955,82.7,133.279,121.306,,236.423,286.903,0.311,-6.079,,,,-1.434,2021-09-01 09:00:00+00:00,False,,
1906811,LYN_T,913.0,-2.148,92.806,3.237,2.924,80.6,198.785,180.848,,188.989,284.259,0.0,-6.371,,,,-1.43,2021-09-01 10:00:00+00:00,False,,
1906812,LYN_T,913.0,-1.286,79.64,2.986,4.272,92.5,264.291,240.39,,189.029,288.989,0.0,-5.246,,,,-1.425,2021-09-01 11:00:00+00:00,False,,
1906813,LYN_T,913.0,-0.184,67.415,2.769,5.666,95.7,329.797,299.932,0.98,188.826,292.796,0.0,-4.349,,,,-1.421,2021-09-01 12:00:00+00:00,False,,
1906814,LYN_T,912.0,0.477,64.2,2.775,5.67,85.8,395.303,359.474,0.949,189.412,296.032,0.0,-3.599,,,,-1.422,2021-09-01 13:00:00+00:00,False,,
