,stid,Air pressure (upper boom),Air temperature (upper boom),Relative humidity (upper boom) - corrected,Specific humidity (upper boom),Wind speed (upper boom),Wind from direction (upper boom),Downwelling shortwave radiation - corrected,Upwelling shortwave radiation - corrected,Albedo,Downwelling longwave radiation,Upwelling longwave radiation,Cloud cover,Surface temperature,Latent heat flux (upper boom),Sensible heat flux (upper boom),,Surface height from combined measurements,Datetime,Ablation,Melting Season,Surface height from combined measurements DELTA
3227771,NUK_Uv3,873.0,3.5,73.7,,0.519,140.0,,,,,,,,,,,,2020-08-31 15:00:00+00:00,False,,
3227772,NUK_Uv3,,,,,,,,,,,,,,,,,,2020-08-31 16:00:00+00:00,False,,
3227773,NUK_Uv3,873.0,3.783,72.97,,1.24,70.5,,,,,,,,,,,,2020-08-31 17:00:00+00:00,False,,
3227774,NUK_Uv3,874.0,3.433,74.57,4.159,1.385,64.77,421.064,229.947,0.546,246.394,328.98,0.092,0.0,-0.428,2.636,,0.113,2020-08-31 18:00:00+00:00,False,,
3227775,NUK_Uv3,874.0,2.1,81.2,4.118,2.101,58.92,312.627,176.749,0.565,250.046,330.53,0.202,0.0,-2.33,7.331,,-0.073,2020-08-31 19:00:00+00:00,False,,
3227776,NUK_Uv3,,,,,,,,,,,,,,,,,-0.011,2020-08-31 20:00:00+00:00,False,,
3227777,NUK_Uv3,874.0,0.667,80.4,,1.844,57.42,,,,,,,,,,,0.051,2020-08-31 21:00:00+00:00,False,,
3227778,NUK_Uv3,874.0,-1.1,84.186,3.349,2.569,61.78,10.925,6.223,,237.969,310.988,0.238,-0.519,-20.627,-4.966,,0.114,2020-08-31 22:00:00+00:00,False,,
3227779,NUK_Uv3,,,,,,,,,,,,,,,,,0.114,2020-08-31 23:00:00+00:00,False,,
3227780,NUK_Uv3,875.0,-1.5,78.781,,2.034,99.6,,,,,,,,,,,0.011,2020-09-01 00:00:00+00:00,False,,-0.002
3227781,NUK_Uv3,,,,,,,,,,,,,,,,,0.01,2020-09-01 01:00:00+00:00,False,,-0.002
3227782,NUK_Uv3,875.0,-0.833,71.62,,2.057,117.2,,,,,,,,,,,0.01,2020-09-01 02:00:00+00:00,False,,-0.002
3227783,NUK_Uv3,,,,,,,,,,,,,,,,,0.01,2020-09-01 03:00:00+00:00,False,,-0.002
3227784,NUK_Uv3,,,,,,,,,,,,,,,,,0.01,2020-09-01 04:00:00+00:00,False,,-0.002
3227785,NUK_Uv3,875.0,-2.933,80.193,,2.567,142.9,,,,,,,,,,,0.01,2020-09-01 05:00:00+00:00,False,,-0.002
3227786,NUK_Uv3,876.0,-3.35,81.448,2.676,2.104,125.6,0.0,0.0,,225.312,291.474,0.214,-4.916,-2.573,7.266,,0.01,2020-09-01 06:00:00+00:00,False,,-0.002
3227787,NUK_Uv3,876.0,-3.117,80.151,2.686,2.385,138.8,0.0,0.0,,227.942,289.144,0.231,-5.485,-0.712,11.419,,0.007,2020-09-01 07:00:00+00:00,False,,-0.002
3227788,NUK_Uv3,877.0,-2.517,78.794,2.775,2.226,136.5,80.969,47.379,,236.224,290.051,0.289,-5.329,0.017,10.511,,0.01,2020-09-01 08:00:00+00:00,False,,-0.002
3227789,NUK_Uv3,877.0,-2.367,81.166,2.894,2.109,154.4,161.938,94.758,,224.473,292.378,0.159,-4.697,-0.343,8.735,,0.012,2020-09-01 09:00:00+00:00,False,,-0.002
3227790,NUK_Uv3,877.0,-1.483,80.919,3.107,1.845,156.0,242.907,142.137,,221.11,295.343,0.08,-3.98,-0.027,5.425,,-0.179,2020-09-01 10:00:00+00:00,False,,-0.002
3227791,NUK_Uv3,877.0,-0.05,77.861,3.367,1.524,162.1,365.857,214.597,,225.161,298.427,0.051,-3.292,0.18,3.019,,-0.179,2020-09-01 11:00:00+00:00,False,,-0.002
3227792,NUK_Uv3,877.0,1.167,77.32,3.654,0.886,144.1,255.049,149.962,0.588,277.43,308.409,0.54,-1.367,0.0,0.0,,0.011,2020-09-01 12:00:00+00:00,False,,-0.002
3227793,NUK_Uv3,877.0,1.817,75.42,3.735,0.315,215.1,288.741,167.645,0.581,280.457,312.925,0.539,-0.37,0.0,0.0,,-0.184,2020-09-01 13:00:00+00:00,False,,-0.002
3227794,NUK_Uv3,877.0,2.9,73.57,3.937,0.234,137.2,416.12,238.525,0.573,268.678,309.649,0.357,-1.027,0.0,0.0,,0.011,2020-09-01 14:00:00+00:00,False,,-0.002
3227795,NUK_Uv3,877.0,2.3,73.3,3.758,0.661,165.1,420.171,237.246,0.565,276.713,322.169,0.474,0.0,,,,0.012,2020-09-01 15:00:00+00:00,False,,-0.002
3227796,NUK_Uv3,876.0,1.667,79.75,3.912,0.959,140.9,394.056,220.166,0.559,309.588,331.466,0.854,0.0,0.0,0.0,,0.014,2020-09-01 16:00:00+00:00,False,,-0.002
3227797,NUK_Uv3,876.0,1.6,78.6,3.837,1.332,178.4,327.912,184.575,0.563,287.984,325.275,0.629,0.0,-2.127,2.396,,0.014,2020-09-01 17:00:00+00:00,False,,-0.002
3227798,NUK_Uv3,876.0,1.367,78.03,3.745,2.41,208.9,264.406,149.661,0.566,292.056,327.414,0.684,0.0,-10.09,8.261,,0.014,2020-09-01 18:00:00+00:00,False,,-0.002
3227799,NUK_Uv3,876.0,0.583,86.5,3.923,4.118,350.9,74.337,48.977,0.659,324.465,329.249,1.0,0.0,-13.889,7.068,,-0.178,2020-09-01 19:00:00+00:00,False,,-0.002
3227800,NUK_Uv3,876.0,-0.767,94.391,3.851,3.773,8.69,88.431,58.518,,306.551,319.107,0.942,0.0,-16.784,-8.928,,-0.09,2020-09-01 20:00:00+00:00,False,,-0.002
3227801,NUK_Uv3,877.0,-0.75,94.98,3.877,2.545,357.6,38.447,25.553,,291.822,310.962,0.786,-0.888,,,,-0.092,2020-09-01 21:00:00+00:00,False,,-0.002
3227802,NUK_Uv3,877.0,-1.25,96.049,3.76,3.002,12.03,5.039,3.363,,270.788,307.584,0.59,-1.508,-1.801,2.532,,-0.095,2020-09-01 22:00:00+00:00,False,,-0.002
3227803,NUK_Uv3,878.0,-4.717,88.138,2.573,1.249,56.79,0.0,0.0,,229.797,292.604,0.325,-4.682,-4.363,-0.059,,0.009,2020-09-01 23:00:00+00:00,False,,-0.002
3227804,NUK_Uv3,878.0,-5.067,84.448,2.392,1.543,40.47,0.0,0.0,,216.133,278.577,0.199,-7.94,0.654,3.669,,-0.002,2020-09-02 00:00:00+00:00,False,,0.005
3227805,NUK_Uv3,878.0,-6.383,89.047,2.252,1.947,60.86,0.0,0.0,,213.692,275.346,0.233,-8.712,1.627,7.215,,-0.001,2020-09-02 01:00:00+00:00,False,,0.005
3227806,NUK_Uv3,878.0,-6.833,91.255,2.22,1.688,65.1,0.0,0.0,,213.738,273.603,0.254,-9.142,1.369,4.872,,-0.0,2020-09-02 02:00:00+00:00,False,,0.005
3227807,NUK_Uv3,879.0,-6.483,92.436,2.315,1.12,85.0,0.0,0.0,,209.85,266.373,0.197,-10.917,0.619,1.58,,0.001,2020-09-02 03:00:00+00:00,False,,0.005
3227808,NUK_Uv3,879.0,-5.017,90.076,2.56,2.908,63.25,0.0,0.0,,206.625,272.567,0.097,-9.346,8.881,22.492,,-0.008,2020-09-02 04:00:00+00:00,False,,0.005
3227809,NUK_Uv3,879.0,-4.467,86.149,2.566,3.657,71.94,0.0,0.0,,208.794,279.349,0.094,-7.698,7.813,28.889,,-0.003,2020-09-02 05:00:00+00:00,False,,0.005
3227810,NUK_Uv3,879.0,-5.3,86.956,2.412,4.274,77.29,0.0,0.0,,212.1,284.934,0.167,-6.375,-4.091,13.683,,0.006,2020-09-02 06:00:00+00:00,False,,0.005
3227811,NUK_Uv3,879.0,-5.05,83.247,2.359,4.946,74.17,0.0,0.0,,208.254,282.016,0.116,-7.048,-1.012,28.105,,0.003,2020-09-02 07:00:00+00:00,False,,0.005
3227812,NUK_Uv3,879.0,-6.683,85.574,2.107,3.535,70.92,97.63,69.12,,213.784,281.624,0.247,-7.183,-7.581,5.607,,0.006,2020-09-02 08:00:00+00:00,False,,0.005
3227813,NUK_Uv3,880.0,-6.333,85.07,2.156,2.53,80.6,195.259,138.239,,205.125,273.93,0.141,-8.998,2.127,13.72,,0.001,2020-09-02 09:00:00+00:00,False,,0.005
