,stid,Air pressure (upper boom),Air temperature (upper boom),Relative humidity (upper boom) - corrected,Specific humidity (upper boom),Wind speed (upper boom),Wind from direction (upper boom),Downwelling shortwave radiation - corrected,Upwelling shortwave radiation - corrected,Albedo,Downwelling longwave radiation,Upwelling longwave radiation,Cloud cover,Surface temperature,Latent heat flux (upper boom),Sensible heat flux (upper boom),,Surface height from combined measurements,Datetime,Ablation,Melting Season,Surface height from combined measurements DELTA
3382305,QAS_A,900.383,3.404,74.132,4.004,5.28,93.833,606.687,205.011,0.338,260.363,322.014,0.242,0.0,-8.741,47.158,,-0.242,2012-08-20 17:00:00+00:00,False,,-0.007000000000000006
3382306,QAS_A,900.49,3.659,72.257,3.973,5.25,9.005,502.047,175.179,0.349,260.418,321.534,0.229,0.0,-9.699,49.486,,-0.244,2012-08-20 18:00:00+00:00,False,,-0.007000000000000006
3382307,QAS_A,900.761,3.6,72.99,3.996,4.763,8.976,375.738,138.843,0.368,259.147,321.067,0.219,0.0,-7.832,43.419,,-0.249,2012-08-20 19:00:00+00:00,False,,-0.007000000000000006
3382308,QAS_A,900.772,3.625,73.593,4.036,4.657,10.445,252.185,93.928,,257.393,320.023,0.199,0.0,-6.308,42.367,,-0.253,2012-08-20 20:00:00+00:00,False,,-0.007000000000000006
3382309,QAS_A,900.649,3.198,77.287,4.113,4.477,9.957,124.057,46.365,,255.416,318.69,0.201,0.0,-3.67,36.462,,-0.251,2012-08-20 21:00:00+00:00,False,,-0.007000000000000006
3382310,QAS_A,900.537,2.921,79.822,4.166,4.523,12.723,36.169,13.561,,254.214,317.289,0.203,0.0,-2.116,34.196,,-0.249,2012-08-20 22:00:00+00:00,False,,-0.007000000000000006
3382311,QAS_A,900.694,2.71,81.205,4.174,4.589,16.495,0.0,0.0,,253.531,316.348,0.207,0.0,-1.85,32.758,,-0.249,2012-08-20 23:00:00+00:00,False,,-0.007000000000000006
3382312,QAS_A,900.721,2.463,83.078,4.195,4.674,13.568,0.0,0.0,,253.029,315.589,0.215,0.0,-1.166,30.861,,-0.249,2012-08-21 00:00:00+00:00,False,,-0.02400000000000002
3382313,QAS_A,900.404,2.463,82.794,4.183,4.905,17.573,0.0,0.0,,252.127,315.223,0.205,0.0,-1.809,32.565,,-0.248,2012-08-21 01:00:00+00:00,False,,-0.02400000000000002
3382314,QAS_A,900.446,2.599,82.539,4.21,4.774,20.54,0.0,0.0,,251.451,315.019,0.191,0.0,-0.68,33.123,,-0.248,2012-08-21 02:00:00+00:00,False,,-0.02400000000000002
3382315,QAS_A,899.969,2.38,82.302,4.135,4.466,13.691,0.0,0.0,,251.355,314.079,0.201,-0.031,-2.864,28.699,,-0.249,2012-08-21 03:00:00+00:00,False,,-0.02400000000000002
3382316,QAS_A,899.784,1.763,82.476,3.966,4.568,4.467,0.0,0.0,,250.488,312.218,0.225,-0.327,-4.166,27.601,,-0.249,2012-08-21 04:00:00+00:00,False,,-0.02400000000000002
3382317,QAS_A,899.809,1.411,81.851,3.837,4.788,61.646,0.0,0.0,,249.789,311.519,0.236,-0.479,-8.558,25.113,,-0.25,2012-08-21 05:00:00+00:00,False,,-0.02400000000000002
3382318,QAS_A,899.181,0.937,81.266,3.684,5.404,119.049,0.0,0.0,,248.59,310.496,0.247,-0.701,-12.341,25.709,,-0.25,2012-08-21 06:00:00+00:00,False,,-0.02400000000000002
3382319,QAS_A,899.318,0.523,80.471,3.539,5.935,335.5,6.925,2.684,,247.236,309.336,0.254,-0.953,-17.697,24.615,,-0.251,2012-08-21 07:00:00+00:00,False,,-0.02400000000000002
3382320,QAS_A,898.934,0.554,78.097,3.444,6.423,261.634,79.257,30.801,,247.767,310.809,0.258,-0.625,-28.455,22.189,,-0.251,2012-08-21 08:00:00+00:00,False,,-0.02400000000000002
3382321,QAS_A,898.425,1.299,76.895,3.582,5.936,245.843,214.711,83.708,,249.428,315.292,0.237,0.0,-31.046,21.861,,-0.251,2012-08-21 09:00:00+00:00,False,,-0.02400000000000002
3382322,QAS_A,898.082,2.048,76.623,3.767,5.623,289.439,353.188,137.239,0.387,251.572,317.772,0.221,0.0,-20.615,31.843,,-0.255,2012-08-21 10:00:00+00:00,False,,-0.02400000000000002
3382323,QAS_A,897.909,2.361,76.555,3.85,5.407,344.55,487.642,183.99,0.378,253.194,318.742,0.222,0.0,-16.122,34.878,,-0.257,2012-08-21 11:00:00+00:00,False,,-0.02400000000000002
3382324,QAS_A,897.642,2.593,75.11,3.841,4.694,341.533,599.74,219.542,0.366,254.584,319.848,0.224,0.0,-13.955,32.288,,-0.257,2012-08-21 12:00:00+00:00,False,,-0.02400000000000002
3382325,QAS_A,897.498,2.979,72.608,3.817,3.932,343.25,677.216,241.364,0.356,256.092,320.911,0.22,0.0,-11.512,28.748,,-0.26,2012-08-21 13:00:00+00:00,False,,-0.02400000000000002
3382326,QAS_A,897.378,2.648,75.455,3.875,4.653,349.067,719.194,249.876,0.347,254.652,320.913,0.222,0.0,-12.629,32.528,,-0.262,2012-08-21 14:00:00+00:00,False,,-0.02400000000000002
