,stid,Air pressure (upper boom),Air temperature (upper boom),Relative humidity (upper boom) - corrected,Specific humidity (upper boom),Wind speed (upper boom),Wind from direction (upper boom),Downwelling shortwave radiation - corrected,Upwelling shortwave radiation - corrected,Albedo,Downwelling longwave radiation,Upwelling longwave radiation,Cloud cover,Surface temperature,Latent heat flux (upper boom),Sensible heat flux (upper boom),,Surface height from combined measurements,Datetime,Ablation,Melting Season,Surface height from combined measurements DELTA
3280752,QAS_Lv3,968.0,3.3,84.6,,4.632,324.0,,,,,,,,,,,,2022-08-29 18:00:00+00:00,False,,
3280753,QAS_Lv3,968.0,3.233,86.9,,5.943,313.2,,,,,,,,,,,-0.152,2022-08-29 19:00:00+00:00,False,,
3280754,QAS_Lv3,968.0,3.033,88.4,,5.308,311.1,,,,,,,,,,,-0.197,2022-08-29 20:00:00+00:00,False,,
3280755,QAS_Lv3,969.0,3.017,90.3,,4.245,306.0,,,,,,,,,,,-0.154,2022-08-29 21:00:00+00:00,False,,
3280756,QAS_Lv3,969.0,2.567,91.6,,3.076,355.9,,,,,,,,,,,-0.154,2022-08-29 22:00:00+00:00,False,,
3280757,QAS_Lv3,969.0,2.333,92.8,,2.782,351.6,,,,,,,,,,,-0.161,2022-08-29 23:00:00+00:00,False,,
3280758,QAS_Lv3,969.0,2.617,90.5,,2.555,40.58,,,,,,,,,,,-0.164,2022-08-30 00:00:00+00:00,False,,-0.026999999999999996
3280759,QAS_Lv3,970.0,3.017,89.2,,1.112,69.6,,,,,,,,,,,-0.165,2022-08-30 01:00:00+00:00,False,,-0.026999999999999996
3280760,QAS_Lv3,970.0,2.433,91.4,,1.597,13.22,,,,,,,,,,,-0.166,2022-08-30 02:00:00+00:00,False,,-0.026999999999999996
3280761,QAS_Lv3,970.0,2.417,91.8,,1.305,358.6,,,,,,,,,,,-0.361,2022-08-30 03:00:00+00:00,False,,-0.026999999999999996
3280762,QAS_Lv3,970.0,2.183,91.4,,0.933,309.5,,,,,,,,,,,-0.283,2022-08-30 04:00:00+00:00,False,,-0.026999999999999996
3280763,QAS_Lv3,971.0,2.233,90.6,,2.485,299.7,,,,,,,,,,,-0.273,2022-08-30 05:00:00+00:00,False,,-0.026999999999999996
3280764,QAS_Lv3,972.0,2.033,92.9,,2.928,273.0,,,,,,,,,,,-0.161,2022-08-30 06:00:00+00:00,False,,-0.026999999999999996
3280765,QAS_Lv3,972.0,2.117,92.6,,5.047,289.4,,,,,,,,,,,-0.162,2022-08-30 07:00:00+00:00,False,,-0.026999999999999996
3280766,QAS_Lv3,973.0,2.017,92.9,,6.685,286.0,,,,,,,,,,,-0.156,2022-08-30 08:00:00+00:00,False,,-0.026999999999999996
3280767,QAS_Lv3,974.0,1.817,92.7,,5.67,275.7,,,,,,,,,,,-0.155,2022-08-30 09:00:00+00:00,False,,-0.026999999999999996
3280768,QAS_Lv3,975.0,1.983,90.0,,5.398,288.1,,,,,,,,,,,-0.161,2022-08-30 10:00:00+00:00,False,,-0.026999999999999996
3280769,QAS_Lv3,976.0,2.383,87.1,,4.751,280.2,,,,,,,,,,,-0.158,2022-08-30 11:00:00+00:00,False,,-0.026999999999999996
3280770,QAS_Lv3,977.0,3.2,80.7,,4.332,302.5,,,,,,,,,,,-0.158,2022-08-30 12:00:00+00:00,False,,-0.026999999999999996
3280771,QAS_Lv3,977.0,3.55,78.45,3.945,4.422,291.2,624.324,85.688,0.137,247.444,317.889,0.097,0.0,1.562,41.679,,-0.194,2022-08-30 13:00:00+00:00,False,,-0.026999999999999996
3280772,QAS_Lv3,978.0,3.55,79.18,3.978,4.785,297.0,672.905,92.81,0.134,248.733,317.923,0.111,0.0,3.089,46.56,,-0.179,2022-08-30 14:00:00+00:00,False,,-0.026999999999999996
3280773,QAS_Lv3,978.0,3.683,78.23,3.967,3.83,296.9,721.486,99.931,0.139,251.432,317.185,0.132,0.0,1.976,35.319,,-0.173,2022-08-30 15:00:00+00:00,False,,-0.026999999999999996
3280774,QAS_Lv3,979.0,4.5,74.23,3.983,1.293,321.8,687.8,100.965,0.147,242.424,309.643,0.0,-0.851,0.46,2.449,,-0.176,2022-08-30 16:00:00+00:00,False,,-0.026999999999999996
3280775,QAS_Lv3,979.0,3.467,78.43,3.913,2.285,326.7,602.919,97.657,0.162,256.832,325.626,0.201,0.0,0.227,12.044,,-0.17,2022-08-30 17:00:00+00:00,False,,-0.026999999999999996
3280776,QAS_Lv3,980.0,3.833,76.6,3.918,1.385,280.3,400.825,70.296,0.175,264.684,321.567,0.265,0.0,0.065,2.744,,-0.182,2022-08-30 18:00:00+00:00,False,,-0.026999999999999996
3280777,QAS_Lv3,980.0,3.483,79.6,3.971,4.382,281.8,286.94,52.102,0.182,281.785,329.091,0.466,0.0,2.848,41.155,,-0.181,2022-08-30 19:00:00+00:00,False,,-0.026999999999999996
3280778,QAS_Lv3,981.0,3.417,80.6,3.998,3.694,261.6,238.055,42.743,,253.488,320.357,0.169,0.0,3.054,31.84,,-0.188,2022-08-30 20:00:00+00:00,False,,-0.026999999999999996
3280779,QAS_Lv3,981.0,3.017,85.9,4.142,5.219,285.6,91.464,16.237,,259.411,321.297,0.253,0.0,10.934,45.268,,-0.192,2022-08-30 21:00:00+00:00,False,,-0.026999999999999996
3280780,QAS_Lv3,982.0,2.483,90.0,4.174,4.692,294.3,0.0,0.0,,278.752,320.469,0.486,0.0,11.276,33.887,,-0.188,2022-08-30 22:00:00+00:00,False,,-0.026999999999999996
3280781,QAS_Lv3,982.0,2.05,87.6,3.938,2.164,310.6,0.0,0.0,,259.455,320.493,0.304,0.0,0.755,9.105,,-0.191,2022-08-30 23:00:00+00:00,False,,-0.026999999999999996
3280782,QAS_Lv3,983.0,2.333,78.9,3.616,0.993,81.1,0.0,0.0,,245.764,316.88,0.145,0.0,0.0,0.0,,-0.195,2022-08-31 00:00:00+00:00,False,,-0.341
3280783,QAS_Lv3,983.0,2.467,69.35,3.209,2.326,76.19,0.0,0.0,,238.817,308.458,0.064,-1.094,-3.283,12.711,,-0.189,2022-08-31 01:00:00+00:00,False,,-0.341
3280784,QAS_Lv3,983.0,1.967,71.5,3.192,4.112,56.46,0.0,0.0,,242.664,311.803,0.131,-0.368,-18.587,27.54,,-0.191,2022-08-31 02:00:00+00:00,False,,-0.341
3280785,QAS_Lv3,984.0,1.233,73.95,3.129,5.204,43.85,0.0,0.0,,244.902,312.725,0.193,-0.176,-30.647,22.774,,-0.187,2022-08-31 03:00:00+00:00,False,,-0.341
3280786,QAS_Lv3,984.0,0.867,72.45,2.985,4.12,41.96,0.0,0.0,,244.74,310.181,0.21,-0.746,-22.575,20.104,,-0.196,2022-08-31 04:00:00+00:00,False,,-0.341
3280787,QAS_Lv3,985.0,0.533,74.1,2.977,3.704,21.32,0.0,0.0,,243.878,308.339,0.218,-1.155,-16.339,18.549,,-0.192,2022-08-31 05:00:00+00:00,False,,-0.341
3280788,QAS_Lv3,985.0,0.667,69.97,2.839,4.255,356.8,0.0,0.0,,241.36,305.964,0.185,-1.676,-18.046,28.916,,-0.196,2022-08-31 06:00:00+00:00,False,,-0.341
3280789,QAS_Lv3,986.0,0.783,68.77,2.811,2.95,58.51,0.0,0.0,,240.201,304.566,0.167,-1.986,-9.068,19.419,,-0.193,2022-08-31 07:00:00+00:00,False,,-0.341
3280790,QAS_Lv3,987.0,1.083,69.33,2.893,3.356,65.39,93.131,14.206,,238.934,303.1,0.138,-2.312,-6.54,27.434,,-0.197,2022-08-31 08:00:00+00:00,False,,-0.341
3280791,QAS_Lv3,987.0,2.033,72.88,3.256,3.335,72.03,186.261,28.411,,236.803,305.936,0.066,-1.651,-2.318,28.424,,-0.2,2022-08-31 09:00:00+00:00,False,,-0.341
3280792,QAS_Lv3,988.0,2.783,75.43,3.552,2.242,67.11,279.392,42.617,,238.806,310.002,0.047,-0.746,-0.652,11.546,,-0.193,2022-08-31 10:00:00+00:00,False,,-0.341
3280793,QAS_Lv3,988.0,2.917,76.27,3.626,2.043,53.32,372.523,56.823,,240.269,310.942,0.055,-0.544,-0.416,8.837,,-0.189,2022-08-31 11:00:00+00:00,False,,-0.341
3280794,QAS_Lv3,988.0,3.0,76.97,3.681,2.296,33.99,465.653,71.029,0.147,246.036,316.264,0.112,0.0,-1.918,11.903,,-0.194,2022-08-31 12:00:00+00:00,False,,-0.341
3280795,QAS_Lv3,989.0,3.133,76.7,3.699,2.019,27.37,558.784,85.234,0.149,243.266,315.986,0.075,0.0,-1.143,8.488,,-0.197,2022-08-31 13:00:00+00:00,False,,-0.341
3280796,QAS_Lv3,989.0,3.083,76.93,3.697,2.589,36.57,651.915,99.44,0.152,247.237,318.405,0.12,0.0,-2.2,15.863,,-0.202,2022-08-31 14:00:00+00:00,False,,-0.341
3280797,QAS_Lv3,989.0,3.95,72.0,3.679,2.318,357.6,745.045,113.646,0.152,246.189,316.636,0.062,0.0,-1.546,12.772,,-0.206,2022-08-31 15:00:00+00:00,False,,-0.341
3280798,QAS_Lv3,989.0,4.667,68.92,3.704,2.24,21.48,696.661,108.89,0.156,245.734,314.106,0.017,0.0,-1.021,11.645,,-0.205,2022-08-31 16:00:00+00:00,False,,-0.341
3280799,QAS_Lv3,989.0,4.4,70.17,3.701,2.998,29.15,607.641,103.101,0.17,259.785,325.761,0.182,0.0,-2.374,25.047,,-0.212,2022-08-31 17:00:00+00:00,False,,-0.341
3280800,QAS_Lv3,989.0,4.867,68.87,3.753,3.217,50.51,486.343,90.007,0.185,254.791,320.661,0.102,0.0,-1.686,30.366,,-0.212,2022-08-31 18:00:00+00:00,False,,-0.341
3280801,QAS_Lv3,989.0,4.267,70.98,3.709,3.767,41.28,339.133,69.952,0.206,259.943,324.972,0.191,0.0,-3.542,38.271,,-0.215,2022-08-31 19:00:00+00:00,False,,-0.341
3280802,QAS_Lv3,989.0,4.25,68.28,3.563,4.516,28.33,222.803,45.045,,254.896,322.588,0.138,0.0,-9.485,50.269,,-0.295,2022-08-31 20:00:00+00:00,False,,-0.341
3280803,QAS_Lv3,990.0,4.15,69.62,3.604,4.602,58.28,46.518,9.214,,252.25,322.457,0.115,0.0,-8.264,50.678,,-0.375,2022-08-31 21:00:00+00:00,False,,-0.341
3280804,QAS_Lv3,990.0,3.55,68.88,3.418,5.23,46.11,0.0,0.0,,250.484,320.539,0.129,0.0,-17.72,52.55,,-0.456,2022-08-31 22:00:00+00:00,False,,-0.341
