,stid,Air pressure (upper boom),Air temperature (upper boom),Relative humidity (upper boom) - corrected,Specific humidity (upper boom),Wind speed (upper boom),Wind from direction (upper boom),Downwelling shortwave radiation - corrected,Upwelling shortwave radiation - corrected,Albedo,Downwelling longwave radiation,Upwelling longwave radiation,Cloud cover,Surface temperature,Latent heat flux (upper boom),Sensible heat flux (upper boom),,Surface height from combined measurements,Datetime,Ablation,Melting Season,Surface height from combined measurements DELTA
3603948,QAS_Uv3,898.0,3.1,82.6,,4.846,63.35,,,,,,,,,,,,2020-08-29 13:00:00+00:00,False,,
3603949,QAS_Uv3,898.0,3.733,80.3,,4.994,59.62,,,,,,,,,,,,2020-08-29 14:00:00+00:00,False,,
3603950,QAS_Uv3,898.0,3.117,82.5,,3.503,38.02,234.922,107.498,0.458,325.241,,0.946,,,,,-0.023,2020-08-29 15:00:00+00:00,False,,
3603951,QAS_Uv3,897.0,2.983,82.0,,4.859,47.82,269.497,53.008,0.197,326.043,,0.962,,,,,-0.036,2020-08-29 16:00:00+00:00,False,,
3603952,QAS_Uv3,897.0,3.133,81.6,4.34,4.98,50.83,361.265,78.772,0.218,310.723,316.88,0.791,0.0,,,,-0.046,2020-08-29 17:00:00+00:00,False,,
3603953,QAS_Uv3,897.0,3.067,82.3,4.357,4.792,47.54,362.132,94.761,0.262,277.219,316.257,0.439,0.0,,,,-0.055,2020-08-29 18:00:00+00:00,False,,
3603954,QAS_Uv3,896.0,3.05,82.3,4.356,4.924,49.0,217.071,68.085,0.314,279.875,319.989,0.468,0.0,,,,-0.044,2020-08-29 19:00:00+00:00,False,,
3603955,QAS_Uv3,896.0,3.383,80.3,4.352,5.35,49.45,157.36,48.835,,269.886,317.586,0.345,0.0,,,,-0.061,2020-08-29 20:00:00+00:00,False,,
3603956,QAS_Uv3,896.0,3.783,77.87,,6.331,53.07,72.733,22.331,,285.208,,0.486,,,,,-0.052,2020-08-29 21:00:00+00:00,False,,
3603957,QAS_Uv3,,,,,,,,,,,,,,,,,-0.057,2020-08-29 22:00:00+00:00,False,,
3603958,QAS_Uv3,896.0,3.2,80.4,,5.486,46.02,,,,,,,,,,,-0.061,2020-08-29 23:00:00+00:00,False,,
3603959,QAS_Uv3,896.0,3.25,80.2,,6.099,39.42,0.0,0.0,,309.785,,0.775,,,,,-0.066,2020-08-30 00:00:00+00:00,False,,-0.043
3603960,QAS_Uv3,896.0,3.333,79.65,,6.318,39.47,0.0,0.0,,295.373,,0.618,,,,,-0.064,2020-08-30 01:00:00+00:00,False,,-0.043
3603961,QAS_Uv3,,,,,,,,,,,,,,,,,-0.065,2020-08-30 02:00:00+00:00,False,,-0.043
3603962,QAS_Uv3,895.0,3.083,81.0,,5.278,44.88,,,,,,,,,,,-0.065,2020-08-30 03:00:00+00:00,False,,-0.043
3603963,QAS_Uv3,,,,,,,,,,,,,,,,,-0.066,2020-08-30 04:00:00+00:00,False,,-0.043
3603964,QAS_Uv3,896.0,3.033,84.8,,4.991,68.09,,,,,,,,,,,-0.066,2020-08-30 05:00:00+00:00,False,,-0.043
3603965,QAS_Uv3,896.0,2.8,85.7,,4.332,48.07,0.0,0.0,,325.757,,0.968,,,,,-0.067,2020-08-30 06:00:00+00:00,False,,-0.043
3603966,QAS_Uv3,895.0,2.717,85.7,,4.1,38.12,0.0,0.0,,323.482,,0.948,,,,,-0.067,2020-08-30 07:00:00+00:00,False,,-0.043
3603967,QAS_Uv3,,,,,,,,,,,,,,,,,-0.067,2020-08-30 08:00:00+00:00,False,,-0.043
3603968,QAS_Uv3,895.0,3.6,78.82,,5.415,35.85,,,,,,,,,,,-0.066,2020-08-30 09:00:00+00:00,False,,-0.043
3603969,QAS_Uv3,895.0,3.8,77.73,,5.311,42.14,99.359,26.224,,314.763,,0.8,,,,,-0.066,2020-08-30 10:00:00+00:00,False,,-0.043
3603970,QAS_Uv3,,,,,,,,,,,,,,,,,-0.069,2020-08-30 11:00:00+00:00,False,,-0.043
3603971,QAS_Uv3,,,,,,,,,,,,,,,,,-0.071,2020-08-30 12:00:00+00:00,False,,-0.043
3603972,QAS_Uv3,895.0,2.983,83.3,,3.284,8.54,,,,,,,,,,,-0.074,2020-08-30 13:00:00+00:00,False,,-0.043
3603973,QAS_Uv3,,,,,,,,,,,,,,,,,-0.076,2020-08-30 14:00:00+00:00,False,,-0.043
3603974,QAS_Uv3,,,,,,,,,,,,,,,,,-0.079,2020-08-30 15:00:00+00:00,False,,-0.043
3603975,QAS_Uv3,895.0,2.917,82.8,,3.798,21.01,,,,,,,,,,,-0.081,2020-08-30 16:00:00+00:00,False,,-0.043
3603976,QAS_Uv3,895.0,3.0,82.9,,3.659,29.77,288.908,71.463,0.247,299.992,,0.684,,,,,-0.084,2020-08-30 17:00:00+00:00,False,,-0.043
3603977,QAS_Uv3,895.0,3.667,79.23,,3.978,26.94,275.303,76.242,0.277,287.864,,0.521,,,,,-0.085,2020-08-30 18:00:00+00:00,False,,-0.043
3603978,QAS_Uv3,,,,,,,,,,,,,,,,,-0.088,2020-08-30 19:00:00+00:00,False,,-0.043
3603979,QAS_Uv3,895.0,4.0,76.32,,6.308,350.2,,,,,,,,,,,-0.09,2020-08-30 20:00:00+00:00,False,,-0.043
3603980,QAS_Uv3,894.0,4.15,75.55,4.333,7.079,355.8,66.667,18.537,,276.751,317.752,0.376,0.0,,,,-0.093,2020-08-30 21:00:00+00:00,False,,-0.043
3603981,QAS_Uv3,894.0,3.983,75.43,,7.167,4.797,12.998,3.619,,273.889,,0.355,,,,,-0.109,2020-08-30 22:00:00+00:00,False,,-0.043
3603982,QAS_Uv3,894.0,3.883,76.65,,7.483,3.113,0.0,0.0,,271.398,,0.334,,,,,-0.109,2020-08-30 23:00:00+00:00,False,,-0.043
3603983,QAS_Uv3,894.0,3.117,78.83,,6.844,21.83,0.0,0.0,,271.396,,0.375,,,,,-0.11,2020-08-31 00:00:00+00:00,False,,-0.06000000000000001
3603984,QAS_Uv3,894.0,2.767,78.85,,5.768,33.08,0.0,0.0,,267.516,,0.352,,,,,-0.108,2020-08-31 01:00:00+00:00,False,,-0.06000000000000001
3603985,QAS_Uv3,894.0,2.017,81.6,,4.787,40.17,0.0,0.0,,267.211,,0.388,,,,,-0.109,2020-08-31 02:00:00+00:00,False,,-0.06000000000000001
3603986,QAS_Uv3,894.0,1.783,81.3,,4.47,35.59,0.0,0.0,,264.182,,0.368,,,,,-0.111,2020-08-31 03:00:00+00:00,False,,-0.06000000000000001
3603987,QAS_Uv3,894.0,1.75,79.25,,3.723,31.54,0.0,0.0,,262.314,,0.35,,,,,-0.111,2020-08-31 04:00:00+00:00,False,,-0.06000000000000001
3603988,QAS_Uv3,894.0,1.7,77.45,,4.159,26.54,0.0,0.0,,261.277,,0.342,,,,,-0.111,2020-08-31 05:00:00+00:00,False,,-0.06000000000000001
3603989,QAS_Uv3,,,,,,,,,,,,,,,,,-0.112,2020-08-31 06:00:00+00:00,False,,-0.06000000000000001
3603990,QAS_Uv3,895.0,0.933,78.53,,4.591,32.09,,,,,,,,,,,-0.112,2020-08-31 07:00:00+00:00,False,,-0.06000000000000001
3603991,QAS_Uv3,895.0,0.55,82.4,,3.814,35.9,112.513,33.117,,258.44,,0.371,,,,,-0.113,2020-08-31 08:00:00+00:00,False,,-0.06000000000000001
3603992,QAS_Uv3,,,,,,,,,,,,,,,,,-0.112,2020-08-31 09:00:00+00:00,False,,-0.06000000000000001
3603993,QAS_Uv3,896.0,1.733,83.2,,3.58,33.43,,,,,,,,,,,-0.111,2020-08-31 10:00:00+00:00,False,,-0.06000000000000001
3603994,QAS_Uv3,896.0,1.85,84.6,,2.8,43.16,450.052,132.466,0.283,260.632,,0.327,,,,,-0.11,2020-08-31 11:00:00+00:00,False,,-0.06000000000000001
3603995,QAS_Uv3,896.0,1.933,85.8,,2.732,44.03,562.565,165.583,0.294,263.676,,0.355,,,,,-0.115,2020-08-31 12:00:00+00:00,False,,-0.06000000000000001
3603996,QAS_Uv3,896.0,2.2,85.3,4.25,2.445,58.94,621.057,185.095,0.298,264.475,315.2,0.35,0.0,,,,-0.108,2020-08-31 13:00:00+00:00,False,,-0.06000000000000001
3603997,QAS_Uv3,896.0,2.1,87.0,4.303,2.314,57.75,640.295,189.521,0.296,266.968,317.259,0.381,0.0,,,,-0.114,2020-08-31 14:00:00+00:00,False,,-0.06000000000000001
3603998,QAS_Uv3,896.0,2.217,87.8,4.38,2.291,63.28,648.527,190.876,0.294,272.045,318.695,0.429,0.0,,,,-0.118,2020-08-31 15:00:00+00:00,False,,-0.06000000000000001
3603999,QAS_Uv3,896.0,1.883,88.3,4.3,2.364,53.27,465.251,140.741,0.302,280.668,323.004,0.537,0.0,,,,-0.125,2020-08-31 16:00:00+00:00,False,,-0.06000000000000001
