,stid,Air pressure (upper boom),Air temperature (upper boom),Relative humidity (upper boom) - corrected,Specific humidity (upper boom),Wind speed (upper boom),Wind from direction (upper boom),Downwelling shortwave radiation - corrected,Upwelling shortwave radiation - corrected,Albedo,Downwelling longwave radiation,Upwelling longwave radiation,Cloud cover,Surface temperature,Latent heat flux (upper boom),Sensible heat flux (upper boom),,Surface height from combined measurements,Datetime,Ablation,Melting Season,Surface height from combined measurements DELTA
3624932,Roof_GEUS,,,,,,,,,,,,,,,,,,2022-05-16 12:00:00+00:00,False,,
3624933,Roof_GEUS,,,,,,,,,,360.37,478.49,,0.0,,,,,2022-05-16 13:00:00+00:00,False,,
3624934,Roof_GEUS,,,,,,,,,,372.977,457.717,,0.0,,,,,2022-05-16 14:00:00+00:00,False,,
3624935,Roof_GEUS,,,,,,,,,,374.751,435.908,,0.0,,,,,2022-05-16 15:00:00+00:00,False,,
3624936,Roof_GEUS,,,,,,,,,,,,,,,,,,2022-05-16 16:00:00+00:00,False,,
3624937,Roof_GEUS,,,,,,,,,,,,,,,,,,2022-05-16 17:00:00+00:00,False,,
3624938,Roof_GEUS,,,,,,,,,,,,,,,,,,2022-05-16 18:00:00+00:00,False,,
3624939,Roof_GEUS,,,,,,,,,,,,,,,,,,2022-05-16 19:00:00+00:00,False,,
3624940,Roof_GEUS,,,,,,,,,,315.251,381.827,,0.0,,,,,2022-05-16 20:00:00+00:00,False,,
3624941,Roof_GEUS,,,,,,,,,,316.51,378.99,,0.0,,,,,2022-05-16 21:00:00+00:00,False,,
3624942,Roof_GEUS,,,,,,,,,,320.884,375.969,,0.0,,,,,2022-05-16 22:00:00+00:00,False,,
3624943,Roof_GEUS,,,,,,,,,,326.858,376.625,,0.0,,,,,2022-05-16 23:00:00+00:00,False,,
3624944,Roof_GEUS,,,,,,,,,,,,,,,,,,2022-05-17 00:00:00+00:00,False,,
3624945,Roof_GEUS,,,,,,,,,,,,,,,,,,2022-05-17 01:00:00+00:00,False,,
3624946,Roof_GEUS,,,,,,,,,,301.423,367.053,,0.0,,,,,2022-05-17 02:00:00+00:00,False,,
3624947,Roof_GEUS,,,,,,,,,,299.104,365.096,,0.0,,,,,2022-05-17 03:00:00+00:00,False,,
3624948,Roof_GEUS,,,,,,,,,,295.828,366.553,,0.0,,,,,2022-05-17 04:00:00+00:00,False,,
3624949,Roof_GEUS,,,,,,,,,,298.396,383.39,,0.0,,,,,2022-05-17 05:00:00+00:00,False,,
3624950,Roof_GEUS,,,,,,,,,,290.727,410.176,,0.0,,,,,2022-05-17 06:00:00+00:00,False,,
3624951,Roof_GEUS,,,,,,,,,,295.426,436.629,,0.0,,,,,2022-05-17 07:00:00+00:00,False,,
3624952,Roof_GEUS,,,,,,,,,,289.25,466.656,,0.0,,,,,2022-05-17 08:00:00+00:00,False,,
3624953,Roof_GEUS,,,,,,,,,,298.288,497.787,,0.0,,,,,2022-05-17 09:00:00+00:00,False,,
3624954,Roof_GEUS,,,,,,,,,,316.568,,,,,,,,2022-05-17 10:00:00+00:00,False,,
3624955,Roof_GEUS,,,,,,,,,,,,,,,,,,2022-05-17 11:00:00+00:00,False,,
3624956,Roof_GEUS,,,,,,,,,,,,,,,,,,2022-05-17 12:00:00+00:00,False,,
3624957,Roof_GEUS,,,,,,,,,,305.409,479.318,,0.0,,,,,2022-05-17 13:00:00+00:00,False,,
3624958,Roof_GEUS,,,,,,,,,,308.678,464.368,,0.0,,,,,2022-05-17 14:00:00+00:00,False,,
3624959,Roof_GEUS,,,,,,,,,,,,,,,,,,2022-05-17 15:00:00+00:00,False,,
3624960,Roof_GEUS,,,,,,,,,,,,,,,,,,2022-05-17 16:00:00+00:00,False,,
3624961,Roof_GEUS,,,,,,,,,,299.209,412.274,,0.0,,,,,2022-05-17 17:00:00+00:00,False,,
3624962,Roof_GEUS,,,,,,,,,,294.718,397.936,,0.0,,,,,2022-05-17 18:00:00+00:00,False,,
3624963,Roof_GEUS,,,,,,,,,,288.204,383.576,,0.0,,,,,2022-05-17 19:00:00+00:00,False,,
3624964,Roof_GEUS,,,,,,,,,,280.014,371.219,,0.0,,,,,2022-05-17 20:00:00+00:00,False,,
3624965,Roof_GEUS,,,,,,,,,,275.761,364.22,,0.0,,,,,2022-05-17 21:00:00+00:00,False,,
3624966,Roof_GEUS,,,,,,,,,,273.8,360.041,,0.0,,,,,2022-05-17 22:00:00+00:00,False,,
3624967,Roof_GEUS,,,,,,,,,,274.077,357.696,,0.0,,,,,2022-05-17 23:00:00+00:00,False,,
3624968,Roof_GEUS,,,,,,,,,,279.247,357.169,,0.0,,,,,2022-05-18 00:00:00+00:00,False,,
3624969,Roof_GEUS,,,,,,,,,,,,,,,,,,2022-05-18 01:00:00+00:00,False,,
3624970,Roof_GEUS,,,,,,,,,,,,,,,,,,2022-05-18 02:00:00+00:00,False,,
3624971,Roof_GEUS,,,,,,,,,,278.277,353.985,,0.0,,,,,2022-05-18 03:00:00+00:00,False,,
3624972,Roof_GEUS,,,,,,,,,,297.026,364.813,,0.0,,,,,2022-05-18 04:00:00+00:00,False,,
3624973,Roof_GEUS,,,,,,,,,,304.844,376.383,,0.0,,,,,2022-05-18 05:00:00+00:00,False,,
3624974,Roof_GEUS,,,,,,,,,,292.365,390.44,,0.0,,,,,2022-05-18 06:00:00+00:00,False,,
3624975,Roof_GEUS,,,,,,,,,,298.322,410.5,,0.0,,,,,2022-05-18 07:00:00+00:00,False,,
3624976,Roof_GEUS,,,,,,,,,,293.358,440.905,,0.0,,,,,2022-05-18 08:00:00+00:00,False,,
3624977,Roof_GEUS,,,,,,,,,,294.531,461.504,,0.0,,,,,2022-05-18 09:00:00+00:00,False,,
3624978,Roof_GEUS,,,,,,,,,,302.235,467.376,,0.0,,,,,2022-05-18 10:00:00+00:00,False,,
3624979,Roof_GEUS,,,,,,,,,,308.008,466.583,,0.0,,,,,2022-05-18 11:00:00+00:00,False,,
3624980,Roof_GEUS,,,,,,,,,,313.722,459.742,,0.0,,,,,2022-05-18 12:00:00+00:00,False,,
3624981,Roof_GEUS,,,,,,,,,,316.169,444.966,,0.0,,,,,2022-05-18 13:00:00+00:00,False,,
3624982,Roof_GEUS,,,,,,,,,,,,,,,,,,2022-05-18 14:00:00+00:00,False,,
3624983,Roof_GEUS,,,,,,,,,,,,,,,,,,2022-05-18 15:00:00+00:00,False,,
3624984,Roof_GEUS,,,,,,,,,,327.603,409.958,,0.0,,,,,2022-05-18 16:00:00+00:00,False,,
3624985,Roof_GEUS,,,,,,,,,,328.673,400.959,,0.0,,,,,2022-05-18 17:00:00+00:00,False,,
3624986,Roof_GEUS,,,,,,,,,,331.957,392.717,,0.0,,,,,2022-05-18 18:00:00+00:00,False,,
3624987,Roof_GEUS,,,,,,,,,,329.884,385.366,,0.0,,,,,2022-05-18 19:00:00+00:00,False,,
3624988,Roof_GEUS,,,,,,,,,,328.043,381.327,,0.0,,,,,2022-05-18 20:00:00+00:00,False,,
3624989,Roof_GEUS,,,,,,,,,,323.685,377.341,,0.0,,,,,2022-05-18 21:00:00+00:00,False,,
3624990,Roof_GEUS,,,,,,,,,,334.455,375.707,,0.0,,,,,2022-05-18 22:00:00+00:00,False,,
3624991,Roof_GEUS,,,,,,,,,,341.553,375.492,,0.0,,,,,2022-05-18 23:00:00+00:00,False,,
3624992,Roof_GEUS,,,,,,,,,,338.73,377.419,,0.0,,,,,2022-05-19 00:00:00+00:00,False,,
3624993,Roof_GEUS,,,,,,,,,,347.977,378.343,,0.0,,,,,2022-05-19 01:00:00+00:00,False,,
3624994,Roof_GEUS,,,,,,,,,,355.652,382.813,,0.0,,,,,2022-05-19 02:00:00+00:00,False,,
3624995,Roof_GEUS,,,,,,,,,,350.481,385.6,,0.0,,,,,2022-05-19 03:00:00+00:00,False,,
