,stid,Air pressure (upper boom),Air temperature (upper boom),Relative humidity (upper boom) - corrected,Specific humidity (upper boom),Wind speed (upper boom),Wind from direction (upper boom),Downwelling shortwave radiation - corrected,Upwelling shortwave radiation - corrected,Albedo,Downwelling longwave radiation,Upwelling longwave radiation,Cloud cover,Surface temperature,Latent heat flux (upper boom),Sensible heat flux (upper boom),,Surface height from combined measurements,Datetime,Ablation,Melting Season,Surface height from combined measurements DELTA
3631652,Roof_PROMICE,1022.0,26.05,44.53,,1.196,126.5,,,,,,,,,,,,2022-08-11 15:00:00+00:00,True,beginning,
3631653,Roof_PROMICE,1021.0,25.68,44.18,8.984,1.314,130.0,408.005,48.949,0.12,368.412,494.896,0.0,0.0,0.0,0.0,,16.419,2022-08-11 16:00:00+00:00,True,beginning,
3631654,Roof_PROMICE,1021.0,24.85,42.92,8.303,1.17,146.7,271.915,32.511,0.12,366.327,475.25,0.0,0.0,0.0,0.0,,12.144,2022-08-11 17:00:00+00:00,True,beginning,
3631655,Roof_PROMICE,1021.0,24.47,42.17,7.972,0.676,174.3,139.586,17.257,,360.427,454.962,0.0,0.0,0.0,0.0,,8.114,2022-08-11 18:00:00+00:00,True,beginning,
3631656,Roof_PROMICE,1021.0,22.78,44.8,7.641,0.7,148.5,43.317,5.532,,361.039,442.438,0.056,0.0,0.0,0.0,,-2.341,2022-08-11 19:00:00+00:00,True,beginning,
3631657,Roof_PROMICE,1021.0,21.85,49.7,8.006,0.267,204.1,0.0,0.0,,357.046,429.598,0.089,0.0,0.0,0.0,,-2.167,2022-08-11 20:00:00+00:00,True,beginning,
3631658,Roof_PROMICE,1021.0,20.97,55.62,8.485,0.158,185.1,0.0,0.0,,348.178,417.332,0.055,0.0,0.0,0.0,,-1.992,2022-08-11 21:00:00+00:00,True,beginning,
3631659,Roof_PROMICE,1021.0,20.3,59.92,8.768,0.074,153.7,0.0,0.0,,346.615,412.183,0.093,0.0,0.0,0.0,,-1.818,2022-08-11 22:00:00+00:00,True,beginning,
3631660,Roof_PROMICE,1021.0,20.05,63.23,9.109,0.219,183.4,0.0,0.0,,342.409,406.352,0.062,0.0,0.0,0.0,,-1.818,2022-08-11 23:00:00+00:00,True,beginning,
3631661,Roof_PROMICE,1021.0,19.47,64.1,8.905,0.271,162.1,0.0,0.0,,341.162,404.234,0.095,0.0,0.0,0.0,,-1.817,2022-08-12 00:00:00+00:00,True,beginning,0.014000000000000012
3631662,Roof_PROMICE,1021.0,19.4,66.3,9.171,0.283,150.0,0.0,0.0,,340.385,402.628,0.091,0.0,0.0,0.0,,-1.816,2022-08-12 01:00:00+00:00,True,beginning,0.014000000000000012
3631663,Roof_PROMICE,1021.0,18.92,78.07,10.477,0.356,137.1,0.0,0.0,,339.074,401.804,0.114,0.0,0.0,0.0,,-1.816,2022-08-12 02:00:00+00:00,True,beginning,0.014000000000000012
3631664,Roof_PROMICE,1021.0,18.63,80.9,10.661,0.167,201.7,0.0,0.0,,340.617,400.137,0.155,0.0,0.0,0.0,,-1.815,2022-08-12 03:00:00+00:00,True,beginning,0.014000000000000012
3631665,Roof_PROMICE,1021.0,18.28,82.8,10.672,0.177,132.6,0.0,0.0,,337.895,398.125,0.15,0.0,0.0,0.0,,-1.814,2022-08-12 04:00:00+00:00,True,beginning,0.014000000000000012
3631666,Roof_PROMICE,1021.0,18.93,76.3,10.246,0.138,216.5,120.614,22.315,,332.361,397.484,0.032,0.0,0.0,0.0,,-1.814,2022-08-12 05:00:00+00:00,True,beginning,0.014000000000000012
