,stid,Air pressure (upper boom),Air temperature (upper boom),Relative humidity (upper boom) - corrected,Specific humidity (upper boom),Wind speed (upper boom),Wind from direction (upper boom),Downwelling shortwave radiation - corrected,Upwelling shortwave radiation - corrected,Albedo,Downwelling longwave radiation,Upwelling longwave radiation,Cloud cover,Surface temperature,Latent heat flux (upper boom),Sensible heat flux (upper boom),,Surface height from combined measurements,Datetime,Ablation,Melting Season,Surface height from combined measurements DELTA
4628803,SWC_O,881.0,1.35,86.9,,1.736,104.6,,,,,,,,,,,,2022-08-02 17:00:00+00:00,False,pre,
4628804,SWC_O,881.0,1.417,87.1,4.172,3.428,117.5,554.479,261.26,0.471,238.827,320.505,0.119,0.0,-3.817,12.947,,0.053,2022-08-02 18:00:00+00:00,False,pre,
4628805,SWC_O,881.0,1.567,86.5,4.188,3.014,117.2,465.254,228.99,0.492,236.285,318.566,0.085,0.0,-2.841,11.921,,0.048,2022-08-02 19:00:00+00:00,False,pre,
4628806,SWC_O,881.0,1.45,86.4,4.148,2.87,121.6,363.266,191.113,0.526,238.271,318.745,0.112,0.0,-3.504,10.507,,0.04,2022-08-02 20:00:00+00:00,False,pre,
4628807,SWC_O,881.0,0.833,88.0,4.041,3.124,109.2,221.718,117.17,,242.948,320.532,0.193,0.0,-6.838,7.388,,0.043,2022-08-02 21:00:00+00:00,False,pre,
4628808,SWC_O,881.0,0.617,86.4,3.906,3.778,108.0,125.498,66.618,,241.527,316.422,0.189,0.0,-12.64,6.907,,0.041,2022-08-02 22:00:00+00:00,False,pre,
4628809,SWC_O,881.0,0.467,82.7,3.698,4.262,112.1,83.256,44.392,,237.813,311.455,0.158,-0.413,-16.139,10.81,,0.04,2022-08-02 23:00:00+00:00,False,pre,
4628810,SWC_O,881.0,-0.3,83.536,3.523,4.357,103.2,30.416,16.29,,239.701,310.464,0.216,-0.648,-20.417,4.704,,0.038,2022-08-03 00:00:00+00:00,False,pre,0.011000000000000003
4628811,SWC_O,881.0,-0.8,87.771,3.551,4.542,99.9,8.624,4.639,,241.037,307.814,0.256,-1.254,-12.689,6.261,,0.04,2022-08-03 01:00:00+00:00,False,pre,0.011000000000000003
4628812,SWC_O,881.0,-0.5,89.124,3.697,4.538,105.4,0.0,0.0,,258.459,305.905,0.424,-1.806,-0.837,16.605,,0.037,2022-08-03 02:00:00+00:00,False,pre,0.011000000000000003
4628813,SWC_O,881.0,0.15,91.2,3.986,3.328,119.2,2.67,1.449,,289.789,308.249,0.721,-1.487,3.939,14.126,,0.036,2022-08-03 03:00:00+00:00,False,pre,0.011000000000000003
4628814,SWC_O,881.0,0.783,92.2,4.219,2.449,125.5,3.757,2.047,,296.906,311.459,0.764,-0.81,2.717,8.858,,0.039,2022-08-03 04:00:00+00:00,False,pre,0.011000000000000003
4628815,SWC_O,881.0,0.917,92.9,4.292,2.751,130.6,6.563,3.593,,289.478,312.791,0.679,-0.461,2.508,9.548,,0.042,2022-08-03 05:00:00+00:00,False,pre,0.011000000000000003
4628816,SWC_O,881.0,-0.7,95.639,3.902,3.228,106.1,24.75,13.607,,252.188,311.755,0.368,-0.442,-7.573,-2.356,,0.041,2022-08-03 06:00:00+00:00,False,pre,0.011000000000000003
4628817,SWC_O,881.0,0.017,96.8,4.189,3.356,102.9,127.048,70.147,,280.286,308.224,0.627,-1.428,8.63,12.881,,0.033,2022-08-03 07:00:00+00:00,False,pre,0.011000000000000003
4628818,SWC_O,881.0,0.633,96.3,4.359,3.439,101.8,177.856,98.62,,247.501,307.967,0.251,-1.264,11.315,16.573,,0.04,2022-08-03 08:00:00+00:00,False,pre,0.011000000000000003
4628819,SWC_O,881.0,0.017,95.7,4.142,5.282,95.6,262.628,146.247,,246.145,315.148,0.268,0.0,-7.79,0.636,,0.038,2022-08-03 09:00:00+00:00,False,pre,0.011000000000000003
4628820,SWC_O,881.0,0.767,88.1,4.027,5.109,104.7,376.924,210.785,,232.109,309.438,0.082,-0.828,-0.399,22.472,,0.032,2022-08-03 10:00:00+00:00,False,pre,0.011000000000000003
4628821,SWC_O,880.0,1.317,83.2,3.961,5.472,104.5,464.446,260.828,0.562,233.193,311.416,0.065,-0.391,-9.552,25.628,,0.037,2022-08-03 11:00:00+00:00,False,pre,0.011000000000000003
