,stid,Air pressure (upper boom),Air temperature (upper boom),Relative humidity (upper boom) - corrected,Specific humidity (upper boom),Wind speed (upper boom),Wind from direction (upper boom),Downwelling shortwave radiation - corrected,Upwelling shortwave radiation - corrected,Albedo,Downwelling longwave radiation,Upwelling longwave radiation,Cloud cover,Surface temperature,Latent heat flux (upper boom),Sensible heat flux (upper boom),,Surface height from combined measurements,Datetime,Ablation,Melting Season,Surface height from combined measurements DELTA
5785878,WEG_B,998.0,13.58,40.72,,17.17,227.4,,,,,,,,,,,,2022-06-29 09:00:00+00:00,False,,
5785879,WEG_B,,,,,,,,,,,,,,,,,,2022-06-29 10:00:00+00:00,False,,
5785880,WEG_B,1000.0,13.25,43.87,,8.31,209.8,,,,,,,,,,,,2022-06-29 11:00:00+00:00,False,,
5785881,WEG_B,1000.0,13.5,43.55,4.213,5.635,161.1,492.146,366.114,,342.776,391.758,0.546,0.0,11.835,140.07,,-0.337,2022-06-29 12:00:00+00:00,False,,
5785882,WEG_B,1000.0,13.57,44.87,4.361,3.595,214.6,301.146,224.026,,352.505,397.644,0.652,0.0,5.684,49.57,,0.052,2022-06-29 13:00:00+00:00,False,,
5785883,WEG_B,1002.0,12.95,48.68,4.533,3.887,61.3,333.889,248.384,,355.98,404.971,0.73,0.0,10.004,62.828,,0.054,2022-06-29 14:00:00+00:00,False,,
5785884,WEG_B,1003.0,13.3,48.1,4.579,3.345,180.8,325.202,241.922,,352.146,399.039,0.665,0.0,6.58,39.759,,0.049,2022-06-29 15:00:00+00:00,False,,
5785885,WEG_B,1004.0,13.23,48.3,4.572,4.066,241.9,290.9,216.404,,355.332,398.583,0.706,0.0,11.894,71.749,,0.055,2022-06-29 16:00:00+00:00,False,,
5785886,WEG_B,,,,,,,,,,,,,,,,,0.055,2022-06-29 17:00:00+00:00,False,,
5785887,WEG_B,1006.0,12.1,52.4,,1.406,29.06,,,,,,,,,,,0.055,2022-06-29 18:00:00+00:00,False,,
5785888,WEG_B,,,,,,,,,,,,,,,,,0.055,2022-06-29 19:00:00+00:00,False,,
5785889,WEG_B,1007.0,12.6,50.47,,0.422,110.3,,,,,,,,,,,0.055,2022-06-29 20:00:00+00:00,False,,
5785890,WEG_B,1007.0,12.02,51.27,4.468,0.756,73.43,231.65,172.328,,342.698,402.677,0.639,0.0,0.0,0.0,,0.056,2022-06-29 21:00:00+00:00,False,,
5785891,WEG_B,,,,,,,,,,,,,,,,,0.052,2022-06-29 22:00:00+00:00,False,,
5785892,WEG_B,1008.0,9.45,61.32,,0.648,96.0,,,,,,,,,,,0.049,2022-06-29 23:00:00+00:00,False,,
5785893,WEG_B,1008.0,8.6,63.53,4.396,0.458,99.4,66.288,49.312,,309.741,376.914,0.481,0.0,0.0,0.0,,0.045,2022-06-30 00:00:00+00:00,False,,0.0040000000000000036
5785894,WEG_B,1009.0,6.7,73.58,4.465,0.555,99.1,46.508,34.598,,313.577,368.041,0.631,0.0,0.0,0.0,,0.055,2022-06-30 01:00:00+00:00,False,,0.0040000000000000036
5785895,WEG_B,1009.0,5.75,81.7,4.642,0.741,94.2,34.503,25.667,,330.258,362.879,0.863,0.0,0.0,0.0,,0.049,2022-06-30 02:00:00+00:00,False,,0.0040000000000000036
5785896,WEG_B,1009.0,5.467,85.0,4.735,0.93,83.1,41.151,30.613,,325.456,357.876,0.826,0.0,0.0,0.0,,0.049,2022-06-30 03:00:00+00:00,False,,0.0040000000000000036
5785897,WEG_B,1010.0,5.25,85.0,4.659,0.749,138.9,25.114,18.683,,322.539,353.727,0.806,0.0,0.0,0.0,,0.052,2022-06-30 04:00:00+00:00,False,,0.0040000000000000036
5785898,WEG_B,1011.0,4.917,86.9,4.649,1.271,108.4,41.775,31.077,,318.136,351.812,0.777,0.0,1.214,2.412,,0.049,2022-06-30 05:00:00+00:00,False,,0.0040000000000000036
5785899,WEG_B,1011.0,4.867,87.0,4.638,0.936,88.7,78.282,58.235,,308.375,349.427,0.675,0.0,0.0,0.0,,0.048,2022-06-30 06:00:00+00:00,False,,0.0040000000000000036
5785900,WEG_B,,,,,,,,,,,,,,,,,0.048,2022-06-30 07:00:00+00:00,False,,0.0040000000000000036
5785901,WEG_B,1013.0,4.733,88.0,,1.327,73.13,,,,,,,,,,,0.049,2022-06-30 08:00:00+00:00,False,,0.0040000000000000036
5785902,WEG_B,1013.0,4.9,88.1,4.698,1.44,92.9,168.281,125.186,,323.373,355.69,0.834,0.0,1.791,3.333,,0.049,2022-06-30 09:00:00+00:00,False,,0.0040000000000000036
5785903,WEG_B,1014.0,4.467,89.6,4.631,1.557,67.57,171.733,127.755,,328.011,358.406,0.906,0.0,2.23,4.059,,0.047,2022-06-30 10:00:00+00:00,False,,0.0040000000000000036
5785904,WEG_B,1014.0,5.0,86.9,4.662,1.24,77.34,206.147,153.355,,325.95,357.848,0.856,0.0,1.155,2.271,,0.044,2022-06-30 11:00:00+00:00,False,,0.0040000000000000036
