,stid,Air pressure (upper boom),Air temperature (upper boom),Relative humidity (upper boom) - corrected,Specific humidity (upper boom),Wind speed (upper boom),Wind from direction (upper boom),Downwelling shortwave radiation - corrected,Upwelling shortwave radiation - corrected,Albedo,Downwelling longwave radiation,Upwelling longwave radiation,Cloud cover,Surface temperature,Latent heat flux (upper boom),Sensible heat flux (upper boom),,Surface height from combined measurements,Datetime,Ablation,Melting Season,Surface height from combined measurements DELTA
5927499,ZAK_U,,-2.821,7.234,,,,,,,,,,,,,,,2019-09-12 19:00:00+00:00,False,,
5927500,ZAK_U,,-3.272,7.453,,,,,,,306.139,306.219,1.0,-2.06,,,,0.002,2019-09-12 20:00:00+00:00,False,,
5927501,ZAK_U,,-3.422,6.989,,,,,,,303.491,303.614,1.0,-2.638,,,,0.003,2019-09-12 21:00:00+00:00,False,,
5927502,ZAK_U,,-3.458,6.601,,,,,,,302.856,302.965,1.0,-2.783,,,,0.002,2019-09-12 22:00:00+00:00,False,,
5927503,ZAK_U,,-3.161,7.619,,,,,,,302.722,302.789,1.0,-2.823,,,,-0.0,2019-09-12 23:00:00+00:00,False,,
5927504,ZAK_U,,-2.944,6.259,,,,,,,303.918,304.004,1.0,-2.552,,,,0.005,2019-09-13 00:00:00+00:00,False,,0.0
5927505,ZAK_U,,-2.942,7.399,,,,,,,305.055,305.137,1.0,-2.3,,,,0.004,2019-09-13 01:00:00+00:00,False,,0.0
5927506,ZAK_U,,-2.808,5.645,,,,,,,305.073,305.147,1.0,-2.298,,,,0.003,2019-09-13 02:00:00+00:00,False,,0.0
5927507,ZAK_U,,-2.801,3.543,,,,,,,305.564,305.661,1.0,-2.184,,,,0.005,2019-09-13 03:00:00+00:00,False,,0.0
5927508,ZAK_U,,-3.117,1.187,,52.54,87.0,,,,305.489,305.604,1.0,-2.196,,,,0.005,2019-09-13 04:00:00+00:00,False,,0.0
5927509,ZAK_U,,-4.348,1.586,,,,,,,303.585,303.717,1.0,-2.615,,,,0.004,2019-09-13 05:00:00+00:00,False,,0.0
5927510,ZAK_U,,-4.155,1.164,,,,,,,298.081,298.218,1.0,-3.848,,,,0.003,2019-09-13 06:00:00+00:00,False,,0.0
