,stid,Air pressure (upper boom),Air temperature (upper boom),Relative humidity (upper boom) - corrected,Specific humidity (upper boom),Wind speed (upper boom),Wind from direction (upper boom),Downwelling shortwave radiation - corrected,Upwelling shortwave radiation - corrected,Albedo,Downwelling longwave radiation,Upwelling longwave radiation,Cloud cover,Surface temperature,Latent heat flux (upper boom),Sensible heat flux (upper boom),,Surface height from combined measurements,Datetime,Ablation,Melting Season,Surface height from combined measurements DELTA
5793613,ZAK_Uv3,927.0,-9.0,59.153,,0.14,243.6,,,,,,,,,,,,2022-04-21 12:00:00+00:00,False,pre,
5793614,ZAK_Uv3,,,,,,,,,,,,,,,,,,2022-04-21 13:00:00+00:00,False,pre,
5793615,ZAK_Uv3,,,,,,,,,,,,,,,,,,2022-04-21 14:00:00+00:00,False,pre,
5793616,ZAK_Uv3,926.0,-9.2,54.402,,0.721,47.95,,,,,,,,,,,,2022-04-21 15:00:00+00:00,False,pre,
5793617,ZAK_Uv3,926.0,-9.17,53.271,1.001,0.78,346.6,310.763,259.626,,230.557,277.14,0.532,-8.396,0.0,0.0,,-0.003,2022-04-21 16:00:00+00:00,False,pre,
5793618,ZAK_Uv3,925.0,-8.47,46.85,0.938,3.948,123.2,331.3,276.784,,254.717,280.521,0.754,-7.748,-50.692,-10.687,,0.727,2022-04-21 17:00:00+00:00,False,pre,
5793619,ZAK_Uv3,924.0,-8.6,39.495,0.782,3.906,176.9,264.335,220.838,,226.48,272.981,0.465,-9.391,-42.108,11.282,,0.731,2022-04-21 18:00:00+00:00,False,pre,
5793620,ZAK_Uv3,923.0,-9.25,40.184,0.752,4.885,149.1,123.356,103.058,,209.076,268.413,0.311,-10.399,-45.425,19.966,,0.73,2022-04-21 19:00:00+00:00,False,pre,
5793621,ZAK_Uv3,923.0,-9.72,42.534,0.764,3.441,25.81,60.322,50.396,,210.75,260.206,0.348,-12.493,-15.884,24.755,,-0.234,2022-04-21 20:00:00+00:00,False,pre,
5793622,ZAK_Uv3,922.0,-9.57,48.267,0.879,3.271,20.72,24.719,20.651,,215.1,257.744,0.387,-13.161,-12.19,35.422,,0.737,2022-04-21 21:00:00+00:00,False,pre,
5793623,ZAK_Uv3,919.0,-8.73,65.909,1.298,11.6,230.2,9.557,7.984,,237.385,265.691,0.584,-11.298,-24.96,85.251,,-0.246,2022-04-21 22:00:00+00:00,False,pre,
5793624,ZAK_Uv3,918.0,-3.85,45.049,1.354,13.74,234.0,3.988,3.332,,218.176,264.75,0.163,-11.391,-20.982,279.267,,-0.151,2022-04-21 23:00:00+00:00,False,pre,
5793625,ZAK_Uv3,917.0,-2.6,44.659,1.493,13.93,240.0,2.705,2.26,,233.818,281.958,0.268,-7.248,-80.107,176.398,,-0.055,2022-04-22 00:00:00+00:00,False,pre,0.42
5793626,ZAK_Uv3,,,,,,,,,,,,,,,,,0.041,2022-04-22 01:00:00+00:00,False,pre,0.42
5793627,ZAK_Uv3,918.0,-4.233,44.769,,2.818,33.39,,,,,,,,,,,0.136,2022-04-22 02:00:00+00:00,False,pre,0.42
5793628,ZAK_Uv3,,,,,,,,,,,,,,,,,0.232,2022-04-22 03:00:00+00:00,False,pre,0.42
5793629,ZAK_Uv3,917.0,-0.433,42.525,,8.8,240.4,,,,,,,,,,,0.328,2022-04-22 04:00:00+00:00,False,pre,0.42
5793630,ZAK_Uv3,918.0,-1.0,42.436,1.62,2.594,268.9,50.502,42.191,,223.286,284.839,0.079,-6.478,-11.335,28.385,,0.423,2022-04-22 05:00:00+00:00,False,pre,0.42
5793631,ZAK_Uv3,,,,,,,,,,,,,,,,,0.519,2022-04-22 06:00:00+00:00,False,pre,0.42
5793632,ZAK_Uv3,918.0,0.283,38.58,,4.562,300.4,,,,,,,,,,,0.615,2022-04-22 07:00:00+00:00,False,pre,0.42
5793633,ZAK_Uv3,918.0,0.167,41.93,1.76,5.808,308.5,303.782,253.794,,221.693,294.304,0.004,-4.227,-59.656,81.172,,0.71,2022-04-22 08:00:00+00:00,False,pre,0.42
5793634,ZAK_Uv3,919.0,0.75,39.07,1.71,4.487,275.2,376.711,314.723,,219.086,293.094,0.0,-4.491,-42.766,70.427,,0.711,2022-04-22 09:00:00+00:00,False,pre,0.42
5793635,ZAK_Uv3,919.0,1.717,35.28,1.655,2.172,299.1,435.407,363.76,,215.105,289.524,0.0,-5.304,-6.962,17.452,,0.711,2022-04-22 10:00:00+00:00,False,pre,0.42
5793636,ZAK_Uv3,919.0,2.033,34.27,1.645,1.68,259.3,475.464,397.225,0.835,217.87,295.227,0.0,-3.984,-4.833,7.821,,0.711,2022-04-22 11:00:00+00:00,False,pre,0.42
5793637,ZAK_Uv3,,,,,,,,,,,,,,,,,0.712,2022-04-22 12:00:00+00:00,False,pre,0.42
5793638,ZAK_Uv3,919.0,2.167,38.78,,1.775,227.1,,,,,,,,,,,0.714,2022-04-22 13:00:00+00:00,False,pre,0.42
5793639,ZAK_Uv3,919.0,1.8,39.73,1.875,2.283,258.1,459.684,399.377,0.869,232.697,313.173,0.035,0.0,-42.946,12.187,,0.362,2022-04-22 14:00:00+00:00,False,pre,0.42
5793640,ZAK_Uv3,919.0,1.95,39.33,1.876,2.312,259.1,425.76,358.55,0.842,229.479,306.171,0.0,-1.548,-26.372,18.599,,0.363,2022-04-22 15:00:00+00:00,False,pre,0.42
5793641,ZAK_Uv3,,,,,,,,,,,,,,,,,0.363,2022-04-22 16:00:00+00:00,False,pre,0.42
5793642,ZAK_Uv3,919.0,1.733,35.05,,2.462,285.0,,,,,,,,,,,0.363,2022-04-22 17:00:00+00:00,False,pre,0.42
