,stid,Datetime,Air pressure (upper boom),Air temperature (upper boom),Relative humidity (upper boom) - corrected,Specific humidity (upper boom),Wind speed (upper boom),Wind from direction (upper boom),Downwelling shortwave radiation - corrected,Upwelling shortwave radiation - corrected,Downwelling longwave radiation,Upwelling longwave radiation,Surface temperature,Latent heat flux (upper boom),Sensible heat flux (upper boom),Surface height from combined measurements DELTA,Albedo,Cloud cover,Ablation,Melting Season
12221,MIT,2009-05-10 00:00:00+00:00,948.2215347222221,-1.9802430555555557,77.37876388888888,2.6169375,2.8646597222222216,110.49525694444446,261.18526388888887,217.06306250000003,270.7285763888889,300.26270833333336,-3.251736111111111,-13.362493055555555,9.080152777777776,0.13699999999999998,0.8262106782106783,0.6145763888888889,False,pre
12222,MIT,2009-05-17 00:00:00+00:00,954.3954107142856,1.0403035714285715,76.22570238095238,3.251458333333333,4.694113095238095,103.58341071428573,237.98047023809522,188.032255952381,285.1481071428571,310.29050595238095,-1.5191607142857142,1.3771547619047622,24.058285714285716,-0.1189999999999998,0.8059924242424243,0.6208928571428572,False,pre
12223,MIT,2009-05-24 00:00:00+00:00,956.3921547619046,2.0314345238095237,70.30701785714287,3.1799464285714287,3.767845238095238,107.02988690476192,238.45351190476188,179.8559761904762,288.78977976190475,313.8549642857143,-0.6964702380952382,-13.883940476190476,26.298916666666667,-0.1919999999999995,0.7605723443223443,0.6102678571428571,False,pre
12224,MIT,2009-05-31 00:00:00+00:00,951.4384345238095,0.5354880952380953,68.88061904761905,2.8388392857142857,1.5888392857142857,147.01163095238095,309.80256547619047,220.24223214285715,254.68516666666667,309.0903035714286,-1.6060654761904762,-4.475857142857143,6.0106785714285715,-0.1159999999999998,0.7139450549450549,0.33123809523809516,False,pre
12225,MIT,2009-06-07 00:00:00+00:00,968.4491071428572,2.739767857142857,68.97782738095238,3.2816130952380957,1.7708571428571427,120.54508333333334,308.80280357142857,212.21694642857142,282.0216190476191,315.0188392857143,-0.7761309523809523,-3.719095238095238,11.03895238095238,-0.3059999999999998,0.6923186813186814,0.5021369047619048,False,pre
12226,MIT,2009-06-14 00:00:00+00:00,965.9318749999999,1.051440476190476,83.0006369047619,3.454285714285714,1.387529761904762,143.99830357142858,357.0100178571429,242.9878273809524,270.5352023809524,314.00485119047613,-0.7690595238095238,-3.0531666666666664,2.5629940476190476,-0.2309999999999998,0.6826703296703297,0.4672023809523809,False,pre
12227,MIT,2009-06-21 00:00:00+00:00,953.4688630952381,3.194166666666667,66.76641071428571,3.316904761904762,4.76652380952381,105.57899404761903,253.0192738095238,176.83313095238097,292.06602976190476,317.22600595238094,-0.12819642857142854,-16.13842261904762,31.262797619047625,-0.1189999999999997,0.700967032967033,0.5893214285714284,False,pre
12228,MIT,2009-06-28 00:00:00+00:00,964.1227678571429,2.49060119047619,73.66425595238096,3.4731071428571427,1.5291190476190475,133.32867261904764,336.94826190476186,230.56099404761906,264.8264226190476,313.9563630952381,-0.8983154761904762,-0.1991249999999998,6.682392857142858,-0.1839999999999998,0.6859120879120878,0.33636904761904757,False,pre
12229,MIT,2009-07-05 00:00:00+00:00,959.6921964285714,3.650077380952381,87.08783333333334,4.467875,1.5445654761904763,101.62749404761904,231.71521428571427,156.34565476190477,309.69864880952383,319.0974166666667,-0.04775595238095236,3.7866011904761905,7.01142261904762,1.2229999999999999,0.6914945054945054,0.7455357142857142,False,pre
12230,MIT,2009-07-12 00:00:00+00:00,963.6981488095238,5.97119642857143,82.26919047619049,4.973172619047618,3.0511666666666666,76.18145833333334,204.82295238095236,135.37447023809523,324.6596964285714,321.3228869047619,0.0,15.38035119047619,30.76427976190476,-0.1459999999999999,0.6735714285714286,0.7780000000000001,True,beginning
12231,MIT,2009-07-19 00:00:00+00:00,969.542619047619,7.3857976190476196,61.662636904761904,4.049934523809523,2.4454285714285713,84.06836904761904,319.3686011904762,198.3893154761905,284.64494047619047,321.6922619047619,0.0,0.17883928571428553,20.34683928571429,-2.5869999999999997,0.6201978021978022,0.28063095238095237,True,middle
12232,MIT,2009-07-26 00:00:00+00:00,961.1911071428573,5.159684523809524,72.98872619047619,4.104017857142856,2.1276488095238095,90.62170238095239,233.6815119047619,112.42273809523807,295.4493273809524,318.37338095238096,-0.1701547619047619,1.7387142857142857,15.581374999999998,-0.24000000000000044,0.4705494505494506,0.5149404761904762,False,pre
12233,MIT,2009-08-02 00:00:00+00:00,958.090113095238,4.78397619047619,72.39369047619047,3.9876309523809526,2.508017857142857,84.10325,246.8834107142857,71.84731547619049,283.3975,317.57619047619045,-0.11074999999999999,3.42677380952381,17.76529761904762,-0.26899999999999935,0.27594696969696964,0.41054166666666664,False,pre
