,stid,Datetime,Air pressure (upper boom),Air temperature (upper boom),Relative humidity (upper boom) - corrected,Specific humidity (upper boom),Wind speed (upper boom),Wind from direction (upper boom),Downwelling shortwave radiation - corrected,Upwelling shortwave radiation - corrected,Downwelling longwave radiation,Upwelling longwave radiation,Surface temperature,Latent heat flux (upper boom),Sensible heat flux (upper boom),Surface height from combined measurements DELTA,Albedo,Cloud cover,Ablation,Melting Season
31556,TUN,1996-05-19 00:00:00+00:00,,,,,,,,,,,,,,0.020000000000000004,0.8495833333333332,,False,
31557,TUN,1996-05-26 00:00:00+00:00,782.5898809523808,-14.890297619047615,87.49577380952383,1.19672619047619,4.5582142857142856,255.24166666666665,350.2738095238095,308.4886904761905,,,,-3.04824016563147,-13.354679089026913,0.0,0.877124542124542,,False,
31558,TUN,1996-06-02 00:00:00+00:00,772.4463369963371,-20.109940476190477,83.40791666666667,0.6975892857142858,4.388571428571429,208.2220238095238,378.7023809523809,334.0732142857143,,,,-2.650922619047619,-15.443709886128362,0.039999999999999904,0.8800313971742544,,False,
31559,TUN,1996-06-09 00:00:00+00:00,780.0508333333335,-14.399285714285712,86.66797619047618,1.2987619047619048,4.929702380952381,281.1119047619048,392.08333333333337,346.9154761904761,,,,-2.940809523809524,-10.870000000000001,0.0,0.8847959183673468,,False,
31560,TUN,1996-06-16 00:00:00+00:00,781.5886904761904,-13.064226190476191,85.25589285714285,1.3952976190476192,4.724940476190476,270.44166666666666,408.2261904761905,358.7005952380952,,,,-4.5860119047619055,-11.68327380952381,-0.0099999999999999,0.8775510204081634,,False,
31561,TUN,1996-06-23 00:00:00+00:00,782.7892857142857,-8.775714285714285,93.27976190476191,2.2561309523809525,5.956190476190477,257.3232142857143,367.7142857142857,325.2208333333333,,,,-9.281666666666666,-19.09509575569358,0.0099999999999999,0.8843877551020409,,False,
31562,TUN,1996-06-30 00:00:00+00:00,781.1136904761905,-7.161369047619046,91.84523809523809,2.591845238095238,5.551130952380952,276.95476190476194,360.67857142857144,321.2113095238096,,,,-5.646428571428571,-11.859821428571427,0.0,0.8908163265306123,,False,
31563,TUN,1996-07-07 00:00:00+00:00,783.1261904761906,-5.266845238095239,92.96107142857143,2.9388690476190478,6.0164880952380955,288.3255952380953,352.01785714285717,309.37797619047615,,,,-5.7805357142857146,-10.67125,-0.01,0.8762244897959183,,False,
31564,TUN,1996-07-14 00:00:00+00:00,778.8392857142857,-9.789166666666668,91.84244047619048,1.9798214285714284,4.036309523809524,271.5857142857143,369.41666666666663,322.3208333333333,,,,-4.574642857142857,-9.234940476190475,0.0,0.8711852433281005,,False,
31565,TUN,1996-07-21 00:00:00+00:00,781.3744047619048,-7.632142857142858,91.45988095238097,2.3725,6.047916666666667,274.90773809523813,334.5238095238095,292.2309523809524,,,,-6.608869047619047,-12.60934523809524,-0.01,0.8720054945054944,,False,
