 Year MonthOfYear MonthOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity(%) SpecificHumidity(g/kg) WindSpeed(m/s) WindDirection(d) SensibleHeatFlux(W/m2) LatentHeatFlux(W/m2) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) HeightSensorBoom(m) LatitudeGPS_HDOP<1(degN) LongitudeGPS_HDOP<1(degW) ElevationGPS_HDOP<1(m) FanOK(%)
 2017    5  209 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2017    6  210 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0    1.824 -999.0000000 -999.0000000 -999.0 -999
 2017    7  211 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0    1.860 -999.0000000 -999.0000000 -999.0  100
 2017    8  212  799.12   -7.92   -7.62   94.8    2.46    6.16   181.4     4.7    -4.9   165.8   175.4   153.6   152.8    0.888  255.8  279.6    2.531 -999.0000000 -999.0000000 -999.0  100
 2017    9  213  793.05  -16.82  -16.66   98.4    1.18    6.15   157.2    14.7     2.5    53.3    74.0    67.7    67.3 -999.000  221.2  241.5    2.173 -999.0000000 -999.0000000 -999.0  100
 2017   10  214  789.45  -21.89  -21.88   99.7    0.81    6.35   163.0     3.6     0.6    11.4    10.9     9.9     9.5 -999.000  207.2  226.5    2.149 -999.0000000 -999.0000000 -999.0   77
 2017   11  215  792.08  -30.58  -30.67   99.7 -999.00    6.02   135.1  -999.0  -999.0    -0.8     0.0     0.4     0.0 -999.000  188.0  196.1    2.144 -999.0000000 -999.0000000 -999.0    3
 2017   12  216  786.31  -28.13  -28.22   99.9    0.48    4.83   150.7     0.5     0.0    -0.5     0.0     0.3     0.0 -999.000  200.8  205.5    2.018 -999.0000000 -999.0000000 -999.0 -999
 2018    1  217  784.26  -35.85  -34.92   99.0    0.22    6.28   133.5    10.5     0.7    -0.5     0.0     0.3     0.0 -999.000  171.0  180.2    1.992 -999.0000000 -999.0000000 -999.0 -999
 2018    2  218  778.06  -31.69  -31.46   99.6    0.33    9.53   154.7    27.4     2.9     2.2     3.2     2.8     2.1 -999.000  183.7  190.4    1.992 -999.0000000 -999.0000000 -999.0 -999
 2018    3  219  793.44  -35.49  -34.67   99.0    0.22    5.42   144.1    21.4     1.0    59.3    56.3    36.6    35.4 -999.000  178.2  177.8    1.945 -999.0000000 -999.0000000 -999.0 -999
 2018    4  220  790.41  -25.23  -25.31   99.9    0.57    6.18   159.0    32.1     4.4   162.8   155.1   146.9   100.2 -999.000  209.2  208.2    1.942 -999.0000000 -999.0000000 -999.0 -999
 2018    5  221  787.11  -18.41  -18.16   95.0    1.05    6.07   168.5     5.7    -2.9   308.9   311.6   262.7   254.4    0.804  190.6  237.0    1.885 -999.0000000 -999.0000000 -999.0   58
 2018    6  222  797.15   -8.97   -8.65   88.9    2.05    5.76   167.4     1.0   -13.8   352.7   360.7   308.4   302.3    0.827  230.4  275.1    1.807 -999.0000000 -999.0000000 -999.0  100
 2018    7  223  795.43   -7.83   -7.56   92.4    2.33    6.50   186.8    -0.9   -11.4   290.7   296.4   262.1   258.6    0.871  250.3  280.5    1.664 -999.0000000 -999.0000000 -999.0  100
 2018    8  224  796.15   -7.42   -7.18   95.3    2.65    6.32   178.0     2.5    -7.5   163.6   171.2   152.6   150.8    0.871  259.6  282.4    1.453 -999.0000000 -999.0000000 -999.0  100
 2018    9  225  793.83  -19.18  -19.07   97.3    1.03    5.02   156.2     8.6     0.4    71.2    76.6    69.2    68.3 -999.000  209.1  234.7    1.367 -999.0000000 -999.0000000 -999.0  100
 2018   10  226  788.58  -29.97  -30.00   98.0    0.37    5.07   136.9     3.7     0.3     6.0     8.5     8.2     7.2 -999.000  197.8  198.7    1.360 -999.0000000 -999.0000000 -999.0  100
 2018   11  227  791.55  -31.34  -31.31   97.9 -999.00    5.05   152.5  -999.0  -999.0    -1.0     0.0     0.5     0.0 -999.000  191.8 -999.0    1.343 -999.0000000 -999.0000000 -999.0   70
 2018   12  228  783.08  -33.09  -32.68   97.9    0.28    6.27   154.5     2.2    -0.1    -0.8     0.0     0.7     0.0 -999.000  187.3  188.9    1.287 -999.0000000 -999.0000000 -999.0 -999
 2019    1  229  784.50  -36.04  -35.04   97.2    0.21    5.07   142.5     2.8     0.0    -0.7     0.0     0.6     0.0 -999.000  178.2  179.3    1.160 -999.0000000 -999.0000000 -999.0 -999
 2019    2  230  784.57  -35.46  -35.16   97.4 -999.00    0.31  -999.0  -999.0  -999.0     2.6     2.7     1.6     1.5 -999.000  180.8 -999.0    1.158 -999.0000000 -999.0000000 -999.0    3
 2019    3  231  777.83  -39.13  -36.67   96.1 -999.00    5.35   139.6  -999.0  -999.0    20.0    24.6    12.4    12.9 -999.000  172.0 -999.0    1.148 -999.0000000 -999.0000000 -999.0 -999
 2019    4  232  791.66  -21.33  -21.49   99.0    0.90    6.77   170.5    17.8     3.2   157.6   161.4   107.2    88.3 -999.000  204.1  225.1    1.122 -999.0000000 -999.0000000 -999.0 -999
 2019    5  233  807.07  -11.78  -12.35   90.0    1.62    5.68   155.2    10.1    -5.4   298.8   318.0   261.2   255.8    0.782  206.5  260.9    1.747 -999.0000000 -999.0000000 -999.0   83
 2019    6  234  806.33   -7.94   -9.38   88.3    2.23    6.54   175.2     6.0   -13.8   358.5   357.7   302.7   299.3    0.838  232.1  278.3    2.389   77.1818219   61.1155677 1890.2  100
 2019    7  235  807.67   -4.23   -5.65   85.7    2.89    6.08   156.5    13.3   -15.3   331.1   336.0   277.8   276.8    0.828  235.7  291.9    2.332   77.1818195   61.1155800 1890.1  100
