 Year MonthOfYear MonthOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity(%) SpecificHumidity(g/kg) WindSpeed(m/s) WindDirection(d) SensibleHeatFlux(W/m2) LatentHeatFlux(W/m2) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) HeightSensorBoom(m) LatitudeGPS_HDOP<1(degN) LongitudeGPS_HDOP<1(degW) ElevationGPS_HDOP<1(m) FanOK(%)
 2016    5  197  723.34  -21.80  -22.28   88.8    0.74    5.00   242.4     8.5    -2.6   323.0   325.5   257.5   257.1    0.790  168.2  222.9    2.583 -999.0000000 -999.0000000 -999.0  100
 2016    6  198  728.30  -12.41  -12.80   88.8    1.70    5.15   250.0     6.0    -6.5   369.2   372.2   300.7   300.2    0.806  204.0  259.0    2.581 -999.0000000 -999.0000000 -999.0  100
 2016    7  199  734.05   -9.44   -9.70   90.8    2.18    4.12   264.5     3.1    -7.0   315.8   317.0   256.0   255.5    0.808  228.5  272.2    2.550   75.6245940   35.9749884 2663.3  100
 2016    8  200  728.28  -15.04  -15.57   94.2    1.47    4.77   262.9     9.0    -0.0   209.1   208.2   169.2   167.6    0.811  216.5  248.6    2.477   75.6246315   35.9748888 2662.5  100
 2016    9  201  719.51  -25.86  -26.62   98.7    0.57    4.15   246.6     9.3     1.0    90.9    96.4    75.4    70.5 -999.000  193.3  209.1    2.394   75.6246668   35.9747872 2661.2  100
 2016   10  202  719.76  -26.15  -27.05   99.9    0.58    6.53   200.8    19.4     3.2    21.7    18.4    14.7    12.9 -999.000  195.1  207.6    2.353   75.6246995   35.9746794 2661.1  100
 2016   11  203  713.86  -35.18  -34.62  100.0    0.28    5.41   235.5     7.6     0.9    -0.4     0.2     0.4     0.1 -999.000  177.0  181.5    2.196   75.6247287   35.9745739 2658.2  100
 2016   12  204  706.44  -40.13  -37.27  100.0    0.16    5.37   235.1     2.3     0.1    -0.4     0.0     0.3     0.0 -999.000  166.4  168.0    2.049   75.6247725   35.9744869 2661.4  100
 2017    1  205  704.08  -44.48  -38.98   99.9    0.11    6.50   239.0     1.9     0.1    -0.4     0.0     0.3     0.0 -999.000  150.8  156.2    2.045   75.6248027   35.9743979 2657.3  100
 2017    2  206  707.53  -37.41  -34.96  100.0    0.26    7.36   205.3     2.3     0.2     3.6     5.4     4.6     3.7 -999.000  173.0  178.3    2.050   75.6248448   35.9743177 2659.6  100
 2017    3  207  707.86  -40.50  -37.94   99.6    0.14    6.31   231.3    25.0     1.1    75.3    66.9    57.7    45.9 -999.000  133.5  162.1    2.042   75.6248777   35.9741879 2660.0  100
 2017    4  208  716.97  -35.66  -34.79   96.1    0.27    5.88   230.1    22.4     0.9   200.3   187.6   161.7   146.3    0.791  135.9  176.5    2.046   75.6249162   35.9740972 2660.4  100
 2017    5  209  728.42  -18.33  -18.87   90.1    1.08    5.88   237.9    15.5    -1.3   318.4   321.3   255.8   255.2    0.810  179.1  234.8    2.314   75.6249006   35.9742548 2662.1  100
