 Year MonthOfYear MonthOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity(%) SpecificHumidity(g/kg) WindSpeed(m/s) WindDirection(d) SensibleHeatFlux(W/m2) LatentHeatFlux(W/m2) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) HeightSensorBoom(m) LatitudeGPS_HDOP<1(degN) LongitudeGPS_HDOP<1(degW) ElevationGPS_HDOP<1(m) FanOK(%)
 2008    9  105  923.94   -2.63   -2.89   81.7    2.84    3.30   133.6    14.1    -6.3   110.7   106.6    85.3    84.8    0.786  268.3  296.8    2.549   67.0973034   49.9319199  676.7  100
 2008   10  106  924.23   -8.84   -9.23   82.3    1.82    4.50   135.9    21.7    -4.7    46.0    42.4    37.5    36.6 -999.000  244.6  269.9    2.548   67.0972873   49.9320661  675.8  100
 2008   11  107  924.73  -10.81  -11.25   88.5    1.61    4.05   133.5    17.5    -1.5     6.4     6.0     6.3     4.9 -999.000  240.0  262.7    2.597 -999.0000000 -999.0000000 -999.0  100
 2008   12  108  916.81  -15.44  -15.87   83.5    1.08    5.79   140.1    30.8    -6.7     0.0     1.0     1.2     0.7 -999.000  216.2  243.9    2.578 -999.0000000 -999.0000000 -999.0  100
 2009    1  109  912.95  -13.50  -13.96   74.0    1.11    5.36   129.9    41.1    -8.9     3.4     3.9     3.5     2.7 -999.000  206.1  247.7    2.541 -999.0000000 -999.0000000 -999.0  100
 2009    2  110  924.86  -13.59  -14.00   68.9    0.98    6.28   138.9    49.0   -18.1    41.8    35.1    26.4    22.7 -999.000  195.4  247.2    2.524 -999.0000000 -999.0000000 -999.0  100
 2009    3  111  926.64  -18.86  -19.15   75.8    0.65    4.22   130.0    17.6    -5.6   123.5   113.3    77.3    73.8 -999.000  177.3  232.3    2.557 -999.0000000 -999.0000000 -999.0  100
 2009    4  112  925.85  -11.03  -11.18   79.2    1.35    4.26   110.8     2.9   -14.6   210.5   202.7   132.5   131.9    0.654  218.5  267.1    2.539 -999.0000000 -999.0000000 -999.0  100
 2009    5  113  925.56   -3.82   -3.98   70.3    2.23    4.87   130.7    15.6   -31.5   310.5   301.7   186.9   185.9    0.620  230.2  294.1    2.530   67.0971667   49.9333390  678.2  100
 2009    6  114  935.08    2.51    2.43   75.2    3.67    3.74   119.0    29.8    -9.3   304.8   301.8   173.3   172.6    0.575  275.7  316.1    2.509   67.0971355   49.9336359  678.7  100
 2009    7  115  937.25    3.35    3.26   75.5    3.90    3.49    94.8    33.8    -1.4   306.4   301.6   161.1   160.5    0.535  271.2  317.1    2.493   67.0971010   49.9339591  678.0  100
 2009    8  116  930.53    2.88    2.72   74.1    3.73    3.56    95.3    27.9    -9.5   242.0   232.4   127.1   126.8    0.550  261.7  315.8    2.465   67.0970778   49.9341822  677.5  100
 2009    9  117  923.14   -3.38   -3.61   81.0    2.64    3.25   108.5    15.0    -9.3   111.3   106.7    82.9    82.4    0.791  261.9  294.2    2.344   67.0970631   49.9343431  677.8  100
 2009   10  118  929.73   -8.48   -8.83   79.9    1.72    4.05   111.7    22.9    -9.4    49.6    45.7    40.2    41.0 -999.000  237.4  270.7    2.356   67.0970524   49.9344939  677.6  100
 2009   11  119  922.89  -16.41  -16.84   86.1    0.90    2.79    96.5    13.6    -1.9     9.5     8.1     8.9     7.1 -999.000  210.5  239.7    2.389 -999.0000000 -999.0000000 -999.0  100
 2009   12  120  930.62   -9.64  -10.07   66.9    1.35    5.49   109.5    51.3   -19.3     0.2     0.8     1.4     0.6 -999.000  218.2  262.0    2.415 -999.0000000 -999.0000000 -999.0  100
 2010    1  121  923.23  -11.68  -12.10   82.8    1.46    3.72    98.0    25.7    -8.2     2.5     2.3     3.0     1.9 -999.000  239.1  258.6    2.433 -999.0000000 -999.0000000 -999.0  100
 2010    2  122  933.66  -10.19  -10.59   77.2    1.36    4.25   104.8    27.4   -10.3    31.9    23.8    22.3    18.5 -999.000  228.8  262.3    2.458 -999.0000000 -999.0000000 -999.0  100
 2010    3  123  927.26  -11.85  -12.14   74.0    1.17    3.77   108.7    20.7    -8.5   118.7   105.7    80.7    79.1 -999.000  206.1  255.6    2.462 -999.0000000 -999.0000000 -999.0  100
 2010    4  124  932.63   -7.06   -7.13   77.9    1.85    3.17   102.7    10.5    -9.5   218.3   208.0   152.9   152.5    0.729  225.1  279.6    2.466 -999.0000000 -999.0000000 -999.0  100
 2010    5  125  935.89    1.43    0.54   70.7    3.22    4.47   114.2    39.0   -15.5   278.3   275.8   164.4   164.0    0.596  262.7  310.0    2.551   67.0969272   49.9358273  681.1  100
 2010    6  126  931.93    3.41    1.85   74.1    3.85    3.54   103.6    33.0    -6.2   302.3   299.9   153.1   152.5    0.510  280.4  317.7    2.569   67.0968905   49.9361992  681.0  100
 2010    7  127  930.42    3.83    2.32   76.1    4.08    3.03    71.6    26.6    -1.2   280.5   272.5   133.5   132.1    0.486  287.6  318.7    2.575   67.0968568   49.9364530  681.6  100
 2010    8  128  933.43    4.19    2.64   76.9    4.22    3.78    81.4    38.4     3.3   210.2   199.6    95.5    94.6    0.478  293.6  319.2    2.612   67.0968243   49.9366459  679.6  100
 2010    9  129  927.81    1.22   -0.34   76.7    3.40    3.79    86.0    31.4   -12.7   124.6   114.6    71.3    70.3    0.633  275.5  310.9    2.590   67.0968017   49.9367869  678.6  100
 2010   10  130  926.53   -3.98   -5.60   72.5    2.25    4.01    86.2    31.9   -12.2    59.5    42.4    35.3    34.5 -999.000  239.6  286.3    2.588   67.0967893   49.9369489  677.7  100
 2010   11  131  930.06   -5.74   -7.39   69.8    1.87    6.19    99.1    53.1   -21.3    10.5     7.6     6.8     6.2 -999.000  238.5  277.8    2.615 -999.0000000 -999.0000000 -999.0  100
 2010   12  132  935.80   -6.00   -7.65   76.1    2.04    6.03   100.1    34.5   -12.7     0.1     0.7     1.0     0.6 -999.000  247.9  279.9    2.615 -999.0000000 -999.0000000 -999.0  100
 2011    1  133  927.06  -13.63  -15.27   69.8    1.03    6.06    89.6    40.8    -9.6     5.8     3.6     4.1     3.1 -999.000  199.0  247.6    2.613 -999.0000000 -999.0000000 -999.0  100
 2011    2  134  909.77  -17.13  -18.76   81.8    0.83    4.06    88.0    21.7    -2.6    31.2    24.7    21.4    20.9 -999.000  207.4  237.1    2.612 -999.0000000 -999.0000000 -999.0  100
 2011    3  135  924.91  -17.66  -19.25   80.3    0.94    4.59    93.6    17.9    -4.8   114.0    92.5    75.1    69.4 -999.000  199.8  237.1    2.613 -999.0000000 -999.0000000 -999.0  100
 2011    4  136  916.02  -18.89  -20.36   76.2    0.64    3.10    80.4    -2.8    -7.9   246.8   228.8   152.1   144.2    0.642  173.1  237.4    2.612 -999.0000000 -999.0000000 -999.0  100
 2011    5  137  934.25   -4.68   -6.17   74.8    2.09    3.94    76.6     6.9   -23.9   297.3   290.6   211.8   209.1    0.719  246.4  292.5    2.595 -999.0000000 -999.0000000 -999.0  100
 2011    6  138  939.80    2.78    1.21   74.1    3.69    3.98    76.4    31.9    -8.5   340.8   342.3   183.3   182.1    0.540  274.0  316.2    2.582 -999.0000000 -999.0000000 -999.0  100
 2011    7  139  931.02    4.52    2.94   71.9    4.05    4.76    79.7    55.2    -2.3   291.3   286.7   141.5   137.4    0.486  288.5  319.3    2.590 -999.0000000 -999.0000000 -999.0  100
 2011    8  140  935.05    3.04    1.50   76.8    3.90    3.52    76.1    30.3    -2.8   219.9   208.9   107.4   101.1    0.493  284.6  317.0    2.564 -999.0000000 -999.0000000 -999.0  100
 2011    9  141  922.44   -2.38   -3.96   73.8    2.63    3.71    84.8    19.5   -15.4   149.8   113.0    85.6    65.0    0.583  249.7  296.4    2.496 -999.0000000 -999.0000000 -999.0  100
 2011   10  142  926.78  -10.30  -11.93   77.2    1.46    3.53    82.4    17.5    -6.2    63.9    51.3    40.9    32.8 -999.000  229.7  262.3    2.497 -999.0000000 -999.0000000 -999.0  100
 2011   11  143  918.24  -13.64  -15.28   75.5    1.13    4.11    90.3    27.3    -8.9    13.6     9.8     7.7     6.7 -999.000  220.4  248.9    2.514 -999.0000000 -999.0000000 -999.0  100
 2011   12  144  913.93  -16.12  -17.76   76.5    0.84    5.37    99.8    32.9    -5.0     0.1     0.9     1.2     0.7 -999.000  197.3  238.4    2.527 -999.0000000 -999.0000000 -999.0  100
 2012    1  145  915.96  -17.74  -19.40   75.5    0.75    4.76    94.1    33.4    -5.3     6.2     3.7     3.6     2.9 -999.000  196.6  232.3    2.533 -999.0000000 -999.0000000 -999.0  100
 2012    2  146  918.79  -15.85  -17.48   77.0    1.00    4.03    97.4    27.9    -7.1    45.3    29.9    25.8    25.4 -999.000  206.7  240.9    2.532 -999.0000000 -999.0000000 -999.0  100
 2012    3  147  921.65  -18.80  -20.38   77.3    0.90    4.00    92.4    25.9    -8.0   116.8    85.3    78.2    66.6 -999.000  203.8  231.9    2.530 -999.0000000 -999.0000000 -999.0  100
 2012    4  148  929.94   -5.89   -7.44   79.7    2.18    3.63   100.6    13.4   -14.4   195.5   178.1   133.7   121.4    0.692  251.0  284.9    2.551 -999.0000000 -999.0000000 -999.0  100
 2012    5  149  935.53   -0.35   -1.90   74.2    2.96    4.23    80.9    16.2   -18.1   291.5   281.1   196.6   187.9    0.683  265.9  306.0    2.507 -999.0000000 -999.0000000 -999.0  100
 2012    6  150  939.19    3.67    2.12   74.0    3.90    3.92    77.5  -999.0  -999.0   307.0   312.6   153.5   152.4    0.496  282.9  318.3    2.546 -999.0000000 -999.0000000 -999.0  100
 2012    7  151  932.05    4.45    2.89   75.8    4.25    4.02    79.1  -999.0  -999.0   274.0   264.8   128.8   122.5    0.470  299.3  320.0    2.569 -999.0000000 -999.0000000 -999.0  100
 2012    8  152  932.65    3.33    2.25   77.2    4.01    3.81    89.4  -999.0  -999.0   201.0   191.0    99.1    94.2    0.506  288.1  317.5    2.713 -999.0000000 -999.0000000 -999.0  100
 2012    9  153  926.30   -0.21   -0.19   76.8    3.13    4.37   121.3    29.9   -17.0   102.4   104.5    75.0    75.3    0.716  276.3  306.9    2.516   67.0963256   49.9415989  676.0  100
 2012   10  154  932.69   -4.98   -5.07   75.5    2.19    5.31   121.3    31.9   -24.8    43.0    39.4    32.3    29.4 -999.000  255.6  285.8    2.572   67.0963092   49.9417729  674.7  100
 2012   11  155  924.38  -12.12  -12.30   75.0    1.27    5.88   122.9    35.2   -13.3     8.3     8.1     7.5     5.7 -999.000  220.7  255.5    2.676 -999.0000000 -999.0000000 -999.0  100
 2012   12  156  926.47  -13.58  -13.80   70.7    1.04    5.42   118.9    36.3   -12.8     0.2     1.0     1.5     0.7 -999.000  204.4  248.1    2.576 -999.0000000 -999.0000000 -999.0  100
 2013    1  157  912.92  -14.26  -14.47   69.9    0.91    6.22   115.1    46.3   -17.9     4.0     4.4     3.4     2.6 -999.000  205.6  244.2    2.636 -999.0000000 -999.0000000 -999.0  100
