 Year MonthOfYear MonthOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity(%) SpecificHumidity(g/kg) WindSpeed(m/s) WindDirection(d) SensibleHeatFlux(W/m2) LatentHeatFlux(W/m2) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) HeightSensorBoom(m) LatitudeGPS_HDOP<1(degN) LongitudeGPS_HDOP<1(degW) ElevationGPS_HDOP<1(m) FanOK(%)
 2008    9  105  857.66   -7.33   -7.88   88.0    2.31    5.25   158.8    12.7    -7.3   116.4   125.4    96.4    96.0 -999.000  250.2  279.4    2.472   67.0657421   48.8165119 1269.1  100
 2008   10  106  856.71  -13.62  -14.24   90.8    1.52    6.12   162.3    10.3    -5.0    41.1    49.8    38.3    37.6 -999.000  235.0  255.2    2.250   67.0657531   48.8167040 1269.3  100
 2008   11  107  856.85  -13.59  -14.26   92.9    1.49    6.54   167.4     8.7    -4.2     6.6     8.3     6.9     6.2 -999.000  236.1  255.5    1.974 -999.0000000 -999.0000000 -999.0  100
 2008   12  108  848.60  -20.14  -20.82   92.7    0.87    8.13   145.8    12.8    -3.9     0.1     1.0     1.0     0.7 -999.000  202.4  230.7    1.725 -999.0000000 -999.0000000 -999.0  100
 2009    1  109  845.43  -18.51  -19.19   83.3    0.91    8.96   128.0    27.7    -9.4     3.0     4.4     3.7     3.4 -999.000  193.6  234.8    1.721 -999.0000000 -999.0000000 -999.0  100
 2009    2  110  856.85  -19.42  -20.09   82.4    0.79    9.10   137.9    24.1   -11.3    32.3    36.4    28.0    27.6 -999.000  185.0  231.3    1.835 -999.0000000 -999.0000000 -999.0  100
 2009    3  111  856.77  -23.62  -24.19   82.5    0.52    6.74   141.7    16.7    -5.4   107.6   116.9    92.7    90.3 -999.000  166.2  216.3    1.794 -999.0000000 -999.0000000 -999.0  100
 2009    4  112  857.80  -14.24  -14.71   82.5    1.20    5.76   136.0    -5.1   -18.4   213.2   217.5   177.0   173.0    0.795  212.4  256.4    1.604 -999.0000000 -999.0000000 -999.0  100
 2009    5  113  859.20   -9.29   -9.72   78.4    1.76    6.32   140.8   -10.5   -35.1   328.2   330.7   261.2   255.9    0.777  213.6  277.0    1.617   67.0657996   48.8180521 1271.0  100
 2009    6  114  869.75   -0.78   -1.15   79.8    3.30    5.61   155.8    11.7   -29.6   355.6   357.5   264.6   261.4    0.736  253.1  310.1    1.950   67.0658204   48.8182371 1271.0  100
