 Year MonthOfYear MonthOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity(%) SpecificHumidity(g/kg) WindSpeed(m/s) WindDirection(d) SensibleHeatFlux(W/m2) LatentHeatFlux(W/m2) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) HeightSensorBoom(m) LatitudeGPS_HDOP<1(degN) LongitudeGPS_HDOP<1(degW) ElevationGPS_HDOP<1(m) FanOK(%)
 2009    4  112  795.41  -16.94  -18.01   87.1    1.13    6.40   137.9    21.5    -2.6   227.0   227.8   195.0   190.3    0.825  198.7  239.5    2.576   67.0001649   47.0169145 1841.9  100
 2009    5  113  798.26  -12.95  -13.95   83.4    1.47    6.62   130.6    23.2    -8.4   332.4   329.0   280.5   272.8    0.828  197.8  254.5    2.467   67.0001702   47.0170113 1843.5  100
 2009    6  114  809.62   -4.46   -5.34   83.1    2.80    5.87   151.5    14.4   -15.8   368.8   366.0   297.5   294.4    0.809  240.8  291.5    2.466   67.0001725   47.0171102 1844.8  100
 2009    7  115  812.32   -2.39   -3.28   84.6    3.34    4.71   136.3    14.8   -10.5   335.0   333.3   260.7   257.8    0.775  248.2  299.3    2.437   67.0001630   47.0172037 1846.3  100
 2009    8  116  806.12   -6.17   -7.21   86.9    2.55    5.43   134.6    18.8    -6.3   268.7   269.7   205.9   205.1    0.764  221.5  282.0    2.375   67.0001747   47.0173046 1844.4  100
 2009    9  117  796.04  -12.32  -13.42   92.6    1.74    5.64   152.9    14.5    -1.1   128.5   128.8   110.8   109.7    0.862  235.1  259.3    2.312   67.0001825   47.0174175 1842.0  100
 2009   10  118  800.15  -17.96  -19.13   94.8    1.07    6.83   140.1    24.1     2.6    46.2    45.1    44.0    44.0 -999.000  209.8  235.6    2.254   67.0001860   47.0175011 1841.4  100
 2009   11  119  791.72  -23.96  -25.17   95.4    0.65    7.46   134.2    33.7     3.5    10.8     9.4    10.2     8.9 -999.000  189.4  213.2    2.172 -999.0000000 -999.0000000 -999.0  100
 2009   12  120  801.90  -20.50  -21.74   86.1    0.89    9.92   126.3    48.1     2.5     0.5     1.0     1.4     0.9 -999.000  190.3  224.5    2.169 -999.0000000 -999.0000000 -999.0  100
 2010    1  121  794.68  -16.37  -17.62   89.2    1.17    8.93   141.8    40.5     3.1     4.0     3.7     4.4     3.2 -999.000  211.0  240.0    2.160 -999.0000000 -999.0000000 -999.0  100
 2010    2  122  804.13  -18.02  -19.23   91.4    1.06    8.40   136.6    32.9     2.6    32.3    32.6    29.3    27.9 -999.000  204.2  235.0    2.086 -999.0000000 -999.0000000 -999.0  100
 2010    3  123  798.07  -20.76  -21.93   86.9    0.81    8.10   141.1    42.7     1.0   117.3   116.5    97.5    95.1 -999.000  179.1  223.2    2.001 -999.0000000 -999.0000000 -999.0  100
 2010    4  124  803.63  -16.58  -17.61   88.8    1.11    5.88   145.1    20.7    -1.8   224.0   225.6   189.1   186.0    0.820  197.4  240.6    1.913 -999.0000000 -999.0000000 -999.0  100
 2010    5  125  810.52   -6.19   -6.77   84.3    2.62    6.32   149.3    19.5   -13.5   325.7   325.4   261.9   258.4    0.800  227.8  283.2    1.812   67.0002008   47.0182197 1843.4  100
 2010    6  126  807.77   -2.85   -3.00   83.7    3.18    6.14   147.1    15.1   -19.7   365.5   361.3   286.4   282.3    0.783  245.6  298.4    1.897   67.0002006   47.0183223 1842.8  100
 2010    7  127  806.78   -1.35   -1.35   86.8    3.71    4.23   147.6    11.1   -10.7   330.4   324.6   247.6   243.3    0.752  260.6  305.5    2.101   67.0001952   47.0183993 1845.6  100
 2010    8  128  809.81   -1.14   -1.33   89.4    3.86    5.28   155.0    14.4    -8.6   236.9   232.7   181.8   178.9    0.777  269.0  305.8    2.255   67.0001965   47.0184984 1845.6  100
