 Year MonthOfYear MonthOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity(%) SpecificHumidity(g/kg) WindSpeed(m/s) WindDirection(d) SensibleHeatFlux(W/m2) LatentHeatFlux(W/m2) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) HeightSensorBoom(m) LatitudeGPS_HDOP<1(degN) LongitudeGPS_HDOP<1(degW) ElevationGPS_HDOP<1(m) FanOK(%)
 2008    7  103 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0  100
 2008    8  104  965.30    1.88    0.86   74.7    3.38    5.17   306.4    45.4    -9.9   170.1   173.9    89.3    88.6    0.515  259.3  311.5    2.584   79.9110495   24.0856124  376.7  100
 2008    9  105  962.54   -5.72   -6.91   88.4    2.35    5.59   326.5    14.9    -4.6    45.2    61.8    32.3    31.4 -999.000  259.3  285.2    2.504   79.9110492   24.0855781  376.2  100
 2008   10  106 -999.00  -17.59  -18.85   78.9 -999.00    6.57   321.8  -999.0  -999.0     3.9     7.5     5.0     4.1 -999.000  184.5  232.7    2.435   79.9110492   24.0855176  377.2   64
 2008   11  107 -999.00  -21.47  -22.71   84.5 -999.00    7.92   333.3  -999.0  -999.0    -0.8     0.0     0.4     0.0 -999.000  177.2  218.9    2.483   79.9110483   24.0854632  380.3 -999
 2008   12  108 -999.00  -23.52  -24.79   86.3 -999.00    6.76   329.0  -999.0  -999.0    -0.8     0.0     0.4     0.0 -999.000  178.4  210.6    2.470   79.9110483   24.0854632  380.3 -999
 2009    1  109 -999.00  -24.55  -25.81   82.7 -999.00    6.72   323.7  -999.0  -999.0    -0.8     0.0     0.3     0.0 -999.000  174.0  209.1    2.479   79.9110483   24.0854632  380.3 -999
 2009    2  110 -999.00  -27.43  -28.68   90.2 -999.00    5.29   327.0  -999.0  -999.0     0.1     1.2     1.6     1.0 -999.000  168.5  199.1    2.441   79.9110483   24.0854632  380.3 -999
 2009    3  111 -999.00  -27.45  -28.69   85.0 -999.00    6.17   335.4  -999.0  -999.0    37.8    43.0    34.9    34.7 -999.000  155.3  197.0    2.418   79.9110483   24.0854632  380.3 -999
 2009    4  112 -999.00  -21.09  -22.33   72.4 -999.00    5.12   324.0  -999.0  -999.0   166.5   168.1   138.4   138.3 -999.000  156.7  216.3    2.400   79.9110483   24.0854632  380.3 -999
 2009    5  113 -999.00   -5.01   -6.26   71.0 -999.00    5.10   325.2  -999.0  -999.0   281.7   280.4   233.7   232.9    0.834  232.6  280.3    2.314   79.9110483   24.0854632  380.3 -999
 2009    6  114 -999.00   -0.20   -1.42   72.9 -999.00    5.70   327.2  -999.0  -999.0   324.2   322.7   253.5   252.6    0.792  254.4  304.0    2.280   79.9110483   24.0854632  380.3 -999
 2009    7  115 -999.00    4.05    2.84   73.3 -999.00    6.74   309.6  -999.0  -999.0   281.5   277.4   150.5   150.2    0.543  275.0  317.0    2.579   79.9110483   24.0854632  380.3 -999
 2009    8  116 -999.00    1.67    0.48   74.1 -999.00    4.18   306.0  -999.0  -999.0   169.4   168.3   102.5   103.4    0.617  258.7  310.1    2.589   79.9110483   24.0854632  380.3 -999
 2009    9  117 -999.00   -7.86   -9.10   82.5 -999.00    6.62   337.9  -999.0  -999.0    48.6    58.1    41.0    41.6 -999.000  243.5  274.4    2.495   79.9110483   24.0854632  380.3 -999
 2009   10  118 -999.00  -15.55  -16.80   84.2 -999.00    7.95   333.5  -999.0  -999.0     4.2     7.7     5.7     5.1 -999.000  202.6  241.4    2.443   79.9110483   24.0854632  380.3 -999
 2009   11  119 -999.00  -22.11  -23.35   81.5 -999.00    6.45   329.2  -999.0  -999.0    -0.9     0.0     0.5     0.0 -999.000  172.2  215.8    2.440   79.9110483   24.0854632  380.3 -999
 2009   12  120 -999.00  -21.21  -22.45   87.1 -999.00    6.43   330.4  -999.0  -999.0    -0.7     0.0     0.4     0.0 -999.000  192.4  222.3    2.446   79.9110483   24.0854632  380.3 -999
 2010    1  121 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2010    2  122 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2010    3  123 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2010    4  124 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2010    5  125 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2010    6  126 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2010    7  127 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2010    8  128 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2010    9  129 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2010   10  130 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2010   11  131 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2010   12  132 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2011    1  133 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2011    2  134 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2011    3  135 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2011    4  136 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2011    5  137 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2011    6  138 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2011    7  139 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2011    8  140 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2011    9  141 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2011   10  142 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2011   11  143 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2011   12  144 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2012    1  145 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2012    2  146 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2012    3  147 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2012    4  148 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2012    5  149 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2012    6  150 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2012    7  151 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0  100
 2012    8  152  967.11    2.29    2.46   77.3    3.59    6.26   298.6    49.9   -11.1   158.4   156.9    76.4    74.2    0.476  282.0  315.9    2.639   79.9109200   24.0843096  373.2  100
 2012    9  153  962.26   -6.01   -5.93   82.2    2.10    5.55   317.6    16.4   -10.0    59.5    67.2    43.8    33.4 -999.000  252.9  282.0    2.637   79.9109169   24.0842624  372.0  100
 2012   10  154  970.68  -15.27  -15.24   76.4    0.82    6.21   308.9    29.2    -5.1     4.9     7.2     4.7     3.8 -999.000  203.7  241.8    2.639   79.9109168   24.0842358  370.2  100
 2012   11  155  966.35  -20.63  -20.62   71.3    0.51    6.94   299.5    39.1    -4.3    -1.8     0.0     0.2     0.0 -999.000  182.5  222.4    2.628 -999.0000000 -999.0000000 -999.0  100
 2012   12  156  969.74  -22.88  -22.87   78.0    0.41    6.43   309.4    27.3    -2.0    -1.7     0.0     0.2     0.0 -999.000  177.9  213.7    2.583   79.9109058   24.0842036  369.5  100
 2013    1  157  961.92  -21.46  -21.44   82.5    0.57    6.70   310.7    23.1    -3.0    -1.2     0.0     0.1     0.0 -999.000  196.1  222.3    2.533   79.9109206   24.0841339  371.8  100
 2013    2  158  968.28  -28.96  -28.94   68.5    0.21    4.74   297.6    34.2    -1.3    -0.4     1.1     1.2     0.8 -999.000  152.6  190.7    2.529 -999.0000000 -999.0000000 -999.0  100
 2013    3  159  984.36  -23.42  -23.35   69.0    0.35    6.30   308.0    35.7    -3.6    43.7    41.9    31.8    32.1 -999.000  171.5  210.7    2.541   79.9109129   24.0841146  373.8  100
 2013    4  160  969.76  -19.20  -18.92   68.2    0.52    5.99   310.6    30.5    -7.7   184.3   178.3   140.0   142.5 -999.000  176.4  228.1    2.538   79.9109162   24.0840888  372.9  100
