 Year MonthOfYear MonthOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity(%) SpecificHumidity(g/kg) WindSpeed(m/s) WindDirection(d) SensibleHeatFlux(W/m2) LatentHeatFlux(W/m2) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) HeightSensorBoom(m) LatitudeGPS_HDOP<1(degN) LongitudeGPS_HDOP<1(degW) ElevationGPS_HDOP<1(m) FanOK(%)
 2008    7  103 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0  100
 2008    8  104  908.00   -1.62   -2.50   81.6    3.04    4.56   287.8    21.1    -8.4   193.1   191.4   128.2   127.8    0.675  250.2  300.3    2.488   79.8339119   25.1704144  868.3  100
 2008    9  105  903.73   -9.54  -10.66   90.4    1.76    4.76   295.0    14.8    -0.1    63.6    67.9    47.4    46.8 -999.000  239.8  268.4    2.376   79.8339172   25.1703658  867.0  100
 2008   10  106  899.88  -22.26  -23.54   90.2    0.62    5.39   284.0    36.6     1.9     5.1     7.0     5.4     4.9 -999.000  184.2  216.7    2.143   79.8339259   25.1703143  865.8  100
 2008   11  107  903.42  -26.49  -27.77   95.7    0.39    6.45   300.6    28.7     1.6    -1.0     0.0     0.4     0.0 -999.000  184.8  204.3    2.159   79.8339300   25.1701957  867.2  100
 2008   12  108  896.28  -26.92  -28.20   94.1    0.38    5.49   288.5    23.6     0.9    -0.9     0.0     0.4     0.0 -999.000  183.8  203.6    2.085   79.8339467   25.1701968  867.7  100
 2009    1  109  895.32  -27.88  -29.12   91.8    0.35    4.83   278.7    30.5     0.9    -0.8     0.0     0.3     0.0 -999.000  170.8  199.1    2.040   79.8339481   25.1702185  866.6  100
 2009    2  110  904.79  -30.55  -31.83   98.8    0.25    4.43   274.3    24.7     1.6     1.4     1.4     1.4     1.2 -999.000  194.0  191.6    1.981 -999.0000000 -999.0000000 -999.0  100
 2009    3  111  905.32  -31.00  -32.09   93.8    0.25    4.84   282.6    34.6     1.3    52.5    45.6    38.2    38.5 -999.000  168.3  187.9    1.942 -999.0000000 -999.0000000 -999.0  100
 2009    4  112  907.54  -26.05  -26.89   82.6    0.36    4.60   276.9    33.7    -0.3   184.9   178.7   149.3   149.7 -999.000  153.4  203.1    1.905   79.8339596   25.1700360  865.5  100
