 Year MonthOfYear MonthOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity(%) SpecificHumidity(g/kg) WindSpeed(m/s) WindDirection(d) SensibleHeatFlux(W/m2) LatentHeatFlux(W/m2) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) HeightSensorBoom(m) LatitudeGPS_HDOP<1(degN) LongitudeGPS_HDOP<1(degW) ElevationGPS_HDOP<1(m) FanOK(%)
 2009    5  113  952.77    0.50    0.13   73.0    2.99    3.24    90.5    16.4    -7.2   266.6   262.5   201.8   201.3    0.777  275.0  308.7    2.313   65.6925614   37.8255370  464.9  100
 2009    6  114  963.07    2.52    2.23   73.3    3.44    2.30   102.6    12.0    -5.2   317.7   314.8   216.2   215.7    0.689  277.5  315.3    2.408   65.6925596   37.8255752  464.8  100
 2009    7  115  962.61    5.48    5.03   74.9    4.33    2.36    79.2    18.2     5.0   246.4   243.1   135.3   135.2    0.561  301.3  319.7    2.441   65.6925535   37.8256197  464.1  100
 2009    8  116  956.08    3.99    3.48   78.9    4.19    2.09    70.7  -999.0  -999.0   189.0   186.7    36.2    36.2    0.183  292.5  317.0    2.470   65.6925391   37.8256496  458.3  100
 2009    9  117  947.48   -0.08   -0.60   73.6    3.07    2.86    36.4  -999.0  -999.0   109.2   106.7    42.8    43.3    0.404  268.5  303.5    2.373   65.6925347   37.8256704  457.8  100
 2009   10  118  955.19   -4.39   -4.97   73.7    2.07    3.63    45.2  -999.0  -999.0    43.5    49.8    35.1    38.0 -999.000  261.1  281.5    2.191   65.6925441   37.8257005  461.9  100
 2009   11  119  946.73   -6.45   -7.06   75.7 -999.00    4.05    49.2  -999.0  -999.0     8.4  -999.0     7.8  -999.0 -999.000  247.4  271.8    2.017 -999.0000000 -999.0000000 -999.0  100
 2009   12  120  959.28   -5.19   -5.80   66.7 -999.00    4.72    51.9  -999.0  -999.0     0.9  -999.0     1.6  -999.0 -999.000  246.6  274.7 -999.000 -999.0000000 -999.0000000 -999.0  100
 2010    1  121  948.03   -2.83   -3.42   72.4 -999.00    4.56    50.0  -999.0  -999.0     4.1  -999.0     4.2  -999.0 -999.000  263.8  285.8    1.788 -999.0000000 -999.0000000 -999.0  100
 2010    2  122  962.88   -9.00   -9.59   69.8 -999.00    4.10    51.4  -999.0  -999.0    39.3  -999.0    32.2  -999.0 -999.000  225.2  259.4    1.275 -999.0000000 -999.0000000 -999.0  100
 2010    3  123  955.93   -7.13   -7.73   98.3 -999.00    3.49    43.4  -999.0  -999.0   101.7  -999.0    62.3  -999.0 -999.000  252.9  275.8 -999.000 -999.0000000 -999.0000000 -999.0   20
 2010    4  124  959.04   -4.99   -5.58  100.0 -999.00    2.22    54.9  -999.0  -999.0   225.3  -999.0    67.2  -999.0 -999.000  237.4  284.9 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2010    5  125  964.45    0.38    0.25   79.3    3.18    1.90    47.2    13.2   -10.5   303.7   297.2   218.5   217.5    0.735  267.2  309.9    0.476 -999.0000000 -999.0000000 -999.0   86
 2010    6  126  959.90    4.75    4.43   71.9    3.96    3.30    58.3  -999.0  -999.0   274.0   273.3   185.9   185.5    0.692  292.0  317.9 -999.000 -999.0000000 -999.0000000 -999.0   60
 2010    7  127  955.79    5.52    5.17   73.9    4.33    2.25    69.9  -999.0  -999.0   285.3   280.3   104.4   103.5    0.371  289.3  319.5 -999.000   65.6925006   37.8259849  460.0  100
 2010    8  128 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0  100
 2010    9  129 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2010   10  130 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0  100
 2010   11  131  961.04   -5.78   -7.68   67.3    1.72    2.51    40.9    15.1    -2.1     8.8    14.0     7.6     3.4 -999.000  240.7  268.4    2.463   65.6924445   37.8261468  458.2  100
 2010   12  132  964.53   -4.33   -6.28   57.9    1.65    3.61    26.3    29.0    -6.9     0.9     1.9     1.9     0.8 -999.000  238.0  273.0    2.428   65.6924494   37.8261532  455.8  100
 2011    1  133  953.00   -8.21  -10.14   69.2    1.45    3.14    30.4    20.4    -2.5     3.6     6.0     4.0     3.6 -999.000  234.4  260.3    2.269   65.6924356   37.8262025  458.8  100
 2011    2  134  934.09   -6.73   -8.58   69.9    1.75    5.76    40.6    30.0    -9.8    28.2    27.8    23.0    20.8 -999.000  248.0  270.2    1.742 -999.0000000 -999.0000000 -999.0  100
 2011    3  135  946.79  -13.05  -14.79   78.4    1.20    4.76   341.9    21.0    -1.9   112.3    96.5    85.3    84.0 -999.000  216.7  250.4    1.279 -999.0000000 -999.0000000 -999.0  100
 2011    4  136  934.79   -5.71   -7.31   90.8    2.36    4.52    38.7    15.3    -2.3   173.9   161.7   133.0   128.3    0.791  271.6  284.7    0.681   65.6924302   37.8262590  456.1   73
 2011    5  137  960.83   -2.16   -3.56   91.4    3.05    2.01    57.5  -999.0  -999.0   300.6   290.2   178.4   182.7    0.613  252.0  300.5    0.400   65.6924282   37.8262800  459.7   74
 2011    6  138  966.84    2.23    1.19   69.6    3.23    1.79    48.4    15.7    -7.7   358.1   350.5   233.6   232.8    0.676  258.7  313.2    0.845 -999.0000000 -999.0000000 -999.0  100
 2011    7  139  960.45    4.61    3.22   79.2    4.35    2.93    59.1    18.8     4.7   262.5   254.2   153.7   152.6    0.592  296.5  319.4    2.119   65.6924228   37.8263405  457.3  100
 2011    8  140  962.30    4.11    3.22   74.3    3.93    2.10    72.6  -999.0  -999.0   193.7   177.7    81.4    75.1    0.404  290.8  317.3    2.657   65.6924189   37.8263703  454.4  100
 2011    9  141  947.60    2.19    1.60   78.4    3.70    2.13    83.7    10.6    -1.2    83.6    74.2    28.7    26.2    0.352  298.2  314.7    2.630   65.6924139   37.8263918  451.8  100
 2011   10  142  946.02   -3.68   -4.35   68.8    2.09    2.85    58.0    12.3    -6.8    44.4    41.9    31.6    22.4 -999.000  260.0  286.1    2.448   65.6924143   37.8264123  451.2  100
 2011   11  143  939.05   -4.61   -5.32   76.9    2.35    3.88    62.7    17.1    -6.0     6.6     7.5     6.3     4.7 -999.000  273.3  285.4    2.000   65.6924032   37.8264537  452.5  100
