 Year MonthOfYear MonthOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity(%) SpecificHumidity(g/kg) WindSpeed(m/s) WindDirection(d) SensibleHeatFlux(W/m2) LatentHeatFlux(W/m2) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) HeightSensorBoom(m) LatitudeGPS_HDOP<1(degN) LongitudeGPS_HDOP<1(degW) ElevationGPS_HDOP<1(m) FanOK(%)
 2014    7  175 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0  100
 2014    8  176  931.67    4.69    4.55   79.4    4.49    1.29  -999.0  -999.0  -999.0   124.6   172.0    95.2    64.0 -999.000  306.5  321.4 -999.000 -999.0000000 -999.0000000 -999.0  100
 2014    9  177  918.46   -0.63   -0.89   85.6    3.42    2.65   157.8  -999.0  -999.0    71.2    75.6    51.5    52.0    0.725  292.0  306.7    2.303 -999.0000000 -999.0000000 -999.0  100
 2014   10  178  926.41   -4.08   -4.45   74.4    2.21    3.92   133.2    22.8    -9.2    30.7    37.7    26.7    26.4 -999.000  261.0  286.0    1.977 -999.0000000 -999.0000000 -999.0  100
 2014   11  179  914.92   -7.47   -7.95   71.7    1.57    3.47   136.1    27.1    -5.6     6.6     9.6     7.5     7.2 -999.000  237.7  267.0    1.810 -999.0000000 -999.0000000 -999.0  100
 2014   12  180  916.25  -11.60  -12.09   90.3    1.49    4.19   141.3    13.2    -2.5     1.5     2.6     2.4     2.1 -999.000  245.5  259.8    1.168 -999.0000000 -999.0000000 -999.0  100
 2015    1  181  911.91  -16.54  -17.08   91.0    0.88    4.09   106.0    18.7    -1.0     4.1     5.5     5.1     4.8 -999.000  228.3  239.5    0.742 -999.0000000 -999.0000000 -999.0  100
 2015    2  182  913.35  -17.38  -17.85   95.1    1.00    3.28   145.6  -999.0  -999.0    21.1    24.0    21.6    22.5 -999.000  238.1  240.0    0.467 -999.0000000 -999.0000000 -999.0  100
 2015    3  183  909.54  -16.85  -17.25   97.4    1.11    2.74   161.2  -999.0  -999.0    75.9    76.0    43.8    43.1    0.542  229.4  245.0 -999.000 -999.0000000 -999.0000000 -999.0   58
 2015    4  184  922.85   -7.61   -8.00  100.0 -999.00    2.81   182.6  -999.0  -999.0    47.0  -999.0     3.5  -999.0 -999.000 -999.0  282.3 -999.000 -999.0000000 -999.0000000 -999.0 -999
