 Year MonthOfYear MonthOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity(%) SpecificHumidity(g/kg) WindSpeed(m/s) WindDirection(d) SensibleHeatFlux(W/m2) LatentHeatFlux(W/m2) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) HeightSensorBoom(m) LatitudeGPS_HDOP<1(degN) LongitudeGPS_HDOP<1(degW) ElevationGPS_HDOP<1(m) FanOK(%)
 2010    7  127 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0  100
 2010    8  128 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2010    9  129 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2010   10  130 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0  100
 2010   11  131  902.67   -6.38   -7.24 -999.0 -999.00    0.00 -999.0 -999.0 -999.0   10.3 -999.0    8.3 -999.0 -999.000  248.7  280.7    2.667   64.9457645   49.8837225  924.1  100
 2010   12  132  909.00   -5.80   -6.60 -999.0 -999.00    0.00 -999.0 -999.0 -999.0    1.2 -999.0    2.3 -999.0 -999.000  263.1  285.3    2.533   64.9457584   49.8837702  923.1  100
 2011    1  133  898.90  -13.45  -14.23 -999.0 -999.00    0.00 -999.0 -999.0 -999.0    7.0 -999.0    8.1 -999.0 -999.000  207.4  250.3    2.479   64.9457362   49.8838102  922.1  100
 2011    2  134  881.18  -16.51  -17.34 -999.0 -999.00    0.00 -999.0 -999.0 -999.0   34.9 -999.0   32.1 -999.0 -999.000  207.5  239.6    2.403 -999.0000000 -999.0000000 -999.0  100
 2011    3  135  896.80  -16.65  -17.36 -999.0 -999.00    0.00 -999.0 -999.0 -999.0  105.7 -999.0   92.8 -999.0 -999.000  209.2  242.3    2.205 -999.0000000 -999.0000000 -999.0  100
 2011    4  136  887.02  -18.31  -18.82 -999.0 -999.00    0.00 -999.0 -999.0 -999.0  227.0 -999.0  192.6 -999.0 -999.000  180.9  232.9    2.125   64.9457047   49.8838751  924.8  100
