 Year MonthOfYear MonthOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity(%) SpecificHumidity(g/kg) WindSpeed(m/s) WindDirection(d) SensibleHeatFlux(W/m2) LatentHeatFlux(W/m2) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) HeightSensorBoom(m) LatitudeGPS_HDOP<1(degN) LongitudeGPS_HDOP<1(degW) ElevationGPS_HDOP<1(m) FanOK(%)
 2012    8  152 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0  100
 2012    9  153 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0   46
 2012   10  154 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2012   11  155 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2012   12  156 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2013    1  157 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2013    2  158 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2013    3  159 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2013    4  160 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2013    5  161 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2013    6  162 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2013    7  163 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
 2013    8  164 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0  100
 2013    9  165  889.40   -2.81   -2.70   80.7    2.88    6.21    7.7   22.6  -17.4  142.9  140.0  116.9  115.8    0.830  266.6  297.8    2.318   61.2445531   46.7334272 1013.9   63
 2013   10  166  888.82   -6.30   -6.22   79.3    2.16    6.67    9.6   30.1  -15.6   76.8   77.8   65.9   65.5 -999.000  245.6  281.5    1.939   61.2444961   46.7333925 1013.9  100
 2013   11  167  882.00  -10.31  -10.34   90.9    1.87    5.32 -999.0   14.9   -3.0   23.4   26.0   22.4   22.3 -999.000  244.7  268.1    1.451 -999.0000000 -999.0000000 -999.0  100
 2013   12  168  870.82  -16.72  -16.69   91.7    1.05    7.83    0.6   25.2   -0.5    9.3    9.9   10.9    8.8 -999.000  203.5  241.3    0.678   61.2443747   46.7333281 1011.5  100
 2014    1  169  874.80  -14.40  -14.42   86.9    1.21    7.23   16.2   28.5   -5.3   18.1   16.8   17.3   15.3 -999.000  216.9  249.8    0.675 -999.0000000 -999.0000000 -999.0   70
 2014    2  170  871.87  -13.58  -13.61   84.6    1.24    6.23   10.9   33.4   -6.2   54.3   51.5   50.7   48.2 -999.000  218.6  252.0    0.547   61.2443090   46.7333292 1011.9 -999
 2014    3  171  875.73  -14.11  -14.12   89.9    1.36    6.45    8.6   22.3   -3.2  134.8  132.4  119.4  117.6    0.895  217.7  251.8    0.475   61.2443090   46.7333292 1011.9 -999
 2014    4  172  885.73   -8.17   -8.25   92.2    2.16    4.83  358.9 -999.0 -999.0  165.3  167.8  119.3  115.5    0.569  245.2  275.4 -999.000   61.2443090   46.7333292 1011.9 -999
 2014    5  173  893.88   -0.96   -1.06   81.1    3.22    4.47   14.0   24.3  -20.2  298.2  297.3  231.2  230.9    0.785  260.5  304.1    0.422   61.2443090   46.7333292 1011.9 -999
 2014    6  174  897.33    2.50    2.45   75.5    3.80    4.10   14.2   38.5  -14.9  315.1  315.1  235.0  233.7    0.756  282.3  316.8    0.872   61.2443090   46.7333292 1011.9 -999
 2014    7  175  894.90    3.36    3.32   72.5    3.91    4.99    2.7   45.6  -12.4  300.2  302.0  199.1  198.2    0.660  281.7  318.5    1.904   61.2443090   46.7333292 1011.9 -999
 2014    8  176 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0   61
 2014    9  177  884.36   -2.40   -2.38   83.1    3.07    6.38   14.8   18.3  -17.2  119.2  127.3   95.1   95.0    0.746  275.7  300.5    2.141   61.2437830   46.7330834 1007.7   56
 2014   10  178  889.94   -7.86   -7.88   73.4    1.77    7.40    4.4   35.6  -21.9   67.7   79.9   71.0   65.0 -999.000  229.6  274.0    1.663   61.2437258   46.7330608 1008.0   51
 2014   11  179  879.22  -10.85  -10.92   81.2    1.54    7.45   12.6   28.5  -10.5   21.3   25.9   24.7   20.0 -999.000  231.6  263.1    1.392   61.2436578   46.7330395 1006.1 -999
 2014   12  180  880.40  -14.96  -15.02   93.4    1.28    7.84  327.4   21.9   -1.0    7.7    8.9   11.2    6.5 -999.000  213.0  248.7    0.718   61.2436097   46.7329859 1006.0 -999
 2015    1  181  874.36  -18.37  -18.38   97.5    0.97    6.43  329.0 -999.0 -999.0   11.5   14.4   13.2    9.9 -999.000  194.3  235.2    0.410 -999.0000000 -999.0000000 -999.0 -999
 2015    2  182  878.09   -9.82   -9.89   98.8    1.86    0.26 -999.0 -999.0 -999.0    0.7 -999.0    0.1 -999.0 -999.000 -999.0 -999.0 -999.000   61.2434990   46.7328732 1013.2 -999
 2015    3  183 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0 -999
