 Year MonthOfYear MonthOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity(%) SpecificHumidity(g/kg) WindSpeed(m/s) WindDirection(d) SensibleHeatFlux(W/m2) LatentHeatFlux(W/m2) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) HeightSensorBoom(m) LatitudeGPS_HDOP<1(degN) LongitudeGPS_HDOP<1(degW) ElevationGPS_HDOP<1(m) FanOK(%)
 2016    8  200 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0  100
 2016    9  201  928.36    0.20   -0.67   73.8    3.11    4.93   359.8  -999.0  -999.0   150.0   143.9    61.6    62.0    0.437  257.3  308.1    2.520   61.0998826   46.8329526  624.3  100
 2016   10  202  928.15   -4.63   -5.62   74.1    2.47    8.19   345.1  -999.0  -999.0    76.1    72.7    48.0    46.9 -999.000  241.3  287.6    2.511   61.0998592   46.8329692  623.8  100
 2016   11  203  929.63   -6.75   -7.77   80.9 -999.00    7.04     4.2  -999.0  -999.0    23.9  -999.0    21.0  -999.0 -999.000  250.1  279.4    2.420   61.0998296   46.8329744  623.3  100
 2016   12  204  917.71  -11.31  -12.35   76.3 -999.00    8.61   352.6  -999.0  -999.0    13.2  -999.0    11.3  -999.0 -999.000  219.7  259.8    2.310   61.0998042   46.8329841  622.4  100
 2017    1  205 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0  100
 2017    2  206  918.00  -11.14  -12.15   83.1 -999.00    7.22     0.5  -999.0  -999.0    52.4  -999.0    48.8  -999.0 -999.000  231.0  262.1    0.758   61.0997624   46.8330371  624.5  100
 2017    3  207  926.13   -9.31  -10.19   80.6 -999.00    6.84     0.2  -999.0  -999.0   123.7  -999.0   108.0  -999.0 -999.000  228.3  269.3    0.574   61.0997409   46.8330254  624.0  100
 2017    4  208  934.43   -7.26   -8.11   93.1 -999.00    5.09   357.7  -999.0  -999.0   169.0  -999.0   117.4  -999.0 -999.000  244.5  280.2 -999.000   61.0997238   46.8330534  626.1  100
 2017    5  209  941.14 -999.00   -0.03 -999.0 -999.00    3.75     1.9  -999.0  -999.0   258.8  -999.0   172.8  -999.0    0.649  279.3  310.3 -999.000 -999.0000000 -999.0000000 -999.0  100
 2017    6  210  935.96 -999.00    1.45 -999.0 -999.00    4.18   359.9  -999.0  -999.0   314.8  -999.0   208.8  -999.0 -999.000 -999.0 -999.0 -999.000   61.0996602   46.8330826  623.7   96
 2017    7  211 -999.00 -999.00    9.14 -999.0 -999.00    4.86  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000   61.0996360   46.8331089  623.4 -999
 2017    8  212 -999.00    1.44    8.96   31.6 -999.00    4.29  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0    2.622   61.0995927   46.8331290  621.9  100
 2017    9  213  930.62    0.21    0.23   73.5    3.10    5.08   359.8  -999.0  -999.0   118.1   129.1    55.2    55.1    0.437  264.7  308.2    2.610   61.0995319   46.8331471  621.2  100
 2017   10  214  930.05   -3.09   -3.10   75.2    2.55    5.94     8.3    35.5   -17.2    57.7    68.1    58.7    59.0 -999.000  260.3  293.3    2.284   61.0995117   46.8331598  620.8  100
 2017   11  215  933.49   -6.95   -6.98   82.1    2.04    7.76     9.5    27.9   -14.6    17.0    20.6    19.3    18.4 -999.000  251.3  280.2    2.001   61.0994875   46.8331716  620.2  100
 2017   12  216  927.15   -7.83   -7.88   80.6    1.77    7.27    21.0    29.7   -21.9     6.6     9.0     9.1     8.2 -999.000  244.4  275.5    1.470   61.0994656   46.8331793  619.5  100
 2018    1  217  921.51  -12.21  -12.24   74.7    1.25    7.19     5.6    39.1   -15.3    13.3    17.0    17.3    15.7 -999.000  220.2  256.4    1.299   61.0994565   46.8332000  619.6  100
 2018    2  218  919.82  -17.78  -17.76   81.7    0.90    7.42   348.2    30.9    -6.5    45.3    59.8    55.1    55.9 -999.000  193.0  236.6    0.846   61.0994312   46.8331939  620.2  100
 2018    3  219  936.94   -9.41   -9.34   66.6    1.33    7.01   355.7    41.4   -30.4   117.5   133.2   117.4   118.9 -999.000  209.8  267.3    0.855   61.0994072   46.8332077  619.8  100
 2018    4  220  931.07   -4.78   -4.60   72.0    2.06    5.32    17.0    21.7   -36.4   196.2   203.2   171.0   170.5    0.844  247.6  290.5    0.801   61.0993846   46.8332254  621.5  100
 2018    5  221  926.00   -5.51   -5.22   76.3    2.10    4.78     2.5     8.7   -33.5   265.4   269.3   228.6   227.3    0.851  248.3  290.4    0.548   61.0993612   46.8332267  622.3  100
 2018    6  222  933.20    1.55    1.80   80.2    3.64    4.21    32.1    37.7   -12.7   249.7   249.4   188.4   187.7    0.764  298.9  317.8    1.134   61.0993360   46.8332609  620.4  100
 2018    7  223  933.89    2.81    2.89   80.0    4.00    4.71     9.7    40.5    -2.3   224.6   225.8   112.7   112.6    0.499  299.7  319.2    2.228   61.0993018   46.8332709  620.6  100
 2018    8  224  934.69    2.26    2.20   82.0    3.94    4.16     1.3    26.5    -5.9   163.9   162.5    41.3    41.1    0.253  297.3  317.7    2.712   61.0992657   46.8332911  619.3  100
 2018    9  225  932.62   -0.58   -1.32   82.6    3.26    5.14    32.0    18.5   -14.0   118.7   128.5    72.6    72.5    0.596  273.1  307.7    2.497   61.0992737   46.8333548  617.3  100
 2018   10  226  927.36   -6.73   -7.53   79.7    1.98    6.90    21.7    28.3   -15.1    67.1    74.9    70.3    70.4 -999.000  237.1  279.5    1.828   61.0992522   46.8333650  616.9  100
 2018   11  227  928.72   -6.68   -7.47   75.5    1.89    8.15    29.0    44.4   -19.3    22.2    30.2    29.7    29.0 -999.000  231.2  277.4    1.578   61.0992340   46.8333783  617.0  100
 2018   12  228  924.81   -6.98   -7.75   78.0    1.89    6.62    31.0    38.4   -14.2     7.2    10.8    10.1    10.5 -999.000  247.3  276.9    1.398   61.0992138   46.8333885  616.6  100
 2019    1  229  928.05   -9.88  -10.65   92.6    1.82    6.34    29.5  -999.0  -999.0    12.4    16.1    16.4    15.8 -999.000  241.4  269.1 -999.000 -999.0000000 -999.0000000 -999.0  100
 2019    2  230  919.13   -9.69  -10.51   96.4    1.85    7.04    38.1  -999.0  -999.0    42.2    51.4    50.6    50.8 -999.000  236.4  268.9 -999.000   61.0991732   46.8334079  618.9   46
 2019    3  231  921.91   -8.39   -9.17   93.1    1.91    4.01  -999.0  -999.0  -999.0    72.0    87.8    73.5    78.5 -999.000  243.2  273.2 -999.000   61.0991530   46.8334041  618.3  100
 2019    4  232  927.73   -1.49   -2.26  100.0 -999.00    0.00  -999.0  -999.0  -999.0    18.5  -999.0     6.1  -999.0    0.255 -999.0  304.0 -999.000   61.0991282   46.8334176  619.0  100
 2019    5  233  941.91    1.12    0.49   85.6    3.73    3.58    31.6  -999.0  -999.0   274.4   279.7   191.3   194.8    0.698  274.7  315.3 -999.000   61.0991088   46.8334497  618.0  100
 2019    6  234  944.91    2.67    2.06   82.9    4.05    4.19    36.6    39.9     0.4   288.6   296.1   187.0   187.6    0.643  286.7  319.0    1.493   61.0990720   46.8334695  617.3  100
 2019    7  235  942.06    3.25    2.63   82.7    4.20    4.64    24.2    42.1     2.9   282.0   277.9    81.9    80.7    0.282  292.2  319.7    2.754   61.0990305   46.8334859  617.0  100
 2019    8  236  940.90    2.79    2.20   80.5    3.98    4.60    25.9    40.3    -2.8   214.1   229.9    49.4    47.9    0.210  281.7  318.2    2.477   61.0989954   46.8335107  614.2  100
 2019    9  237  934.69    0.79    0.56   75.2    3.28    5.09     2.2    26.9   -22.2   131.1   130.8    64.8    64.3    0.475  270.0  311.9    2.636   61.0990604   46.8334015  614.4  100
 2019   10  238  936.46   -0.98   -1.27   73.4    2.82    5.96    12.8    29.6   -28.9    64.9    55.5    36.3    36.0 -999.000  268.7  304.2    2.636   61.0990344   46.8334140  614.4  100
 2019   11  239  929.96   -5.26   -5.59   72.4    2.01    9.14    13.1    43.9   -29.2    25.1    23.8    20.4    20.1 -999.000  246.5  283.9    2.638 -999.0000000 -999.0000000 -999.0  100
 2019   12  240  923.82   -9.10   -9.44   73.4    1.53    8.52    12.4    41.6   -19.2    11.6    10.9    10.5     9.6 -999.000  227.7  268.3    2.430 -999.0000000 -999.0000000 -999.0  100
 2020    1  241  917.70  -15.06  -15.39   80.4    1.02    7.81   354.4    26.6    -9.0    20.0    18.6    17.5    17.1 -999.000  208.0  246.4    2.249 -999.0000000 -999.0000000 -999.0  100
 2020    2  242  913.41  -14.88  -15.20   75.6    0.99    8.53   353.9    29.4   -12.1    63.2    55.5    52.4    52.1 -999.000  203.1  247.0    2.064 -999.0000000 -999.0000000 -999.0  100
 2020    3  243  927.78  -11.26  -11.53   75.1    1.35    8.03   359.5    26.1   -16.9   133.0   123.2   111.2   110.0    0.897  214.6  261.9    2.028 -999.0000000 -999.0000000 -999.0  100
 2020    4  244  934.93   -5.07   -5.12   77.3    2.22    6.47    26.6  -999.0  -999.0   200.7   198.8   175.4   173.8    0.884  250.4  289.3 -999.000 -999.0000000 -999.0000000 -999.0  100
 2020    5  245  937.41    0.48    0.62   81.9    3.44    4.23    29.0  -999.0  -999.0   267.5   264.1   204.5   203.9    0.796  276.9  314.0 -999.000 -999.0000000 -999.0000000 -999.0  100
 2020    6  246  940.08    1.54    1.63   90.1    4.08    4.14    23.6  -999.0  -999.0   258.8   256.4   202.6   202.1    0.810  299.1  318.0 -999.000   61.0988450   46.8335032  615.3  100
 2020    7  247  940.39    3.39    3.30   84.3    4.32    5.04     8.2    52.4     5.4   236.7   234.7    99.0    98.6    0.417  309.1  320.6    2.581   61.0988077   46.8335197  614.1  100
