 Year MonthOfYear MonthOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity(%) SpecificHumidity(g/kg) WindSpeed(m/s) WindDirection(d) SensibleHeatFlux(W/m2) LatentHeatFlux(W/m2) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) HeightSensorBoom(m) LatitudeGPS_HDOP<1(degN) LongitudeGPS_HDOP<1(degW) ElevationGPS_HDOP<1(m) FanOK(%)
 2008    7  103 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0  100
 2008    8  104  954.08    3.06    2.72   76.2    3.77    0.00  -999.0  -999.0  -999.0   151.2   152.6    54.4    54.1    0.364  288.4  317.4 -999.000   72.2291021   26.8165566  473.3  100
 2008    9  105  950.10   -1.86   -2.23   79.4    2.92    0.00  -999.0  -999.0  -999.0    69.7    81.1    43.3    42.8 -999.000  268.2  298.7 -999.000   72.2290522   26.8165887  476.1  100
 2008   10  106  949.53  -11.08  -11.57   64.1    1.06    0.00  -999.0  -999.0  -999.0    18.5    25.4    14.5    14.2 -999.000  209.5  253.2 -999.000   72.2290420   26.8165960  481.1  100
 2008   11  107  953.70  -16.90  -17.37   70.9    0.69    0.00  -999.0  -999.0  -999.0    -0.1     1.3     1.2     0.8 -999.000  193.6  231.1 -999.000   72.2290420   26.8165960  481.1  100
 2008   12  108  946.46  -14.21  -14.70   73.1    0.92    0.00  -999.0  -999.0  -999.0    -0.8     0.0     0.4     0.0 -999.000  215.1  241.7 -999.000   72.2290420   26.8165960  481.1  100
 2009    1  109  945.61  -14.51  -15.00   70.2    0.95    0.00  -999.0  -999.0  -999.0    -0.7     0.3     0.5     0.2 -999.000  208.8  239.0 -999.000   72.2290420   26.8165960  481.1  100
 2009    2  110  956.83  -20.55  -20.97   73.2    0.51    0.00  -999.0  -999.0  -999.0     8.4    10.5     8.1     8.0 -999.000  185.3  215.0 -999.000   72.2290420   26.8165960  481.1  100
 2009    3  111  955.39  -19.06  -19.39   67.1    0.52    0.00  -999.0  -999.0  -999.0    59.6    61.9    49.2    49.6 -999.000  184.3  220.6 -999.000   72.2290420   26.8165960  481.1  100
 2009    4  112  958.53  -15.43  -15.43   71.3    0.77    0.00  -999.0  -999.0  -999.0   147.8   151.9   123.4   123.8    0.815  211.5  238.9 -999.000   72.2290420   26.8165960  481.1  100
 2009    5  113  953.43   -1.69   -1.58   71.3    2.48    0.00  -999.0  -999.0  -999.0   263.7   264.0   186.9   186.1    0.724  252.1  300.1 -999.000   72.2286358   26.8167483  472.9  100
 2009    6  114  960.51    1.54    1.69   72.1    3.15    0.00  -999.0  -999.0  -999.0   290.3   293.6   143.4   143.0    0.488  269.6  315.4 -999.000   72.2285577   26.8167930  472.9  100
 2009    7  115  962.69    3.82    3.79   73.7    3.80    0.00  -999.0  -999.0  -999.0   247.3   251.4    92.0    91.8    0.374  290.8  319.1 -999.000   72.2284651   26.8168250  471.8  100
 2009    8  116  957.83    2.28    2.19   73.8    3.46    0.00  -999.0  -999.0  -999.0   140.6   146.9    63.4    63.2    0.430  284.4  315.9 -999.000   72.2283989   26.8168763  473.6  100
 2009    9  117  946.93   -5.08   -5.26   70.7    1.97    0.00  -999.0  -999.0  -999.0    86.9    89.6    55.7    55.3 -999.000  234.9  283.3 -999.000 -999.0000000 -999.0000000 -999.0  100
 2009   10  118  958.91  -13.73  -14.08   68.3    0.87    0.00  -999.0  -999.0  -999.0    21.2    22.1    17.7    17.3 -999.000  196.7  242.6 -999.000 -999.0000000 -999.0000000 -999.0  100
 2009   11  119  951.45  -15.79  -16.18   70.5    0.80    0.00  -999.0  -999.0  -999.0    -0.2     1.2     1.3     0.9 -999.000  199.3  234.1 -999.000 -999.0000000 -999.0000000 -999.0  100
 2009   12  120  963.80  -13.29  -13.66   66.8    0.98    0.00  -999.0  -999.0  -999.0    -1.1     0.0     0.5     0.0 -999.000  206.1  245.4 -999.000 -999.0000000 -999.0000000 -999.0  100
 2010    1  121  953.44  -13.80  -14.18   77.6    0.97    0.00  -999.0  -999.0  -999.0    -0.7     0.2     0.5     0.2 -999.000  223.3  244.9 -999.000 -999.0000000 -999.0000000 -999.0  100
 2010    2  122  964.51  -18.35  -18.73   68.2    0.56    0.00  -999.0  -999.0  -999.0     9.0    10.3     7.9     7.6 -999.000  179.7  223.3 -999.000 -999.0000000 -999.0000000 -999.0  100
 2010    3  123  959.43  -19.93  -20.15   72.6    0.50    0.00  -999.0  -999.0  -999.0    63.9    67.2    49.0    48.8 -999.000  182.4  217.8 -999.000 -999.0000000 -999.0000000 -999.0  100
 2010    4  124  958.74  -10.32  -10.39   62.5    1.04    0.00  -999.0  -999.0  -999.0   164.1   164.0   122.2   122.0    0.752  208.2  256.4 -999.000 -999.0000000 -999.0000000 -999.0  100
 2010    5  125  962.89   -2.60   -2.20   77.0    2.46    0.00  -999.0  -999.0  -999.0   248.6   248.6   165.4   165.1    0.677  254.6  299.3 -999.000   72.2279505   26.8170113  476.6  100
 2010    6  126  958.50    2.21    2.51   74.4    3.44    0.00  -999.0  -999.0  -999.0   285.2   287.2   122.1   121.3    0.430  277.6  317.2 -999.000   72.2278737   26.8170838  473.8  100
 2010    7  127  953.87    4.24    4.34   67.6    3.63    0.56  -999.0  -999.0  -999.0   283.9   296.5    92.7    92.2    0.314  280.4  319.6 -999.000   72.2277767   26.8171168  474.3  100
 2010    8  128  958.94    2.86    2.74   75.5    3.68    2.54    64.4    18.0    -5.4   180.5   186.7    59.7    59.4    0.323  281.0  316.6    2.630   72.2276913   26.8171649  473.2  100
 2010    9  129 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0  100
 2010   10  130 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0  100
 2010   11  131  959.95  -15.70  -10.37   50.2    0.61    3.26    68.6    28.6    -3.2    -0.1     1.9     1.4     0.8 -999.000  186.9  232.8    2.610 -999.0000000 -999.0000000 -999.0  100
 2010   12  132  963.94  -13.74  -11.29   53.0    0.69    3.79    58.5    34.6    -8.8    -1.3     0.0     0.7     0.0 -999.000  200.6  241.9    2.622 -999.0000000 -999.0000000 -999.0  100
 2011    1  133  955.51  -15.87  -10.93   48.2    0.55    3.36    65.4    28.3    -5.4    -0.7     0.3     0.7     0.2 -999.000  202.9  234.5    2.621 -999.0000000 -999.0000000 -999.0  100
 2011    2  134  944.63  -13.64  -10.84   63.0    0.94    4.05    72.9    30.2    -4.0     9.5    12.5     7.3     6.8 -999.000  217.4  245.0    2.621 -999.0000000 -999.0000000 -999.0  100
 2011    3  135  946.52  -19.51  -10.54   46.9    0.39    3.46    64.8    31.8    -3.6    71.0    72.8    46.2    42.2 -999.000  174.4  218.0    2.611 -999.0000000 -999.0000000 -999.0  100
 2011    4  136  941.64  -12.58  -11.34   68.4    1.01    2.66    66.8    19.6    -4.4   163.1   153.6   123.1   116.5    0.757  229.4  251.6    2.503   72.2272572   26.8173132  475.6  100
 2011    5  137  961.52   -3.77   -3.67   73.1    2.14    2.48    68.5    14.6   -10.3   265.2   266.0   189.5   186.7    0.718  244.4  290.4    2.522   72.2272120   26.8173253  475.3  100
 2011    6  138  964.94    2.12    2.21   68.7    3.17    2.35    56.4    15.0   -15.0   319.0   328.7   127.8   126.7    0.389  266.1  315.3    2.641   72.2271471   26.8173504  473.2  100
 2011    7  139  958.72    3.63    3.67   75.6    3.87    2.63    63.6    20.5    -2.9   270.0   277.5    82.1    81.8    0.297  287.8  319.1    2.638   72.2270472   26.8173943  472.3  100
 2011    8  140  960.79    2.53    2.52   76.5    3.62    2.43    57.0    16.7    -6.3   179.5   183.5    58.7    58.3    0.323  280.6  316.4    2.660   72.2269652   26.8174338  470.0  100
 2011    9  141  950.83   -1.64   -1.70   74.8    2.71    2.75    48.8    14.8    -9.7    83.1    86.6    39.9    36.3 -999.000  252.1  299.1    2.613   72.2269129   26.8174511  470.6  100
 2011   10  142  951.89  -10.83  -10.56   72.6    1.23    3.24    55.2    21.6    -4.5    20.7    29.8    14.9    13.6 -999.000  229.8  258.0    2.588   72.2268712   26.8174610  469.7  100
 2011   11  143  946.37  -14.17  -11.33   67.8    0.95    3.20    54.7    30.0    -2.7     0.1     1.6     1.1     0.8 -999.000  217.0  242.8    2.396 -999.0000000 -999.0000000 -999.0  100
 2011   12  144  941.29  -19.27  -11.68   57.2    0.52    3.53    56.5    37.0    -2.1    -0.9     0.0     0.4     0.0 -999.000  187.7  220.8    2.405 -999.0000000 -999.0000000 -999.0  100
 2012    1  145  945.51  -13.10  -11.89   69.0    1.00    3.52    60.6    30.3    -3.1    -0.5     0.4     0.5     0.2 -999.000  223.9  246.2    2.381 -999.0000000 -999.0000000 -999.0  100
 2012    2  146  946.48  -17.72  -12.16   54.1    0.54    3.46    59.7    37.7    -3.5     9.6    13.3     8.0     7.8 -999.000  197.0  225.2    2.322 -999.0000000 -999.0000000 -999.0  100
 2012    3  147  947.94  -14.51  -12.13   64.4    0.88    3.65    62.4    30.2    -2.9    66.6    74.4    47.8    46.2 -999.000  206.5  239.9    2.356 -999.0000000 -999.0000000 -999.0  100
 2012    4  148  961.08  -15.25  -13.61   69.2    0.76    2.26    69.4    17.3    -2.0   182.2   184.3   129.6   127.8    0.696  202.5  240.3    2.349 -999.0000000 -999.0000000 -999.0  100
 2012    5  149  962.09   -4.90   -4.63   72.3    1.97    2.51    63.2    16.1    -8.0   289.5   298.4   203.5   201.8    0.690  231.5  284.1    2.371   72.2265134   26.8175403  472.8  100
 2012    6  150  962.41    2.97    3.14   74.0    3.58    2.56    61.9    22.1    -6.0   303.5   313.7   119.4   118.8    0.379  277.2  318.3    2.623   72.2264416   26.8175757  472.8  100
