 Year MonthOfYear MonthOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity(%) SpecificHumidity(g/kg) WindSpeed(m/s) WindDirection(d) SensibleHeatFlux(W/m2) LatentHeatFlux(W/m2) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) HeightSensorBoom(m) LatitudeGPS_HDOP<1(degN) LongitudeGPS_HDOP<1(degW) ElevationGPS_HDOP<1(m) FanOK(%)
 2013    8  164 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0 -999.000 -999.0000000 -999.0000000 -999.0  100
 2013    9  165  899.21   -3.59   -3.64   77.0    2.53    8.34     1.9    18.0   -22.1   128.4   129.1    86.5    85.9    0.666  250.8  292.8    2.446 -999.0000000 -999.0000000 -999.0   40
 2013   10  166  902.19   -7.70   -7.84   73.2    1.82    6.63     5.8    24.7   -11.7    54.7    53.5    36.4    35.6 -999.000  233.3  272.9    2.492 -999.0000000 -999.0000000 -999.0 -999
 2013   11  167  893.39  -10.75  -10.88   83.6    1.55    8.81    10.9    18.9    -7.7     9.0    10.5     7.7     7.4 -999.000  240.9  263.5    2.598 -999.0000000 -999.0000000 -999.0 -999
 2013   12  168  882.99  -14.47  -14.61   80.7    1.11    9.47    11.0    27.9    -7.3     1.3     1.7     2.0     1.3 -999.000  215.6  248.2    2.587 -999.0000000 -999.0000000 -999.0 -999
 2014    1  169  890.15   -8.66   -8.80   82.2    1.78    7.69    30.6    26.1    -9.3     4.8     5.3     4.7     4.3 -999.000  251.2  271.6    2.072 -999.0000000 -999.0000000 -999.0 -999
 2014    2  170 -999.00 -999.00 -999.00 -999.0 -999.00 -999.00  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 -999.000 -999.0 -999.0    1.773 -999.0000000 -999.0000000 -999.0 -999
 2014    3  171  894.92  -11.75  -11.68   81.7    1.42    8.28    21.6    20.0    -9.2    97.9    96.6    81.6    79.6 -999.000  235.2  259.8    1.680 -999.0000000 -999.0000000 -999.0 -999
 2014    4  172  898.52   -6.10   -6.23   81.1    2.26    6.18    22.6    14.7   -12.2   186.5   187.0   152.6   152.0    0.826  259.5  282.4    1.408 -999.0000000 -999.0000000 -999.0 -999
 2014    5  173  907.10   -1.29   -1.47   65.6    2.44    4.93    10.3    21.8   -29.9   290.3   292.6   219.4   217.9    0.759  255.7  298.7    1.290 -999.0000000 -999.0000000 -999.0 -999
 2014    6  174  911.00    3.18    2.97   70.0    3.63    3.79    14.8    25.3   -14.3   301.6   303.2   204.2   203.7    0.679  283.6  316.1    1.879 -999.0000000 -999.0000000 -999.0 -999
 2014    7  175  906.52    3.96    3.76   66.5    3.67    2.88   351.3    19.5    -8.5   316.8   318.4   169.3   168.0    0.525  269.5  317.9    2.365 -999.0000000 -999.0000000 -999.0 -999
 2014    8  176  908.21    2.93    3.12   69.8    3.62    5.75     1.3    49.5   -19.3   220.6   221.8    92.6    91.6    0.416  273.0  316.7    2.601 -999.0000000 -999.0000000 -999.0   96
 2014    9  177  897.13   -1.84   -1.67   82.7    3.09    6.40    17.4    20.1   -10.9   112.2   114.4    81.0    80.6    0.736  271.8  301.1    2.403 -999.0000000 -999.0000000 -999.0  100
 2014   10  178  899.92   -9.08   -9.02   81.8    1.70    8.37   357.0    25.4    -7.5    55.3    55.3    45.5    45.4 -999.000  235.7  268.3    2.251 -999.0000000 -999.0000000 -999.0  100
 2014   11  179  894.27   -8.10   -8.09   85.9    2.00    5.94    26.5    23.2    -3.5    11.0    11.8    10.3     9.7 -999.000  252.5  272.9    1.916 -999.0000000 -999.0000000 -999.0  100
 2014   12  180  887.59  -13.41  -13.44   94.0    1.30   10.04     7.9  -999.0  -999.0     1.4     1.8     1.8     1.5 -999.000  227.8  255.0    1.450 -999.0000000 -999.0000000 -999.0   45
 2015    1  181  883.26  -13.14  -13.15   92.1    1.36    7.90    10.4    17.8    -0.3     4.9     5.4     4.9     4.5 -999.000  234.8  255.0    1.107 -999.0000000 -999.0000000 -999.0   74
 2015    2  182  886.12  -16.25  -16.24   94.3    1.13    9.22     2.9    11.5    -0.7    24.4    27.2    23.0    22.9 -999.000  233.0  246.5    1.010 -999.0000000 -999.0000000 -999.0   14
 2015    3  183  883.17  -11.11  -10.98   90.2    1.59    7.34    31.7    19.6    -2.0    92.3    92.8    78.3    77.8 -999.000  236.1  262.8    0.998 -999.0000000 -999.0000000 -999.0   51
 2015    4  184  899.71   -9.61   -9.13   82.1    1.64    5.76    18.4    16.1    -9.8   194.5   191.7   164.6   161.7    0.850  238.6  269.6    0.845 -999.0000000 -999.0000000 -999.0   96
 2015    5  185  901.65   -4.54   -3.91   76.5    2.28    5.51    34.0    20.8   -21.9   290.5   287.2   241.7   237.7    0.843  254.6  289.8    0.664 -999.0000000 -999.0000000 -999.0   64
 2015    6  186  909.45    1.98    2.24   67.8    3.21    2.91   351.2    20.3   -13.8   349.4   348.4   253.7   248.6    0.735  262.9  311.1    0.852 -999.0000000 -999.0000000 -999.0   26
 2015    7  187  914.82    2.03    2.65   75.3    3.61    2.58   344.4    17.3    -7.7   308.5   308.0   210.9   208.3    0.701  276.9  317.2    1.838 -999.0000000 -999.0000000 -999.0  100
 2015    8  188  906.17    1.27    1.64   74.2    3.41    3.44   351.9    19.0   -16.8   224.4   221.5   136.9   133.3    0.615  269.1  313.7    2.495 -999.0000000 -999.0000000 -999.0  100
 2015    9  189  900.73   -0.69   -0.53   81.5    3.30    5.58    25.9    21.4   -13.3    99.5    97.3    71.4    68.7    0.719  284.7  307.1    2.500   65.7796241   38.9007752  893.5  100
 2015   10  190  895.82   -6.98   -6.90   83.6    2.12    7.47    16.2    19.5   -11.9    47.8    49.7    41.8    42.3 -999.000  252.7  279.7    2.200   65.7795697   38.9006726  893.0  100
 2015   11  191  890.84  -10.76  -10.75   77.8    1.46    8.30    10.5    30.3   -10.6    10.4    10.2     9.8     8.8 -999.000  232.8  261.0    1.893   65.7795133   38.9005805  890.6  100
 2015   12  192  884.72  -12.63  -12.62   83.0    1.29    7.71    30.8    24.6    -7.4     1.1     1.4     1.8     1.2 -999.000  229.5  255.8    1.878   65.7794526   38.9004811  892.6  100
 2016    1  193  892.82   -9.93   -9.92   80.6    1.67    7.90    37.9    30.1    -9.6     4.7     5.0     4.9     4.4 -999.000  236.1  265.9    1.760 -999.0000000 -999.0000000 -999.0  100
 2016    2  194  894.61  -11.27  -11.23   79.1    1.37    6.89    31.0    26.1    -9.0    29.0    28.8    25.3    25.7 -999.000  235.1  259.9    1.532   65.7793415   38.9002702  891.1  100
 2016    3  195  893.77   -8.88   -8.70   81.8    1.75    5.89    35.9    18.9   -10.4    97.2    93.8    83.3    83.0 -999.000  246.8  271.5    1.125   65.7792890   38.9001527  893.1  100
 2016    4  196  910.75   -3.72   -3.36   71.6    2.24    5.97    27.2    29.3   -32.8   207.0   193.8   163.2   160.8    0.834  250.2  292.2    1.108   65.7792309   38.9000428  895.0  100
 2016    5  197  907.32   -2.46   -1.83   73.3    2.52    4.15    17.0    15.8   -26.7   300.0   283.5   225.0   225.2    0.796  253.6  301.5    1.338   65.7791697   38.8999434  894.3  100
 2016    6  198  908.98    2.02    2.51   78.6    3.82    2.95    14.4    19.4    -6.0   280.3   275.7   191.0   193.3    0.713  297.9  318.1    1.894   65.7791177   38.8998423  893.3  100
 2016    7  199  912.17    2.54    2.92   72.5    3.62    2.90   355.0    17.0    -8.3   319.4   310.5   148.9   148.4    0.493  269.8  317.8    2.522   65.7790577   38.8997211  892.4  100
 2016    8  200  907.60    1.86    2.11   76.4    3.66    3.21   352.9    18.2    -6.4   201.1   203.2    90.5    88.9    0.433  276.7  315.7    2.545   65.7789975   38.8995991  892.1  100
